배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
"미,W",DL AMBER,SKI 3,PAL,2024-06-07T19:00:00.000Z,JH,7333
T,JAN,SNCT3,NPPS,2024-06-07T17:30:00.000Z,CN,17280
"C,A",KOREA VENUS,PAL,GS-HD,2024-06-07T16:30:00.000Z,JJ,39543
"M,E",JA YANG,PAL,HIDC,2024-06-07T16:00:00.000Z,,4739
"O,W",XIN ZHONG RUI 7,N21,PAL,2024-06-07T15:00:00.000Z,JJ,4426
"F2,B,H,비,명",G POSEIDON,PAL,60,2024-06-07T19:30:00.000Z,KI,72408
"F3,B",HYUNDAI EARTH,SNCT1,NPPS,2024-06-07T17:30:00.000Z,RW,110632
M,수성 1호,SAMPYO,PAL,2024-06-07T17:00:00.000Z,,5969
A,RESURGENCE,ICT1,PAL,2024-06-07T16:00:00.000Z,LY,9443
W,DOOLA STAR,N-HOB,PAL,2024-06-07T15:30:00.000Z,,5770
M,HARMONY YUN GANG,PAL,NIPT1,2024-06-07T15:00:00.000Z,JH,35187
"O,E",KEOJE CORDELIA,PAL,N-HOB,2024-06-07T19:30:00.000Z,KX,8689
"I,L",KMTC HAIPHONG,NPPS,SNCT1,2024-06-07T17:30:00.000Z,LY,18370
I,A ROKKO,HJIT3,NPPS,2024-06-07T17:00:00.000Z,NS,9562
"Z,J",KMTC PENANG,PAL,ICT2,2024-06-07T16:00:00.000Z,KK,28517
"J,V",ARAFURA LILY,PAL,NIPT6,2024-06-07T15:20:00.000Z,OS,12335
K,SITC SHANDONG,HJIT2,NPPS,2024-06-07T22:00:00.000Z,,17119
"K,성",XIN TAI PING,NPPS,HJIT1,2024-06-07T22:00:00.000Z,,5275
V,KMTC PENANG,ICT2,PAL,2024-06-08T17:00:00.000Z,,28517
M,BIRYONG,PAL,NIPT2,2024-06-08T09:30:00.000Z,KI,14614
E,JA YANG,HIDC,PAL,2024-06-08T16:00:00.000Z,,4739
"Q,S",KEOJE CORDELIA,N-HOB,PAL,2024-06-08T09:00:00.000Z,,8689
"해,진",GAIN OCEAN,44,PAL,2024-06-08T15:00:00.000Z,,4912
E,PANCON  HARMONY,PAL,E1CT,2024-06-08T07:00:00.000Z,,9946
O,K GAS,PAL,SOD1,2024-06-08T04:30:00.000Z,,1002
"N,O",SEONGHO PIOCE,PAL,SKI 2,2024-06-08T14:00:00.000Z,,3698
