기준예선,배정예선,선박명,From,작업 시작지,작업 종료지,To,실제 스케줄 시작 시각,실제 스케줄 종료 시각,작업까지 이동 거리(km),작업까지 이동 시간(분),작업중 이동 거리(km),작업중 이동 시간(분),도선사,톤수,선종,최종 스케줄 시각,최초 스케줄 시각,최초 작업시작지,최초 작업종료지,최초 예선,최초 도선사,AIS 파일명 target,AIS 파일명 tug
I,"성,I",REVERENCE,,NPPS,SNCT2,송도정계지,2024-06-08T07:32:18.000Z,2024-06-08T08:15:18.000Z,8.6,30.0,4.9,38.0,KU,9990,풀컨테이너선,2024-06-08T07:00:00.000Z,2024-06-08T07:00:00.000Z,NPPS,SNCT2,성I,KU,쥬피터1호_REVERENCE_2024-06-08_target_1_aisData.csv,쥬피터1호_REVERENCE_2024-06-08_tug_1_aisData.csv
M,"F1,M",SEAWAYS MOMENT,,SKI 2,DONG,,2024-06-08T07:10:18.000Z,2024-06-08T07:20:18.000Z,0.6,2.0,1.9,5.0,JJ,29293,케미칼 운반선,2024-06-08T07:00:00.000Z,2024-06-08T07:00:00.000Z,SKI 2,DONG,F1M,JJ,뉴마스호_SEAWAYS MOMENT_2024-06-08_target_2_aisData.csv,뉴마스호_SEAWAYS MOMENT_2024-06-08_tug_2_aisData.csv
T,"T,S",YURIY TARAPUROV,연안부두정계지,PAL,N53,,2024-06-08T10:51:18.000Z,2024-06-08T11:01:19.000Z,5.7,26.0,2.6,35.0,CY,7949,일반화물선,2024-06-08T09:20:00.000Z,2024-06-08T09:00:00.000Z,PAL,N53,TS,CY,대창호_YURIY TARAPUROV_2024-06-08_target_3_aisData.csv,대창호_YURIY TARAPUROV_2024-06-08_tug_3_aisData.csv
M,M,BIRYONG,연안부두정계지,PAL,NIPT2,,2024-06-08T10:26:18.000Z,2024-06-08T11:01:18.000Z,5.2,47.0,3.4,30.0,KI,14614,국제카페리,2024-06-08T09:50:00.000Z,2024-06-08T09:30:00.000Z,PAL,NIPT2,M,KI,뉴마스호_BIRYONG_2024-06-08_target_4_aisData.csv,뉴마스호_BIRYONG_2024-06-08_tug_4_aisData.csv
M,M,XIN XIANG XUE LAN,,PAL,NIPT5,연안부두정계지,2024-06-08T11:20:18.000Z,2024-06-08T11:59:18.000Z,4.0,27.0,4.6,34.0,JJ,32729,국제카페리,2024-06-08T10:50:00.000Z,2024-06-08T10:30:00.000Z,PAL,NIPT5,M,,뉴마스호_XIN XIANG XUE LAN_2024-06-08_target_5_aisData.csv,뉴마스호_XIN XIANG XUE LAN_2024-06-08_tug_5_aisData.csv
N,"N,O",SEONGHO PIOCE,연안부두정계지,PAL,SKI 2,북항임시정계지,2024-06-08T15:02:19.000Z,2024-06-08T15:43:19.000Z,7.6,30.0,2.9,36.0,KK,3698,석유제품 운반선,2024-06-08T14:10:00.000Z,2024-06-08T14:00:00.000Z,PAL,SKI 2,NO,,뉴엔젤호_SEONGHO PIOCE_2024-06-08_target_6_aisData.csv,뉴엔젤호_SEONGHO PIOCE_2024-06-08_tug_6_aisData.csv
T,"R,T",QUEZON BRIDGE,연안부두정계지,PAL,ICT1,연안부두정계지,2024-06-08T15:03:19.000Z,2024-06-08T15:44:19.000Z,6.4,36.0,3.4,36.0,LY,17211,풀컨테이너선,2024-06-08T14:20:00.000Z,2024-06-08T14:30:00.000Z,PAL,ICT1,RT,,대창호_QUEZON BRIDGE_2024-06-08_target_7_aisData.csv,대창호_QUEZON BRIDGE_2024-06-08_tug_7_aisData.csv
I,"K,I",KMTC LAEM CHABANG,송도정계지,NPPS,HJIT3,송도정계지,2024-06-09T06:53:19.000Z,2024-06-09T07:43:19.000Z,2.4,17.0,6.0,45.0,RW,18318,풀컨테이너선,2024-06-09T06:30:00.000Z,2024-06-09T06:30:00.000Z,NPPS,HJIT3,KI,RW,쥬피터1호_KMTC LAEM CHABANG_2024-06-09_target_8_aisData.csv,쥬피터1호_KMTC LAEM CHABANG_2024-06-09_tug_8_aisData.csv
명,"L,F2,B,비,명",GOOD LUCK,내항정계지,LEN,43,내항정계지,2024-06-09T08:13:19.000Z,2024-06-09T09:10:19.000Z,1.2,8.0,3.2,52.0,JH,41074,산물선(벌크선),2024-06-09T06:30:00.000Z,2024-06-09T06:30:00.000Z,LEN,43,LF2B비명,JH,대명호_GOOD LUCK_2024-06-09_target_9_aisData.csv,대명호_GOOD LUCK_2024-06-09_tug_9_aisData.csv
N,"N,Q",WOO CHOON,북항임시정계지,GSD,PAL,,2024-06-09T09:45:19.000Z,2024-06-09T10:07:19.000Z,4.9,24.0,1.4,17.0,,3969,석유제품 운반선,2024-06-09T10:00:00.000Z,2024-06-09T10:00:00.000Z,GSD,PAL,NQ,,뉴엔젤호_WOO CHOON_2024-06-09_target_10_aisData.csv,뉴엔젤호_WOO CHOON_2024-06-09_tug_10_aisData.csv
