Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477940600,37.341678333333334,126.62870166666667,271,265.7,0,2024-06-24T14:04:50.710Z
477940600,37.34170833333334,126.62866166666667,271,265.7,0,2024-06-24T13:50:15.925Z
477940600,37.341696666666664,126.62873333333333,271,74,0.2,2024-06-24T13:48:02.103Z
477940600,37.341696666666664,126.62871833333334,271,47.2,0.3,2024-06-24T13:47:51.877Z
477940600,37.341455,126.62885,265,314.6,0.8,2024-06-24T13:44:26.966Z
477940600,37.341276666666666,126.62915166666667,261,315.9,0.8,2024-06-24T13:43:04.884Z
477940600,37.33938166666667,126.62728,358,68.4,3,2024-06-24T13:38:06.220Z
477940600,37.339243333333336,126.62676,25,69.1,3.1,2024-06-24T13:37:35.565Z
477940600,37.339081666666665,126.62628666666667,41,56.4,3,2024-06-24T13:37:04.883Z
477940600,37.33831333333333,126.62507,46,48.9,3.3,2024-06-24T13:35:32.405Z
477940600,37.33819833333333,126.62490166666667,46,48.1,3.3,2024-06-24T13:35:22.014Z
477940600,37.33768333333333,126.62419333333334,45,42.8,3.4,2024-06-24T13:34:30.727Z
477940600,37.33744,126.62391166666667,43,43.4,3.4,2024-06-24T13:34:10.324Z
477940600,37.33723333333333,126.62366833333333,41,46.4,3.3,2024-06-24T13:33:49.776Z
477940600,37.33679166666667,126.62305833333333,43,49.3,3.6,2024-06-24T13:33:08.543Z
477940600,37.336351666666665,126.62241166666666,45,49.2,4,2024-06-24T13:32:37.070Z
477940600,37.336236666666665,126.62224166666667,45,49.2,4,2024-06-24T13:32:26.864Z
477940600,37.33611333333333,126.62207,46,49.1,4.1,2024-06-24T13:32:16.573Z
477940600,37.335615,126.62136,45,53,4,2024-06-24T13:31:35.671Z
477940600,37.335301666666666,126.62081,48,56.5,4.1,2024-06-24T13:31:04.790Z
477940600,37.33519666666667,126.620605,49,57.4,4.2,2024-06-24T13:30:54.590Z
477940600,37.33509,126.620395,50,58.3,4.3,2024-06-24T13:30:44.348Z
477940600,37.334968333333336,126.62014,51,59.4,4.4,2024-06-24T13:30:34.109Z
477940600,37.33486333333333,126.61992333333333,53,60.2,4.6,2024-06-24T13:30:23.838Z
477940600,37.334756666666664,126.61969,54,61.1,4.7,2024-06-24T13:30:13.614Z
477940600,37.334673333333335,126.61950333333333,55,62.2,4.8,2024-06-24T13:30:03.368Z
477940600,37.33414666666667,126.61822833333333,59,64,5.1,2024-06-24T13:29:12.108Z
477940600,37.333423333333336,126.61632333333333,64,65.6,5.6,2024-06-24T13:28:00.179Z
477940600,37.332876666666664,126.61480833333333,66,63.6,6.1,2024-06-24T13:27:19.131Z
477940600,37.33261,126.61414166666667,65,63.2,6.3,2024-06-24T13:26:58.482Z
477940600,37.33235333333333,126.613485,66,63.4,6.3,2024-06-24T13:26:37.113Z
477940600,37.33224166666667,126.61319666666667,66,62.7,6.3,2024-06-24T13:26:26.895Z
477940600,37.331966666666666,126.61253166666667,67,61.1,6.4,2024-06-24T13:26:06.438Z
477940600,37.331511666666664,126.61155833333333,68,60.8,6.5,2024-06-24T13:25:35.601Z
477940600,37.331355,126.61119833333333,68,60.7,6.6,2024-06-24T13:25:25.351Z
477940600,37.33089833333333,126.61015333333333,69,69,6.8,2024-06-24T13:24:54.636Z
477940600,37.33068333333333,126.60945333333333,72,77.2,7,2024-06-24T13:24:34.079Z
477940600,37.330596666666665,126.60906,75,78.9,7,2024-06-24T13:24:23.880Z
477940600,37.33051833333333,126.6087,77,79.6,7,2024-06-24T13:24:13.612Z
477940600,37.330461666666665,126.60829833333334,79,79,7,2024-06-24T13:24:03.288Z
477940600,37.330405,126.60786333333333,80,77.7,7,2024-06-24T13:23:52.923Z
477940600,37.33033666666667,126.60743166666667,81,76.5,7.1,2024-06-24T13:23:42.667Z
477940600,37.33020166666667,126.606675,81,74.6,7.1,2024-06-24T13:23:22.139Z
477940600,37.330125,126.60632333333334,81,73.9,7.1,2024-06-24T13:23:11.838Z
477940600,37.32991333333333,126.60543166666666,80,74.8,7.1,2024-06-24T13:22:51.384Z
477940600,37.32983333333333,126.60507,80,75.3,7.1,2024-06-24T13:22:41.142Z
477940600,37.329675,126.60432833333333,80,77.1,7.1,2024-06-24T13:22:20.748Z
477940600,37.32959666666667,126.60391333333334,81,78.4,7.1,2024-06-24T13:22:10.460Z
477940600,37.32940833333333,126.602615,84,81.3,7.1,2024-06-24T13:21:39.657Z
477940600,37.32933,126.60183666666667,87,81.4,7.2,2024-06-24T13:21:19.227Z
477940600,37.329033333333335,126.59931833333333,87,83.3,7.3,2024-06-24T13:20:27.531Z
477940600,37.328885,126.59723,88,89.4,7.5,2024-06-24T13:19:36.187Z
477940600,37.32888,126.59679166666666,89,89.4,7.5,2024-06-24T13:19:25.854Z
477940600,37.32888333333333,126.59640166666667,90,90.3,7.5,2024-06-24T13:19:15.558Z
477940600,37.32904166666667,126.59234833333333,92,93.7,8.1,2024-06-24T13:17:43.159Z
477940600,37.329105,126.59096,92,92.5,8.4,2024-06-24T13:17:12.489Z
477940600,37.329278333333335,126.583405,92,90.7,9,2024-06-24T13:14:48.952Z
477940600,37.32928666666667,126.58182166666667,92,90.8,9.2,2024-06-24T13:14:18.127Z
477940600,37.329305,126.57961666666667,92,89.8,9.5,2024-06-24T13:13:37.005Z
477940600,37.32932,126.57856,92,88.2,9.7,2024-06-24T13:13:16.369Z
477940600,37.32927333333333,126.577385,90,86.6,9.9,2024-06-24T13:12:55.803Z
477940600,37.32918166666666,126.575115,89,87,10.5,2024-06-24T13:12:14.629Z
477940600,37.329116666666664,126.57380166666667,89,86.9,10.8,2024-06-24T13:11:54.040Z
477940600,37.32910666666667,126.57337666666666,89,86.8,11,2024-06-24T13:11:43.849Z
477940600,37.329103333333336,126.57325166666666,89,86.8,11,2024-06-24T13:11:43.840Z
477940600,37.32908166666667,126.57268,89,86.6,11.2,2024-06-24T13:11:33.626Z
477940600,37.329071666666664,126.57223166666667,89,86.6,11.3,2024-06-24T13:11:23.417Z
477940600,37.329055,126.57154833333334,89,86.8,11.6,2024-06-24T13:11:13.136Z
477940600,37.32904833333333,126.571345,89,86.7,11.6,2024-06-24T13:11:13.123Z
477940600,37.32904166666667,126.57114333333334,89,86.7,11.7,2024-06-24T13:11:13.109Z
477940600,37.329025,126.57074166666666,89,86.6,11.8,2024-06-24T13:11:02.939Z
477940600,37.329006666666665,126.57033,89,86.5,12,2024-06-24T13:11:02.915Z
477940600,37.32897666666667,126.56991833333333,89,86.7,12.1,2024-06-24T13:10:52.604Z
477940600,37.32895166666667,126.56957166666666,89,86.8,12.2,2024-06-24T13:10:52.579Z
477940600,37.32893333333333,126.56915333333333,89,87,12.4,2024-06-24T13:10:42.334Z
477940600,37.32890166666667,126.56823666666666,89,86.6,12.5,2024-06-24T13:10:32.063Z
477940600,37.328871666666664,126.56744333333333,89,86.4,12.6,2024-06-24T13:10:21.835Z
477940600,37.32884,126.56651166666667,89,86.2,12.7,2024-06-24T13:10:01.344Z
477940600,37.32882333333333,126.56607,89,86.3,12.8,2024-06-24T13:10:01.328Z
477940600,37.32881166666667,126.56563666666666,89,86.4,12.8,2024-06-24T13:09:51.077Z
477940600,37.32879,126.56518833333334,89,86.3,12.9,2024-06-24T13:09:51.050Z
477940600,37.32876666666667,126.56475333333333,89,86.4,13,2024-06-24T13:09:40.816Z
477940600,37.32874,126.564235,89,86.3,13,2024-06-24T13:09:30.599Z
477940600,37.328698333333335,126.56340166666666,89,86.3,13.2,2024-06-24T13:09:20.244Z
477940600,37.328675,126.56294833333334,89,86.2,13.2,2024-06-24T13:09:20.221Z
477940600,37.32861,126.56203,89,85.9,13.4,2024-06-24T13:09:09.922Z
477940600,37.328575,126.56154333333333,89,85.8,13.5,2024-06-24T13:08:59.717Z
477940600,37.328555,126.56106333333334,89,85.8,13.6,2024-06-24T13:08:49.451Z
477940600,37.32853166666667,126.56067833333333,89,85.8,13.6,2024-06-24T13:08:49.426Z
477940600,37.32848666666667,126.56022166666666,89,86,13.7,2024-06-24T13:08:39.293Z
477940600,37.32845,126.55965666666667,89,86.2,13.8,2024-06-24T13:08:39.165Z
477940600,37.32842333333333,126.55910333333334,89,86,13.8,2024-06-24T13:08:28.924Z
477940600,37.32836666666667,126.558215,89,86,13.8,2024-06-24T13:08:18.627Z
477940600,37.328338333333335,126.55772166666667,89,86,13.8,2024-06-24T13:08:08.320Z
477940600,37.328285,126.55675666666667,89,86.2,13.9,2024-06-24T13:07:58.088Z
477940600,37.32827,126.55629,89,86.3,13.9,2024-06-24T13:07:58.063Z
477940600,37.32825166666667,126.555825,89,86.6,13.9,2024-06-24T13:07:47.229Z
477940600,37.32823,126.55541166666667,89,86.6,14,2024-06-24T13:07:37.018Z
477940600,37.328178333333334,126.55475833333334,89,86.5,14,2024-06-24T13:07:36.983Z
477940600,37.32816166666667,126.55436166666667,89,86.2,14,2024-06-24T13:07:26.659Z
477940600,37.32814333333334,126.55396166666667,89,86.3,14,2024-06-24T13:07:26.637Z
477940600,37.32812166666667,126.553405,89,86.4,14,2024-06-24T13:07:16.330Z
477940600,37.32809666666667,126.55299166666667,89,86.5,14.1,2024-06-24T13:07:16.307Z
477940600,37.328065,126.552495,89,86.7,14.1,2024-06-24T13:07:06.085Z
477940600,37.32803833333333,126.55199666666667,89,86.5,14.1,2024-06-24T13:06:55.811Z
477940600,37.32801833333333,126.55151,89,86.5,14.1,2024-06-24T13:06:55.784Z
477940600,37.327996666666664,126.55094833333334,89,86.3,14.1,2024-06-24T13:06:45.600Z
477940600,37.327976666666665,126.55045333333334,89,86.3,14.2,2024-06-24T13:06:45.575Z
477940600,37.327936666666666,126.54986833333334,89,86.5,14.2,2024-06-24T13:06:35.362Z
477940600,37.32790166666667,126.54936,89,86.5,14.2,2024-06-24T13:06:25.077Z
477940600,37.32784,126.548425,89,86.4,14.3,2024-06-24T13:06:14.742Z
477940600,37.32782,126.54792666666667,89,86.4,14.3,2024-06-24T13:06:14.720Z
477940600,37.32781,126.54744666666667,89,86.5,14.3,2024-06-24T13:06:04.279Z
477940600,37.327785,126.54648333333333,89,86.6,14.4,2024-06-24T13:05:54.096Z
477940600,37.32776666666667,126.54598833333333,89,86.6,14.4,2024-06-24T13:05:43.748Z
477940600,37.327708333333334,126.54498333333333,89,86.1,14.5,2024-06-24T13:05:33.553Z
477940600,37.32768,126.54448666666667,89,86.1,14.5,2024-06-24T13:05:33.527Z
477940600,37.32762666666667,126.54358166666667,89,86.3,14.6,2024-06-24T13:05:12.965Z
477940600,37.327595,126.54299333333333,89,86.2,14.6,2024-06-24T13:05:12.939Z
477940600,37.327508333333334,126.541445,89,85.8,14.6,2024-06-24T13:04:52.444Z
477940600,37.32746,126.54043,89,86.3,14.7,2024-06-24T13:04:42.246Z
477940600,37.32743333333333,126.53982666666667,89,86.4,14.7,2024-06-24T13:04:32.020Z
477940600,37.32734166666667,126.53788,89,86.4,14.6,2024-06-24T13:04:11.419Z
477940600,37.32732,126.537375,89,86.4,14.6,2024-06-24T13:04:01.168Z
477940600,37.32729666666667,126.536955,89,86.6,14.6,2024-06-24T13:04:01.145Z
477940600,37.327268333333336,126.536355,89,86.3,14.6,2024-06-24T13:03:50.915Z
477940600,37.327151666666666,126.53425333333334,89,86.3,14.6,2024-06-24T13:03:30.321Z
477940600,37.327128333333334,126.53382833333333,89,86.6,14.6,2024-06-24T13:03:20.129Z
477940600,37.327106666666666,126.53332,89,86.7,14.6,2024-06-24T13:03:20.107Z
477940600,37.327075,126.53272333333334,89,86.8,14.6,2024-06-24T13:03:09.814Z
477940600,37.32705833333333,126.53229666666667,89,86.7,14.6,2024-06-24T13:03:09.792Z
477940600,37.32698333333333,126.53075166666666,89,86.5,14.6,2024-06-24T13:02:49.268Z
477940600,37.326955,126.53024666666667,89,86.6,14.5,2024-06-24T13:02:38.993Z
477940600,37.326901666666664,126.52922833333334,89,86.8,14.5,2024-06-24T13:02:28.717Z
477940600,37.326883333333335,126.528725,89,86.7,14.5,2024-06-24T13:02:18.470Z
477940600,37.32686,126.52771166666666,89,86.7,14.5,2024-06-24T13:02:08.144Z
477940600,37.326815,126.52678166666666,89,86.5,14.5,2024-06-24T13:01:57.983Z
477940600,37.326746666666665,126.52570166666666,89,86.6,14.5,2024-06-24T13:01:46.269Z
477940600,37.3267,126.52471333333334,89,86.7,14.5,2024-06-24T13:01:35.975Z
477940600,37.326678333333334,126.52421166666667,89,86.8,14.5,2024-06-24T13:01:25.771Z
477940600,37.326663333333336,126.52372,89,86.9,14.5,2024-06-24T13:01:25.713Z
477940600,37.3266,126.52224166666667,89,86.8,14.4,2024-06-24T13:01:05.113Z
477940600,37.32657833333333,126.52173833333333,89,86.7,14.4,2024-06-24T13:00:54.916Z
477940600,37.326528333333336,126.520725,89,86.6,14.4,2024-06-24T13:00:44.756Z
477940600,37.32644833333333,126.51920333333334,89,86.8,14.4,2024-06-24T13:00:23.959Z
477940600,37.32642,126.5187,89,86.9,14.4,2024-06-24T13:00:23.936Z
477940600,37.326388333333334,126.51762333333333,89,86.9,14.4,2024-06-24T13:00:13.678Z
477940600,37.32638,126.51720833333333,89,86.9,14.3,2024-06-24T13:00:03.324Z
477940600,37.32636166666666,126.51670166666666,89,86.7,14.3,2024-06-24T13:00:03.295Z
477940600,37.3263,126.51571166666666,89,86.7,14.3,2024-06-24T12:59:42.781Z
477940600,37.326276666666665,126.51521333333334,89,87,14.3,2024-06-24T12:59:42.755Z
477940600,37.32626166666667,126.51471666666667,89,86.7,14.3,2024-06-24T12:59:32.491Z
477940600,37.326238333333336,126.51421666666667,89,86.7,14.3,2024-06-24T12:59:32.463Z
477940600,37.326211666666666,126.51372,89,86.4,14.2,2024-06-24T12:59:22.289Z
477940600,37.326148333333336,126.51222166666666,89,87.1,14.2,2024-06-24T12:59:01.701Z
477940600,37.32614,126.51181166666667,89,86.9,14.2,2024-06-24T12:59:01.682Z
477940600,37.326071666666664,126.51025666666666,89,87.2,14.1,2024-06-24T12:58:41.282Z
477940600,37.32606333333333,126.50976333333334,89,87.3,14.1,2024-06-24T12:58:30.919Z
477940600,37.32604833333333,126.50918,89,87.3,14.1,2024-06-24T12:58:30.892Z
477940600,37.326035,126.50876833333334,89,87.1,14.1,2024-06-24T12:58:20.684Z
477940600,37.32601833333333,126.50827166666667,89,87.1,14.1,2024-06-24T12:58:20.639Z
477940600,37.32596,126.50731666666667,89,87.1,14,2024-06-24T12:58:10.264Z
477940600,37.325941666666665,126.50681833333333,89,87.2,14,2024-06-24T12:58:00.014Z
477940600,37.32590666666667,126.50590833333334,89,87.6,14,2024-06-24T12:57:49.801Z
477940600,37.325903333333336,126.50582666666666,89,87.6,14,2024-06-24T12:57:49.791Z
477940600,37.325878333333335,126.50535333333333,89,87.4,14,2024-06-24T12:57:39.602Z
477940600,37.325873333333334,126.50510833333334,89,87.4,14,2024-06-24T12:57:39.570Z
477940600,37.325865,126.50485833333333,89,87.1,14,2024-06-24T12:57:39.536Z
477940600,37.32584666666666,126.504355,89,86.2,14,2024-06-24T12:57:29.245Z
477940600,37.325808333333335,126.50347,89,84.7,13.9,2024-06-24T12:57:18.975Z
477940600,37.32575666666666,126.502785,88,84.7,13.9,2024-06-24T12:57:08.698Z
477940600,37.32572166666667,126.50199166666667,87,85.3,13.9,2024-06-24T12:56:58.356Z
477940600,37.325678333333336,126.50118166666667,87,85.2,13.9,2024-06-24T12:56:48.092Z
477940600,37.32562166666666,126.50031666666666,87,85.1,13.8,2024-06-24T12:56:37.894Z
477940600,37.32555333333333,126.49950833333334,87,85.2,13.8,2024-06-24T12:56:27.623Z
477940600,37.32543,126.4979,87,85.3,13.8,2024-06-24T12:56:07.146Z
477940600,37.32538,126.49717,87,85,13.8,2024-06-24T12:55:56.947Z
477940600,37.325336666666665,126.49629,87,84.5,13.8,2024-06-24T12:55:46.627Z
477940600,37.325158333333334,126.49408333333334,86,82.7,13.8,2024-06-24T12:55:15.757Z
477940600,37.32483666666667,126.490735,85,83.5,13.7,2024-06-24T12:54:34.790Z
477940600,37.32476666666667,126.48993666666667,85,82.7,13.7,2024-06-24T12:54:24.336Z
477940600,37.324598333333334,126.48835333333334,85,81.1,13.6,2024-06-24T12:54:03.928Z
477940600,37.32451666666667,126.48765333333333,84,79.4,13.6,2024-06-24T12:53:53.692Z
477940600,37.324265,126.486035,81,78.5,13.5,2024-06-24T12:53:33.155Z
477940600,37.32415,126.485285,80,78.7,13.5,2024-06-24T12:53:33.107Z
477940600,37.323908333333335,126.48374166666666,80,78.5,13.5,2024-06-24T12:53:12.628Z
477940600,37.32379,126.483045,80,78.9,13.4,2024-06-24T12:53:02.375Z
477940600,37.32367,126.48229,80,78.9,13.4,2024-06-24T12:52:52.156Z
477940600,37.322781666666664,126.47689833333334,79,74.2,13.2,2024-06-24T12:51:40.355Z
477940600,37.321625,126.47182166666667,75,71.8,12.8,2024-06-24T12:50:28.484Z
