Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
414690000,37.34175666666667,126.62476833333334,90,327.4,0,2024-06-25T08:13:36.962Z
414690000,37.34101,126.62316666666666,75,57.9,1.6,2024-06-25T07:32:56.246Z
414690000,37.34096,126.62308,74,55.7,1.5,2024-06-25T07:32:45.982Z
414690000,37.34085666666667,126.62295166666667,71,40.6,1.4,2024-06-25T07:32:35.442Z
414690000,37.340743333333336,126.62283833333333,67,36.9,1.7,2024-06-25T07:32:13.832Z
414690000,37.34000666666667,126.62186833333334,56,50.6,4.3,2024-06-25T07:31:01.864Z
414690000,37.33951666666667,126.621075,55,50.9,4.5,2024-06-25T07:30:20.605Z
414690000,37.33913,126.62042333333333,55,55.1,4.7,2024-06-25T07:29:49.373Z
414690000,37.338685,126.61968666666667,54,52,5.8,2024-06-25T07:29:17.806Z
414690000,37.338515,126.61940666666666,54,53.6,6.3,2024-06-25T07:29:07.579Z
414690000,37.33780333333333,126.6182,54,53.5,6,2024-06-25T07:28:25.933Z
414690000,37.33748833333333,126.61767166666667,54,54,5.7,2024-06-25T07:28:15.692Z
414690000,37.33609833333333,126.61475333333334,61,59.3,7.4,2024-06-25T07:26:31.720Z
414690000,37.33574333333333,126.614015,60,59.3,8.2,2024-06-25T07:26:10.939Z
414690000,37.33532833333334,126.61311833333333,60,59.2,8.5,2024-06-25T07:25:49.111Z
414690000,37.334916666666665,126.612265,60,58.9,8.5,2024-06-25T07:25:28.572Z
414690000,37.33452666666667,126.61145166666667,60,57.4,8.6,2024-06-25T07:25:08.039Z
414690000,37.33410166666667,126.61054833333333,60,59.8,8.6,2024-06-25T07:24:47.534Z
414690000,37.33370166666667,126.60968833333334,60,60.4,8.6,2024-06-25T07:24:26.992Z
414690000,37.33291833333333,126.60793,60,61.2,8.8,2024-06-25T07:23:45.886Z
414690000,37.33238,126.606575,63,66.1,8.9,2024-06-25T07:23:23.896Z
414690000,37.33220333333333,126.6061,64,64.9,9,2024-06-25T07:23:13.522Z
414690000,37.332026666666664,126.60562666666667,64,65.2,9,2024-06-25T07:23:03.298Z
414690000,37.33184833333333,126.60514666666667,64,65.2,9.1,2024-06-25T07:22:53.122Z
414690000,37.33149,126.60417666666666,64,65.2,9.2,2024-06-25T07:22:32.574Z
414690000,37.33095333333333,126.60268666666667,65,66.8,9.4,2024-06-25T07:22:01.514Z
414690000,37.33047833333333,126.60112166666667,69,71.7,9.8,2024-06-25T07:21:30.866Z
414690000,37.33033,126.60058333333333,69,70.7,9.9,2024-06-25T07:21:20.622Z
414690000,37.329895,126.59893833333334,71,74.5,10.1,2024-06-25T07:20:49.812Z
414690000,37.329316666666664,126.59538166666667,80,80.6,10.6,2024-06-25T07:19:48.233Z
414690000,37.329186666666665,126.59412833333333,82,85,10.9,2024-06-25T07:19:27.823Z
414690000,37.329103333333336,126.59278666666667,84,87.2,11.1,2024-06-25T07:19:06.571Z
414690000,37.32901833333333,126.59024833333334,87,87.2,11.2,2024-06-25T07:18:35.512Z
414690000,37.328923333333336,126.58758,87,87.3,11.2,2024-06-25T07:17:53.351Z
414690000,37.328876666666666,126.58634333333333,86,86.5,11.3,2024-06-25T07:17:32.857Z
414690000,37.32877666666667,126.583645,87,87.8,11.3,2024-06-25T07:16:51.377Z
414690000,37.328736666666664,126.582385,87,87.1,11.4,2024-06-25T07:16:31.020Z
414690000,37.328685,126.58098,86,87.2,11.6,2024-06-25T07:16:10.547Z
414690000,37.328653333333335,126.57962333333333,87,88.3,11.7,2024-06-25T07:15:49.513Z
414690000,37.328615,126.57831166666666,86,86.5,11.9,2024-06-25T07:15:28.867Z
414690000,37.328581666666665,126.57685166666667,87,88.6,12,2024-06-25T07:15:08.407Z
414690000,37.328543333333336,126.57544,87,87.7,12,2024-06-25T07:14:47.431Z
