Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538009208,37.34164666666667,126.62881166666666,269,341.5,0,2024-06-25T03:19:36.919Z
538009208,37.34168666666667,126.628715,269,341.5,0,2024-06-25T03:10:41.461Z
538009208,37.34167333333333,126.62875333333334,269,341.5,0,2024-06-25T03:04:41.205Z
538009208,37.34162833333333,126.62875166666667,269,341.5,0,2024-06-25T02:58:51.024Z
538009208,37.341655,126.62875666666666,269,341.5,0,2024-06-25T02:58:30.536Z
538009208,37.34181,126.62876833333333,269,341.5,0,2024-06-25T02:57:49.016Z
538009208,37.341725,126.62886166666667,269,341.5,0,2024-06-25T02:56:26.744Z
538009208,37.34164,126.62877666666667,270,341.5,0.1,2024-06-25T02:41:21.503Z
538009208,37.341638333333336,126.62877666666667,270,341.5,0,2024-06-25T02:41:11.215Z
538009208,37.341655,126.62878,270,341.5,0,2024-06-25T02:39:38.751Z
538009208,37.34164333333333,126.62875666666666,270,341.5,0,2024-06-25T02:38:37.133Z
538009208,37.34164333333333,126.62875166666667,270,341.5,0,2024-06-25T02:37:56.056Z
538009208,37.34166166666667,126.628755,270,341.5,0,2024-06-25T02:37:24.741Z
538009208,37.34166333333334,126.62877166666667,270,341.5,0,2024-06-25T02:36:23.131Z
538009208,37.341635,126.62877333333333,270,341.5,0,2024-06-25T02:34:50.829Z
538009208,37.341685,126.62877833333333,270,341.5,0,2024-06-25T02:32:47.528Z
538009208,37.34166666666667,126.62877833333333,270,341.5,0,2024-06-25T02:31:45.913Z
538009208,37.34164166666667,126.62876833333333,270,341.5,0,2024-06-25T02:29:31.768Z
538009208,37.341611666666665,126.62876166666666,269,341.5,0,2024-06-25T02:27:07.984Z
538009208,37.341665,126.62881833333333,268,341.5,0,2024-06-25T02:13:35.213Z
538009208,37.340375,126.630225,279,6.5,1.8,2024-06-25T02:03:47.248Z
538009208,37.34032666666667,126.63021833333333,281,7.9,1.8,2024-06-25T02:03:47.228Z
538009208,37.340113333333335,126.63016833333333,286,13.9,1.6,2024-06-25T02:03:16.203Z
538009208,37.33900166666667,126.62890833333333,339,65.5,2.9,2024-06-25T02:00:52.100Z
538009208,37.33897,126.62881666666667,342,67.8,3,2024-06-25T02:00:52.078Z
