Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440041790,37.33997166666666,126.66468,302,63.5,12.3,2024-06-25T02:28:09.571Z
440041790,37.339146666666664,126.66209,298,70.4,12.2,2024-06-25T02:27:38.801Z
440041790,37.33761333333333,126.657495,300,67.2,11.8,2024-06-25T02:26:26.959Z
440041790,37.337335,126.65491333333334,292,96.4,11.7,2024-06-25T02:25:45.844Z
440041790,37.33900166666667,126.626375,302,86.2,5.2,2024-06-25T01:58:59.567Z
440041790,37.338955,126.62581833333333,295,85.2,4.3,2024-06-25T01:58:38.904Z
440041790,37.33851666666666,126.623005,298,71.2,6.6,2024-06-25T01:57:16.386Z
440041790,37.33806333333333,126.62151833333333,300,66.3,7.4,2024-06-25T01:56:35.352Z
440041790,37.33537,126.61469666666666,305,65,8.8,2024-06-25T01:53:50.641Z
440041790,37.33521833333333,126.61428833333333,306,65,8.8,2024-06-25T01:53:40.393Z
440041790,37.33490666666667,126.61345666666666,305,63.8,8.9,2024-06-25T01:53:30.088Z
440041790,37.334851666666665,126.61331666666666,305,63.5,9,2024-06-25T01:53:19.931Z
440041790,37.33429,126.61189833333333,304,64.7,9.1,2024-06-25T01:52:49.080Z
440041790,37.33422,126.611705,301,69.8,9.4,2024-06-25T01:52:49.064Z
440041790,37.334003333333335,126.61026666666666,289,91,10.6,2024-06-25T01:52:28.676Z
440041790,37.33401166666667,126.61002,283,102,10.8,2024-06-25T01:52:18.517Z
440041790,37.33483,126.60906166666666,305,185.2,9.9,2024-06-25T01:51:56.167Z
440041790,37.335605,126.60948166666667,319,218.9,9.5,2024-06-25T01:51:35.626Z
440041790,37.33638666666667,126.61079666666667,328,251.1,8.6,2024-06-25T01:51:04.763Z
440041790,37.335495,126.62311,337,265.9,9.9,2024-06-25T01:47:06.484Z
440041790,37.33560166666667,126.628515,344,125.9,1.2,2024-06-25T01:44:51.395Z
440041790,37.335696666666664,126.62841666666667,358,158.1,1,2024-06-25T01:44:30.808Z
440041790,37.33588833333334,126.62819833333333,329,129.8,0.6,2024-06-25T01:42:58.497Z
440041790,37.33626833333334,126.62763666666666,327,129.1,0.6,2024-06-25T01:39:42.891Z
440041790,37.33636666666666,126.62751833333333,329,126.2,0.5,2024-06-25T01:38:51.571Z
440041790,37.33638666666667,126.62749333333333,329,125.6,0.4,2024-06-25T01:38:41.322Z
440041790,37.33649666666667,126.62733833333333,329,126.4,0.5,2024-06-25T01:37:39.850Z
440041790,37.33665666666667,126.627075,331,127.7,0.6,2024-06-25T01:36:17.657Z
440041790,37.33678833333333,126.62685333333333,336,128.4,0.5,2024-06-25T01:35:05.902Z
440041790,37.33691833333334,126.62664,337,130.5,0.6,2024-06-25T01:33:53.089Z
440041790,37.337043333333334,126.62645333333333,336,124.3,0.8,2024-06-25T01:32:51.355Z
440041790,37.33708166666667,126.62638833333334,338,131.2,0.7,2024-06-25T01:32:30.831Z
440041790,37.33727,126.62608833333333,333,126.2,0.6,2024-06-25T01:30:48.148Z
440041790,37.33743,126.625835,325,125.5,0.6,2024-06-25T01:29:26.204Z
440041790,37.337485,126.62574333333333,321,123.8,0.7,2024-06-25T01:28:55.555Z
440041790,37.337536666666665,126.62565,322,125.2,0.6,2024-06-25T01:28:23.154Z
440041790,37.337936666666664,126.624955,337,125.2,0.6,2024-06-25T01:24:57.817Z
440041790,37.338105,126.624635,341,117.4,0.7,2024-06-25T01:23:24.355Z
440041790,37.33834,126.62408833333333,337,117.2,0.8,2024-06-25T01:21:11.302Z
440041790,37.338388333333334,126.62400666666667,338,117.1,0.7,2024-06-25T01:20:50.756Z
