Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440041790,37.34962,126.66661666666667,349,114.6,0,2024-06-26T08:04:26.169Z
440041790,37.349621666666664,126.66661,349,114.6,0,2024-06-26T08:00:30.247Z
440041790,37.349621666666664,126.666615,349,114.6,0,2024-06-26T07:59:25.768Z
440041790,37.349628333333335,126.666625,349,114.6,0,2024-06-26T07:59:15.149Z
440041790,37.34963,126.66662833333334,349,114.6,0,2024-06-26T07:59:04.430Z
440041790,37.34961333333333,126.666605,349,114.6,0,2024-06-26T07:57:03.089Z
440041790,37.34962,126.6666,349,114.6,0,2024-06-26T07:51:21.308Z
440041790,37.349628333333335,126.666605,349,114.6,0,2024-06-26T07:50:58.200Z
440041790,37.349625,126.666605,349,114.6,0,2024-06-26T07:50:47.595Z
440041790,37.34961333333333,126.666615,349,114.6,0,2024-06-26T07:50:16.044Z
440041790,37.349608333333336,126.66661666666667,349,114.6,0,2024-06-26T07:50:05.515Z
440041790,37.349608333333336,126.66662166666667,349,114.6,0,2024-06-26T07:49:55.106Z
440041790,37.34961666666667,126.66661333333333,349,114.6,0,2024-06-26T07:47:11.638Z
440041790,37.34961333333333,126.66661666666667,349,114.6,0,2024-06-26T07:31:58.963Z
440041790,37.34961333333333,126.66663166666666,349,114.6,0,2024-06-26T07:26:58.666Z
440041790,37.34959333333333,126.66662833333334,349,114.6,0,2024-06-26T07:25:56.144Z
440041790,37.34961166666667,126.66662666666667,349,114.6,0,2024-06-26T07:19:23.963Z
440041790,37.349608333333336,126.66662666666667,349,114.6,0,2024-06-26T07:18:09.873Z
440041790,37.34950333333333,126.66671833333334,353,324.6,4,2024-06-26T07:08:30.879Z
440041790,37.34066333333333,126.66580166666667,316,50,11.9,2024-06-26T07:05:22.244Z
440041790,37.340115,126.664835,307,59.4,12,2024-06-26T07:05:00.767Z
440041790,37.33979,126.66411,306,62.2,11.8,2024-06-26T07:04:50.479Z
440041790,37.339105,126.661335,296,77.1,11.9,2024-06-26T07:04:07.513Z
440041790,37.33850833333333,126.65864666666667,299,70.2,12,2024-06-26T07:03:35.470Z
440041790,37.338453333333334,126.65845333333333,301,69.1,11.9,2024-06-26T07:03:24.357Z
440041790,37.33788,126.65607666666666,293,85.5,12,2024-06-26T07:02:53.282Z
440041790,37.337475,126.64988166666667,293,91.5,11.9,2024-06-26T07:01:19.666Z
440041790,37.34082166666666,126.63848666666667,304,157.7,8.8,2024-06-26T06:57:49.994Z
440041790,37.34106666666667,126.63835,302,154.6,5.1,2024-06-26T06:57:39.802Z
440041790,37.34085833333334,126.636925,7,61.8,1.5,2024-06-26T06:44:59.469Z
440041790,37.336015,126.624685,314,66.9,6.2,2024-06-26T06:35:00.413Z
440041790,37.335993333333334,126.62461833333333,312,67.1,6,2024-06-26T06:35:00.405Z
440041790,37.335723333333334,126.62379833333334,315,67,6.4,2024-06-26T06:34:39.883Z
440041790,37.33481,126.62069666666666,297,71.2,7.2,2024-06-26T06:33:15.059Z
440041790,37.34668666666666,126.66812333333333,310,181.3,9.7,2024-06-26T06:13:24.896Z
440041790,37.349628333333335,126.66663,348,357.9,0,2024-06-26T06:10:49.750Z
440041790,37.349615,126.66659666666666,349,357.9,0,2024-06-26T05:59:01.045Z
