Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
563104200,37.347475,126.4829,261,262.9,12.2,2024-06-19T13:05:30.258Z
563104200,37.347566666666665,126.483815,261,263.3,12.2,2024-06-19T13:05:19.957Z
563104200,37.34761666666667,126.48437833333334,261,263.2,12.2,2024-06-19T13:05:09.467Z
563104200,37.34768,126.48508,261,263.4,12.2,2024-06-19T13:04:58.960Z
563104200,37.347748333333335,126.48585166666666,261,263.7,12.2,2024-06-19T13:04:48.609Z
563104200,37.3478,126.48648333333334,261,263.9,12.2,2024-06-19T13:04:38.150Z
563104200,37.347865,126.487185,261,264.5,12.2,2024-06-19T13:04:27.866Z
563104200,37.347925,126.48796,261,265.8,12.2,2024-06-19T13:04:17.608Z
563104200,37.34795666666667,126.48859333333333,263,265.6,12.2,2024-06-19T13:04:06.800Z
563104200,37.347991666666665,126.48929333333334,263,265.2,12.2,2024-06-19T13:03:56.244Z
563104200,37.348075,126.49069166666666,263,264.9,12.2,2024-06-19T13:03:35.761Z
563104200,37.34811,126.49137666666667,263,264.7,12.2,2024-06-19T13:03:24.965Z
563104200,37.348205,126.49277333333333,263,264,12.1,2024-06-19T13:03:04.073Z
563104200,37.348265,126.493475,262,264.4,12.1,2024-06-19T13:02:53.511Z
563104200,37.34832333333333,126.49424833333333,262,264.9,12.1,2024-06-19T13:02:42.936Z
563104200,37.34836333333333,126.49481,262,265.2,12.1,2024-06-19T13:02:32.244Z
563104200,37.34841,126.49551333333334,263,264.9,12.1,2024-06-19T13:02:21.937Z
563104200,37.34847,126.49635833333333,262,264.9,12.1,2024-06-19T13:02:11.661Z
563104200,37.34851166666667,126.49692,262,265,12.1,2024-06-19T13:02:11.600Z
563104200,37.348565,126.497695,263,265,12,2024-06-19T13:02:00.735Z
563104200,37.348618333333334,126.49840166666667,263,264.9,12,2024-06-19T13:01:50.433Z
563104200,37.34867166666667,126.49910666666666,263,265,12,2024-06-19T13:01:40.207Z
563104200,37.348725,126.49981166666667,263,265.1,12,2024-06-19T13:01:29.946Z
563104200,37.34878166666667,126.50058666666666,263,265.3,12,2024-06-19T13:01:19.703Z
563104200,37.34882833333333,126.50122166666667,263,265.9,12,2024-06-19T13:01:09.497Z
563104200,37.34887333333333,126.50192666666666,263,266.1,12,2024-06-19T13:00:57.867Z
563104200,37.34892,126.50262666666667,263,267.1,12,2024-06-19T13:00:47.126Z
563104200,37.34895,126.503325,263,268,12,2024-06-19T13:00:36.006Z
563104200,37.348971666666664,126.50395833333333,264,268.6,12,2024-06-19T13:00:25.607Z
563104200,37.348996666666665,126.50488333333334,265,268.3,12,2024-06-19T13:00:14.992Z
563104200,37.34900666666667,126.50543666666667,266,268.4,12,2024-06-19T13:00:03.976Z
563104200,37.34903,126.506825,266,268.2,11.9,2024-06-19T12:59:42.046Z
563104200,37.349045,126.50751666666666,266,268.4,11.9,2024-06-19T12:59:31.528Z
563104200,37.34905333333333,126.508205,267,267.9,11.9,2024-06-19T12:59:21.049Z
563104200,37.349066666666666,126.50896333333333,267,267,11.8,2024-06-19T12:59:10.673Z
563104200,37.34908166666666,126.50951333333333,266,266.2,11.8,2024-06-19T12:59:10.649Z
563104200,37.349111666666666,126.51026666666667,266,265.7,11.8,2024-06-19T12:59:00.362Z
563104200,37.34914833333333,126.51094833333333,266,265,11.7,2024-06-19T12:58:50.162Z
563104200,37.349195,126.51169333333333,265,264.2,11.7,2024-06-19T12:58:39.959Z
563104200,37.349225,126.51230333333334,265,261.6,11.7,2024-06-19T12:58:29.722Z
563104200,37.34929666666667,126.51304833333333,264,258.1,11.8,2024-06-19T12:58:19.183Z
563104200,37.34938833333333,126.51365666666666,262,256.6,11.7,2024-06-19T12:58:08.824Z
563104200,37.349511666666665,126.51432666666666,260,255.9,11.7,2024-06-19T12:57:58.532Z
563104200,37.349635,126.51499,258,254.8,11.7,2024-06-19T12:57:48.048Z
563104200,37.349718333333335,126.51545166666666,258,252.9,11.7,2024-06-19T12:57:37.779Z
563104200,37.349756666666664,126.51564833333333,258,251.8,11.7,2024-06-19T12:57:37.773Z
563104200,37.349795,126.51584833333334,258,250.4,11.8,2024-06-19T12:57:27.210Z
563104200,37.34985,126.51611,257,248.2,11.8,2024-06-19T12:57:27.200Z
563104200,37.34988166666667,126.51624166666667,257,247,11.9,2024-06-19T12:57:27.192Z
563104200,37.34997166666667,126.51656666666666,256,244.5,12,2024-06-19T12:57:16.999Z
563104200,37.35003,126.51676,256,243.1,12,2024-06-19T12:57:16.990Z
563104200,37.350115,126.51701666666666,254,240.9,12.1,2024-06-19T12:57:16.980Z
563104200,37.350161666666665,126.517145,254,239.9,12.1,2024-06-19T12:57:16.973Z
563104200,37.350235,126.51733333333334,252,238.5,12.1,2024-06-19T12:57:06.728Z
563104200,37.35031333333333,126.51752,251,237.3,12.2,2024-06-19T12:57:06.725Z
563104200,37.35042166666667,126.517765,249,235.8,12.2,2024-06-19T12:57:06.715Z
563104200,37.35062833333333,126.51818666666667,246,233.1,12.2,2024-06-19T12:56:56.426Z
563104200,37.35095333333334,126.51877,242,229.7,12.3,2024-06-19T12:56:46.085Z
563104200,37.351305,126.51932833333333,238,226.6,12.4,2024-06-19T12:56:35.759Z
563104200,37.351685,126.51986166666667,235,223.8,12.4,2024-06-19T12:56:25.081Z
563104200,37.352511666666665,126.52086333333334,228,218.6,12.5,2024-06-19T12:56:04.054Z
563104200,37.35295333333333,126.52133,226,216.4,12.5,2024-06-19T12:55:52.536Z
563104200,37.353883333333336,126.52220333333334,220,212.4,12.6,2024-06-19T12:55:31.971Z
563104200,37.35481333333333,126.52294333333333,215,209.3,12.6,2024-06-19T12:55:11.060Z
563104200,37.355415,126.52336333333334,213,208.6,12.5,2024-06-19T12:55:11.042Z
563104200,37.356381666666664,126.52402333333333,210,208.9,12.4,2024-06-19T12:54:49.852Z
563104200,37.35787166666667,126.52507666666666,210,209.2,12.4,2024-06-19T12:54:18.979Z
563104200,37.35842666666667,126.525465,210,209.4,12.4,2024-06-19T12:54:08.307Z
563104200,37.35992666666667,126.52653,210,209.7,12.3,2024-06-19T12:53:36.950Z
563104200,37.36137333333333,126.52755833333333,210,209.8,12.2,2024-06-19T12:53:05.909Z
563104200,37.36186333333333,126.52791166666667,210,209.9,12.2,2024-06-19T12:52:55.588Z
563104200,37.36235166666667,126.52826666666667,210,209.7,12.2,2024-06-19T12:52:55.561Z
563104200,37.36288833333333,126.52865333333334,210,209.9,12.1,2024-06-19T12:52:44.358Z
563104200,37.363765,126.52929,210,210.2,12.1,2024-06-19T12:52:17.913Z
563104200,37.3643,126.52968166666666,210,210.2,12.1,2024-06-19T12:52:07.495Z
563104200,37.364783333333335,126.53004166666666,210,209.9,12.1,2024-06-19T12:51:57.002Z
563104200,37.36532,126.53042833333333,210,210.1,12.1,2024-06-19T12:51:46.067Z
563104200,37.365805,126.530785,210,210.3,12.1,2024-06-19T12:51:35.496Z
563104200,37.36624,126.53110833333334,211,210.1,12.1,2024-06-19T12:51:24.982Z
563104200,37.36721,126.53181166666667,211,209.7,12.1,2024-06-19T12:51:04.118Z
563104200,37.367695,126.53216333333333,211,209.5,12.1,2024-06-19T12:50:53.887Z
563104200,37.36823,126.53254,210,209.5,12.1,2024-06-19T12:50:43.646Z
563104200,37.36910833333334,126.53316333333333,210,209.7,12.1,2024-06-19T12:50:22.838Z
563104200,37.369595,126.53351,210,209.8,12.1,2024-06-19T12:50:12.440Z
563104200,37.37066,126.53427833333333,210,210.4,12,2024-06-19T12:49:51.838Z
563104200,37.37114,126.534635,210,210.4,12.1,2024-06-19T12:49:41.469Z
563104200,37.372055,126.53531666666667,211,210,12,2024-06-19T12:49:30.977Z
563104200,37.37249,126.53563333333334,211,210.2,12,2024-06-19T12:49:20.180Z
563104200,37.37350333333333,126.53637666666667,210,209.7,12,2024-06-19T12:48:59.466Z
563104200,37.374035,126.53676166666666,210,209.7,12,2024-06-19T12:48:49.152Z
563104200,37.37447,126.53707666666666,210,209.8,12,2024-06-19T12:48:49.131Z
563104200,37.376445,126.53849666666666,210,209.5,11.9,2024-06-19T12:47:54.042Z
563104200,37.37692,126.53883666666667,210,209.6,11.9,2024-06-19T12:47:43.693Z
563104200,37.377343333333336,126.53913833333333,210,209.7,11.9,2024-06-19T12:47:32.871Z
563104200,37.377806666666665,126.539475,210,209.7,11.9,2024-06-19T12:47:22.490Z
563104200,37.378275,126.53981833333333,210,209.7,11.9,2024-06-19T12:47:12.290Z
563104200,37.37922666666667,126.54050833333334,210,209.9,11.9,2024-06-19T12:46:51.699Z
563104200,37.37974833333333,126.54089166666667,210,209.4,11.8,2024-06-19T12:46:40.993Z
563104200,37.380176666666664,126.541205,210,208.7,11.8,2024-06-19T12:46:30.747Z
563104200,37.38070666666667,126.54157833333333,210,207.9,11.8,2024-06-19T12:46:20.518Z
