Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
353201000,37.341746666666666,126.637505,270,190.3,0.1,2024-06-16T19:20:18.760Z
353201000,37.34176333333333,126.63754166666666,270,250.8,0.1,2024-06-16T19:08:17.026Z
353201000,37.341775,126.63744333333334,270,257.4,0.1,2024-06-16T19:02:14.961Z
353201000,37.34173,126.63759833333333,269,266.5,0,2024-06-16T18:53:16.127Z
353201000,37.34179666666667,126.637525,269,138.2,0,2024-06-16T18:50:19.847Z
353201000,37.341775,126.63762333333334,269,263.9,0,2024-06-16T18:47:23.644Z
353201000,37.34174333333333,126.63759,269,279.2,0,2024-06-16T18:44:16.462Z
353201000,37.34175,126.63757666666666,268,279.2,0,2024-06-16T18:41:16.195Z
353201000,37.34174,126.63757,269,2.3,0,2024-06-16T18:38:18.018Z
353201000,37.34182,126.63745,269,75.6,0,2024-06-16T18:35:19.911Z
353201000,37.34178166666667,126.63754,269,300.2,0,2024-06-16T18:26:16.241Z
353201000,37.34175833333333,126.63757333333334,269,305.9,0,2024-06-16T18:23:20.128Z
353201000,37.34176333333333,126.63749333333334,269,310.8,0,2024-06-16T18:20:14.816Z
353201000,37.341723333333334,126.63753666666666,270,344.9,0,2024-06-16T18:14:21.783Z
353201000,37.341845,126.63758333333334,269,319.4,0.1,2024-06-16T17:57:19.675Z
353201000,37.34184333333334,126.63758666666666,269,329.1,0.2,2024-06-16T17:57:09.402Z
353201000,37.34184166666667,126.63759166666667,270,284.9,0.1,2024-06-16T17:56:59.094Z
353201000,37.34184,126.637595,270,263.5,0.1,2024-06-16T17:56:38.609Z
353201000,37.34184166666667,126.63759833333333,269,324.3,0.3,2024-06-16T17:56:28.417Z
353201000,37.34183,126.63761166666667,269,315.1,0.2,2024-06-16T17:56:17.931Z
353201000,37.34182833333333,126.63762,269,307.9,0.2,2024-06-16T17:56:07.697Z
353201000,37.341825,126.63762666666666,268,309.6,0.2,2024-06-16T17:55:56.476Z
353201000,37.34182,126.63763666666667,268,314.2,0.3,2024-06-16T17:55:46.148Z
353201000,37.341811666666665,126.63764333333333,268,0.4,0.2,2024-06-16T17:55:35.938Z
353201000,37.34179666666667,126.63762833333334,268,16.7,0.3,2024-06-16T17:55:15.455Z
353201000,37.341788333333334,126.63762,268,10.8,0.3,2024-06-16T17:55:05.133Z
353201000,37.34176166666666,126.63761,268,4.3,0.4,2024-06-16T17:54:44.598Z
353201000,37.341746666666666,126.63760833333333,269,4.2,0.5,2024-06-16T17:54:34.273Z
353201000,37.34171,126.637605,269,3.4,0.5,2024-06-16T17:54:13.679Z
353201000,37.34168666666667,126.63760166666667,269,4,0.6,2024-06-16T17:54:03.305Z
