Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440041790,37.349318333333336,126.667415,335,98,1,2024-06-23T16:28:35.817Z
440041790,37.3381,126.65877666666667,305,64.5,11.3,2024-06-23T16:22:13.986Z
440041790,37.33785666666667,126.65812333333334,304,65.2,11.2,2024-06-23T16:22:03.723Z
440041790,37.33746333333333,126.65389,293,103.2,11.2,2024-06-23T16:20:51.793Z
440041790,37.34009833333333,126.63434,298,139.1,6.8,2024-06-23T16:14:41.346Z
440041790,37.33884333333334,126.62828166666667,300,69.1,3.9,2024-06-23T15:55:08.807Z
440041790,37.33879,126.62808666666666,296,73,2.9,2024-06-23T15:55:08.761Z
440041790,37.338091666666664,126.62630166666666,305,66.4,0.5,2024-06-23T15:47:03.964Z
440041790,37.33803,126.626135,306,65.2,0.5,2024-06-23T15:46:12.542Z
440041790,37.338005,126.62606666666667,307,63.3,0.6,2024-06-23T15:45:51.891Z
440041790,37.33784333333333,126.62565333333333,307,63.2,0.6,2024-06-23T15:43:58.748Z
440041790,37.337788333333336,126.62550833333333,308,64.8,0.6,2024-06-23T15:43:17.484Z
440041790,37.33771,126.62529333333333,307,64.3,0.8,2024-06-23T15:42:15.777Z
440041790,37.33765833333333,126.62514666666667,306,65.5,0.6,2024-06-23T15:41:34.540Z
440041790,37.33741,126.62447333333333,295,43.4,0.6,2024-06-23T15:38:19.019Z
440041790,37.337383333333335,126.62441166666666,295,240.5,0.7,2024-06-23T15:37:58.551Z
440041790,37.337266666666665,126.62416833333333,293,240.5,0.3,2024-06-23T15:36:15.750Z
440041790,37.33725333333334,126.624145,292,240.5,0.2,2024-06-23T15:36:05.427Z
440041790,37.33723333333333,126.62410666666666,292,240.5,0.3,2024-06-23T15:35:44.819Z
440041790,37.337225,126.62409,293,240.5,0.4,2024-06-23T15:35:34.583Z
440041790,37.337203333333335,126.62405666666666,292,240.5,0.3,2024-06-23T15:35:13.983Z
440041790,37.33719166666667,126.62402333333333,292,240.5,0.3,2024-06-23T15:34:53.463Z
440041790,37.337175,126.62399333333333,293,240.5,0.2,2024-06-23T15:34:32.860Z
440041790,37.337151666666664,126.62394166666667,294,240.5,0.3,2024-06-23T15:33:51.598Z
440041790,37.33714333333333,126.62392833333334,294,240.5,0.2,2024-06-23T15:33:41.294Z
440041790,37.337138333333336,126.62392166666666,294,240.5,0.1,2024-06-23T15:33:30.963Z
