Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477185800,37.34216333333333,126.45062,264,261.4,14.8,2024-06-08T08:20:04.744Z
477185800,37.34222,126.45104,264,261.2,14.8,2024-06-08T08:19:54.546Z
477185800,37.34229166666667,126.45164,264,261.1,14.8,2024-06-08T08:19:44.241Z
477185800,37.34236,126.45215,264,261,14.8,2024-06-08T08:19:44.213Z
477185800,37.342416666666665,126.45257333333333,264,261,14.8,2024-06-08T08:19:33.947Z
477185800,37.34251,126.45326,264,260.7,14.8,2024-06-08T08:19:33.918Z
477185800,37.34256666666667,126.45368,264,260.5,14.8,2024-06-08T08:19:23.669Z
477185800,37.34269333333334,126.45462666666667,263,260.4,14.8,2024-06-08T08:19:13.454Z
477185800,37.34271666666667,126.454795,263,260.4,14.8,2024-06-08T08:19:13.451Z
477185800,37.34284,126.45565333333333,263,260.5,14.8,2024-06-08T08:19:03.116Z
477185800,37.34298833333333,126.45675333333334,263,260.7,14.8,2024-06-08T08:18:52.837Z
477185800,37.343046666666666,126.4572,263,260.9,14.8,2024-06-08T08:18:42.612Z
477185800,37.34319333333333,126.45838333333333,263,261.1,14.8,2024-06-08T08:18:32.308Z
477185800,37.34343333333333,126.460345,263,261.5,14.8,2024-06-08T08:18:11.816Z
477185800,37.343543333333336,126.46128,264,261.5,14.8,2024-06-08T08:17:51.350Z
477185800,37.34356,126.46145,264,261.5,14.8,2024-06-08T08:17:51.345Z
477185800,37.34368,126.46247,264,261.3,14.8,2024-06-08T08:17:41.057Z
477185800,37.343853333333335,126.46384,263,261.2,14.8,2024-06-08T08:17:20.558Z
477185800,37.343936666666664,126.46451666666667,263,261.2,14.8,2024-06-08T08:17:20.535Z
477185800,37.343986666666666,126.46486666666667,263,261.2,14.8,2024-06-08T08:17:10.273Z
477185800,37.34404333333333,126.46538666666666,263,261.3,14.8,2024-06-08T08:17:10.242Z
477185800,37.34405666666667,126.46546166666667,264,261.3,14.8,2024-06-08T08:17:10.241Z
477185800,37.34418,126.4664,264,261.4,14.8,2024-06-08T08:16:59.831Z
477185800,37.344388333333335,126.468115,264,261.3,14.7,2024-06-08T08:16:39.263Z
477185800,37.344451666666664,126.468625,264,261,14.7,2024-06-08T08:16:29.032Z
477185800,37.344503333333336,126.46905166666667,264,260.9,14.7,2024-06-08T08:16:29.013Z
477185800,37.34455666666667,126.46946666666666,264,260.8,14.7,2024-06-08T08:16:18.817Z
477185800,37.34458,126.46964333333334,264,260.8,14.7,2024-06-08T08:16:18.800Z
477185800,37.34465,126.47015333333333,264,260.9,14.7,2024-06-08T08:16:08.581Z
