Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538008832,37.34580666666667,126.47999333333334,267,267,13.2,2024-06-16T13:27:32.924Z
538008832,37.34587166666667,126.48161166666667,267,267.3,13.2,2024-06-16T13:27:12.365Z
538008832,37.346,126.48459666666666,267,267,13.2,2024-06-16T13:26:31.226Z
538008832,37.34607166666667,126.48620166666667,267,267.3,13.2,2024-06-16T13:26:10.698Z
538008832,37.346165,126.48849166666666,267,266.4,13.2,2024-06-16T13:25:39.840Z
538008832,37.346396666666664,126.49306666666666,267,266.6,13.1,2024-06-16T13:24:37.852Z
538008832,37.346426666666666,126.49374833333333,267,266.7,13.1,2024-06-16T13:24:37.824Z
538008832,37.34657833333333,126.49677166666666,266,266.5,13,2024-06-16T13:23:56.610Z
538008832,37.34668166666667,126.49903333333333,267,267.1,13,2024-06-16T13:23:25.871Z
538008832,37.34697,126.50359166666667,266,262.8,12.8,2024-06-16T13:22:24.233Z
538008832,37.34715833333333,126.50527666666666,265,260.3,12.7,2024-06-16T13:22:03.646Z
538008832,37.347185,126.50549666666667,264,259.4,12.7,2024-06-16T13:21:53.352Z
538008832,37.347253333333335,126.50600666666666,264,257.3,12.8,2024-06-16T13:21:53.319Z
538008832,37.34728666666667,126.50622333333334,264,255.9,12.8,2024-06-16T13:21:43.148Z
538008832,37.34738,126.506725,263,253.9,12.8,2024-06-16T13:21:43.112Z
538008832,37.347476666666665,126.50716,261,251.6,12.9,2024-06-16T13:21:32.964Z
538008832,37.34757166666667,126.50751666666666,260,250.2,12.9,2024-06-16T13:21:22.668Z
538008832,37.347631666666665,126.50773,258,249.5,12.9,2024-06-16T13:21:22.656Z
538008832,37.34769333333333,126.50794166666667,258,248.8,12.9,2024-06-16T13:21:22.647Z
538008832,37.34773666666667,126.50808333333333,257,248.5,12.9,2024-06-16T13:21:22.638Z
538008832,37.34782166666667,126.50836333333334,256,248.1,12.9,2024-06-16T13:21:12.419Z
538008832,37.34791,126.50864,255,247.5,12.9,2024-06-16T13:21:12.408Z
538008832,37.347975,126.50884833333333,254,246.8,12.9,2024-06-16T13:21:12.396Z
538008832,37.34802,126.50898666666667,253,246.4,12.9,2024-06-16T13:21:02.149Z
538008832,37.348218333333335,126.50954333333334,252,244.6,12.9,2024-06-16T13:21:02.115Z
538008832,37.34829333333333,126.50975,251,243.9,12.9,2024-06-16T13:20:51.862Z
538008832,37.348398333333336,126.51002333333334,250,242.9,12.9,2024-06-16T13:20:51.846Z
538008832,37.34855666666667,126.510425,249,241.2,13,2024-06-16T13:20:41.450Z
538008832,37.34867,126.51069166666667,248,240.4,13,2024-06-16T13:20:41.432Z
538008832,37.348755,126.51089,248,239.6,13,2024-06-16T13:20:41.421Z
538008832,37.34887333333333,126.51114833333334,247,238.7,13,2024-06-16T13:20:31.240Z
538008832,37.348935,126.51127666666666,246,238.2,13,2024-06-16T13:20:31.237Z
538008832,37.349156666666666,126.51172833333334,245,235.7,13.1,2024-06-16T13:20:20.938Z
538008832,37.349288333333334,126.51198166666667,244,234.4,13.1,2024-06-16T13:20:20.921Z
538008832,37.35020333333333,126.51343833333334,236,226,13.4,2024-06-16T13:20:00.382Z
538008832,37.35185666666667,126.51535333333334,224,219.4,13.5,2024-06-16T13:19:18.054Z
538008832,37.352243333333334,126.51575166666667,222,219.1,13.4,2024-06-16T13:19:18.018Z
538008832,37.35234,126.51585,222,219.2,13.4,2024-06-16T13:19:07.682Z
538008832,37.356555,126.52003166666667,217,213.1,13.4,2024-06-16T13:17:45.647Z
538008832,37.358785,126.52187166666667,213,213.5,13.3,2024-06-16T13:17:04.779Z
538008832,37.363925,126.52616833333333,213,213.7,13,2024-06-16T13:15:22.403Z
538008832,37.370891666666665,126.53201166666666,213,213.8,12.9,2024-06-16T13:12:58.586Z
538008832,37.37139166666667,126.53243,213,213.8,12.9,2024-06-16T13:12:48.185Z
538008832,37.371838333333336,126.532805,213,213.9,12.9,2024-06-16T13:12:38.030Z
538008832,37.37238333333333,126.53326333333334,213,214,12.9,2024-06-16T13:12:27.607Z
538008832,37.37343,126.53413833333333,213,213.8,12.9,2024-06-16T13:12:07.041Z
538008832,37.373875,126.534515,213,213.7,12.9,2024-06-16T13:12:07.006Z
538008832,37.37437,126.53493166666667,213,213.5,12.9,2024-06-16T13:11:56.781Z
538008832,37.374865,126.53533666666667,213,213.2,12.8,2024-06-16T13:11:46.514Z
538008832,37.37536166666667,126.53575,213,213.3,12.8,2024-06-16T13:11:36.207Z
538008832,37.37591666666667,126.536205,213,213.4,12.8,2024-06-16T13:11:25.949Z
538008832,37.37641833333333,126.53661833333334,213,213.1,12.8,2024-06-16T13:11:15.667Z
538008832,37.37688,126.53699166666667,213,212.8,12.8,2024-06-16T13:11:05.376Z
538008832,37.37737666666666,126.53739666666667,213,213.1,12.8,2024-06-16T13:10:55.066Z
538008832,37.377826666666664,126.53776,212,213.6,12.8,2024-06-16T13:10:44.856Z
538008832,37.378371666666666,126.53821333333333,213,213.9,12.8,2024-06-16T13:10:34.558Z
538008832,37.378915,126.53867333333334,213,214,12.8,2024-06-16T13:10:24.210Z
538008832,37.379405,126.53908833333334,213,213.5,12.8,2024-06-16T13:10:13.769Z
538008832,37.37985166666667,126.53945833333333,213,213.2,12.8,2024-06-16T13:10:03.335Z
538008832,37.38035333333333,126.539865,213,213.3,12.8,2024-06-16T13:09:53.126Z
538008832,37.38080166666666,126.54023,213,213.6,12.8,2024-06-16T13:09:42.954Z
538008832,37.38184666666667,126.54109166666667,213,213.9,12.7,2024-06-16T13:09:22.467Z
538008832,37.383318333333335,126.54233333333333,213,213.4,12.7,2024-06-16T13:08:51.721Z
538008832,37.383761666666665,126.5427,213,213.6,12.7,2024-06-16T13:08:41.422Z
538008832,37.384793333333334,126.54355833333334,213,214,12.7,2024-06-16T13:08:20.932Z
538008832,37.38528,126.54397166666666,213,214,12.7,2024-06-16T13:08:10.742Z
538008832,37.385715,126.54434333333333,213,213.5,12.7,2024-06-16T13:08:00.491Z
538008832,37.38625666666667,126.54478666666667,213,213.3,12.6,2024-06-16T13:07:50.273Z
538008832,37.388216666666665,126.546415,213,213.8,12.6,2024-06-16T13:07:09.237Z
538008832,37.38865,126.54678166666666,213,213.8,12.6,2024-06-16T13:06:59.005Z
538008832,37.389178333333334,126.54722666666666,213,213.7,12.6,2024-06-16T13:06:48.768Z
538008832,37.39016,126.54803666666666,213,213.6,12.5,2024-06-16T13:06:28.319Z
538008832,37.391131666666666,126.54884,213,213.6,12.5,2024-06-16T13:06:07.420Z
538008832,37.394041666666666,126.55126333333334,213,213.6,12.5,2024-06-16T13:05:15.662Z
538008832,37.395005,126.55206833333334,213,213.1,12.4,2024-06-16T13:04:54.632Z
538008832,37.39693833333333,126.55365666666667,213,213.1,12.4,2024-06-16T13:04:12.949Z
538008832,37.402658333333335,126.55839166666667,213,213.3,12.2,2024-06-16T13:02:09.261Z
538008832,37.404588333333336,126.56000166666666,213,213.2,12.1,2024-06-16T13:01:28.011Z
538008832,37.40501,126.56034833333334,213,213,12.1,2024-06-16T13:01:27.987Z
538008832,37.40741,126.5623,213,211.9,12,2024-06-16T13:00:36.310Z
538008832,37.40831,126.56300666666667,213,210.9,12,2024-06-16T13:00:15.622Z
538008832,37.40927,126.56372,212,210.2,11.9,2024-06-16T12:59:55.115Z
538008832,37.409796666666665,126.56409833333333,212,208.3,11.9,2024-06-16T12:59:44.851Z
538008832,37.411205,126.56504833333334,210,205.6,11.9,2024-06-16T12:59:13.870Z
538008832,37.411451666666665,126.56520166666667,210,204.4,11.9,2024-06-16T12:59:03.581Z
538008832,37.41160166666667,126.56529,209,204.1,11.9,2024-06-16T12:59:03.567Z
538008832,37.41175333333333,126.565375,209,204,11.9,2024-06-16T12:59:03.558Z
538008832,37.41225166666667,126.56565166666667,207,204.2,11.9,2024-06-16T12:58:52.995Z
538008832,37.412596666666666,126.565845,207,204,11.9,2024-06-16T12:58:42.754Z
538008832,37.412745,126.56592833333333,207,203.3,11.9,2024-06-16T12:58:42.740Z
538008832,37.413046666666666,126.56609833333333,207,201.7,11.9,2024-06-16T12:58:32.477Z
538008832,37.413403333333335,126.56629,206,197.8,12,2024-06-16T12:58:32.443Z
538008832,37.41394,126.56651,204,195,12.1,2024-06-16T12:58:22.128Z
538008832,37.414265,126.56662333333334,202,193,12.1,2024-06-16T12:58:11.643Z
538008832,37.41448166666667,126.56668833333333,201,191.6,12.1,2024-06-16T12:58:11.627Z
538008832,37.41486666666667,126.56678666666667,199,190.7,12.1,2024-06-16T12:58:01.294Z
538008832,37.41497666666667,126.56681333333333,197,190.7,12,2024-06-16T12:58:01.286Z
538008832,37.415198333333336,126.56686333333333,196,190.9,12,2024-06-16T12:57:50.930Z
538008832,37.415366666666664,126.5669,195,191.1,12,2024-06-16T12:57:50.913Z
538008832,37.415533333333336,126.56693666666666,194,191.4,12,2024-06-16T12:57:50.899Z
538008832,37.415971666666664,126.56704333333333,193,192.5,11.9,2024-06-16T12:57:40.377Z
538008832,37.417523333333335,126.56748833333333,193,193.6,11.8,2024-06-16T12:57:09.373Z
538008832,37.41811,126.56767,193,193.1,11.8,2024-06-16T12:56:59.063Z
538008832,37.418595,126.56781333333333,193,193,11.8,2024-06-16T12:56:48.840Z
538008832,37.41913666666667,126.56796833333334,193,193.1,11.8,2024-06-16T12:56:38.150Z
538008832,37.41972333333333,126.56814,193,193.3,11.8,2024-06-16T12:56:27.815Z
538008832,37.42025666666667,126.568295,193,193.2,11.8,2024-06-16T12:56:17.281Z
538008832,37.421326666666666,126.5686,193,192.7,11.8,2024-06-16T12:55:56.710Z
538008832,37.42232666666666,126.568885,193,193,11.7,2024-06-16T12:55:46.381Z
538008832,37.422918333333335,126.56905666666667,193,193,11.7,2024-06-16T12:55:36.081Z
538008832,37.423445,126.56921,193,193,11.7,2024-06-16T12:55:25.903Z
