Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
370220000,37.461596666666665,126.609465,72,82,0,2024-06-10T08:14:38.382Z
370220000,37.4617,126.60941833333334,71,82,0.1,2024-06-10T08:05:41.830Z
370220000,37.46169166666667,126.60936,71,145.9,0,2024-06-10T08:03:38.458Z
370220000,37.461675,126.60935666666667,71,145.9,0,2024-06-10T08:02:57.191Z
370220000,37.46167833333333,126.60936833333334,71,145.9,0,2024-06-10T08:02:46.955Z
370220000,37.461668333333336,126.60936166666667,71,145.9,0.1,2024-06-10T08:02:16.163Z
370220000,37.46167,126.60938166666666,71,145.9,0.1,2024-06-10T08:02:05.920Z
370220000,37.46167166666667,126.60937666666666,70,145.9,0.1,2024-06-10T08:01:55.579Z
370220000,37.46168333333333,126.60935833333333,69,145.6,0.2,2024-06-10T08:01:45.311Z
370220000,37.4617,126.60934,69,145.4,0.2,2024-06-10T08:01:24.558Z
370220000,37.46171833333333,126.609335,68,142.7,0.3,2024-06-10T08:01:14.262Z
370220000,37.46173,126.60930333333333,70,135.2,0.3,2024-06-10T08:00:53.756Z
370220000,37.46174833333333,126.60928166666666,70,125.3,0.2,2024-06-10T08:00:43.428Z
370220000,37.46176,126.60926333333333,70,118.8,0.3,2024-06-10T08:00:33.247Z
370220000,37.461795,126.60922166666667,70,111.2,0.6,2024-06-10T08:00:12.613Z
370220000,37.461798333333334,126.60915833333334,70,107.1,0.6,2024-06-10T07:59:51.969Z
370220000,37.46184,126.60905,68,116.1,0.8,2024-06-10T07:59:31.448Z
370220000,37.46186333333333,126.60899333333333,67,116.7,0.8,2024-06-10T07:59:21.145Z
370220000,37.461911666666666,126.608865,62,126.5,0.9,2024-06-10T07:58:50.004Z
370220000,37.461951666666664,126.608825,60,131.7,0.8,2024-06-10T07:58:39.633Z
370220000,37.461985,126.60878166666667,58,135.9,0.8,2024-06-10T07:58:29.390Z
370220000,37.46200833333333,126.60873333333333,55,139.3,0.8,2024-06-10T07:58:19.192Z
370220000,37.46205833333333,126.60866666666666,49,139.6,1.1,2024-06-10T07:57:58.654Z
370220000,37.46210333333333,126.60863166666667,48,138,1.4,2024-06-10T07:57:48.311Z
370220000,37.462151666666664,126.60857666666666,48,138,1.6,2024-06-10T07:57:38.118Z
370220000,37.462331666666664,126.60835333333333,54,138,1.7,2024-06-10T07:57:07.187Z
370220000,37.46253,126.60813666666667,61,136.8,1.6,2024-06-10T07:56:36.255Z
370220000,37.46264,126.608015,64,135.3,1.5,2024-06-10T07:56:15.412Z
370220000,37.462693333333334,126.60795666666667,64,137.2,1.4,2024-06-10T07:56:05.107Z
370220000,37.462741666666666,126.607895,64,141.4,1.4,2024-06-10T07:55:54.885Z
370220000,37.462788333333336,126.60782166666667,63,146,1.4,2024-06-10T07:55:44.588Z
370220000,37.462826666666665,126.60778333333333,63,150.2,1.4,2024-06-10T07:55:34.328Z
370220000,37.462873333333334,126.60773833333333,62,155.3,1.4,2024-06-10T07:55:23.996Z
370220000,37.462941666666666,126.607695,62,159,1.4,2024-06-10T07:55:13.690Z
370220000,37.46306666666667,126.607635,61,162,1.4,2024-06-10T07:54:52.961Z
370220000,37.46312833333333,126.60760833333333,61,163.6,1.4,2024-06-10T07:54:52.919Z
370220000,37.46317666666667,126.60758666666666,60,165.2,1.4,2024-06-10T07:54:42.600Z
370220000,37.46337833333333,126.60752833333333,57,171.1,1.3,2024-06-10T07:54:11.818Z
370220000,37.46344166666667,126.607515,56,172.6,1.3,2024-06-10T07:54:01.564Z
370220000,37.46351333333333,126.60749833333334,55,175.4,1.3,2024-06-10T07:53:51.135Z
370220000,37.46371666666667,126.607475,52,182.9,1.3,2024-06-10T07:53:20.024Z
370220000,37.463765,126.607465,51,184.2,1.4,2024-06-10T07:53:09.816Z
370220000,37.46385166666666,126.60747666666667,50,181.8,1.4,2024-06-10T07:52:59.540Z
370220000,37.46395166666667,126.60748166666667,52,165,1.3,2024-06-10T07:52:38.581Z
370220000,37.46397666666667,126.60747333333333,52,160.5,1.3,2024-06-10T07:52:38.560Z
370220000,37.46400166666667,126.607445,53,155.8,1.3,2024-06-10T07:52:28.316Z
370220000,37.46402333333333,126.60743333333333,54,153.6,1.4,2024-06-10T07:52:28.305Z
370220000,37.464036666666665,126.60743166666667,55,149.3,1.4,2024-06-10T07:52:28.287Z
370220000,37.464065,126.60741333333333,58,145.8,1.4,2024-06-10T07:52:17.975Z
370220000,37.464081666666665,126.60740333333334,59,142.9,1.5,2024-06-10T07:52:17.961Z
370220000,37.464108333333336,126.60739,61,140.5,1.6,2024-06-10T07:52:17.944Z
370220000,37.464125,126.60738333333333,62,139.5,1.6,2024-06-10T07:52:07.633Z
370220000,37.46418166666667,126.60731833333334,69,136.2,1.8,2024-06-10T07:51:57.337Z
370220000,37.46420666666667,126.607295,72,135.6,1.8,2024-06-10T07:51:57.324Z
370220000,37.46422833333333,126.60727,75,134.8,1.9,2024-06-10T07:51:57.312Z
370220000,37.46427666666666,126.60722166666666,80,132.7,2.1,2024-06-10T07:51:47.025Z
370220000,37.464301666666664,126.60718666666666,84,131.8,2.1,2024-06-10T07:51:47.009Z
370220000,37.464348333333334,126.607115,88,129.4,2.1,2024-06-10T07:51:36.826Z
370220000,37.464396666666666,126.60704666666666,94,125.9,2.2,2024-06-10T07:51:36.756Z
370220000,37.46447666666667,126.60689833333333,101,113.1,2.1,2024-06-10T07:51:14.778Z
370220000,37.46451166666667,126.606795,104,107.6,2.1,2024-06-10T07:51:04.405Z
370220000,37.46456166666667,126.60654666666667,105,105,2.3,2024-06-10T07:50:43.084Z
370220000,37.464591666666664,126.60641,105,104.4,2.4,2024-06-10T07:50:43.041Z
370220000,37.464695,126.60584166666666,104,102.2,2.5,2024-06-10T07:50:01.979Z
370220000,37.46472166666667,126.60569333333333,104,100.8,2.5,2024-06-10T07:49:51.689Z
370220000,37.46475,126.60554833333333,103,99.5,2.6,2024-06-10T07:49:41.399Z
370220000,37.46479166666666,126.60522333333333,101,99.6,2.6,2024-06-10T07:49:20.871Z
370220000,37.464841666666665,126.60493833333334,100,100.7,2.6,2024-06-10T07:49:00.401Z
370220000,37.464868333333335,126.60478333333333,100,100.7,2.5,2024-06-10T07:48:50.054Z
370220000,37.464893333333336,126.60463333333334,100,101.5,2.4,2024-06-10T07:48:39.771Z
370220000,37.46494,126.60434166666667,100,101.6,2.3,2024-06-10T07:48:19.157Z
370220000,37.46498666666667,126.604085,100,101.2,2.2,2024-06-10T07:47:58.617Z
370220000,37.465005,126.60395166666666,100,101.8,2.2,2024-06-10T07:47:48.319Z
370220000,37.465023333333335,126.60380833333333,100,102.3,2.1,2024-06-10T07:47:38.078Z
370220000,37.46510333333333,126.60333833333334,101,103.1,1.9,2024-06-10T07:46:57.070Z
370220000,37.46518666666667,126.603,101,107.3,1.7,2024-06-10T07:46:25.832Z
370220000,37.46521333333333,126.60289666666667,102,107.2,1.7,2024-06-10T07:46:15.570Z
370220000,37.46525833333333,126.60271,103,107.9,1.6,2024-06-10T07:45:54.962Z
370220000,37.46530333333333,126.60252666666666,104,105.7,1.4,2024-06-10T07:45:34.384Z
370220000,37.46532166666667,126.602445,104,105.9,1.4,2024-06-10T07:45:23.989Z
370220000,37.465338333333335,126.60236333333333,104,106,1.3,2024-06-10T07:45:13.598Z
370220000,37.46537,126.60221833333334,104,105.2,1.1,2024-06-10T07:44:53.186Z
370220000,37.465385,126.60214666666667,104,105.6,1,2024-06-10T07:44:53.114Z
370220000,37.4654,126.602075,104,106,1,2024-06-10T07:44:42.718Z
370220000,37.465408333333336,126.602015,104,105.8,0.9,2024-06-10T07:44:22.227Z
370220000,37.465415,126.60195833333333,104,106.5,0.8,2024-06-10T07:44:22.186Z
370220000,37.465426666666666,126.60186166666666,104,106.9,0.6,2024-06-10T07:44:01.445Z
370220000,37.46543333333333,126.60182166666667,104,108.6,0.5,2024-06-10T07:43:51.062Z
370220000,37.46544333333333,126.60178333333333,104,114.9,0.4,2024-06-10T07:43:40.857Z
370220000,37.46545,126.601735,104,145.6,0.2,2024-06-10T07:43:19.747Z
370220000,37.465465,126.60169833333333,104,96.3,0,2024-06-10T07:42:48.800Z
370220000,37.46546333333333,126.60169333333333,104,96.3,0,2024-06-10T07:42:38.563Z
370220000,37.46546166666667,126.60169,104,96.3,0,2024-06-10T07:42:17.792Z
370220000,37.46546166666667,126.60168833333333,104,96.3,0,2024-06-10T07:42:07.562Z
370220000,37.46545833333333,126.60168666666667,104,96.3,0,2024-06-10T07:41:57.145Z
370220000,37.46546,126.60168333333333,104,96.3,0,2024-06-10T07:41:46.886Z
370220000,37.46546333333333,126.60167666666666,104,96.3,0,2024-06-10T07:41:36.652Z
370220000,37.46546333333333,126.601685,104,96.3,0,2024-06-10T07:40:55.269Z
370220000,37.46547,126.60168833333333,104,96.3,0,2024-06-10T07:40:34.515Z
370220000,37.465475,126.60169,104,96.3,0,2024-06-10T07:40:24.208Z
370220000,37.46547666666667,126.60168833333333,104,96.3,0,2024-06-10T07:40:13.862Z
370220000,37.46547,126.60167666666666,104,96.3,0,2024-06-10T07:39:53.287Z
370220000,37.46546166666667,126.60167166666666,104,96.3,0,2024-06-10T07:39:42.924Z
370220000,37.46546,126.60167166666666,104,96.3,0,2024-06-10T07:39:32.534Z
370220000,37.46545666666667,126.60167166666666,104,96.3,0,2024-06-10T07:39:32.497Z
370220000,37.465446666666665,126.60167,104,96.3,0,2024-06-10T07:39:01.686Z
370220000,37.46543833333333,126.60166333333333,104,96.3,0,2024-06-10T07:38:51.310Z
370220000,37.465425,126.601665,104,96.3,0,2024-06-10T07:38:40.361Z
