Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
414792000,37.34168833333333,126.62483166666667,89,56.8,0,2024-06-28T09:58:00.987Z
414792000,37.3417,126.62476166666667,89,56.8,0,2024-06-28T09:45:46.578Z
414792000,37.341343333333334,126.62366666666667,87,65,1.5,2024-06-28T09:31:12.042Z
414792000,37.341253333333334,126.62343166666666,85,65.7,1.6,2024-06-28T09:30:36.534Z
414792000,37.34122166666667,126.623335,85,65.2,1.6,2024-06-28T09:30:36.489Z
414792000,37.34108666666667,126.62302166666667,83,56.3,1.5,2024-06-28T09:29:40.498Z
414792000,37.34105,126.62295666666667,82,60.3,1.5,2024-06-28T09:29:40.458Z
414792000,37.341006666666665,126.622875,82,61.7,1.5,2024-06-28T09:29:30.271Z
414792000,37.340898333333335,126.62264333333333,81,56.7,1.6,2024-06-28T09:28:54.914Z
414792000,37.34074833333333,126.62238333333333,74,47.8,1.8,2024-06-28T09:28:24.305Z
414792000,37.340635,126.62223333333333,69,43.4,2,2024-06-28T09:27:58.786Z
414792000,37.34041666666667,126.621975,59,44.1,2.8,2024-06-28T09:27:48.438Z
414792000,37.33932166666666,126.620415,51,48.9,6.3,2024-06-28T09:26:12.017Z
414792000,37.33891,126.61982333333333,50,48.5,6.7,2024-06-28T09:26:01.751Z
414792000,37.33785833333334,126.61833166666666,50,52.7,7.2,2024-06-28T09:25:16.146Z
414792000,37.33763,126.617965,52,54.6,7.3,2024-06-28T09:25:00.909Z
414792000,37.336636666666664,126.61624166666667,55,54.2,7.7,2024-06-28T09:24:09.864Z
414792000,37.33641333333333,126.61585,55,54.6,7.8,2024-06-28T09:23:54.692Z
414792000,37.33579666666667,126.61473666666667,54,55.5,8.1,2024-06-28T09:23:34.410Z
414792000,37.33560333333333,126.61438833333334,54,57.2,8.2,2024-06-28T09:23:19.370Z
414792000,37.33517166666667,126.61353166666666,55,59.3,8.4,2024-06-28T09:23:03.981Z
414792000,37.33499166666667,126.61314666666667,56,59.2,8.3,2024-06-28T09:22:48.793Z
414792000,37.334575,126.61226,57,64.4,8.2,2024-06-28T09:22:23.268Z
414792000,37.333785,126.61019,62,68.7,7.4,2024-06-28T09:21:37.683Z
414792000,37.33366,126.60978666666666,63,71.4,7.3,2024-06-28T09:21:22.462Z
414792000,37.333468333333336,126.60902833333333,67,74.6,7,2024-06-28T09:21:07.114Z
414792000,37.33337,126.60855333333333,70,72.3,6.7,2024-06-28T09:20:51.826Z
414792000,37.33329166666667,126.60825166666666,70,71.9,6.6,2024-06-28T09:20:41.651Z
414792000,37.33318,126.60781333333334,70,71.6,6.6,2024-06-28T09:20:31.340Z
414792000,37.33309,126.60748166666667,69,72.2,6.8,2024-06-28T09:20:31.308Z
414792000,37.33300333333333,126.60713666666666,69,72.6,6.9,2024-06-28T09:20:16.155Z
414792000,37.332901666666665,126.60675166666667,70,72.7,7,2024-06-28T09:20:16.115Z
414792000,37.33258333333333,126.60547333333334,70,73.6,7.3,2024-06-28T09:19:40.610Z
414792000,37.332415,126.60471833333334,71,77.3,7.7,2024-06-28T09:19:10.075Z
414792000,37.33224,126.60374666666667,75,76.5,7.9,2024-06-28T09:18:49.532Z
414792000,37.33206666666667,126.60283166666666,75,76.5,8.3,2024-06-28T09:18:49.460Z
414792000,37.331813333333336,126.6015,74,78.6,8.8,2024-06-28T09:18:12.950Z
414792000,37.331723333333336,126.60089833333333,76,78,9,2024-06-28T09:17:57.805Z
414792000,37.33137333333333,126.59828666666667,80,80.8,10,2024-06-28T09:17:06.756Z
414792000,37.330331666666666,126.58975333333333,80,80.7,11.1,2024-06-28T09:14:49.493Z
414792000,37.33024666666667,126.58911666666667,80,80.6,11.2,2024-06-28T09:14:34.232Z
414792000,37.329831666666664,126.58585333333333,80,80.6,11.8,2024-06-28T09:13:43.120Z
414792000,37.329745,126.58517833333333,80,80.8,11.9,2024-06-28T09:13:43.074Z
414792000,37.329368333333335,126.58243166666666,80,80.8,11.8,2024-06-28T09:12:52.503Z
414792000,37.329283333333336,126.58174666666666,80,80.3,11.8,2024-06-28T09:12:52.452Z
414792000,37.32910666666667,126.58044666666666,80,80.3,11.8,2024-06-28T09:12:21.997Z
414792000,37.32902333333333,126.57983166666666,80,80.4,11.8,2024-06-28T09:12:21.963Z
414792000,37.328916666666665,126.57908833333333,80,80.6,11.8,2024-06-28T09:12:06.559Z
414792000,37.32874833333333,126.57774333333333,79,81.3,11.8,2024-06-28T09:11:51.272Z
414792000,37.32865666666667,126.57699333333333,80,80.8,11.7,2024-06-28T09:11:35.962Z
414792000,37.32858,126.57638833333333,80,81.1,11.7,2024-06-28T09:11:25.744Z
414792000,37.32850166666667,126.57578,79,81.7,11.7,2024-06-28T09:11:15.542Z
414792000,37.32841,126.57503666666666,80,82.6,11.7,2024-06-28T09:11:15.493Z
414792000,37.32821666666667,126.57293166666666,82,87.5,11.8,2024-06-28T09:10:40.170Z
414792000,37.3282,126.57231166666666,83,87.5,11.8,2024-06-28T09:10:25.056Z
414792000,37.328155,126.571005,85,87,11.7,2024-06-28T09:10:09.679Z
414792000,37.328116666666666,126.57018333333333,85,87.2,11.7,2024-06-28T09:09:54.483Z
414792000,37.32809666666667,126.56957,85,86.7,11.7,2024-06-28T09:09:44.335Z
414792000,37.328035,126.56821166666667,85,87.4,11.7,2024-06-28T09:09:34.016Z
414792000,37.327981666666666,126.56691666666667,85,85.1,11.7,2024-06-28T09:09:18.807Z
414792000,37.3279,126.56548333333333,84,87.1,11.8,2024-06-28T09:08:43.409Z
414792000,37.32785,126.56411666666666,85,86.8,11.8,2024-06-28T09:08:28.094Z
414792000,37.32781833333333,126.56349666666667,85,86.7,11.8,2024-06-28T09:08:12.779Z
414792000,37.32773666666667,126.56199166666667,85,86.6,11.8,2024-06-28T09:07:47.272Z
414792000,37.327663333333334,126.56069,85,86.2,11.7,2024-06-28T09:07:36.980Z
414792000,37.32752333333333,126.55803,85,86.5,11.7,2024-06-28T09:07:01.682Z
414792000,37.32747,126.55660833333333,85,86.5,11.7,2024-06-28T09:06:46.492Z
414792000,37.327415,126.55532,85,85.6,11.7,2024-06-28T09:06:15.969Z
414792000,37.32736833333333,126.55457666666666,84,86.2,11.7,2024-06-28T09:06:05.780Z
414792000,37.327333333333335,126.55396333333333,85,86.2,11.6,2024-06-28T09:06:05.750Z
414792000,37.32679666666667,126.53363,90,91.3,11.7,2024-06-28T09:00:54.563Z
414792000,37.32682166666667,126.53219166666666,90,90.2,11.6,2024-06-28T09:00:39.281Z
414792000,37.32682833333333,126.53023,90,91.1,11.6,2024-06-28T09:00:12.894Z
414792000,37.32684,126.52954833333334,90,90.7,11.6,2024-06-28T08:59:57.652Z
414792000,37.326855,126.52818833333333,90,91.6,11.6,2024-06-28T08:59:32.158Z
414792000,37.32667,126.49913666666667,85,84.1,6.9,2024-06-28T08:50:43.299Z
414792000,37.32659833333334,126.49833,85,84,7,2024-06-28T08:50:28.016Z
414792000,37.326545,126.497835,85,84.3,7.2,2024-06-28T08:50:12.768Z
414792000,37.326321666666665,126.4953,85,83.6,7.2,2024-06-28T08:49:16.945Z
414792000,37.32615833333333,126.493325,85,83.3,7,2024-06-28T08:48:31.226Z
414792000,37.32608,126.49250666666667,85,83.4,6.9,2024-06-28T08:48:05.734Z
414792000,37.326033333333335,126.492065,85,83.3,6.9,2024-06-28T08:47:55.488Z
414792000,37.325923333333336,126.49092666666667,85,82.9,6.7,2024-06-28T08:47:40.299Z
414792000,37.325435,126.487865,79,78,6.2,2024-06-28T08:46:13.449Z
414792000,37.32521166666667,126.48647333333334,80,78.1,5.9,2024-06-28T08:45:22.756Z
414792000,37.325105,126.48582,80,78.6,5.7,2024-06-28T08:45:07.515Z
414792000,37.32438833333333,126.48223333333334,76,68.5,5.3,2024-06-28T08:43:10.617Z
414792000,37.323365,126.47917,69,67,6.1,2024-06-28T08:41:28.379Z
414792000,37.32121,126.472535,66,62.4,7.9,2024-06-28T08:38:33.937Z
414792000,37.32084166666667,126.47166166666666,64,61.4,7.9,2024-06-28T08:38:03.405Z
414792000,37.320685,126.471295,63,61,7.9,2024-06-28T08:37:53.205Z
414792000,37.31974666666667,126.46926833333333,60,58.1,7.9,2024-06-28T08:37:07.513Z
414792000,37.31957833333333,126.46892166666666,59,58.2,7.9,2024-06-28T08:36:52.263Z
414792000,37.31876333333334,126.46727666666666,59,58.5,7.9,2024-06-28T08:36:11.402Z
414792000,37.318421666666666,126.466565,59,59.3,7.9,2024-06-28T08:36:01.092Z
414792000,37.31821166666667,126.46612166666667,59,59.3,7.9,2024-06-28T08:35:45.753Z
414792000,37.31744666666667,126.4645,60,61.3,7.9,2024-06-28T08:35:10.363Z
414792000,37.317278333333334,126.46412833333333,60,63,8,2024-06-28T08:34:55.232Z
414792000,37.317096666666664,126.46367166666667,61,63.8,8,2024-06-28T08:34:44.954Z
414792000,37.316426666666665,126.46155666666667,70,70.4,8.1,2024-06-28T08:33:56.037Z
414792000,37.31375833333333,126.45251166666667,70,66.9,8.3,2024-06-28T08:30:32.739Z
414792000,37.31274833333333,126.44948833333333,69,68.3,8.2,2024-06-28T08:29:26.312Z
414792000,37.31229833333333,126.44809833333333,70,67.5,8.2,2024-06-28T08:29:06.040Z
414792000,37.311155,126.445075,65,56.2,8.4,2024-06-28T08:27:49.555Z
414792000,37.31091833333333,126.444625,62,55.3,8.4,2024-06-28T08:27:38.146Z
414792000,37.310563333333334,126.443985,59,53.8,8.4,2024-06-28T08:27:22.996Z
414792000,37.31034,126.44359,58,49,8.5,2024-06-28T08:27:12.766Z
414792000,37.310003333333334,126.44309666666666,55,42.7,8.7,2024-06-28T08:26:54.364Z
414792000,37.30777666666667,126.44081333333334,39,38.7,9,2024-06-28T08:26:02.281Z
414792000,37.307118333333335,126.44015166666667,39,39.2,9.1,2024-06-28T08:25:27.027Z
414792000,37.30676166666667,126.43979,40,39.5,9.1,2024-06-28T08:25:11.916Z
414792000,37.30177166666667,126.43487166666667,39,37.6,9.3,2024-06-28T08:22:45.942Z
414792000,37.29998,126.43315333333334,39,37,9.3,2024-06-28T08:21:54.896Z
414792000,37.299701666666664,126.43289,39,37,9.3,2024-06-28T08:21:54.862Z
414792000,37.29826333333333,126.43154166666666,39,36.8,9.4,2024-06-28T08:21:04.346Z
414792000,37.29788333333333,126.43118,39,36.4,9.4,2024-06-28T08:21:04.311Z
414792000,37.297601666666665,126.43092166666666,38,36,9.4,2024-06-28T08:20:49.044Z
414792000,37.29683,126.43022166666667,37,36.6,9.4,2024-06-28T08:20:23.455Z
414792000,37.295498333333335,126.42893166666667,38,39.2,9.5,2024-06-28T08:19:48.870Z
414792000,37.29474,126.42815166666666,39,39.1,9.4,2024-06-28T08:19:22.280Z
414792000,37.29304333333334,126.42658,34,31.4,9.5,2024-06-28T08:18:36.347Z
414792000,37.286586666666665,126.42200333333334,22,21.2,7.1,2024-06-28T08:15:16.953Z
414792000,37.28634,126.42188333333333,21,21.8,7.2,2024-06-28T08:15:16.925Z
414792000,37.286033333333336,126.42172833333333,21,23,7.3,2024-06-28T08:15:06.615Z
414792000,37.28568833333333,126.42154166666667,22,22.5,7.4,2024-06-28T08:14:51.611Z
414792000,37.28537,126.42137166666667,22,21.8,7.5,2024-06-28T08:14:51.530Z
