Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440041790,37.349605,126.66662833333334,349,8.8,0,2024-06-28T10:44:18.112Z
440041790,37.34961333333333,126.666625,349,8.8,0,2024-06-28T10:40:39.327Z
440041790,37.34961,126.66662833333334,349,8.8,0,2024-06-28T10:40:04.046Z
440041790,37.349608333333336,126.66662833333334,349,8.8,0,2024-06-28T10:39:48.758Z
440041790,37.34961,126.66664,349,8.8,0,2024-06-28T10:38:42.426Z
440041790,37.34961,126.66663333333334,349,8.8,0,2024-06-28T10:37:15.919Z
440041790,37.349608333333336,126.66664333333334,349,8.8,0,2024-06-28T10:36:12.564Z
440041790,37.349608333333336,126.66664666666667,349,8.8,0,2024-06-28T10:36:02.227Z
440041790,37.34961,126.66664833333333,349,8.8,0,2024-06-28T10:35:47.088Z
440041790,37.34961666666667,126.666645,349,8.8,0,2024-06-28T10:34:20.654Z
440041790,37.349605,126.66664833333333,348,8.8,0,2024-06-28T10:33:29.699Z
440041790,37.34961,126.66665333333333,349,8.8,0,2024-06-28T10:32:33.792Z
440041790,37.349605,126.66664666666667,349,8.8,0,2024-06-28T10:27:32.760Z
440041790,37.34961166666667,126.66664833333333,349,8.8,0,2024-06-28T10:26:25.710Z
440041790,37.34961666666667,126.66663166666666,349,8.8,0,2024-06-28T10:23:17.508Z
440041790,37.349605,126.66664833333333,349,8.8,0,2024-06-28T10:17:15.400Z
440041790,37.349603333333334,126.66664333333334,349,8.8,0,2024-06-28T10:06:59.993Z
440041790,37.34961333333333,126.66663666666666,348,8.8,0,2024-06-28T10:05:01.529Z
440041790,37.349605,126.66663333333334,349,8.8,0,2024-06-28T10:03:50.493Z
440041790,37.349608333333336,126.66663333333334,349,8.8,0,2024-06-28T10:03:09.121Z
440041790,37.34961833333333,126.666645,349,8.8,0,2024-06-28T09:57:45.747Z
440041790,37.34961833333333,126.66663333333334,348,8.8,0,2024-06-28T09:55:33.639Z
440041790,37.349621666666664,126.66663333333334,349,8.8,0,2024-06-28T09:55:08.025Z
440041790,37.34296833333333,126.66767333333334,353,15.7,11.9,2024-06-28T09:50:23.887Z
440041790,37.338065,126.658635,300,68.8,12,2024-06-28T09:47:36.561Z
440041790,37.337425,126.65240333333334,292,90.2,12,2024-06-28T09:46:11.920Z
440041790,37.33743333333334,126.64693833333334,293,85,12.1,2024-06-28T09:44:55.955Z
440041790,37.33938833333333,126.63190166666666,290,99.7,12,2024-06-28T09:41:17.641Z
440041790,37.341566666666665,126.625745,17,53.6,0,2024-06-28T09:35:57.303Z
440041790,37.341525,126.62566166666667,12,74.8,0.5,2024-06-28T09:34:00.230Z
440041790,37.34148166666667,126.62544166666666,11,61.9,0.9,2024-06-28T09:33:09.115Z
440041790,37.341305,126.62494,11,74.1,1.2,2024-06-28T09:31:47.854Z
440041790,37.34124666666666,126.62471,12,75.8,1.3,2024-06-28T09:31:27.290Z
440041790,37.341185,126.62448,11,68.9,1.6,2024-06-28T09:30:51.835Z
440041790,37.341168333333336,126.62440666666667,12,66.9,1.5,2024-06-28T09:30:51.753Z
440041790,37.34085,126.62353166666666,12,71.5,1.4,2024-06-28T09:28:54.891Z
440041790,37.34082166666666,126.62340166666667,11,74.1,1.4,2024-06-28T09:28:39.652Z
440041790,37.34081,126.62335333333333,10,68.8,1.5,2024-06-28T09:28:39.630Z
440041790,37.34077666666666,126.62323333333333,10,74.8,1.8,2024-06-28T09:28:09.014Z
440041790,37.340763333333335,126.62317166666666,11,72.3,1.7,2024-06-28T09:28:08.990Z
440041790,37.340745,126.6231,12,71.5,1.8,2024-06-28T09:27:58.775Z
440041790,37.340736666666665,126.62307,11,68.4,1.8,2024-06-28T09:27:58.762Z
440041790,37.340665,126.62293,5,44.5,2.3,2024-06-28T09:27:48.467Z
440041790,37.340485,126.62253166666666,3,55.2,3.5,2024-06-28T09:27:13.202Z
440041790,37.340455,126.62248,4,54.5,3.9,2024-06-28T09:27:13.182Z
440041790,37.34034833333333,126.62229333333333,8,53.2,4.4,2024-06-28T09:27:13.141Z
440041790,37.340068333333335,126.62182333333334,10,52.4,5.5,2024-06-28T09:26:42.619Z
440041790,37.339955,126.62164166666666,12,52,5.8,2024-06-28T09:26:42.591Z
440041790,37.33691833333334,126.61694833333334,310,53.9,7.6,2024-06-28T09:24:09.866Z
440041790,37.333443333333335,126.60961666666667,302,61.8,7.2,2024-06-28T09:21:07.105Z
440041790,37.33231333333333,126.60911,358,343.2,5.6,2024-06-28T09:20:16.133Z
440041790,37.33139333333333,126.609575,355,317.6,0.4,2024-06-28T09:19:10.034Z
440041790,37.33129666666667,126.60972166666667,349,291,0.7,2024-06-28T09:18:12.966Z
440041790,37.33127666666667,126.60980333333333,346,281.5,0.9,2024-06-28T09:17:57.799Z
440041790,37.33127,126.60985666666667,344,273.9,1,2024-06-28T09:17:42.417Z
440041790,37.331271666666666,126.609935,341,264.2,1.3,2024-06-28T09:17:27.139Z
440041790,37.33127833333333,126.60999166666667,339,257,1.5,2024-06-28T09:17:27.108Z
440041790,37.331316666666666,126.61012333333333,333,240.4,2.2,2024-06-28T09:17:16.914Z
