Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440019220,37.46711333333333,126.59497333333333,299,279.7,9.4,2024-06-27T04:14:25.561Z
440019220,37.467055,126.59539833333334,298,279.1,9.6,2024-06-27T04:14:15.127Z
440019220,37.46695166666667,126.59592666666667,300,285.6,9.5,2024-06-27T04:14:04.891Z
440019220,37.466833333333334,126.59646166666667,300,285.8,9.3,2024-06-27T04:13:54.502Z
440019220,37.46679,126.59667833333333,300,285.1,9.2,2024-06-27T04:13:54.485Z
440019220,37.46671666666666,126.597045,300,286.3,8.9,2024-06-27T04:13:43.733Z
440019220,37.466683333333336,126.5972,299,283.8,8.8,2024-06-27T04:13:43.722Z
440019220,37.466593333333336,126.59769,299,282,8,2024-06-27T04:13:33.387Z
440019220,37.466566666666665,126.59782,299,282.6,7.8,2024-06-27T04:13:33.367Z
440019220,37.46650833333333,126.59810666666667,300,284.8,7,2024-06-27T04:13:33.332Z
440019220,37.466476666666665,126.59825833333333,301,289.9,6.6,2024-06-27T04:13:22.997Z
440019220,37.46646,126.598335,301,289.5,6.5,2024-06-27T04:13:22.973Z
440019220,37.46638,126.59857,303,298.3,5.8,2024-06-27T04:13:07.801Z
440019220,37.46628666666667,126.59875166666667,307,310.3,4.4,2024-06-27T04:13:07.772Z
440019220,37.46623666666667,126.598825,308,309.5,3.8,2024-06-27T04:12:57.493Z
440019220,37.466213333333336,126.59885833333334,308,314,3.3,2024-06-27T04:12:57.481Z
440019220,37.466166666666666,126.59893,317,241.8,0.9,2024-06-27T04:12:47.040Z
440019220,37.466195,126.599005,329,245.9,2.8,2024-06-27T04:12:46.869Z
440019220,37.466226666666664,126.59916166666666,325,268.3,4.6,2024-06-27T04:12:36.316Z
440019220,37.46623,126.59924666666667,321,269.9,4.9,2024-06-27T04:12:36.249Z
440019220,37.466213333333336,126.5994,316,276.7,5.1,2024-06-27T04:12:26.004Z
440019220,37.46609,126.59972,280,321.9,1.7,2024-06-27T04:12:05.479Z
440019220,37.466053333333335,126.59974666666666,274,305.7,0.3,2024-06-27T04:11:54.873Z
440019220,37.46604,126.59973,273,310.7,0,2024-06-27T04:11:44.139Z
440019220,37.466046666666664,126.59972666666667,272,298.1,0.1,2024-06-27T04:11:33.909Z
440019220,37.46604166666667,126.599725,271,289,0.1,2024-06-27T04:11:33.870Z
440019220,37.466031666666666,126.59974833333334,271,232.7,0,2024-06-27T04:10:52.116Z
440019220,37.466031666666666,126.599755,272,165.4,0.1,2024-06-27T04:10:41.839Z
440019220,37.46604166666667,126.59971,272,196.5,0.7,2024-06-27T04:10:21.080Z
440019220,37.466053333333335,126.59975833333333,272,98.1,0.4,2024-06-27T04:09:59.976Z
440019220,37.46609,126.59946333333333,271,104.7,2,2024-06-27T04:09:18.114Z
440019220,37.46612,126.59936333333333,271,105.1,1.8,2024-06-27T04:09:07.869Z
440019220,37.466135,126.59924666666667,270,105.2,1.8,2024-06-27T04:08:57.447Z
440019220,37.466181666666664,126.59906,271,104,1.8,2024-06-27T04:08:35.935Z
440019220,37.466211666666666,126.59895333333333,271,103.5,1.7,2024-06-27T04:08:23.707Z
440019220,37.466231666666665,126.59885,271,101.8,1.6,2024-06-27T04:08:13.379Z
440019220,37.46627,126.59868166666666,271,96.9,1.3,2024-06-27T04:08:02.466Z
440019220,37.46627,126.59860333333333,272,96,1.3,2024-06-27T04:07:51.999Z
440019220,37.46629333333333,126.59844666666666,272,93.7,1.2,2024-06-27T04:07:29.671Z
440019220,37.466295,126.59829333333333,272,99.6,1.5,2024-06-27T04:07:09.051Z
440019220,37.466323333333335,126.59812666666667,270,104.5,1.3,2024-06-27T04:06:48.532Z
440019220,37.46634666666667,126.59808,271,104.5,1.3,2024-06-27T04:06:38.241Z
440019220,37.46635333333333,126.59799833333334,272,103.8,1.2,2024-06-27T04:06:27.685Z
440019220,37.466375,126.59789666666667,272,105,1.5,2024-06-27T04:06:17.435Z
440019220,37.46639666666667,126.59773833333334,271,108.8,1.6,2024-06-27T04:05:56.985Z
440019220,37.466425,126.59764333333334,272,109.5,1.6,2024-06-27T04:05:46.720Z
440019220,37.46647166666666,126.59753166666667,272,110.1,1.5,2024-06-27T04:05:36.420Z
440019220,37.46646833333333,126.59752,272,110.2,1.5,2024-06-27T04:05:36.408Z
440019220,37.46649333333333,126.59742666666666,270,109.9,1.7,2024-06-27T04:05:26.131Z
440019220,37.46651166666667,126.59737666666666,270,109.6,1.7,2024-06-27T04:05:15.122Z
440019220,37.466566666666665,126.59709,281,91.1,2.1,2024-06-27T04:04:54.642Z
440019220,37.46659,126.59695833333333,270,78.1,0.3,2024-06-27T04:04:34.131Z
440019220,37.46658166666667,126.596955,271,71.9,0.2,2024-06-27T04:04:34.059Z
440019220,37.466568333333335,126.59683666666666,271,73.8,0.8,2024-06-27T04:04:02.809Z
440019220,37.466515,126.59660166666667,273,66.8,1.5,2024-06-27T04:03:21.200Z
440019220,37.466475,126.59653833333333,272,84,1.4,2024-06-27T04:02:59.322Z
440019220,37.46646666666667,126.59650166666667,272,96.2,1.7,2024-06-27T04:02:59.297Z
440019220,37.46644833333333,126.59646666666667,270,106.3,1,2024-06-27T04:02:59.281Z
440019220,37.466451666666664,126.59646,271,108.9,1,2024-06-27T04:02:48.946Z
440019220,37.46646833333333,126.5964,270,113.3,1.3,2024-06-27T04:02:38.325Z
440019220,37.46647333333333,126.59633833333334,271,116.8,1.2,2024-06-27T04:02:38.303Z
440019220,37.46651833333333,126.59624,271,114.7,2.1,2024-06-27T04:02:17.691Z
440019220,37.466528333333336,126.59621166666666,273,110.1,1.8,2024-06-27T04:02:17.679Z
440019220,37.46664166666667,126.59598666666666,272,160.6,1.4,2024-06-27T04:01:56.637Z
440019220,37.46671,126.59597,270,149.3,1.5,2024-06-27T04:01:46.252Z
440019220,37.46676,126.59593166666667,271,146.8,1.6,2024-06-27T04:01:35.910Z
440019220,37.466816666666666,126.59589666666666,271,141.8,1.6,2024-06-27T04:01:23.849Z
440019220,37.466883333333335,126.59585666666666,271,136.1,1.4,2024-06-27T04:01:13.624Z
440019220,37.467013333333334,126.59574333333333,272,127.7,1.4,2024-06-27T04:01:03.255Z
440019220,37.46705,126.59565833333333,273,125.4,1.6,2024-06-27T04:00:42.616Z
440019220,37.467125,126.59552166666667,274,123.4,1.5,2024-06-27T04:00:31.969Z
440019220,37.467166666666664,126.595435,274,122.3,2.2,2024-06-27T04:00:21.780Z
440019220,37.46725333333333,126.59527,272,121.8,2.7,2024-06-27T04:00:01.076Z
440019220,37.467283333333334,126.595235,271,122.9,2.7,2024-06-27T04:00:01.065Z
440019220,37.467333333333336,126.59508166666667,272,122.2,3,2024-06-27T03:59:50.553Z
440019220,37.46736833333333,126.595005,271,122.3,3.2,2024-06-27T03:59:50.535Z
440019220,37.46738333333333,126.59497,271,120.6,3.3,2024-06-27T03:59:50.523Z
440019220,37.467415,126.594895,272,117.9,3.8,2024-06-27T03:59:39.823Z
440019220,37.46744,126.59483833333333,273,117.8,3.9,2024-06-27T03:59:39.811Z
440019220,37.46746666666667,126.594775,276,113.3,4,2024-06-27T03:59:39.802Z
440019220,37.46751833333333,126.59460833333333,281,115.2,3.9,2024-06-27T03:59:27.367Z
440019220,37.46757,126.594395,289,114.5,3.2,2024-06-27T03:59:16.487Z
440019220,37.46765666666667,126.59420833333333,292,116.8,3.4,2024-06-27T03:59:06.174Z
440019220,37.467735,126.594025,296,115.3,3.5,2024-06-27T03:58:55.910Z
440019220,37.467803333333336,126.59384666666666,294,114.5,3.5,2024-06-27T03:58:44.553Z
440019220,37.46787833333333,126.59367333333333,293,110.9,3.6,2024-06-27T03:58:34.279Z
440019220,37.467976666666665,126.59328833333333,299,107.4,3.5,2024-06-27T03:58:13.275Z
440019220,37.46807666666667,126.59292833333333,299,104.7,3.2,2024-06-27T03:58:02.874Z
440019220,37.46811666666667,126.592725,299,103.2,3.3,2024-06-27T03:57:42.473Z
440019220,37.468178333333334,126.59236166666666,302,100.5,3.3,2024-06-27T03:57:32.265Z
440019220,37.4682,126.59214833333333,304,99,3.4,2024-06-27T03:57:21.996Z
440019220,37.46824,126.591545,307,94.1,3.5,2024-06-27T03:56:56.693Z
440019220,37.468288333333334,126.59086666666667,310,90.6,3.8,2024-06-27T03:56:15.751Z
440019220,37.46828166666667,126.590635,313,90.2,3.9,2024-06-27T03:56:04.951Z
440019220,37.468295,126.590305,318,89.9,4.1,2024-06-27T03:55:54.648Z
440019220,37.468305,126.59021666666666,316,89.2,4.2,2024-06-27T03:55:44.318Z
440019220,37.46832833333333,126.59001166666667,318,89.3,4.4,2024-06-27T03:55:34.074Z
440019220,37.468325,126.58972666666666,313,88.3,4.6,2024-06-27T03:55:23.783Z
440019220,37.468333333333334,126.589435,309,86.2,4.7,2024-06-27T03:55:13.536Z
440019220,37.46832333333333,126.58916833333333,311,84.9,4.8,2024-06-27T03:55:03.128Z
440019220,37.46830166666667,126.58899666666667,311,83.6,4.8,2024-06-27T03:55:03.104Z
440019220,37.468285,126.588875,313,84,4.8,2024-06-27T03:54:52.815Z
440019220,37.46829,126.58877666666666,312,83.9,4.8,2024-06-27T03:54:52.805Z
440019220,37.46828,126.58865833333333,313,83.2,4.8,2024-06-27T03:54:52.790Z
440019220,37.468271666666666,126.58850166666667,313,82.4,4.8,2024-06-27T03:54:42.473Z
440019220,37.468265,126.588395,315,82.6,4.8,2024-06-27T03:54:42.459Z
440019220,37.46825666666667,126.588255,314,81.2,4.8,2024-06-27T03:54:31.525Z
440019220,37.468245,126.58817,314,80.4,4.9,2024-06-27T03:54:31.510Z
440019220,37.46822,126.588045,315,80.4,4.8,2024-06-27T03:54:31.496Z
440019220,37.46820666666667,126.58795833333333,318,79.7,4.9,2024-06-27T03:54:31.485Z
440019220,37.46816833333333,126.58772666666667,319,78.1,4.9,2024-06-27T03:54:21.029Z
440019220,37.46805,126.58719,325,75,4.9,2024-06-27T03:53:58.436Z
440019220,37.46797,126.58688333333333,327,73.7,4.9,2024-06-27T03:53:47.722Z
440019220,37.467848333333336,126.58636333333334,326,70.4,4.9,2024-06-27T03:53:24.428Z
440019220,37.46774833333333,126.58606,329,68.5,4.9,2024-06-27T03:53:14.183Z
440019220,37.467571666666664,126.585565,328,66,4.9,2024-06-27T03:52:53.448Z
440019220,37.467375,126.58508,331,62.6,5,2024-06-27T03:52:32.722Z
440019220,37.467101666666665,126.58451333333333,333,57.8,5.1,2024-06-27T03:52:22.401Z
440019220,37.466966666666664,126.58430166666666,334,56.4,5.1,2024-06-27T03:52:12.075Z
440019220,37.46681,126.584055,334,54.9,5.1,2024-06-27T03:52:01.749Z
440019220,37.466685,126.58383166666667,335,53.5,5.1,2024-06-27T03:52:01.713Z
440019220,37.466411666666666,126.58331,336,50.4,5.2,2024-06-27T03:51:22.937Z
440019220,37.466255,126.58305166666666,334,48.7,5.2,2024-06-27T03:51:12.612Z
440019220,37.46591333333333,126.58263166666667,335,44.2,5.3,2024-06-27T03:51:02.399Z
440019220,37.465405,126.582035,334,40.2,5.3,2024-06-27T03:50:31.450Z
440019220,37.46519,126.581825,335,38.2,5.3,2024-06-27T03:50:20.401Z
440019220,37.464191666666665,126.58096166666667,331,30.3,5.3,2024-06-27T03:49:28.794Z
440019220,37.463935,126.580845,331,28.6,5.3,2024-06-27T03:49:18.556Z
440019220,37.463495,126.58061,330,26.7,5.3,2024-06-27T03:48:57.883Z
440019220,37.462633333333336,126.58007166666667,330,24.9,5.2,2024-06-27T03:48:16.199Z
440019220,37.46131833333333,126.57928166666666,331,22,4.9,2024-06-27T03:47:14.622Z
440019220,37.46111,126.57917,330,22,4.9,2024-06-27T03:47:04.036Z
440019220,37.460696666666664,126.578945,330,20,5,2024-06-27T03:46:53.850Z
440019220,37.46041666666667,126.57883666666666,330,17.3,5,2024-06-27T03:46:32.612Z
440019220,37.460231666666665,126.57878833333334,329,15.6,5,2024-06-27T03:46:32.577Z
440019220,37.459763333333335,126.578645,327,10,5,2024-06-27T03:46:12.196Z
440019220,37.45932833333333,126.57856,325,7.5,5,2024-06-27T03:45:51.731Z
440019220,37.459043333333334,126.57852166666666,324,5.6,5,2024-06-27T03:45:41.033Z
440019220,37.45863666666666,126.57845666666667,323,7.1,4.6,2024-06-27T03:45:18.851Z
440019220,37.456963333333334,126.57831833333333,324,5.8,4.6,2024-06-27T03:43:55.699Z
440019220,37.456111666666665,126.57816833333334,325,8.6,4.8,2024-06-27T03:43:22.774Z
440019220,37.45565333333333,126.57805333333333,325,9.2,4.9,2024-06-27T03:43:01.302Z
440019220,37.45518666666667,126.57795333333334,326,11.4,5.1,2024-06-27T03:42:40.529Z
440019220,37.454721666666664,126.57789333333334,326,8.8,5.2,2024-06-27T03:42:19.667Z
440019220,37.45421666666667,126.57780166666667,327,9.5,5.3,2024-06-27T03:41:58.776Z
440019220,37.45327666666667,126.57755166666666,329,12,5.5,2024-06-27T03:41:17.407Z
440019220,37.45252833333333,126.577375,327,10.4,5.6,2024-06-27T03:40:45.648Z
440019220,37.451955,126.57722,327,9.1,5.8,2024-06-27T03:40:24.021Z
440019220,37.45112666666667,126.577075,325,6.8,6.1,2024-06-27T03:39:53.024Z
440019220,37.45055,126.57701333333333,325,5.8,6.8,2024-06-27T03:39:42.563Z
440019220,37.449095,126.57687,320,0.4,8.3,2024-06-27T03:39:01.361Z
440019220,37.44826666666667,126.576905,319,357.7,9.5,2024-06-27T03:38:40.037Z
440019220,37.44785,126.57695833333334,317,352.9,10.2,2024-06-27T03:38:29.778Z
440019220,37.447628333333334,126.57698,317,353.7,10.8,2024-06-27T03:38:19.576Z
440019220,37.44748333333333,126.57699666666667,316,352.2,10.9,2024-06-27T03:38:19.562Z
440019220,37.44717333333333,126.57703166666667,318,354,11.3,2024-06-27T03:38:19.535Z
440019220,37.44701666666667,126.577045,319,356.6,11.4,2024-06-27T03:38:09.125Z
440019220,37.44665,126.57708,320,356.2,11.3,2024-06-27T03:38:09.096Z
440019220,37.446243333333335,126.57711833333333,320,353.4,10.6,2024-06-27T03:37:58.521Z
440019220,37.44609666666667,126.57713833333334,320,355.7,10.3,2024-06-27T03:37:58.507Z
440019220,37.445996666666666,126.57715,320,351.6,10.2,2024-06-27T03:37:48.357Z
440019220,37.445855,126.57717666666667,319,350.5,10,2024-06-27T03:37:48.339Z
440019220,37.44549666666666,126.57726,317,344.7,9.6,2024-06-27T03:37:38.042Z
440019220,37.445366666666665,126.57731,316,339.5,9.4,2024-06-27T03:37:38.036Z
440019220,37.44524166666667,126.57737833333333,314,333.4,9.3,2024-06-27T03:37:38.022Z
440019220,37.44512833333334,126.57746,311,326.6,9.3,2024-06-27T03:37:27.817Z
440019220,37.44502166666667,126.57755,309,321,9.1,2024-06-27T03:37:27.808Z
440019220,37.44488833333333,126.577695,307,312.8,8.9,2024-06-27T03:37:27.794Z
440019220,37.44471333333333,126.57908166666667,290,256.6,9,2024-06-27T03:36:57.022Z
440019220,37.44481,126.57949,288,248,9,2024-06-27T03:36:46.794Z
440019220,37.445,126.58001666666667,286,244,9,2024-06-27T03:36:36.500Z
440019220,37.4456,126.58130333333334,282,235.3,8.7,2024-06-27T03:36:05.717Z
440019220,37.446081666666664,126.58211333333334,281,231.5,7.4,2024-06-27T03:35:45.213Z
440019220,37.44629833333333,126.58242333333334,281,227.4,7.2,2024-06-27T03:35:34.911Z
440019220,37.44651666666667,126.58271166666667,281,224.7,7.4,2024-06-27T03:35:34.868Z
440019220,37.447071666666666,126.58329666666667,279,220.5,7.6,2024-06-27T03:35:13.192Z
440019220,37.44738666666667,126.58362333333334,279,219.6,7,2024-06-27T03:34:52.742Z
440019220,37.44786833333333,126.58412166666666,278,217.5,7.1,2024-06-27T03:34:42.424Z
