Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440631000,37.40289833333333,126.55766666666666,213,212,10,2024-06-12T00:45:18.997Z
440631000,37.403283333333334,126.55798333333334,213,212,10.1,2024-06-12T00:45:08.781Z
440631000,37.40368333333333,126.5583,213,212,10.1,2024-06-12T00:44:58.539Z
440631000,37.4041,126.5586,213,212,10.1,2024-06-12T00:44:48.269Z
440631000,37.4045,126.55891666666666,213,212,10.1,2024-06-12T00:44:37.890Z
440631000,37.405316666666664,126.55956666666667,212,212,10.1,2024-06-12T00:44:17.303Z
440631000,37.40571666666666,126.5599,213,212,10.1,2024-06-12T00:44:07.036Z
440631000,37.40606666666667,126.56018333333333,213,211,10.1,2024-06-12T00:43:56.814Z
440631000,37.40646666666667,126.56046666666667,213,211,10.1,2024-06-12T00:43:46.490Z
440631000,37.406866666666666,126.56076666666667,213,211,10.1,2024-06-12T00:43:36.265Z
440631000,37.4073,126.56113333333333,213,211,10.1,2024-06-12T00:43:25.830Z
440631000,37.4077,126.56145,213,211,10.1,2024-06-12T00:43:15.607Z
440631000,37.40806666666667,126.5617,213,211,10.1,2024-06-12T00:43:05.407Z
440631000,37.408516666666664,126.56203333333333,213,211,10.1,2024-06-12T00:42:55.097Z
440631000,37.40893333333333,126.56233333333333,213,211,10,2024-06-12T00:42:44.873Z
440631000,37.40936666666666,126.56268333333334,213,211,10,2024-06-12T00:42:34.651Z
440631000,37.410133333333334,126.56326666666666,213,210,10,2024-06-12T00:42:14.121Z
440631000,37.4105,126.56353166666666,213,210,10,2024-06-12T00:42:14.092Z
440631000,37.41093333333333,126.56386666666667,212,210,10,2024-06-12T00:42:03.763Z
440631000,37.41133333333333,126.56415,212,210,10,2024-06-12T00:41:53.450Z
440631000,37.411766666666665,126.56446666666666,212,210,10,2024-06-12T00:41:32.965Z
440631000,37.41213333333334,126.56471666666667,212,210,10,2024-06-12T00:41:32.929Z
440631000,37.41258333333333,126.56501666666666,212,210,10,2024-06-12T00:41:22.700Z
440631000,37.41294833333333,126.56523166666666,212,210,10,2024-06-12T00:41:12.481Z
440631000,37.41341666666667,126.5655,212,210,9.9,2024-06-12T00:41:02.173Z
440631000,37.413833333333336,126.56585,212,209,9.9,2024-06-12T00:40:51.968Z
440631000,37.414183333333334,126.56625,212,209,9.8,2024-06-12T00:40:41.662Z
440631000,37.414566666666666,126.566515,212,209,10,2024-06-12T00:40:31.405Z
440631000,37.41495,126.56678333333333,212,209,9.9,2024-06-12T00:40:21.132Z
440631000,37.41526666666667,126.56698333333334,212,208,9.9,2024-06-12T00:40:10.885Z
440631000,37.41574833333333,126.5673,211,208,9.9,2024-06-12T00:40:00.637Z
440631000,37.416983333333334,126.56803333333333,210,206,9.9,2024-06-12T00:39:29.476Z
440631000,37.41738333333333,126.56828333333333,210,205,9.9,2024-06-12T00:39:19.169Z
440631000,37.417766666666665,126.56851666666667,209,203,9.9,2024-06-12T00:39:08.879Z
440631000,37.41823333333333,126.56876666666666,207,202,10,2024-06-12T00:38:58.537Z
440631000,37.41866666666667,126.569,206,201,10,2024-06-12T00:38:48.285Z
440631000,37.41905,126.5692,205,200,10,2024-06-12T00:38:38.026Z
440631000,37.419533333333334,126.56941666666667,203,198,10,2024-06-12T00:38:27.776Z
440631000,37.420015,126.56961666666666,201,199,10,2024-06-12T00:38:17.511Z
440631000,37.42129833333333,126.5702,200,199,10,2024-06-12T00:37:46.709Z
440631000,37.42169833333333,126.570365,200,199,10,2024-06-12T00:37:36.556Z
440631000,37.42218333333334,126.5706,200,198,10,2024-06-12T00:37:25.396Z
440631000,37.42263333333333,126.57078166666666,200,198,10,2024-06-12T00:37:15.206Z
440631000,37.423015,126.57095,199,198,10,2024-06-12T00:37:04.967Z
440631000,37.423516666666664,126.571165,200,198,10,2024-06-12T00:36:54.749Z
440631000,37.4239,126.57133333333333,200,198,10,2024-06-12T00:36:44.411Z
440631000,37.42435,126.57153333333333,200,196,10,2024-06-12T00:36:44.378Z
440631000,37.42483333333333,126.57171666666666,198,196,10,2024-06-12T00:36:33.914Z
440631000,37.42528333333333,126.57188333333333,197,195,10,2024-06-12T00:36:13.410Z
440631000,37.42619833333333,126.57221666666666,196,194,10,2024-06-12T00:36:03.094Z
440631000,37.426716666666664,126.5724,194,194,10,2024-06-12T00:35:52.790Z
440631000,37.427081666666666,126.57256666666666,194,195,10,2024-06-12T00:35:42.584Z
440631000,37.42755,126.57271666666666,194,195,10,2024-06-12T00:35:32.270Z
440631000,37.42808333333333,126.57289833333333,194,195,10,2024-06-12T00:35:21.974Z
440631000,37.42845,126.57301666666666,195,195,9.9,2024-06-12T00:35:11.746Z
440631000,37.428981666666665,126.57321666666667,195,194,9.9,2024-06-12T00:35:01.515Z
440631000,37.429383333333334,126.57333166666666,194,194,9.9,2024-06-12T00:34:51.272Z
440631000,37.4298,126.57348333333333,194,195,9.9,2024-06-12T00:34:41.007Z
440631000,37.43029833333333,126.57365,195,195,9.9,2024-06-12T00:34:30.797Z
440631000,37.4308,126.57381666666667,195,195,9.9,2024-06-12T00:34:20.493Z
440631000,37.431165,126.57395,195,194,9.9,2024-06-12T00:34:10.250Z
440631000,37.431733333333334,126.574165,195,194,9.8,2024-06-12T00:34:00.004Z
440631000,37.43304833333333,126.57459833333333,195,194,9.8,2024-06-12T00:33:29.215Z
440631000,37.43353333333334,126.57476666666666,195,194,9.8,2024-06-12T00:33:18.930Z
440631000,37.433931666666666,126.5749,195,194,9.7,2024-06-12T00:33:08.675Z
440631000,37.434416666666664,126.57504833333333,195,194,9.7,2024-06-12T00:32:58.416Z
440631000,37.43481666666667,126.57518333333333,195,194,9.7,2024-06-12T00:32:48.118Z
440631000,37.4357,126.575465,194,194,9.7,2024-06-12T00:32:27.459Z
440631000,37.43618333333333,126.57563333333333,194,194,9.7,2024-06-12T00:32:17.139Z
440631000,37.436566666666664,126.57575,195,194,9.7,2024-06-12T00:32:06.884Z
440631000,37.43703333333333,126.57589833333333,195,194,9.7,2024-06-12T00:31:56.629Z
440631000,37.437365,126.576,195,194,9.7,2024-06-12T00:31:46.351Z
440631000,37.43814833333333,126.57621666666667,194,194,9.7,2024-06-12T00:31:24.671Z
440631000,37.438581666666664,126.576365,194,194,9.7,2024-06-12T00:31:14.349Z
440631000,37.43898333333333,126.5765,195,194,9.7,2024-06-12T00:31:14.308Z
440631000,37.43949833333333,126.57666666666667,195,194,9.7,2024-06-12T00:30:53.804Z
440631000,37.440731666666665,126.57701666666667,193,193,9.7,2024-06-12T00:30:33.224Z
440631000,37.440781666666666,126.57703333333333,193,193,9.7,2024-06-12T00:30:33.215Z
440631000,37.441215,126.577165,193,193,9.7,2024-06-12T00:30:22.969Z
440631000,37.441615,126.57728333333333,193,193,9.7,2024-06-12T00:30:12.731Z
440631000,37.44204833333333,126.57741666666666,193,193,9.7,2024-06-12T00:30:02.476Z
440631000,37.44249833333333,126.57753333333334,193,193,9.7,2024-06-12T00:29:52.211Z
440631000,37.443331666666666,126.57778333333333,193,193,9.7,2024-06-12T00:29:31.692Z
440631000,37.443866666666665,126.57793333333333,193,193,9.7,2024-06-12T00:29:21.398Z
440631000,37.444266666666664,126.57804833333333,193,192,9.8,2024-06-12T00:29:11.150Z
440631000,37.4447,126.57815,193,193,9.8,2024-06-12T00:29:00.940Z
440631000,37.44603333333333,126.57849833333333,193,192,9.8,2024-06-12T00:28:30.188Z
440631000,37.446081666666664,126.578515,193,192,9.8,2024-06-12T00:28:30.180Z
440631000,37.446515,126.57863333333333,193,193,9.8,2024-06-12T00:28:19.946Z
440631000,37.44691666666667,126.57875,193,192,9.8,2024-06-12T00:28:09.647Z
440631000,37.447365,126.57888166666666,193,192,9.8,2024-06-12T00:27:59.409Z
440631000,37.44786666666667,126.57901666666666,193,192,9.8,2024-06-12T00:27:49.135Z
440631000,37.448715,126.57925,193,192,9.8,2024-06-12T00:27:28.693Z
440631000,37.44875,126.57926666666667,193,192,9.8,2024-06-12T00:27:28.687Z
440631000,37.4492,126.57938333333334,193,193,9.8,2024-06-12T00:27:18.371Z
440631000,37.4496,126.5795,193,193,9.8,2024-06-12T00:27:08.107Z
440631000,37.45005,126.57965,193,193,9.8,2024-06-12T00:26:57.830Z
440631000,37.4506,126.57983333333334,193,192,9.8,2024-06-12T00:26:47.500Z
440631000,37.4519,126.58026666666666,193,192,9.7,2024-06-12T00:26:16.805Z
440631000,37.4523,126.58038333333333,193,192,9.7,2024-06-12T00:26:06.556Z
440631000,37.45271666666667,126.5805,193,193,9.7,2024-06-12T00:25:56.359Z
440631000,37.45316666666667,126.58064833333333,193,193,9.7,2024-06-12T00:25:46.095Z
440631000,37.454283333333336,126.58103166666666,193,193,9.7,2024-06-12T00:25:14.926Z
440631000,37.45471666666667,126.58116666666666,193,192,9.7,2024-06-12T00:25:04.699Z
440631000,37.45516666666666,126.5813,193,193,9.7,2024-06-12T00:24:54.554Z
440631000,37.45693333333333,126.58181666666667,193,193,9.5,2024-06-12T00:24:23.674Z
440631000,37.457366666666665,126.58195,193,193,9.5,2024-06-12T00:24:13.427Z
440631000,37.45775,126.58206666666666,193,193,9.4,2024-06-12T00:24:03.205Z
440631000,37.459466666666664,126.5826,193,193,9.1,2024-06-12T00:23:22.074Z
440631000,37.45988333333333,126.58273166666666,193,194,9,2024-06-12T00:23:11.725Z
440631000,37.46028333333334,126.58285,193,193,8.9,2024-06-12T00:23:01.518Z
440631000,37.46071666666667,126.583,193,193,8.8,2024-06-12T00:22:51.270Z
440631000,37.46103333333333,126.5831,193,193,8.7,2024-06-12T00:22:40.993Z
440631000,37.46185,126.58336666666666,193,193,8.4,2024-06-12T00:22:20.407Z
440631000,37.46223333333333,126.58348333333333,193,193,8.2,2024-06-12T00:22:10.131Z
440631000,37.46261666666667,126.58358166666666,193,193,8.1,2024-06-12T00:21:59.819Z
440631000,37.4633,126.5838,193,193,7.7,2024-06-12T00:21:39.266Z
440631000,37.463683333333336,126.58391666666667,193,193,7.5,2024-06-12T00:21:28.964Z
440631000,37.464016666666666,126.58403166666666,193,194,7.2,2024-06-12T00:21:18.706Z
440631000,37.46431666666667,126.58411666666667,193,195,7.1,2024-06-12T00:21:08.373Z
440631000,37.464666666666666,126.58425,193,196,6.8,2024-06-12T00:20:58.057Z
440631000,37.464983333333336,126.58436666666667,194,197,6.7,2024-06-12T00:20:47.739Z
440631000,37.4651,126.584415,194,197,6.6,2024-06-12T00:20:47.722Z
440631000,37.46525,126.584465,195,198,6.5,2024-06-12T00:20:37.452Z
440631000,37.46543333333333,126.58453333333334,195,199,6.5,2024-06-12T00:20:37.430Z
440631000,37.4655,126.58456666666666,195,200,6.5,2024-06-12T00:20:37.419Z
440631000,37.4656,126.5846,195,201,6.4,2024-06-12T00:20:27.216Z
440631000,37.46573333333333,126.58465,195,202,6.4,2024-06-12T00:20:27.200Z
440631000,37.46585,126.5847,195,203,6.4,2024-06-12T00:20:17.009Z
440631000,37.46596666666667,126.58473333333333,195,205,6.4,2024-06-12T00:20:16.992Z
440631000,37.46615,126.5848,196,208,6.4,2024-06-12T00:20:16.978Z
440631000,37.46625,126.58484833333333,196,209,6.4,2024-06-12T00:20:16.964Z
440631000,37.46645,126.58496666666667,198,212,6.3,2024-06-12T00:20:06.736Z
440631000,37.466516666666664,126.58503333333333,199,213,6.3,2024-06-12T00:20:06.726Z
440631000,37.4667,126.58516666666667,202,216,6.3,2024-06-12T00:19:56.505Z
440631000,37.46678333333333,126.58523333333333,204,218,6.3,2024-06-12T00:19:56.493Z
440631000,37.46685,126.58529833333333,205,219,6.2,2024-06-12T00:19:46.271Z
440631000,37.46695,126.58538333333334,207,221,6.2,2024-06-12T00:19:46.257Z
440631000,37.467016666666666,126.58545,208,222,6.2,2024-06-12T00:19:46.243Z
440631000,37.46706666666667,126.5855,210,223,6.2,2024-06-12T00:19:35.987Z
440631000,37.467166666666664,126.58561666666667,211,226,6.2,2024-06-12T00:19:35.967Z
440631000,37.467283333333334,126.58573166666666,214,229,6.2,2024-06-12T00:19:24.796Z
440631000,37.46738333333333,126.58586666666666,216,233,6.2,2024-06-12T00:19:24.774Z
440631000,37.46743333333333,126.58595,218,235,6.2,2024-06-12T00:19:24.762Z
440631000,37.4675,126.58603333333333,219,237,6.2,2024-06-12T00:19:14.543Z
440631000,37.46756666666667,126.58614833333333,222,241,6.3,2024-06-12T00:19:14.526Z
440631000,37.467616666666665,126.58623333333334,223,243,6.3,2024-06-12T00:19:14.517Z
440631000,37.46765,126.5863,225,245,6.3,2024-06-12T00:19:04.257Z
440631000,37.46771666666667,126.58646666666667,228,249,6.4,2024-06-12T00:19:04.239Z
440631000,37.46778333333334,126.58666666666667,233,254,6.4,2024-06-12T00:18:53.989Z
440631000,37.46783333333333,126.58681666666666,237,256,6.4,2024-06-12T00:18:53.968Z
440631000,37.467866666666666,126.58691666666667,241,258,6.5,2024-06-12T00:18:53.953Z
440631000,37.46788333333333,126.58703166666666,243,260,6.5,2024-06-12T00:18:43.629Z
440631000,37.46791666666667,126.58718333333333,246,262,6.5,2024-06-12T00:18:43.612Z
440631000,37.467933333333335,126.58728333333333,250,264,6.4,2024-06-12T00:18:43.597Z
440631000,37.46795,126.58736666666667,252,265,6.4,2024-06-12T00:18:43.596Z
440631000,37.46796666666667,126.58753333333334,255,267,6.4,2024-06-12T00:18:33.326Z
440631000,37.468,126.58773333333333,258,269,6.4,2024-06-12T00:18:33.309Z
440631000,37.468,126.58805,263,272,6.4,2024-06-12T00:18:23.082Z
440631000,37.468,126.58815,265,273,6.4,2024-06-12T00:18:12.911Z
440631000,37.468,126.58829833333333,267,274,6.4,2024-06-12T00:18:12.897Z
440631000,37.468,126.5885,270,275,6.3,2024-06-12T00:18:12.874Z
440631000,37.467933333333335,126.58928333333333,278,276,6.2,2024-06-12T00:17:52.385Z
440631000,37.467866666666666,126.58998166666667,282,275,6.1,2024-06-12T00:17:31.756Z
440631000,37.46783333333333,126.59043166666666,281,275,6,2024-06-12T00:17:21.444Z
440631000,37.4678,126.59076666666667,281,275,6,2024-06-12T00:17:11.178Z
440631000,37.46776666666667,126.5912,281,276,5.9,2024-06-12T00:17:00.941Z
440631000,37.46775,126.5915,281,277,5.8,2024-06-12T00:16:50.720Z
440631000,37.46771666666667,126.59181666666667,281,278,5.8,2024-06-12T00:16:40.460Z
440631000,37.46763333333333,126.59254833333334,281,281,5.6,2024-06-12T00:16:19.996Z
440631000,37.46758333333333,126.59285,281,281,5.5,2024-06-12T00:16:09.691Z
440631000,37.46751666666667,126.5932,281,281,5.4,2024-06-12T00:15:59.456Z
440631000,37.467483333333334,126.59348166666666,281,282,5.3,2024-06-12T00:15:49.181Z
440631000,37.46743333333333,126.59375,281,282,5.2,2024-06-12T00:15:38.976Z
440631000,37.46736666666666,126.59408333333333,281,282,5.1,2024-06-12T00:15:28.690Z
440631000,37.46731666666667,126.59438333333334,281,283,5,2024-06-12T00:15:18.475Z
440631000,37.46726666666667,126.59468166666667,281,283,5,2024-06-12T00:15:08.195Z
440631000,37.4672,126.59496666666666,282,283,4.9,2024-06-12T00:14:57.949Z
440631000,37.46715,126.59525,281,282,4.9,2024-06-12T00:14:47.649Z
440631000,37.46711666666667,126.5955,281,282,4.8,2024-06-12T00:14:37.392Z
440631000,37.46706666666667,126.59578333333333,281,283,4.8,2024-06-12T00:14:27.141Z
440631000,37.467,126.59604833333333,281,283,4.7,2024-06-12T00:14:16.924Z
440631000,37.46695,126.59631666666667,281,282,4.6,2024-06-12T00:14:06.666Z
440631000,37.46695,126.59631666666667,281,282,4.6,2024-06-12T00:14:06.662Z
440631000,37.46686666666667,126.59656666666666,281,283,4.5,2024-06-12T00:13:56.435Z
440631000,37.4668,126.596865,281,282,4.4,2024-06-12T00:13:46.301Z
