Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
352898756,37.3977,126.55196666666667,215,214,12.7,2024-06-19T18:11:26.976Z
352898756,37.398183333333336,126.55238333333334,215,215,12.7,2024-06-19T18:11:16.762Z
352898756,37.400133333333336,126.55408333333334,215,214,12.7,2024-06-19T18:10:35.660Z
352898756,37.400616666666664,126.55451666666667,215,214,12.7,2024-06-19T18:10:25.348Z
352898756,37.40305,126.55663333333334,215,214,12.7,2024-06-19T18:09:44.326Z
352898756,37.40346666666667,126.55703333333334,215,214,12.7,2024-06-19T18:09:33.069Z
352898756,37.40455,126.55793333333334,215,214,12.6,2024-06-19T18:09:02.471Z
352898756,37.405033333333336,126.55835,215,213,12.6,2024-06-19T18:09:02.365Z
352898756,37.406,126.55918333333334,214,214,12.6,2024-06-19T18:08:41.949Z
352898756,37.40638333333333,126.55951666666667,215,214,12.6,2024-06-19T18:08:31.676Z
352898756,37.406866666666666,126.55991666666667,214,214,12.6,2024-06-19T18:08:21.335Z
352898756,37.40753333333333,126.56051666666667,215,213,12.6,2024-06-19T18:08:11.105Z
352898756,37.40793333333333,126.56085,215,213,12.6,2024-06-19T18:08:00.883Z
352898756,37.4089,126.56165,215,212,12.6,2024-06-19T18:07:40.401Z
352898756,37.40936666666666,126.562,214,211,12.6,2024-06-19T18:07:30.120Z
352898756,37.40988333333333,126.56238333333333,213,212,12.6,2024-06-19T18:07:19.895Z
352898756,37.412,126.56405,214,212,12.7,2024-06-19T18:06:38.826Z
352898756,37.41238333333333,126.56435,214,211,12.7,2024-06-19T18:06:28.587Z
352898756,37.41288333333333,126.56473333333334,213,210,12.7,2024-06-19T18:06:18.317Z
352898756,37.4133,126.56505,213,208,12.7,2024-06-19T18:06:08.004Z
352898756,37.4135,126.56521666666667,213,207,12.7,2024-06-19T18:06:07.989Z
352898756,37.4136,126.56528333333333,213,206,12.7,2024-06-19T18:06:07.976Z
352898756,37.41406666666666,126.56563333333334,212,203,12.7,2024-06-19T18:05:57.757Z
352898756,37.4151,126.56621666666666,205,199,13,2024-06-19T18:05:37.343Z
352898756,37.41565,126.56648333333334,202,197,13.1,2024-06-19T18:05:27.079Z
352898756,37.41675,126.56691666666667,197,195,13.1,2024-06-19T18:05:06.548Z
352898756,37.41733333333333,126.56711666666666,195,196,13.1,2024-06-19T18:04:56.362Z
352898756,37.4185,126.56758333333333,195,196,13.1,2024-06-19T18:04:35.888Z
352898756,37.41908333333333,126.5678,195,195,13.1,2024-06-19T18:04:25.610Z
352898756,37.41965,126.568,194,196,13.1,2024-06-19T18:04:15.361Z
352898756,37.42025,126.5682,194,196,13.2,2024-06-19T18:04:05.010Z
352898756,37.420833333333334,126.56841666666666,195,196,13.2,2024-06-19T18:03:54.768Z
352898756,37.422133333333335,126.56888333333333,194,196,13.2,2024-06-19T18:03:33.781Z
352898756,37.42261666666667,126.56903333333334,195,196,13.2,2024-06-19T18:03:23.362Z
352898756,37.42315,126.56923333333333,195,196,13.2,2024-06-19T18:03:23.326Z
352898756,37.42431666666667,126.56968333333333,195,195,13.2,2024-06-19T18:02:52.630Z
352898756,37.42565,126.57013333333333,194,195,13.3,2024-06-19T18:02:42.341Z
352898756,37.426233333333336,126.57035,195,195,13.3,2024-06-19T18:02:32.079Z
352898756,37.4267,126.57053333333333,195,195,13.3,2024-06-19T18:02:21.876Z
352898756,37.4273,126.57073333333334,194,195,13.3,2024-06-19T18:02:11.587Z
352898756,37.428016666666664,126.57098333333333,195,195,13.3,2024-06-19T18:02:01.345Z
352898756,37.4291,126.57135,195,194,13.3,2024-06-19T18:01:40.811Z
352898756,37.42981666666667,126.57158333333334,194,194,13.3,2024-06-19T18:01:30.591Z
352898756,37.430366666666664,126.57175,195,194,13.3,2024-06-19T18:01:20.332Z
352898756,37.43096666666667,126.57195,194,194,13.3,2024-06-19T18:01:10.121Z
352898756,37.43156666666667,126.57215,194,194,13.3,2024-06-19T18:00:59.917Z
352898756,37.432766666666666,126.57255,194,194,13.3,2024-06-19T18:00:39.365Z
352898756,37.433366666666664,126.57273333333333,194,194,13.3,2024-06-19T18:00:29.025Z
352898756,37.43456666666667,126.57313333333333,195,194,13.3,2024-06-19T18:00:08.471Z
352898756,37.43516666666667,126.57333333333334,195,193,13.3,2024-06-19T17:59:58.222Z
352898756,37.436366666666665,126.5737,194,194,13.3,2024-06-19T17:59:37.742Z
352898756,37.43696666666666,126.5739,194,194,13.3,2024-06-19T17:59:27.532Z
352898756,37.4375,126.57408333333333,195,194,13.3,2024-06-19T17:59:17.298Z
352898756,37.43813333333333,126.57426666666667,194,194,13.3,2024-06-19T17:59:06.878Z
352898756,37.43873333333333,126.57445,194,195,13.3,2024-06-19T17:58:56.629Z
352898756,37.439933333333336,126.57485,195,195,13.3,2024-06-19T17:58:36.024Z
