Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
312236000,37.46489,126.61850666666666,116,112.9,0,2024-06-25T20:26:25.859Z
312236000,37.464885,126.6185,116,112.9,0,2024-06-25T20:23:20.677Z
312236000,37.46488166666666,126.6185,116,112.9,0,2024-06-25T20:17:22.577Z
312236000,37.46487833333333,126.6185,116,112.9,0,2024-06-25T20:14:29.399Z
312236000,37.464875,126.6185,116,112.9,0,2024-06-25T20:11:30.399Z
312236000,37.464875,126.6185,116,112.9,0,2024-06-25T20:08:29.245Z
312236000,37.46487,126.6185,116,112.9,0,2024-06-25T20:05:29.316Z
312236000,37.46487,126.6185,116,112.9,0,2024-06-25T20:02:26.437Z
312236000,37.464866666666666,126.6185,116,112.9,0,2024-06-25T19:59:28.466Z
312236000,37.464866666666666,126.6185,115,112.9,0,2024-06-25T19:56:32.092Z
312236000,37.464875,126.61849166666667,115,112.9,0,2024-06-25T19:50:24.375Z
312236000,37.46487,126.6185,115,112.9,0,2024-06-25T19:47:28.574Z
312236000,37.46487,126.61849166666667,115,112.9,0,2024-06-25T19:38:26.894Z
312236000,37.46487,126.61849166666667,115,112.9,0,2024-06-25T19:35:30.624Z
312236000,37.46487833333333,126.61849166666667,115,112.9,0,2024-06-25T19:26:24.556Z
312236000,37.46488166666666,126.618485,117,112.9,0,2024-06-25T19:21:26.591Z
312236000,37.46488166666666,126.618485,117,112.9,0,2024-06-25T19:21:06.116Z
312236000,37.46488166666666,126.618485,117,112.9,0,2024-06-25T19:21:06.079Z
312236000,37.46488166666666,126.618485,117,112.9,0,2024-06-25T19:20:35.288Z
312236000,37.46488166666666,126.618485,117,112.9,0,2024-06-25T19:20:24.324Z
312236000,37.46488166666666,126.618485,117,112.9,0,2024-06-25T19:20:14.099Z
312236000,37.46488166666666,126.618485,117,112.9,0,2024-06-25T19:20:03.826Z
312236000,37.46487833333333,126.61847666666667,117,112.9,0,2024-06-25T19:19:53.447Z
312236000,37.46487833333333,126.61847666666667,117,112.9,0,2024-06-25T19:19:43.204Z
312236000,37.46487833333333,126.61847666666667,117,112.4,0,2024-06-25T19:19:32.937Z
312236000,37.46487833333333,126.61847,117,114.9,0.2,2024-06-25T19:19:22.459Z
312236000,37.46488166666666,126.61846166666666,117,115.8,0.4,2024-06-25T19:19:12.104Z
312236000,37.46489,126.61843833333333,116,112.6,0.7,2024-06-25T19:18:51.551Z
312236000,37.46489666666667,126.61840833333333,116,113.2,0.7,2024-06-25T19:18:41.239Z
312236000,37.464911666666666,126.61836166666667,115,115.8,0.8,2024-06-25T19:18:30.986Z
312236000,37.464931666666665,126.61830833333333,115,120.1,0.8,2024-06-25T19:18:20.754Z
312236000,37.46497333333333,126.61821666666667,118,103.1,0.9,2024-06-25T19:18:00.194Z
312236000,37.464985,126.61817166666667,118,97.4,1,2024-06-25T19:17:49.990Z
312236000,37.46498833333333,126.61811833333333,118,95.9,1,2024-06-25T19:17:39.781Z
312236000,37.464996666666664,126.61805666666666,117,92.6,1.2,2024-06-25T19:17:29.488Z
312236000,37.465,126.61791166666667,114,95.9,1.6,2024-06-25T19:17:08.509Z
312236000,37.465003333333335,126.61781333333333,111,99.8,1.8,2024-06-25T19:16:58.253Z
312236000,37.465015,126.61771333333333,110,100.8,2,2024-06-25T19:16:48.119Z
312236000,37.46503,126.61763,110,100.1,2.1,2024-06-25T19:16:37.667Z
312236000,37.46505,126.617485,109,99.2,2.1,2024-06-25T19:16:27.275Z
312236000,37.465065,126.61737,108,99.4,2.2,2024-06-25T19:16:27.239Z
312236000,37.46510333333333,126.61708833333333,106,102.2,2.4,2024-06-25T19:15:56.220Z
312236000,37.46512166666667,126.61695833333333,106,102.5,2.5,2024-06-25T19:15:45.973Z
312236000,37.46514833333333,126.61682833333333,108,100.2,2.6,2024-06-25T19:15:45.928Z
312236000,37.465175,126.61666833333334,108,97.4,2.7,2024-06-25T19:15:35.588Z
312236000,37.465195,126.61653833333334,106,96.2,2.8,2024-06-25T19:15:25.239Z
312236000,37.46521,126.61637833333333,103,95,3,2024-06-25T19:15:14.427Z
312236000,37.465225,126.61618833333333,101,94.2,3,2024-06-25T19:15:04.243Z
312236000,37.46523666666667,126.61601333333333,99,93.8,3.2,2024-06-25T19:14:53.949Z
312236000,37.465248333333335,126.615845,97,92.2,3.3,2024-06-25T19:14:43.658Z
312236000,37.465255,126.61563166666667,96,89.9,3.4,2024-06-25T19:14:33.447Z
