Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
352001839,37.395298333333336,126.55072833333334,215,211.8,9.5,2024-06-11T17:14:03.754Z
352001839,37.395675,126.55101,214,212.4,9.4,2024-06-11T17:13:53.472Z
352001839,37.39721,126.55219333333334,214,211.6,9.4,2024-06-11T17:13:12.419Z
352001839,37.39754166666667,126.55245166666667,214,211.2,9.3,2024-06-11T17:13:02.165Z
352001839,37.39872,126.55333,214,211.2,9.3,2024-06-11T17:12:31.267Z
352001839,37.39912833333333,126.553635,214,212,9.3,2024-06-11T17:12:20.966Z
352001839,37.40015833333333,126.55442833333333,214,211.8,9.2,2024-06-11T17:11:50.102Z
352001839,37.401988333333335,126.55587,214,212.4,9.4,2024-06-11T17:10:58.770Z
352001839,37.40309166666667,126.55674666666667,214,212,9.2,2024-06-11T17:10:27.901Z
352001839,37.40347333333333,126.557045,214,213.2,9.3,2024-06-11T17:10:17.660Z
352001839,37.40643,126.55931833333334,214,213.2,9.3,2024-06-11T17:09:05.170Z
352001839,37.40752333333333,126.56019666666667,214,214.8,8.9,2024-06-11T17:08:34.339Z
352001839,37.40786333333333,126.56049333333333,214,213,9.1,2024-06-11T17:08:24.060Z
352001839,37.408588333333334,126.56107333333334,214,212.8,9.1,2024-06-11T17:08:03.494Z
352001839,37.40902666666667,126.561425,214,212.4,9.2,2024-06-11T17:07:53.212Z
352001839,37.40965333333333,126.56194333333333,214,212.8,9.3,2024-06-11T17:07:32.605Z
352001839,37.41001166666667,126.56223333333334,214,213.2,9.2,2024-06-11T17:07:22.337Z
352001839,37.411365,126.56327,213,206.4,9.5,2024-06-11T17:06:41.120Z
352001839,37.41145,126.56330833333334,213,207.2,9.5,2024-06-11T17:06:41.111Z
352001839,37.41149166666667,126.56334,212,207.6,9.4,2024-06-11T17:06:41.109Z
352001839,37.41195666666667,126.56363666666667,211,209.6,9.3,2024-06-11T17:06:30.923Z
352001839,37.412255,126.56384333333334,211,209.6,9.2,2024-06-11T17:06:20.684Z
352001839,37.41301333333333,126.56437,211,209.6,9.2,2024-06-11T17:06:00.091Z
352001839,37.41346333333333,126.564675,211,210.6,9,2024-06-11T17:05:49.773Z
352001839,37.41422333333333,126.56522333333334,212,209.2,9.3,2024-06-11T17:05:29.305Z
352001839,37.41455833333333,126.56546,211,210.4,9.1,2024-06-11T17:05:19.079Z
352001839,37.41495833333333,126.56575,211,210,8.9,2024-06-11T17:05:08.743Z
352001839,37.41525333333333,126.56595666666666,212,210,8.9,2024-06-11T17:04:58.474Z
352001839,37.41568,126.56625333333334,212,207.8,9.2,2024-06-11T17:04:48.181Z
352001839,37.41598166666667,126.56645166666667,211,206,9,2024-06-11T17:04:37.900Z
352001839,37.416401666666665,126.56668833333333,210,205.4,9.1,2024-06-11T17:04:27.632Z
352001839,37.41644333333333,126.56671166666666,210,205.6,9.1,2024-06-11T17:04:27.626Z
352001839,37.41679833333333,126.56691,209,203.4,9,2024-06-11T17:04:17.438Z
352001839,37.416961666666666,126.56699333333333,209,202,9,2024-06-11T17:04:17.420Z
352001839,37.417233333333336,126.56713833333333,207,201,9.2,2024-06-11T17:04:07.175Z
352001839,37.41731333333333,126.567185,207,200.8,9.2,2024-06-11T17:04:07.170Z
352001839,37.41746833333333,126.56725333333333,206,200.8,9.3,2024-06-11T17:04:07.149Z
352001839,37.418015,126.56752833333333,204,203.2,9.2,2024-06-11T17:03:46.728Z
352001839,37.41833166666667,126.567695,205,202.6,8.8,2024-06-11T17:03:46.695Z
352001839,37.41878166666667,126.56794,205,202.4,9.1,2024-06-11T17:03:26.078Z
352001839,37.41913666666667,126.56813,205,202,9,2024-06-11T17:03:15.787Z
352001839,37.41956,126.56835166666667,204,202.4,8.8,2024-06-11T17:03:05.512Z
352001839,37.41986166666667,126.56851166666667,204,202.4,8.9,2024-06-11T17:03:05.478Z
352001839,37.420315,126.56875666666667,204,202.8,9.2,2024-06-11T17:02:44.977Z
352001839,37.421085,126.569175,205,201.6,8.9,2024-06-11T17:02:34.642Z
352001839,37.42187833333333,126.56955666666667,204,198.8,9,2024-06-11T17:02:14.095Z
352001839,37.4222,126.56971,204,197,8.9,2024-06-11T17:02:03.692Z
352001839,37.42236,126.56977833333333,203,197.2,9,2024-06-11T17:01:53.435Z
352001839,37.42251666666667,126.56983166666667,202,197.6,9.1,2024-06-11T17:01:53.419Z
352001839,37.42255333333333,126.56984666666666,202,197.6,9,2024-06-11T17:01:53.415Z
352001839,37.42255333333333,126.56984666666666,202,197.6,9,2024-06-11T17:01:53.411Z
352001839,37.42267666666667,126.569885,201,197.2,9,2024-06-11T17:01:53.402Z
352001839,37.422985,126.570015,201,196.4,9.1,2024-06-11T17:01:43.111Z
