Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538005877,37.32883833333333,126.36537166666666,255,255.6,14.7,2024-06-15T00:23:11.589Z
538005877,37.33743166666667,126.40487666666667,259,259.6,14.7,2024-06-15T00:15:18.212Z
538005877,37.34014,126.42261833333333,259,258.9,14.6,2024-06-15T00:11:42.603Z
538005877,37.34037,126.424135,259,258.9,14.6,2024-06-15T00:11:22.151Z
538005877,37.34075833333333,126.42658166666666,259,259.4,14.7,2024-06-15T00:11:01.797Z
538005877,37.340968333333336,126.42775833333333,259,259.8,14.7,2024-06-15T00:10:40.554Z
538005877,37.34110166666667,126.42859833333333,260,260.1,14.7,2024-06-15T00:10:30.258Z
538005877,37.34124833333333,126.42961333333334,260,260.6,14.7,2024-06-15T00:10:19.988Z
538005877,37.341375,126.43061833333333,260,261.1,14.7,2024-06-15T00:10:09.691Z
538005877,37.34144166666667,126.43112333333333,261,261.4,14.7,2024-06-15T00:09:59.469Z
538005877,37.341636666666666,126.43273166666667,262,262.3,14.7,2024-06-15T00:09:49.155Z
538005877,37.341725,126.43364666666666,263,262.4,14.6,2024-06-15T00:09:28.746Z
538005877,37.34184166666667,126.43466,263,262.6,14.6,2024-06-15T00:09:18.390Z
538005877,37.3419,126.43516,263,262.7,14.6,2024-06-15T00:09:18.363Z
538005877,37.34203333333333,126.43629666666666,263,263,14.6,2024-06-15T00:08:57.858Z
538005877,37.34211666666667,126.43714166666666,263,263.4,14.6,2024-06-15T00:08:47.533Z
538005877,37.342165,126.43776666666666,263,263.8,14.6,2024-06-15T00:08:47.498Z
538005877,37.342256666666664,126.43888166666666,264,264,14.6,2024-06-15T00:08:37.252Z
538005877,37.342315,126.43974,264,264,14.6,2024-06-15T00:08:16.723Z
538005877,37.34249,126.44178333333333,264,264.3,14.6,2024-06-15T00:07:56.185Z
538005877,37.342663333333334,126.44381333333334,265,263.8,14.5,2024-06-15T00:07:35.714Z
538005877,37.34281,126.44541166666667,265,263.7,14.5,2024-06-15T00:07:14.830Z
538005877,37.34311666666667,126.448845,265,263.6,14.5,2024-06-15T00:06:32.374Z
538005877,37.34332,126.45147,265,263.5,14.4,2024-06-15T00:06:01.455Z
538005877,37.34346333333333,126.45297166666667,265,263.4,14.4,2024-06-15T00:05:40.744Z
538005877,37.34442166666667,126.46294666666667,265,263.5,14.2,2024-06-15T00:03:48.010Z
538005877,37.344458333333336,126.46335,264,263.6,14.2,2024-06-15T00:03:37.712Z
538005877,37.344845,126.46795166666666,265,263.7,14.2,2024-06-15T00:02:46.515Z
538005877,37.34755833333333,126.49812833333333,265,263.3,13.2,2024-06-14T23:56:26.510Z
538005877,37.35002166666666,126.51424,258,250.4,6.3,2024-06-14T23:52:08.861Z
538005877,37.3501,126.51451666666667,256,248.5,6.4,2024-06-14T23:51:58.557Z
538005877,37.35032833333333,126.51529,252,243.2,6.4,2024-06-14T23:51:38.060Z
538005877,37.35093,126.51653,241,233.1,6.6,2024-06-14T23:50:56.801Z
538005877,37.351373333333335,126.51723333333334,236,228.7,6.8,2024-06-14T23:50:36.232Z
538005877,37.35223666666667,126.51836166666666,227,222,7,2024-06-14T23:49:55.129Z
538005877,37.36866333333333,126.53202,213,212.4,14,2024-06-14T23:43:01.670Z
538005877,37.37725666666667,126.53890333333334,212,212.3,14.4,2024-06-14T23:40:27.809Z
538005877,37.378838333333334,126.54014666666667,212,212.2,14.4,2024-06-14T23:39:57.024Z
538005877,37.379565,126.54073,212,212.4,14.4,2024-06-14T23:39:46.784Z
538005877,37.37995,126.541035,212,212.6,14.4,2024-06-14T23:39:36.457Z
538005877,37.38126833333333,126.54205833333333,213,212.6,14.4,2024-06-14T23:39:15.939Z
538005877,37.38156166666667,126.542265,213,212.5,14.4,2024-06-14T23:39:05.155Z
538005877,37.38222833333333,126.54283833333334,212,212.5,14.4,2024-06-14T23:38:54.883Z
538005877,37.38301166666667,126.54346833333334,213,212.5,14.3,2024-06-14T23:38:44.653Z
538005877,37.38334833333333,126.54373833333334,213,212.4,14.3,2024-06-14T23:38:34.396Z
538005877,37.38368166666667,126.54399833333333,213,212.3,14.3,2024-06-14T23:38:34.377Z
538005877,37.38401666666667,126.54426333333333,212,212.4,14.3,2024-06-14T23:38:24.169Z
538005877,37.38435666666667,126.54453,212,212.5,14.3,2024-06-14T23:38:24.134Z
538005877,37.384631666666664,126.54475666666667,212,212.5,14.3,2024-06-14T23:38:13.912Z
538005877,37.385295,126.54530666666666,212,212.5,14.3,2024-06-14T23:38:03.504Z
538005877,37.385571666666664,126.54553333333334,212,212.5,14.3,2024-06-14T23:37:52.839Z
538005877,37.386305,126.54611166666666,213,212.5,14.3,2024-06-14T23:37:42.467Z
538005877,37.387035,126.54668333333333,213,212.5,14.2,2024-06-14T23:37:32.050Z
538005877,37.38736,126.54695333333333,213,212.4,14.2,2024-06-14T23:37:21.829Z
