Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
412752610,37.49592333333333,126.60878,88,341.7,0,2024-06-17T03:18:04.534Z
412752610,37.49592333333333,126.60876666666667,88,341.7,0,2024-06-17T03:15:10.401Z
412752610,37.49592333333333,126.60877333333333,88,341.7,0,2024-06-17T03:12:04.063Z
412752610,37.49592666666667,126.60877,88,341.7,0,2024-06-17T03:09:09.815Z
412752610,37.49593,126.60876,88,341.7,0,2024-06-17T03:06:04.983Z
412752610,37.49592333333333,126.60876666666667,88,341.7,0,2024-06-17T03:03:00.101Z
412752610,37.495911666666665,126.60877,88,341.7,0,2024-06-17T03:00:04.082Z
412752610,37.495918333333336,126.60879166666666,88,341.7,0,2024-06-17T02:57:09.955Z
412752610,37.495911666666665,126.60878,88,341.7,0,2024-06-17T02:51:10.007Z
412752610,37.495918333333336,126.60876166666667,88,341.7,0,2024-06-17T02:48:04.648Z
412752610,37.49593,126.60876666666667,88,341.7,0,2024-06-17T02:44:59.934Z
412752610,37.49592166666667,126.60876333333333,88,341.7,0,2024-06-17T02:42:04.352Z
412752610,37.49592666666667,126.608755,88,341.7,0,2024-06-17T02:38:59.846Z
412752610,37.49593,126.60879,88,341.7,0,2024-06-17T02:36:04.039Z
412752610,37.49592666666667,126.60876666666667,88,341.7,0,2024-06-17T02:32:59.641Z
412752610,37.49592,126.60877833333333,88,341.7,0,2024-06-17T02:30:04.575Z
412752610,37.49592333333333,126.60878166666667,88,341.7,0,2024-06-17T02:26:59.953Z
412752610,37.495936666666665,126.60877333333333,88,341.7,0,2024-06-17T02:18:06.575Z
412752610,37.49592666666667,126.60876666666667,87,341.7,0,2024-06-17T02:15:00.939Z
412752610,37.49592,126.60877833333333,88,341.7,0,2024-06-17T02:12:57.960Z
412752610,37.495915,126.60878166666667,88,341.7,0,2024-06-17T02:12:57.918Z
412752610,37.495918333333336,126.60877833333333,88,341.7,0,2024-06-17T02:12:47.669Z
412752610,37.49592,126.60877,88,341.7,0,2024-06-17T02:12:37.411Z
412752610,37.49592333333333,126.60876166666667,88,341.7,0,2024-06-17T02:12:27.162Z
412752610,37.49592166666667,126.60876166666667,88,341.7,0,2024-06-17T02:12:17.034Z
412752610,37.495918333333336,126.60876666666667,88,341.7,0,2024-06-17T02:12:06.765Z
412752610,37.49592166666667,126.60876833333333,88,341.7,0,2024-06-17T02:11:56.560Z
412752610,37.49592666666667,126.60877,88,341.7,0,2024-06-17T02:11:45.953Z
412752610,37.49593,126.60877333333333,87,341.7,0,2024-06-17T02:11:35.759Z
412752610,37.49593,126.60877333333333,88,341.7,0,2024-06-17T02:11:25.451Z
412752610,37.49592166666667,126.60877666666667,88,341.7,0,2024-06-17T02:11:15.160Z
412752610,37.49592333333333,126.60877333333333,87,341.7,0.1,2024-06-17T02:11:04.762Z
412752610,37.495918333333336,126.60877333333333,88,341.7,0.1,2024-06-17T02:10:54.468Z
412752610,37.49592,126.60878166666667,89,342.8,0.2,2024-06-17T02:10:44.217Z
412752610,37.495918333333336,126.60879333333334,88,346.8,0.3,2024-06-17T02:10:33.960Z
412752610,37.49590666666667,126.60879666666666,87,1.7,0.2,2024-06-17T02:10:23.745Z
412752610,37.49589666666667,126.60880333333333,86,52.2,0.2,2024-06-17T02:10:13.301Z
412752610,37.495875,126.608815,86,55.3,0.1,2024-06-17T02:09:52.772Z
412752610,37.49588,126.608815,87,55.3,0.1,2024-06-17T02:09:42.519Z
412752610,37.49588166666667,126.60881833333333,87,55.3,0.1,2024-06-17T02:09:32.245Z
412752610,37.49588166666667,126.608825,88,55.3,0.1,2024-06-17T02:09:21.987Z
412752610,37.495875,126.60882666666667,87,55.3,0.1,2024-06-17T02:09:11.667Z
412752610,37.495866666666664,126.60881833333333,87,56.8,0.2,2024-06-17T02:09:01.289Z
412752610,37.49586333333333,126.60880833333333,86,68.1,0.3,2024-06-17T02:08:50.940Z
412752610,37.49585666666667,126.608795,85,74.2,0.3,2024-06-17T02:08:40.659Z
412752610,37.49585166666667,126.60877666666667,85,77.4,0.3,2024-06-17T02:08:30.385Z
412752610,37.49584,126.608755,85,79.2,0.3,2024-06-17T02:08:20.146Z
412752610,37.49584,126.60873666666667,85,82.1,0.3,2024-06-17T02:08:09.940Z
412752610,37.49584,126.60871833333333,86,82.3,0.3,2024-06-17T02:07:59.613Z
412752610,37.49583333333333,126.60867666666667,87,87,0.4,2024-06-17T02:07:39.061Z
412752610,37.495835,126.60865166666666,88,77.5,0.5,2024-06-17T02:07:28.884Z
412752610,37.49583166666667,126.60861666666666,89,70.8,0.6,2024-06-17T02:07:18.544Z
412752610,37.49581833333333,126.608585,89,62.8,0.7,2024-06-17T02:07:08.277Z
412752610,37.495803333333335,126.60855,89,57.8,0.8,2024-06-17T02:07:08.242Z
412752610,37.495783333333335,126.60851333333333,89,52.8,0.8,2024-06-17T02:06:58.028Z
412752610,37.49576166666667,126.60846,88,48.3,1,2024-06-17T02:06:47.740Z
412752610,37.495695,126.60837,87,45.9,1.1,2024-06-17T02:06:27.278Z
412752610,37.49565833333333,126.60832666666667,86,46,1,2024-06-17T02:06:16.971Z
412752610,37.495628333333336,126.60828833333333,86,41.8,1,2024-06-17T02:06:06.744Z
412752610,37.495596666666664,126.60824666666667,87,36.1,0.9,2024-06-17T02:05:56.565Z
412752610,37.49556166666667,126.60821333333334,88,31,1,2024-06-17T02:05:45.355Z
412752610,37.49546333333333,126.60814666666667,89,32.9,1.3,2024-06-17T02:05:24.865Z
412752610,37.49540666666667,126.60810166666667,88,39.7,1.3,2024-06-17T02:05:14.567Z
412752610,37.49536333333333,126.608055,87,45.9,1.3,2024-06-17T02:05:04.315Z
412752610,37.49532,126.60800166666667,85,54.2,1.2,2024-06-17T02:04:54.054Z
412752610,37.495285,126.60794,84,66.3,1.2,2024-06-17T02:04:43.781Z
412752610,37.495261666666664,126.607875,84,75.1,1.2,2024-06-17T02:04:33.517Z
412752610,37.49525,126.60779666666667,84,78.4,1.2,2024-06-17T02:04:23.226Z
412752610,37.49523,126.60772,84,79.2,1.3,2024-06-17T02:04:13.001Z
412752610,37.49521333333333,126.60764666666667,84,79.8,1.3,2024-06-17T02:04:02.698Z
412752610,37.49520166666667,126.60756666666667,84,78.7,1.3,2024-06-17T02:03:52.426Z
412752610,37.495153333333334,126.607345,84,59.9,1.2,2024-06-17T02:03:21.758Z
412752610,37.49512333333333,126.60727333333334,82,53,1.2,2024-06-17T02:03:11.474Z
412752610,37.49509833333333,126.60722333333334,81,48.8,1.2,2024-06-17T02:03:01.168Z
412752610,37.49508,126.60719333333333,80,47,1.3,2024-06-17T02:03:01.156Z
412752610,37.495061666666665,126.60716333333333,79,44.5,1.3,2024-06-17T02:02:50.881Z
412752610,37.49504833333334,126.60714666666667,78,43.1,1.5,2024-06-17T02:02:50.865Z
412752610,37.49503,126.60712333333333,77,42.5,1.5,2024-06-17T02:02:50.850Z
412752610,37.49501333333333,126.60710833333333,76,42.1,1.6,2024-06-17T02:02:40.642Z
412752610,37.494996666666665,126.60709166666666,75,41.9,1.7,2024-06-17T02:02:40.629Z
412752610,37.494971666666665,126.60706666666667,74,41.8,1.8,2024-06-17T02:02:40.614Z
412752610,37.494955,126.60704833333334,73,42.1,2,2024-06-17T02:02:30.413Z
412752610,37.494935,126.60703,72,42.4,2.1,2024-06-17T02:02:30.397Z
412752610,37.49489333333333,126.606985,70,43,2.3,2024-06-17T02:02:20.286Z
412752610,37.49489333333333,126.606985,70,43.2,2.3,2024-06-17T02:02:20.282Z
412752610,37.494886666666666,126.60697666666667,70,43.4,2.3,2024-06-17T02:02:20.280Z
412752610,37.494798333333335,126.60687666666666,66,45.1,2.6,2024-06-17T02:02:10.023Z
412752610,37.49472,126.60678,63,46.2,2.8,2024-06-17T02:01:59.837Z
412752610,37.49462666666667,126.60666333333333,60,47.4,3.1,2024-06-17T02:01:49.547Z
412752610,37.494418333333336,126.60638166666666,55,48.4,3.8,2024-06-17T02:01:29.002Z
412752610,37.494301666666665,126.60621666666667,54,48,4.1,2024-06-17T02:01:18.771Z
412752610,37.49415833333333,126.60602,52,48.5,4.4,2024-06-17T02:01:08.512Z
412752610,37.49402166666667,126.60582166666667,51,48.6,4.6,2024-06-17T02:00:58.251Z
412752610,37.493898333333334,126.60564,51,48.4,4.7,2024-06-17T02:00:58.222Z
412752610,37.49375,126.605435,50,48.6,4.8,2024-06-17T02:00:47.959Z
412752610,37.49346,126.60500666666667,49,49.9,4.9,2024-06-17T02:00:27.359Z
412752610,37.493298333333335,126.60476333333334,50,49.5,4.9,2024-06-17T02:00:17.113Z
412752610,37.49314833333333,126.60454666666666,50,49.2,5,2024-06-17T02:00:06.800Z
412752610,37.49299666666667,126.60432833333333,49,49,5,2024-06-17T01:59:56.582Z
412752610,37.49270166666667,126.60390166666667,49,49.5,5.1,2024-06-17T01:59:35.490Z
412752610,37.49254666666667,126.60367333333333,49,49.7,5.1,2024-06-17T01:59:25.278Z
412752610,37.492376666666665,126.603425,50,49.6,5.1,2024-06-17T01:59:15.026Z
412752610,37.492221666666666,126.60319833333334,50,50.2,5.2,2024-06-17T01:59:04.758Z
412752610,37.49207,126.60296666666666,50,50.8,5.2,2024-06-17T01:58:54.473Z
412752610,37.49191833333333,126.60272833333333,50,51.3,5.2,2024-06-17T01:58:44.223Z
412752610,37.49178,126.602505,51,51.2,5.3,2024-06-17T01:58:33.902Z
412752610,37.49162333333334,126.60225833333334,51,51,5.3,2024-06-17T01:58:23.689Z
412752610,37.49144833333333,126.60198666666666,51,51.5,5.4,2024-06-17T01:58:13.404Z
412752610,37.490835,126.60101166666666,51,51,5.6,2024-06-17T01:57:32.493Z
412752610,37.490655,126.600735,51,51.3,5.7,2024-06-17T01:57:22.317Z
412752610,37.490491666666664,126.60048,51,51.5,5.7,2024-06-17T01:57:12.066Z
412752610,37.490341666666666,126.60024166666666,51,52.4,5.7,2024-06-17T01:57:01.726Z
