Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.45806666666667,126.59075,169,158.2,10.8,2024-06-17T02:29:23.594Z
440016820,37.458283333333334,126.59063333333333,169,157.6,10.8,2024-06-17T02:29:23.580Z
440016820,37.45856666666667,126.5905,169,157.6,10.7,2024-06-17T02:29:13.269Z
440016820,37.4589,126.59031666666667,169,157.5,10.7,2024-06-17T02:29:03.047Z
440016820,37.459,126.59026666666666,169,158.1,10.7,2024-06-17T02:29:03.033Z
440016820,37.45993333333333,126.58978333333333,170,159.7,10.7,2024-06-17T02:28:42.417Z
440016820,37.460116666666664,126.58971666666666,172,161.2,10.7,2024-06-17T02:28:42.405Z
440016820,37.46045,126.58958333333334,175,166.2,10.7,2024-06-17T02:28:32.241Z
440016820,37.4619,126.58938333333333,187,178.1,11,2024-06-17T02:28:01.527Z
440016820,37.46245,126.58936666666666,187,180,10.9,2024-06-17T02:27:51.351Z
440016820,37.46295,126.58936666666666,188,181.7,10.9,2024-06-17T02:27:41.156Z
440016820,37.463433333333334,126.58941666666666,191,185.6,10.9,2024-06-17T02:27:30.819Z
440016820,37.463966666666664,126.5895,193,187.6,10.9,2024-06-17T02:27:20.452Z
440016820,37.46443333333333,126.58956666666667,193,187,10.8,2024-06-17T02:27:10.184Z
440016820,37.46496666666667,126.58965,193,187.2,10.7,2024-06-17T02:26:59.951Z
440016820,37.46541666666667,126.58971666666666,190,184.7,10.7,2024-06-17T02:26:49.845Z
440016820,37.46561666666667,126.58973333333333,190,183.7,10.7,2024-06-17T02:26:49.815Z
440016820,37.465783333333334,126.58975,188,182.3,10.7,2024-06-17T02:26:49.762Z
440016820,37.46595,126.58975,188,180.8,10.8,2024-06-17T02:26:39.479Z
440016820,37.46608333333333,126.58975,188,180.8,10.8,2024-06-17T02:26:39.468Z
440016820,37.46638333333333,126.58975,187,180.2,10.8,2024-06-17T02:26:39.443Z
440016820,37.46661666666667,126.58976666666666,186,180,10.8,2024-06-17T02:26:29.214Z
440016820,37.4669,126.58976666666666,186,178.3,10.8,2024-06-17T02:26:29.145Z
440016820,37.46743333333333,126.58971666666666,183,176,10.9,2024-06-17T02:26:18.761Z
440016820,37.4679,126.58966666666667,180,170.5,10.8,2024-06-17T02:26:08.507Z
440016820,37.46843333333333,126.58955,176,168.8,10.8,2024-06-17T02:25:58.195Z
440016820,37.4686,126.5895,176,167.8,10.8,2024-06-17T02:25:48.018Z
440016820,37.46875,126.58946666666667,176,167.8,10.8,2024-06-17T02:25:47.998Z
440016820,37.468916666666665,126.58941666666666,176,167.8,10.8,2024-06-17T02:25:47.972Z
440016820,37.46908333333333,126.58936666666666,176,167.6,10.8,2024-06-17T02:25:37.716Z
440016820,37.469366666666666,126.58928333333333,176,167,10.7,2024-06-17T02:25:37.688Z
440016820,37.46971666666666,126.58918333333334,174,166.7,10.6,2024-06-17T02:25:27.397Z
440016820,37.469833333333334,126.58915,174,165.5,10.6,2024-06-17T02:25:27.382Z
440016820,37.470416666666665,126.58896666666666,175,167.5,10.4,2024-06-17T02:25:17.181Z
440016820,37.470816666666664,126.58888333333333,185,177.2,10.4,2024-06-17T02:25:06.879Z
440016820,37.471333333333334,126.58896666666666,195,189.1,10.9,2024-06-17T02:24:56.617Z
440016820,37.4718,126.58906666666667,193,187.8,10.8,2024-06-17T02:24:46.386Z
440016820,37.47235,126.58913333333334,192,185.7,10.9,2024-06-17T02:24:36.175Z
440016820,37.472833333333334,126.5892,192,186.3,10.7,2024-06-17T02:24:25.907Z
440016820,37.47335,126.58926666666666,193,187,10.8,2024-06-17T02:24:15.605Z
440016820,37.47435,126.58943333333333,193,186.7,10.8,2024-06-17T02:23:55.077Z
440016820,37.4753,126.58955,193,187,10.6,2024-06-17T02:23:34.474Z
440016820,37.47581666666667,126.58965,195,189.5,10.6,2024-06-17T02:23:24.149Z
440016820,37.476283333333335,126.58976666666666,199,194.2,10.7,2024-06-17T02:23:13.963Z
440016820,37.47728333333333,126.59013333333333,203,198.3,10.8,2024-06-17T02:22:53.416Z
440016820,37.47775,126.59033333333333,201,197.1,10.8,2024-06-17T02:22:43.048Z
440016820,37.47821666666667,126.59048333333334,198,192.8,10.9,2024-06-17T02:22:32.915Z
440016820,37.47875,126.59063333333333,196,191.2,10.9,2024-06-17T02:22:22.692Z
440016820,37.479166666666664,126.59075,198,192.3,10.9,2024-06-17T02:22:12.455Z
440016820,37.4802,126.59106666666666,199,195.2,11,2024-06-17T02:21:51.904Z
440016820,37.480716666666666,126.59125,200,195.7,11,2024-06-17T02:21:41.752Z
440016820,37.481183333333334,126.59143333333333,201,196.8,11,2024-06-17T02:21:31.538Z
440016820,37.48213333333333,126.59178333333334,202,198.5,11,2024-06-17T02:21:11.119Z
440016820,37.48316666666667,126.59226666666666,205,201.6,11,2024-06-17T02:20:50.653Z
440016820,37.4836,126.59248333333333,206,203,11,2024-06-17T02:20:40.463Z
440016820,37.48405,126.59273333333333,206,203.7,10.9,2024-06-17T02:20:30.267Z
440016820,37.484383333333334,126.59291666666667,206,203.7,10.9,2024-06-17T02:20:30.232Z
440016820,37.48455,126.593,206,203.3,11,2024-06-17T02:20:19.899Z
440016820,37.484716666666664,126.59308333333334,206,203.2,11,2024-06-17T02:20:19.887Z
440016820,37.484833333333334,126.59315,206,203.1,10.9,2024-06-17T02:20:19.876Z
440016820,37.48498333333333,126.59323333333333,206,203.6,11,2024-06-17T02:20:19.861Z
440016820,37.485166666666665,126.59333333333333,206,203.7,10.9,2024-06-17T02:20:09.595Z
440016820,37.48596666666667,126.59378333333333,207,205.7,10.8,2024-06-17T02:19:49.033Z
440016820,37.486383333333336,126.59408333333333,215,212.5,10.9,2024-06-17T02:19:38.865Z
440016820,37.48683333333334,126.59448333333333,218,216.5,11,2024-06-17T02:19:38.765Z
440016820,37.48716666666667,126.5948,218,217.5,11,2024-06-17T02:19:28.525Z
440016820,37.48765,126.59525,219,217.5,10.9,2024-06-17T02:19:18.238Z
