Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.45676666666667,126.59165,172,156.7,9.8,2024-06-26T19:34:05.354Z
440016820,37.45805,126.59103333333333,172,156.1,9.3,2024-06-26T19:33:33.816Z
440016820,37.458416666666665,126.59081666666667,171,155.5,9.3,2024-06-26T19:33:23.597Z
440016820,37.45883333333333,126.59058333333333,172,156.5,9.3,2024-06-26T19:33:13.131Z
440016820,37.45921666666667,126.59038333333334,173,157.3,9.2,2024-06-26T19:33:02.773Z
440016820,37.459633333333336,126.59018333333333,175,160.1,9.1,2024-06-26T19:32:52.302Z
440016820,37.4599,126.59006666666667,174,161,9.1,2024-06-26T19:32:42.108Z
440016820,37.460166666666666,126.58993333333333,174,159,8.9,2024-06-26T19:32:42.084Z
440016820,37.46045,126.58983333333333,176,162.3,9,2024-06-26T19:32:31.892Z
440016820,37.46131666666667,126.58956666666667,182,172.3,9.1,2024-06-26T19:32:11.400Z
440016820,37.46208333333333,126.58946666666667,188,178.1,9.1,2024-06-26T19:31:50.473Z
440016820,37.46265,126.5895,192,183.6,9,2024-06-26T19:31:39.819Z
440016820,37.462916666666665,126.58951666666667,193,185,8.9,2024-06-26T19:31:29.492Z
440016820,37.46318333333333,126.58953333333334,194,184.6,8.9,2024-06-26T19:31:29.473Z
440016820,37.46345,126.58956666666667,192,183.5,8.9,2024-06-26T19:31:19.103Z
440016820,37.4638,126.58958333333334,191,181.5,9,2024-06-26T19:31:08.769Z
440016820,37.46455,126.58965,198,190.7,8.9,2024-06-26T19:30:58.357Z
440016820,37.46536666666667,126.58991666666667,202,195.5,8.9,2024-06-26T19:30:37.092Z
440016820,37.466166666666666,126.59018333333333,199,191.5,9,2024-06-26T19:30:16.399Z
440016820,37.467016666666666,126.59035,195,186.2,9.1,2024-06-26T19:29:55.515Z
440016820,37.46791666666667,126.59043333333334,193,184.5,9.3,2024-06-26T19:29:35.013Z
440016820,37.46876666666667,126.59053333333334,195,184.6,8.8,2024-06-26T19:29:13.978Z
440016820,37.46913333333333,126.59056666666666,195,184.2,8.8,2024-06-26T19:29:03.634Z
440016820,37.46958333333333,126.5906,193,181.7,8.9,2024-06-26T19:28:53.140Z
440016820,37.47006666666667,126.5906,192,179.3,8.9,2024-06-26T19:28:42.503Z
440016820,37.4704,126.5906,191,178.3,8.9,2024-06-26T19:28:32.284Z
440016820,37.47051666666667,126.5906,190,178.1,8.9,2024-06-26T19:28:32.259Z
440016820,37.470616666666665,126.5906,189,177.2,8.7,2024-06-26T19:28:32.231Z
440016820,37.470733333333335,126.59058333333333,189,176.2,8.7,2024-06-26T19:28:21.932Z
440016820,37.4709,126.59056666666666,188,174.7,8.5,2024-06-26T19:28:21.916Z
440016820,37.47105,126.59055,187,173.1,8.6,2024-06-26T19:28:21.899Z
440016820,37.4712,126.59051666666667,185,170.3,8.6,2024-06-26T19:28:11.518Z
440016820,37.47131666666667,126.5905,184,168.7,8.7,2024-06-26T19:28:11.506Z
440016820,37.471583333333335,126.59041666666667,183,167,8.3,2024-06-26T19:28:01.219Z
440016820,37.47196666666667,126.59031666666667,187,173,8.1,2024-06-26T19:27:50.806Z
440016820,37.47271666666666,126.59031666666667,195,184.5,8,2024-06-26T19:27:29.496Z
440016820,37.47306666666667,126.59035,195,184.2,7.9,2024-06-26T19:27:29.452Z
440016820,37.47345,126.59038333333334,194,183.7,7.9,2024-06-26T19:27:19.051Z
440016820,37.4738,126.59041666666667,195,184.6,8,2024-06-26T19:27:08.218Z
440016820,37.4742,126.59046666666667,195,185.1,8,2024-06-26T19:26:57.948Z
440016820,37.47493333333333,126.59055,198,189.3,7.9,2024-06-26T19:26:37.338Z
440016820,37.475033333333336,126.59058333333333,199,190.3,7.9,2024-06-26T19:26:27.064Z
440016820,37.47526666666667,126.59063333333333,200,192.2,7.9,2024-06-26T19:26:27.038Z
440016820,37.47541666666667,126.59068333333333,201,193.7,7.8,2024-06-26T19:26:16.686Z
440016820,37.47565,126.59075,202,195.7,7.9,2024-06-26T19:26:16.641Z
440016820,37.47575,126.5908,203,196.3,7.9,2024-06-26T19:26:06.423Z
440016820,37.475966666666665,126.59088333333334,205,199,7.9,2024-06-26T19:26:06.377Z
440016820,37.4762,126.591,206,199.3,7.9,2024-06-26T19:25:56.154Z
440016820,37.476333333333336,126.59105,206,198.1,8,2024-06-26T19:25:56.137Z
440016820,37.47643333333333,126.5911,205,198.1,7.8,2024-06-26T19:25:56.124Z
440016820,37.47656666666666,126.59115,204,196.2,7.9,2024-06-26T19:25:46.041Z
440016820,37.47666666666667,126.59118333333333,203,194.7,7.9,2024-06-26T19:25:46.012Z
440016820,37.47695,126.59125,198,187.3,7.9,2024-06-26T19:25:35.899Z
440016820,37.47705,126.59126666666667,195,184.1,7.8,2024-06-26T19:25:35.857Z
440016820,37.477383333333336,126.59126666666667,192,178.8,7.9,2024-06-26T19:25:35.758Z
440016820,37.49831666666667,126.59733333333334,195,182.1,7.4,2024-06-26T19:15:16.747Z
440016820,37.49868333333333,126.59735,195,181.2,7.4,2024-06-26T19:15:06.368Z
440016820,37.49905,126.59736666666667,197,186.1,7.4,2024-06-26T19:14:56.071Z
440016820,37.49965,126.59746666666666,197,186,7.3,2024-06-26T19:14:35.522Z
440016820,37.499966666666666,126.59748333333333,194,182.2,7.3,2024-06-26T19:14:24.579Z
440016820,37.50035,126.5975,193,181,7.2,2024-06-26T19:14:14.290Z
440016820,37.50075,126.59751666666666,194,183,7.1,2024-06-26T19:14:04.026Z
440016820,37.50105,126.59753333333333,197,185.3,7.1,2024-06-26T19:13:53.713Z
440016820,37.501666666666665,126.59763333333333,196,186.2,7.1,2024-06-26T19:13:31.910Z
440016820,37.50233333333333,126.59763333333333,190,175.8,7.1,2024-06-26T19:13:11.335Z
440016820,37.50268333333333,126.5976,190,176.3,7.1,2024-06-26T19:13:01.105Z
440016820,37.504416666666664,126.59768333333334,196,186.1,7.9,2024-06-26T19:12:19.838Z
440016820,37.50481666666666,126.59773333333334,194,184.6,8.1,2024-06-26T19:11:59.093Z
440016820,37.50521666666667,126.59776666666667,194,184.2,8.3,2024-06-26T19:11:48.810Z
440016820,37.50595,126.59776666666667,189,175.7,8.3,2024-06-26T19:11:38.603Z
440016820,37.5063,126.59771666666667,188,175.1,8.2,2024-06-26T19:11:28.306Z
440016820,37.50671666666667,126.59768333333334,189,175.8,8.3,2024-06-26T19:11:18.087Z
440016820,37.50755,126.5976,186,173.2,8.2,2024-06-26T19:10:57.372Z
440016820,37.50823333333334,126.59751666666666,187,175.2,8.3,2024-06-26T19:10:35.899Z
440016820,37.509,126.59741666666666,186,172.3,8.5,2024-06-26T19:10:15.072Z
440016820,37.50983333333333,126.59723333333334,182,169.7,8.4,2024-06-26T19:09:53.374Z
440016820,37.51055,126.59706666666666,184,170.6,8.4,2024-06-26T19:09:32.186Z
440016820,37.51135,126.59695,187,175.2,8.5,2024-06-26T19:09:11.672Z
440016820,37.5122,126.59685,187,175,8.4,2024-06-26T19:08:50.326Z
440016820,37.512883333333335,126.59683333333334,188,178.5,8.3,2024-06-26T19:08:29.700Z
440016820,37.5137,126.5968,187,176.5,8.2,2024-06-26T19:08:19.375Z
440016820,37.5145,126.59671666666667,187,175.6,8.2,2024-06-26T19:07:48.236Z
440016820,37.51521666666667,126.59663333333333,183,170.6,8.3,2024-06-26T19:07:37.979Z
440016820,37.515966666666664,126.59643333333334,179,164.1,8.3,2024-06-26T19:07:16.232Z
440016820,37.51676666666667,126.59613333333333,176,163.8,8.1,2024-06-26T19:06:55.286Z
440016820,37.51743333333334,126.59596666666667,181,170.3,8.1,2024-06-26T19:06:34.759Z
440016820,37.51818333333333,126.59583333333333,183,171.7,8,2024-06-26T19:06:13.684Z
440016820,37.51865,126.59573333333333,183,170.7,8,2024-06-26T19:06:02.545Z
440016820,37.51893333333334,126.59566666666667,182,168.7,7.9,2024-06-26T19:05:52.243Z
