Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.45141,126.59396,266,63.1,0,2024-06-11T07:31:00.181Z
440016820,37.455216666666665,126.59143333333333,137,119.3,8.9,2024-06-11T07:14:32.781Z
440016820,37.45535,126.59111666666666,124,109.3,8.8,2024-06-11T07:14:22.606Z
440016820,37.45538333333333,126.5908,103,88.8,9.5,2024-06-11T07:14:22.572Z
440016820,37.45531666666667,126.59041666666667,85,68.3,10,2024-06-11T07:14:12.280Z
440016820,37.455283333333334,126.59028333333333,80,66.6,10.2,2024-06-11T07:14:12.250Z
440016820,37.45518333333333,126.59003333333334,73,57.6,10.1,2024-06-11T07:14:01.919Z
440016820,37.45498333333333,126.58975,55,43.6,10.5,2024-06-11T07:14:01.884Z
440016820,37.45455,126.58936666666666,36,31.3,10.5,2024-06-11T07:13:51.689Z
440016820,37.4488,126.58708333333334,14,11.8,10.9,2024-06-11T07:11:48.616Z
440016820,37.4473,126.58653333333334,22,19.6,11.2,2024-06-11T07:11:17.849Z
440016820,37.44685,126.58631666666666,25,20.8,11.1,2024-06-11T07:11:07.514Z
440016820,37.445683333333335,126.58583333333333,21,15.8,11.3,2024-06-11T07:10:46.799Z
440016820,37.44538333333333,126.58573333333334,19,14.3,11.3,2024-06-11T07:10:36.562Z
440016820,37.44493333333333,126.58558333333333,16,11.3,11.3,2024-06-11T07:10:25.780Z
440016820,37.44381666666666,126.5854,8,4.8,11.3,2024-06-11T07:10:05.275Z
440016820,37.4423,126.58523333333333,10,6,11.3,2024-06-11T07:09:34.585Z
440016820,37.441716666666665,126.58515,8,4.6,11.3,2024-06-11T07:09:24.342Z
440016820,37.44153333333333,126.58513333333333,8,4.3,11.3,2024-06-11T07:09:24.323Z
440016820,37.44108333333333,126.58511666666666,8,3.8,11.4,2024-06-11T07:09:14.047Z
440016820,37.44081666666667,126.5851,6,2.1,11.4,2024-06-11T07:09:14.027Z
440016820,37.4407,126.58508333333333,5,1.8,11.4,2024-06-11T07:09:03.732Z
440016820,37.44045,126.58508333333333,5,0.8,11.4,2024-06-11T07:09:03.713Z
440016820,37.43978333333333,126.5851,1,356.7,11.2,2024-06-11T07:08:53.457Z
440016820,37.4396,126.5851,0,355.1,11.2,2024-06-11T07:08:43.222Z
440016820,37.438766666666666,126.58531666666667,346,338.9,10.8,2024-06-11T07:08:32.896Z
440016820,37.438583333333334,126.58541666666666,342,334.4,11,2024-06-11T07:08:32.878Z
440016820,37.43813333333333,126.58576666666667,327,319.5,10.6,2024-06-11T07:08:22.625Z
440016820,37.43785,126.58613333333334,311,306.4,10.4,2024-06-11T07:08:12.337Z
440016820,37.437733333333334,126.58636666666666,303,300.2,10.3,2024-06-11T07:08:02.154Z
440016820,37.437583333333336,126.58675,295,293.4,10.1,2024-06-11T07:08:02.066Z
440016820,37.43743333333333,126.58726666666666,284,285.4,10.1,2024-06-11T07:07:51.784Z
440016820,37.43735,126.58781666666667,276,277.1,10,2024-06-11T07:07:41.519Z
440016820,37.43731666666667,126.58838333333334,272,274.5,9.9,2024-06-11T07:07:31.229Z
440016820,37.43725,126.58948333333333,274,275.2,10.2,2024-06-11T07:07:10.751Z
440016820,37.43718333333333,126.59025,276,276.7,10.1,2024-06-11T07:07:00.431Z
440016820,37.4371,126.59078333333333,279,280,9.9,2024-06-11T07:06:50.199Z
440016820,37.437,126.59195,276,273.7,9.9,2024-06-11T07:06:29.656Z
440016820,37.43696666666666,126.59243333333333,275,274.4,9.8,2024-06-11T07:06:19.400Z
440016820,37.436933333333336,126.59291666666667,276,275.1,9.9,2024-06-11T07:06:09.148Z
440016820,37.43691666666667,126.593,277,276,9.8,2024-06-11T07:06:09.139Z
440016820,37.4369,126.59326666666666,281,278.7,9.9,2024-06-11T07:06:09.122Z
440016820,37.43683333333333,126.59373333333333,282,278.4,9.8,2024-06-11T07:05:58.846Z
440016820,37.43678333333333,126.59418333333333,278,274.1,9.8,2024-06-11T07:05:48.551Z
440016820,37.436766666666664,126.5952,271,268.6,9.7,2024-06-11T07:05:27.981Z
440016820,37.436766666666664,126.59533333333333,271,269.2,9.8,2024-06-11T07:05:27.969Z
440016820,37.436766666666664,126.59551666666667,271,269.9,9.7,2024-06-11T07:05:27.956Z
440016820,37.436766666666664,126.59585,273,271.1,9.7,2024-06-11T07:05:17.739Z
440016820,37.436766666666664,126.59643333333334,271,269.5,9.7,2024-06-11T07:05:07.529Z
440016820,37.43678333333333,126.59698333333333,269,266.9,9.7,2024-06-11T07:04:57.285Z
440016820,37.436816666666665,126.5976,265,262.6,9.7,2024-06-11T07:04:47.070Z
440016820,37.43696666666666,126.5987,262,260.9,9.5,2024-06-11T07:04:26.431Z
440016820,37.43698333333333,126.59883333333333,263,261.4,9.5,2024-06-11T07:04:26.415Z
440016820,37.43703333333333,126.59923333333333,265,263,9.5,2024-06-11T07:04:16.073Z
440016820,37.43706666666667,126.59961666666666,266,264.1,9.5,2024-06-11T07:04:16.041Z
440016820,37.43706666666667,126.59975,267,263.7,9.5,2024-06-11T07:04:05.781Z
440016820,37.4371,126.59995,267,264.2,9.6,2024-06-11T07:04:05.764Z
440016820,37.43718333333333,126.60095,265,262,9.7,2024-06-11T07:03:45.300Z
440016820,37.4372,126.60108333333334,265,260.5,9.8,2024-06-11T07:03:45.289Z
440016820,37.43725,126.60141666666667,261,258.5,10,2024-06-11T07:03:34.812Z
440016820,37.43745,126.6022,250,246.7,10,2024-06-11T07:03:24.508Z
440016820,37.437866666666665,126.60298333333333,227,224.1,10.1,2024-06-11T07:03:04.166Z
440016820,37.438266666666664,126.6034,218,214.7,10.2,2024-06-11T07:02:53.853Z
440016820,37.438716666666664,126.60373333333334,211,207.1,10.2,2024-06-11T07:02:43.533Z
440016820,37.43906666666667,126.60396666666666,213,209.4,10.3,2024-06-11T07:02:43.505Z
440016820,37.43986666666667,126.60465,218,217,10.3,2024-06-11T07:02:22.887Z
440016820,37.44025,126.60501666666667,219,217.6,10.2,2024-06-11T07:02:12.591Z
440016820,37.4406,126.60533333333333,215,213.6,10.2,2024-06-11T07:02:02.346Z
440016820,37.441383333333334,126.60596666666666,213,211.1,10.1,2024-06-11T07:01:41.807Z
440016820,37.44185,126.60628333333334,211,208.1,10,2024-06-11T07:01:31.421Z
440016820,37.442233333333334,126.60656666666667,212,209.7,10,2024-06-11T07:01:21.171Z
440016820,37.44265,126.60688333333333,215,212.7,10,2024-06-11T07:01:10.841Z
440016820,37.4428,126.607,215,213.2,10,2024-06-11T07:01:00.595Z
440016820,37.443583333333336,126.60765,216,214.1,10,2024-06-11T07:00:40.001Z
440016820,37.44376666666667,126.60781666666666,217,214.2,10.1,2024-06-11T07:00:39.988Z
440016820,37.44403333333333,126.60805,218,216.2,10.1,2024-06-11T07:00:29.718Z
440016820,37.44421666666667,126.60821666666666,219,217.7,10.1,2024-06-11T07:00:29.703Z
440016820,37.4443,126.6083,220,218.6,10.1,2024-06-11T07:00:29.690Z
440016820,37.44456666666667,126.60858333333333,223,221.9,10.1,2024-06-11T07:00:19.484Z
440016820,37.44486666666667,126.60896666666666,228,226.9,10,2024-06-11T07:00:09.264Z
440016820,37.444966666666666,126.6091,230,229.6,9.9,2024-06-11T07:00:09.246Z
440016820,37.44515,126.60938333333333,232,233.2,9.8,2024-06-11T06:59:58.983Z
440016820,37.44545,126.60995,242,243.7,9.5,2024-06-11T06:59:48.692Z
440016820,37.445566666666664,126.61038333333333,260,261.4,9.8,2024-06-11T06:59:38.415Z
440016820,37.445616666666666,126.61085,262,261.1,9.8,2024-06-11T06:59:28.131Z
440016820,37.44563333333333,126.61105,262,260.4,9.8,2024-06-11T06:59:28.113Z
440016820,37.44565,126.61118333333333,261,260.7,9.6,2024-06-11T06:59:28.097Z
440016820,37.44571666666667,126.61158333333333,261,260.2,9.3,2024-06-11T06:59:17.877Z
440016820,37.445766666666664,126.61188333333334,261,260.1,9,2024-06-11T06:59:07.680Z
440016820,37.44585,126.6125,256,250.7,6.5,2024-06-11T06:58:57.297Z
440016820,37.4459,126.6127,255,249.2,3.6,2024-06-11T06:58:47.017Z
440016820,37.445933333333336,126.61276666666667,264,241.6,2.3,2024-06-11T06:58:46.995Z
440016820,37.44596666666666,126.61281666666666,303,179.7,1.5,2024-06-11T06:58:36.743Z
440016820,37.44603333333333,126.61281666666666,338,173.2,2.9,2024-06-11T06:58:36.710Z
440016820,37.446133333333336,126.6128,352,182.5,2.9,2024-06-11T06:58:26.070Z
440016820,37.446216666666665,126.61283333333333,14,208.1,1.9,2024-06-11T06:58:15.879Z
440016820,37.44625,126.61288333333333,24,262.6,0.4,2024-06-11T06:58:05.569Z
440016820,37.44623333333333,126.61288333333333,24,329.9,0.1,2024-06-11T06:57:55.199Z
440016820,37.44625,126.61288333333333,25,40,0.1,2024-06-11T06:57:34.651Z
440016820,37.44625,126.61288333333333,25,174.8,0.1,2024-06-11T06:57:14.113Z
440016820,37.446266666666666,126.61288333333333,26,140.6,0.1,2024-06-11T06:57:03.865Z
440016820,37.446283333333334,126.61285,30,161.7,0.2,2024-06-11T06:56:32.984Z
440016820,37.4463,126.61285,31,165.7,0.2,2024-06-11T06:56:32.957Z
440016820,37.4463,126.61285,33,170.3,0.3,2024-06-11T06:56:22.651Z
440016820,37.4463,126.61286666666666,36,159.5,0.2,2024-06-11T06:56:12.279Z
440016820,37.4463,126.61286666666666,36,144.7,0.2,2024-06-11T06:56:12.271Z
440016820,37.44631666666667,126.61286666666666,37,103.8,0.1,2024-06-11T06:56:02.054Z
440016820,37.44631666666667,126.61285,35,83.5,0.1,2024-06-11T06:56:02.015Z
440016820,37.44631666666667,126.61283333333333,23,83.6,0.2,2024-06-11T06:55:41.511Z
440016820,37.44631666666667,126.6128,20,75.1,0.3,2024-06-11T06:55:20.986Z
440016820,37.4463,126.6128,21,350.9,0.2,2024-06-11T06:55:10.723Z
440016820,37.44631666666667,126.61281666666666,19,275.6,0.3,2024-06-11T06:54:50.202Z
440016820,37.44631666666667,126.61281666666666,19,271.6,0.2,2024-06-11T06:54:39.849Z
440016820,37.4463,126.61288333333333,26,293.7,0.4,2024-06-11T06:53:58.831Z
440016820,37.446283333333334,126.6129,25,303.2,0.4,2024-06-11T06:53:48.585Z
440016820,37.44625,126.61291666666666,26,43.8,0.3,2024-06-11T06:53:28.045Z
440016820,37.44623333333333,126.61286666666666,28,33.3,0.6,2024-06-11T06:53:07.647Z
440016820,37.446216666666665,126.61285,25,27,0.9,2024-06-11T06:52:57.247Z
440016820,37.446133333333336,126.6128,24,35.5,0.8,2024-06-11T06:52:36.631Z
440016820,37.44606666666667,126.61271666666667,22,69.8,1,2024-06-11T06:52:14.930Z
440016820,37.44605,126.61265,24,78.5,1.4,2024-06-11T06:52:04.676Z
440016820,37.44603333333333,126.61258333333333,24,90,1.3,2024-06-11T06:51:54.436Z
440016820,37.44603333333333,126.61248333333333,29,102.1,1.3,2024-06-11T06:51:44.211Z
440016820,37.44605,126.61241666666666,31,107.6,1.4,2024-06-11T06:51:33.977Z
440016820,37.44606666666667,126.61238333333333,33,108.5,1.3,2024-06-11T06:51:33.954Z
440016820,37.446083333333334,126.61233333333334,36,106.8,1.4,2024-06-11T06:51:23.734Z
440016820,37.4461,126.61228333333334,36,105.6,1.3,2024-06-11T06:51:13.542Z
440016820,37.44611666666667,126.6122,32,99.1,1.4,2024-06-11T06:51:03.323Z
440016820,37.44611666666667,126.61215,31,96.5,1.5,2024-06-11T06:51:03.305Z
440016820,37.446133333333336,126.61195,20,94.8,1.7,2024-06-11T06:50:42.703Z
440016820,37.446133333333336,126.61183333333334,24,90.6,1.6,2024-06-11T06:50:32.474Z
440016820,37.446133333333336,126.6118,23,91,1.6,2024-06-11T06:50:22.272Z
440016820,37.446133333333336,126.61175,25,87.8,1.6,2024-06-11T06:50:22.241Z
440016820,37.446133333333336,126.61165,22,95,1.7,2024-06-11T06:50:11.955Z
440016820,37.446133333333336,126.6116,23,100,1.8,2024-06-11T06:50:01.769Z
440016820,37.44615,126.61155,22,104.8,1.6,2024-06-11T06:50:01.740Z
440016820,37.4462,126.61138333333334,30,118.5,2.2,2024-06-11T06:49:41.244Z
440016820,37.44623333333333,126.6113,34,118.8,2,2024-06-11T06:49:41.224Z
440016820,37.44631666666667,126.6111,28,114.6,2.1,2024-06-11T06:49:20.723Z
440016820,37.44636666666667,126.61086666666667,28,96.1,2,2024-06-11T06:49:00.257Z
440016820,37.44636666666667,126.61066666666666,25,86.6,1.6,2024-06-11T06:48:39.755Z
440016820,37.44635,126.61055,23,91.6,1.4,2024-06-11T06:48:29.555Z
440016820,37.44635,126.6105,24,91.8,1.3,2024-06-11T06:48:19.308Z
440016820,37.44636666666667,126.61045,24,91.1,1.1,2024-06-11T06:48:09.105Z
440016820,37.44636666666667,126.61043333333333,24,93.6,1,2024-06-11T06:48:09.072Z
440016820,37.44636666666667,126.6104,24,95.1,0.9,2024-06-11T06:48:09.034Z
440016820,37.446416666666664,126.6103,33,239.2,0.5,2024-06-11T06:47:28.118Z
440016820,37.446416666666664,126.61031666666666,35,252.9,0.9,2024-06-11T06:47:17.886Z
440016820,37.446416666666664,126.61033333333333,37,242.2,0.6,2024-06-11T06:47:07.560Z
440016820,37.44643333333333,126.61036666666666,39,237.4,1,2024-06-11T06:47:07.531Z
440016820,37.446466666666666,126.6105,46,286.1,1.7,2024-06-11T06:46:46.931Z
440016820,37.44645,126.61051666666667,46,286.1,1.8,2024-06-11T06:46:46.917Z
440016820,37.44643333333333,126.61056666666667,46,290.9,1.6,2024-06-11T06:46:36.648Z
440016820,37.446416666666664,126.61063333333334,51,294.9,1.9,2024-06-11T06:46:36.616Z
440016820,37.44638333333333,126.61071666666666,59,298.2,2,2024-06-11T06:46:25.758Z
440016820,37.44635,126.61078333333333,68,300.9,2,2024-06-11T06:46:15.532Z
440016820,37.4463,126.61086666666667,82,306.6,2.2,2024-06-11T06:46:05.247Z
440016820,37.446283333333334,126.61091666666667,88,308.1,2.2,2024-06-11T06:46:05.229Z
440016820,37.44618333333333,126.61105,107,316.6,2.4,2024-06-11T06:45:54.957Z
440016820,37.44615,126.6111,112,317.7,2.2,2024-06-11T06:45:44.747Z
440016820,37.446133333333336,126.61113333333333,116,320.9,2.3,2024-06-11T06:45:44.734Z
440016820,37.44606666666667,126.61118333333333,122,328.2,2.3,2024-06-11T06:45:34.509Z
440016820,37.446,126.61123333333333,131,331.5,2.2,2024-06-11T06:45:34.481Z
440016820,37.44596666666666,126.61125,135,331.2,2.1,2024-06-11T06:45:24.201Z
440016820,37.445933333333336,126.61126666666667,139,330,2,2024-06-11T06:45:24.189Z
440016820,37.445883333333335,126.6113,146,331.2,2,2024-06-11T06:45:13.995Z
440016820,37.44578333333333,126.61131666666667,155,351.5,2.1,2024-06-11T06:45:03.697Z
440016820,37.4457,126.61133333333333,159,358.7,2.1,2024-06-11T06:45:03.657Z
440016820,37.44558333333333,126.61135,169,1.5,1.8,2024-06-11T06:44:43.178Z
440016820,37.445566666666664,126.61135,171,8.8,1.9,2024-06-11T06:44:43.162Z
440016820,37.44546666666667,126.61131666666667,183,21.3,1.3,2024-06-11T06:44:32.810Z
440016820,37.445433333333334,126.6113,183,42.1,1.4,2024-06-11T06:44:22.521Z
440016820,37.445366666666665,126.61116666666666,189,66.1,1.4,2024-06-11T06:44:12.236Z
440016820,37.44535,126.61113333333333,188,68.8,1.4,2024-06-11T06:44:12.218Z
440016820,37.44533333333333,126.61111666666666,187,69.3,1.4,2024-06-11T06:44:02.082Z
440016820,37.44533333333333,126.61106666666667,185,71.1,1.4,2024-06-11T06:44:02.051Z
440016820,37.44531666666666,126.611,180,73.1,1.5,2024-06-11T06:43:51.853Z
440016820,37.4453,126.61096666666667,177,75.3,1.5,2024-06-11T06:43:51.836Z
440016820,37.4453,126.61095,175,75.3,1.5,2024-06-11T06:43:41.544Z
440016820,37.44526666666667,126.61083333333333,160,75.6,1.7,2024-06-11T06:43:31.337Z
440016820,37.44526666666667,126.61078333333333,155,75.8,2.1,2024-06-11T06:43:31.302Z
440016820,37.44526666666667,126.61075,152,77.1,1.9,2024-06-11T06:43:21.017Z
440016820,37.44525,126.61061666666667,132,88,2,2024-06-11T06:43:10.760Z
440016820,37.44525,126.61056666666667,129,92.6,1.9,2024-06-11T06:43:10.744Z
440016820,37.44525,126.61046666666667,126,89.1,1.7,2024-06-11T06:43:00.498Z
440016820,37.44525,126.61038333333333,124,89.5,1.8,2024-06-11T06:42:50.182Z
440016820,37.44525,126.61031666666666,122,88.6,1.9,2024-06-11T06:42:39.867Z
440016820,37.445233333333334,126.61016666666667,118,87.1,1.9,2024-06-11T06:42:29.622Z
440016820,37.445233333333334,126.61008333333334,116,86.3,1.9,2024-06-11T06:42:19.341Z
440016820,37.44521666666667,126.60995,110,84,1.9,2024-06-11T06:42:09.010Z
440016820,37.44521666666667,126.6099,109,82,2,2024-06-11T06:42:08.990Z
440016820,37.44521666666667,126.60986666666666,107,81.3,2,2024-06-11T06:42:08.975Z
440016820,37.44521666666667,126.60978333333334,104,80.1,2,2024-06-11T06:41:58.699Z
440016820,37.44518333333333,126.60965,97,78,2.3,2024-06-11T06:41:48.456Z
440016820,37.44518333333333,126.6096,95,77.1,2.4,2024-06-11T06:41:48.443Z
