Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.451483333333336,126.59406666666666,91,276.4,0,2024-06-24T16:51:54.784Z
440016820,37.45145,126.59408333333333,92,257.7,0,2024-06-24T16:49:57.796Z
440016820,37.45146666666667,126.59406666666666,92,93.6,0.1,2024-06-24T16:48:12.865Z
440016820,37.451483333333336,126.59406666666666,92,106.7,0,2024-06-24T16:48:02.321Z
440016820,37.451483333333336,126.5941,91,74,0,2024-06-24T16:42:20.868Z
440016820,37.451483333333336,126.5941,93,84.8,0,2024-06-24T16:39:03.242Z
440016820,37.45146666666667,126.59406666666666,94,94.3,0,2024-06-24T16:38:52.994Z
440016820,37.45146666666667,126.59403333333333,100,172.1,0.6,2024-06-24T16:38:22.235Z
440016820,37.45155,126.59403333333333,119,129.3,0.9,2024-06-24T16:38:01.647Z
440016820,37.45155,126.59401666666666,134,137.8,1.8,2024-06-24T16:38:01.632Z
440016820,37.451566666666665,126.59398333333333,147,132,2.2,2024-06-24T16:37:51.229Z
440016820,37.45171666666667,126.59388333333334,174,160.6,5.1,2024-06-24T16:37:41.006Z
440016820,37.45186666666667,126.59383333333334,181,168.1,7.5,2024-06-24T16:37:40.979Z
440016820,37.452416666666664,126.5937,183,171.5,9.8,2024-06-24T16:37:20.521Z
440016820,37.45258333333334,126.59366666666666,185,173.3,9.9,2024-06-24T16:37:20.501Z
440016820,37.45291666666667,126.5936,184,171.3,10,2024-06-24T16:37:10.261Z
440016820,37.458333333333336,126.59158333333333,180,162.5,9.3,2024-06-24T16:35:15.216Z
440016820,37.45875,126.59143333333333,181,165.7,9.1,2024-06-24T16:35:04.852Z
440016820,37.460366666666665,126.59081666666667,179,161.6,8.7,2024-06-24T16:34:23.573Z
440016820,37.46111666666667,126.59055,182,167.3,8.4,2024-06-24T16:34:02.505Z
440016820,37.46185,126.59041666666667,190,178.6,8.3,2024-06-24T16:33:41.885Z
440016820,37.462266666666665,126.5904,189,177.8,8.4,2024-06-24T16:33:31.655Z
440016820,37.4638,126.59038333333334,193,179,8.3,2024-06-24T16:32:50.289Z
440016820,37.46505,126.59058333333333,198,186.7,8.4,2024-06-24T16:32:19.367Z
440016820,37.4658,126.59078333333333,207,199.7,8.4,2024-06-24T16:31:58.874Z
440016820,37.466516666666664,126.59108333333333,204,194.6,8.7,2024-06-24T16:31:38.112Z
440016820,37.466883333333335,126.5912,204,194.3,8.6,2024-06-24T16:31:27.878Z
440016820,37.46731666666667,126.59136666666667,206,196.7,8.4,2024-06-24T16:31:17.508Z
440016820,37.469233333333335,126.59183333333333,203,191.5,8.5,2024-06-24T16:30:36.127Z
440016820,37.475,126.59281666666666,198,184.8,8.2,2024-06-24T16:27:58.203Z
440016820,37.475766666666665,126.5929,202,188.6,8.1,2024-06-24T16:27:36.777Z
440016820,37.48663333333333,126.59456666666667,208,197.8,7.6,2024-06-24T16:22:37.006Z
440016820,37.48791666666666,126.59518333333334,213,204.6,7.6,2024-06-24T16:21:55.726Z
