Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.4593,126.59078333333333,177,164.5,10.7,2024-06-21T05:34:11.313Z
440016820,37.45968333333333,126.59063333333333,175,162,10.6,2024-06-21T05:34:01.061Z
440016820,37.460633333333334,126.59026666666666,176,164.5,10.7,2024-06-21T05:33:40.317Z
440016820,37.46115,126.59008333333334,175,163.8,10.9,2024-06-21T05:33:29.983Z
440016820,37.46215,126.58975,176,166.2,10.9,2024-06-21T05:33:09.001Z
440016820,37.46256666666667,126.58965,179,169.2,11,2024-06-21T05:32:58.760Z
440016820,37.463683333333336,126.58951666666667,185,178.5,11.3,2024-06-21T05:32:38.183Z
440016820,37.464166666666664,126.58951666666667,188,181.3,11.2,2024-06-21T05:32:27.962Z
440016820,37.46471666666667,126.58955,191,184.7,11.3,2024-06-21T05:32:17.353Z
440016820,37.46528333333333,126.58961666666667,192,185.7,11.2,2024-06-21T05:32:06.987Z
440016820,37.4657,126.58968333333333,194,187.1,11.1,2024-06-21T05:31:56.721Z
440016820,37.46633333333333,126.58976666666666,192,185.8,11.1,2024-06-21T05:31:46.411Z
440016820,37.46675,126.58981666666666,194,186.8,11.1,2024-06-21T05:31:36.105Z
440016820,37.46778333333334,126.59001666666667,195,189.1,11.1,2024-06-21T05:31:15.447Z
440016820,37.468333333333334,126.59011666666666,194,187.6,11.2,2024-06-21T05:31:05.108Z
440016820,37.46881666666667,126.5902,192,185.3,11.1,2024-06-21T05:30:54.847Z
440016820,37.469366666666666,126.59023333333333,190,181.6,11.1,2024-06-21T05:30:44.590Z
440016820,37.46985,126.59023333333333,188,180.8,11.2,2024-06-21T05:30:34.101Z
440016820,37.47253333333333,126.59038333333334,191,184.7,11.2,2024-06-21T05:29:42.359Z
440016820,37.47303333333333,126.59045,192,185.7,11.2,2024-06-21T05:29:42.328Z
440016820,37.47351666666667,126.59051666666667,192,185.6,11.2,2024-06-21T05:29:32.068Z
440016820,37.474,126.59056666666666,192,186.2,11.1,2024-06-21T05:29:21.492Z
440016820,37.47455,126.59063333333333,193,186.7,11.1,2024-06-21T05:29:11.192Z
440016820,37.475033333333336,126.59071666666667,193,187.8,11.2,2024-06-21T05:29:00.966Z
440016820,37.476083333333335,126.59088333333334,193,186.7,11.2,2024-06-21T05:28:40.370Z
440016820,37.47665,126.59098333333333,192,186,11.1,2024-06-21T05:28:30.094Z
440016820,37.47866666666667,126.59131666666667,196,190.3,11.2,2024-06-21T05:27:48.806Z
440016820,37.479683333333334,126.59153333333333,194,188.7,11.2,2024-06-21T05:27:28.341Z
440016820,37.48016666666667,126.59161666666667,193,188.1,11.2,2024-06-21T05:27:18.080Z
440016820,37.4812,126.59178333333334,195,190.8,11,2024-06-21T05:26:57.193Z
440016820,37.48186666666667,126.59196666666666,197,193.1,11.1,2024-06-21T05:26:46.865Z
440016820,37.4822,126.59206666666667,199,194.6,11.1,2024-06-21T05:26:36.667Z
440016820,37.482533333333336,126.59218333333334,201,197.1,11.1,2024-06-21T05:26:36.609Z
440016820,37.482733333333336,126.59226666666666,202,198.7,11.1,2024-06-21T05:26:26.322Z
440016820,37.482866666666666,126.59233333333333,203,199.8,11.1,2024-06-21T05:26:26.310Z
440016820,37.4832,126.59248333333333,204,201.7,11.1,2024-06-21T05:26:16.073Z
440016820,37.483716666666666,126.59278333333333,209,207.1,11.2,2024-06-21T05:26:05.618Z
440016820,37.485,126.59381666666667,218,216.6,11.2,2024-06-21T05:25:44.671Z
440016820,37.48543333333333,126.59425,220,219.7,11.3,2024-06-21T05:25:24.091Z
440016820,37.48558333333333,126.59441666666666,221,220.6,11.2,2024-06-21T05:25:24.077Z
440016820,37.4858,126.59465,222,221.7,11.2,2024-06-21T05:25:24.049Z
440016820,37.48605,126.59493333333333,224,223.7,11.2,2024-06-21T05:25:13.608Z
440016820,37.4862,126.59513333333334,226,225.5,11.2,2024-06-21T05:25:03.420Z
440016820,37.4863,126.59525,226,226.7,11.1,2024-06-21T05:25:03.400Z
440016820,37.487183333333334,126.59661666666666,234,234.9,11.1,2024-06-21T05:24:42.686Z
440016820,37.4873,126.59683333333334,236,236.7,11.1,2024-06-21T05:24:32.376Z
440016820,37.48748333333333,126.59721666666667,239,239.7,11.1,2024-06-21T05:24:32.347Z
440016820,37.48765,126.59758333333333,242,242.2,11.1,2024-06-21T05:24:21.596Z
440016820,37.48768333333334,126.59765,243,243.1,11.1,2024-06-21T05:24:21.584Z
440016820,37.487766666666666,126.59788333333333,244,244.9,11.1,2024-06-21T05:24:11.417Z
440016820,37.48795,126.59838333333333,246,246.4,11.1,2024-06-21T05:24:11.351Z
440016820,37.488,126.59855,247,247.2,11.1,2024-06-21T05:24:01.122Z
440016820,37.48806666666667,126.5987,248,248,11.1,2024-06-21T05:24:01.077Z
440016820,37.4882,126.59911666666666,249,247.7,11.1,2024-06-21T05:23:50.816Z
440016820,37.488283333333335,126.59936666666667,246,245.4,11.1,2024-06-21T05:23:50.780Z
440016820,37.488483333333335,126.59983333333334,240,239.2,11,2024-06-21T05:23:40.443Z
440016820,37.48858333333333,126.60005,238,238.6,11.1,2024-06-21T05:23:40.429Z
440016820,37.4887,126.60028333333334,237,237.7,11,2024-06-21T05:23:40.418Z
440016820,37.48878333333333,126.60041666666666,236,236.7,10.9,2024-06-21T05:23:30.094Z
440016820,37.488883333333334,126.60063333333333,236,238.1,10.9,2024-06-21T05:23:30.072Z
440016820,37.48896666666667,126.60078333333334,237,237.9,10.9,2024-06-21T05:23:30.057Z
440016820,37.4891,126.60106666666667,239,241.1,10.8,2024-06-21T05:23:19.505Z
440016820,37.48923333333333,126.60136666666666,241,243.1,10.8,2024-06-21T05:23:19.483Z
440016820,37.48936666666667,126.60176666666666,246,247.4,10.9,2024-06-21T05:23:09.295Z
440016820,37.48956666666667,126.60251666666667,256,255.7,11,2024-06-21T05:22:58.864Z
440016820,37.48963333333333,126.60291666666667,255,254.7,11,2024-06-21T05:22:48.706Z
440016820,37.489733333333334,126.60333333333334,254,253.7,10.8,2024-06-21T05:22:38.460Z
440016820,37.48976666666667,126.6035,254,253.4,10.8,2024-06-21T05:22:38.446Z
440016820,37.48983333333333,126.60375,252,252.4,10.9,2024-06-21T05:22:38.432Z
440016820,37.48988333333333,126.604,251,251.2,10.9,2024-06-21T05:22:28.188Z
440016820,37.48993333333333,126.60416666666667,250,250.6,10.8,2024-06-21T05:22:28.173Z
440016820,37.489983333333335,126.60431666666666,250,249.5,10.8,2024-06-21T05:22:28.155Z
440016820,37.490066666666664,126.60455,249,249.4,10.8,2024-06-21T05:22:17.603Z
440016820,37.490116666666665,126.6047,249,248.9,10.8,2024-06-21T05:22:17.589Z
440016820,37.490183333333334,126.60495,248,248.1,10.7,2024-06-21T05:22:17.572Z
440016820,37.490316666666665,126.60535,247,246,10.7,2024-06-21T05:22:07.182Z
440016820,37.49086666666667,126.60658333333333,234,235.9,10.5,2024-06-21T05:21:46.391Z
440016820,37.49105,126.60693333333333,236,237.2,10.6,2024-06-21T05:21:35.529Z
440016820,37.49133333333333,126.6075,239,241.1,10.6,2024-06-21T05:21:25.077Z
440016820,37.492066666666666,126.60966666666667,255,255.6,10.8,2024-06-21T05:20:54.141Z
440016820,37.4922,126.61033333333333,257,256.2,10.9,2024-06-21T05:20:43.899Z
440016820,37.492333333333335,126.611,255,254.2,10.9,2024-06-21T05:20:23.380Z
440016820,37.492466666666665,126.61156666666666,254,253,10.9,2024-06-21T05:20:23.341Z
440016820,37.49275,126.61271666666667,251,250.7,10.9,2024-06-21T05:20:02.844Z
440016820,37.493116666666666,126.61398333333334,252,252.7,10.8,2024-06-21T05:19:42.341Z
440016820,37.49325,126.61465,258,257.6,10.9,2024-06-21T05:19:32.032Z
440016820,37.493566666666666,126.6164,255,254.2,10.9,2024-06-21T05:19:00.515Z
