Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.451431666666664,126.59405666666666,89,302.2,0,2024-06-27T03:30:30.487Z
440016820,37.451456666666665,126.59403666666667,92,245.9,0,2024-06-27T03:29:07.180Z
440016820,37.4566,126.59193333333333,169,157.2,10,2024-06-27T02:46:03.194Z
440016820,37.46001666666667,126.59038333333334,168,157.1,9.7,2024-06-27T02:44:45.954Z
440016820,37.4609,126.58998333333334,175,164.8,9.7,2024-06-27T02:44:23.235Z
440016820,37.46175,126.58975,181,172.7,9.6,2024-06-27T02:44:02.414Z
440016820,37.46265,126.58965,187,177.1,9.8,2024-06-27T02:43:41.085Z
440016820,37.4636,126.58966666666667,190,183,9.7,2024-06-27T02:43:19.734Z
440016820,37.46455,126.58975,191,183,9.8,2024-06-27T02:42:58.019Z
440016820,37.4654,126.5898,190,182,10,2024-06-27T02:42:47.495Z
440016820,37.46638333333333,126.58981666666666,188,179.5,10.2,2024-06-27T02:42:26.016Z
440016820,37.46726666666667,126.58981666666666,189,180.7,10.2,2024-06-27T02:42:03.641Z
440016820,37.468266666666665,126.5899,191,183.2,10.2,2024-06-27T02:41:42.104Z
440016820,37.46918333333333,126.58998333333334,192,184.7,10.1,2024-06-27T02:41:19.252Z
440016820,37.46978333333333,126.59001666666667,190,181.8,10,2024-06-27T02:41:08.403Z
440016820,37.47015,126.59006666666667,193,186.7,9.9,2024-06-27T02:41:08.367Z
440016820,37.47063333333333,126.59011666666666,192,184.6,10,2024-06-27T02:40:46.825Z
440016820,37.471066666666665,126.59015,191,183.2,10,2024-06-27T02:40:46.732Z
440016820,37.4715,126.59016666666666,190,182,10.1,2024-06-27T02:40:36.246Z
440016820,37.471983333333334,126.59018333333333,191,181.5,10,2024-06-27T02:40:23.902Z
440016820,37.472516666666664,126.59021666666666,193,184.6,9.9,2024-06-27T02:40:13.093Z
440016820,37.47293333333333,126.59025,192,183.8,9.8,2024-06-27T02:40:02.458Z
440016820,37.47345,126.5903,190,180.7,9.8,2024-06-27T02:39:51.965Z
440016820,37.47388333333333,126.59031666666667,192,183.3,9.6,2024-06-27T02:39:40.616Z
440016820,37.47428333333333,126.59035,192,184.2,9.6,2024-06-27T02:39:30.136Z
440016820,37.47521666666667,126.59043333333334,192,184.7,9.6,2024-06-27T02:39:08.303Z
440016820,37.475633333333334,126.59048333333334,193,185.5,9.7,2024-06-27T02:39:08.273Z
440016820,37.47578333333333,126.59051666666667,192,186.1,9.7,2024-06-27T02:38:57.632Z
440016820,37.47595,126.59053333333334,192,186.1,9.7,2024-06-27T02:38:57.614Z
440016820,37.4761,126.59055,192,186.2,9.8,2024-06-27T02:38:57.600Z
440016820,37.47626666666667,126.59056666666666,191,186.6,9.8,2024-06-27T02:38:46.168Z
440016820,37.476366666666664,126.59058333333333,191,185.7,9.8,2024-06-27T02:38:46.152Z
440016820,37.47658333333333,126.59061666666666,191,185.7,9.8,2024-06-27T02:38:46.140Z
440016820,37.477,126.59065,189,184.7,9.8,2024-06-27T02:38:35.269Z
440016820,37.477466666666665,126.59073333333333,196,193.2,10,2024-06-27T02:38:25.063Z
440016820,37.4779,126.59088333333334,195,193.5,10.1,2024-06-27T02:38:14.757Z
440016820,37.47838333333333,126.59101666666666,198,195.3,10.2,2024-06-27T02:38:04.480Z
440016820,37.47886666666667,126.5912,200,195.6,10.3,2024-06-27T02:37:53.580Z
440016820,37.4793,126.59135,200,195.2,10.3,2024-06-27T02:37:43.205Z
440016820,37.479733333333336,126.59148333333333,199,193.2,10.4,2024-06-27T02:37:32.786Z
440016820,37.48028333333333,126.59163333333333,198,192.8,10.5,2024-06-27T02:37:21.917Z
440016820,37.48073333333333,126.59178333333334,198,194.7,10.5,2024-06-27T02:37:11.226Z
