Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440525000,37.4985,126.62948333333334,45,36,0.1,2024-06-16T06:06:38.346Z
440525000,37.498583333333336,126.62956666666666,45,245,0,2024-06-16T06:00:38.419Z
440525000,37.4986,126.62958333333333,49,4,0.2,2024-06-16T05:54:18.132Z
440525000,37.49856666666667,126.62958333333333,50,19,0.3,2024-06-16T05:54:07.849Z
440525000,37.49856666666667,126.62958333333333,50,28,0.4,2024-06-16T05:53:57.567Z
440525000,37.498533333333334,126.62958333333333,51,32,0.8,2024-06-16T05:53:36.939Z
440525000,37.49848333333333,126.62953333333333,51,27,1,2024-06-16T05:53:26.622Z
440525000,37.49845,126.6295,51,24,1.2,2024-06-16T05:53:16.334Z
440525000,37.4984,126.62946666666667,51,23,1.3,2024-06-16T05:53:16.302Z
440525000,37.49835,126.62945,50,21,1.4,2024-06-16T05:52:56.009Z
440525000,37.498216666666664,126.62938333333334,49,20,1.5,2024-06-16T05:52:45.564Z
440525000,37.49803333333333,126.6293,49,20,1.6,2024-06-16T05:52:14.647Z
440525000,37.49783333333333,126.62921666666666,47,14,1.8,2024-06-16T05:51:43.893Z
440525000,37.49763333333333,126.62913333333333,44,13,1.9,2024-06-16T05:51:23.353Z
440525000,37.49755,126.62911666666666,42,16,2,2024-06-16T05:51:13.127Z
440525000,37.49746666666667,126.62908333333333,41,18,2,2024-06-16T05:51:02.933Z
440525000,37.497283333333336,126.62903333333334,41,16,2.3,2024-06-16T05:50:42.450Z
440525000,37.497083333333336,126.62893333333334,40,21,2.4,2024-06-16T05:50:21.930Z
440525000,37.49688333333334,126.6288,38,23,2.7,2024-06-16T05:50:01.303Z
440525000,37.49665,126.62868333333333,37,27,2.9,2024-06-16T05:49:40.771Z
440525000,37.49653333333333,126.6286,36,30,2.9,2024-06-16T05:49:30.468Z
440525000,37.49641666666667,126.62853333333334,35,33,3,2024-06-16T05:49:20.146Z
440525000,37.4963,126.62845,36,36,3.1,2024-06-16T05:49:09.909Z
440525000,37.49616666666667,126.62835,36,39,3.2,2024-06-16T05:48:59.624Z
440525000,37.49608333333333,126.62828333333333,37,40,3.2,2024-06-16T05:48:49.275Z
440525000,37.495983333333335,126.6281,38,42,3.3,2024-06-16T05:48:39.032Z
440525000,37.495866666666664,126.62796666666667,39,44,3.4,2024-06-16T05:48:28.766Z
440525000,37.49575,126.62783333333333,40,47,3.5,2024-06-16T05:48:18.575Z
440525000,37.495583333333336,126.6276,42,51,3.7,2024-06-16T05:48:08.175Z
440525000,37.49545,126.6274,43,55,3.9,2024-06-16T05:47:57.859Z
440525000,37.49545,126.6274,44,55,3.9,2024-06-16T05:47:47.585Z
440525000,37.495383333333336,126.6273,44,58,3.9,2024-06-16T05:47:47.569Z
440525000,37.49531666666667,126.62718333333333,45,63,4.1,2024-06-16T05:47:37.290Z
440525000,37.49525,126.62701666666666,47,66,4.2,2024-06-16T05:47:37.268Z
440525000,37.49525,126.62698333333333,48,66,4.2,2024-06-16T05:47:27.023Z
440525000,37.49518333333334,126.62676666666667,51,69,4.3,2024-06-16T05:47:26.988Z
440525000,37.49515,126.6267,52,70,4.4,2024-06-16T05:47:16.689Z
440525000,37.49511666666667,126.62658333333333,55,72,4.5,2024-06-16T05:47:16.664Z
440525000,37.495066666666666,126.62641666666667,57,73,4.5,2024-06-16T05:47:06.366Z
440525000,37.49503333333333,126.62628333333333,59,75,4.6,2024-06-16T05:47:06.344Z
440525000,37.49496666666667,126.62598333333334,63,77,4.7,2024-06-16T05:46:56.050Z
440525000,37.494883333333334,126.62551666666667,70,80,4.9,2024-06-16T05:46:35.519Z
440525000,37.49485,126.62521666666666,73,81,4.9,2024-06-16T05:46:25.135Z
440525000,37.4948,126.62493333333333,76,81,5,2024-06-16T05:46:14.874Z
440525000,37.49478333333333,126.62465,78,81,5.1,2024-06-16T05:46:04.589Z
440525000,37.49475,126.62441666666666,79,80,5.1,2024-06-16T05:45:54.381Z
440525000,37.49466666666667,126.6238,80,78,5.3,2024-06-16T05:45:33.828Z
440525000,37.494566666666664,126.62318333333333,79,76,5.5,2024-06-16T05:45:13.224Z
440525000,37.49451666666667,126.62288333333333,79,76,5.6,2024-06-16T05:45:02.939Z
440525000,37.49446666666667,126.62261666666667,78,77,5.7,2024-06-16T05:44:52.703Z
440525000,37.49438333333333,126.62223333333333,78,77,5.8,2024-06-16T05:44:42.473Z
440525000,37.494283333333335,126.62156666666667,78,77,6,2024-06-16T05:44:21.316Z
440525000,37.4942,126.62116666666667,78,76,6.1,2024-06-16T05:44:10.999Z
440525000,37.49415,126.62085,78,76,6.2,2024-06-16T05:44:00.820Z
440525000,37.4941,126.62053333333333,78,77,6.3,2024-06-16T05:43:50.563Z
440525000,37.494033333333334,126.62015,78,77,6.4,2024-06-16T05:43:40.269Z
440525000,37.49398333333333,126.61985,78,77,6.6,2024-06-16T05:43:30.127Z
440525000,37.493916666666664,126.61948333333333,79,77,6.7,2024-06-16T05:43:19.848Z
440525000,37.49385,126.61911666666667,78,76,6.8,2024-06-16T05:43:09.669Z
