Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.45655,126.59185,173,159.6,9.8,2024-06-27T12:24:02.394Z
440016820,37.45741666666667,126.59141666666666,171,158.5,9.8,2024-06-27T12:23:41.837Z
440016820,37.45783333333333,126.59123333333334,175,161.7,9.7,2024-06-27T12:23:31.654Z
440016820,37.45915,126.59076666666667,176,162.6,10,2024-06-27T12:23:00.351Z
440016820,37.46008333333333,126.59041666666667,178,166.6,10.2,2024-06-27T12:22:39.434Z
440016820,37.46071666666667,126.59023333333333,178,166.2,10.4,2024-06-27T12:22:29.002Z
440016820,37.46085,126.5902,177,165.7,10.5,2024-06-27T12:22:18.143Z
440016820,37.461166666666664,126.59008333333334,177,165.2,10.6,2024-06-27T12:22:18.111Z
440016820,37.4613,126.59005,176,165.2,10.7,2024-06-27T12:22:07.866Z
440016820,37.4615,126.58998333333334,175,164,10.8,2024-06-27T12:22:07.851Z
440016820,37.46163333333333,126.58993333333333,175,163.8,10.9,2024-06-27T12:22:07.841Z
440016820,37.46176666666667,126.58988333333333,174,164,11,2024-06-27T12:22:07.827Z
440016820,37.46196666666667,126.58981666666666,174,163.3,11,2024-06-27T12:21:57.475Z
440016820,37.4621,126.58976666666666,174,162.8,11,2024-06-27T12:21:57.460Z
440016820,37.4623,126.58968333333333,175,165,11,2024-06-27T12:21:57.446Z
440016820,37.46265,126.58958333333334,179,168.2,10.9,2024-06-27T12:21:47.128Z
440016820,37.462983333333334,126.58951666666667,183,174.6,11,2024-06-27T12:21:36.242Z
440016820,37.46405,126.58951666666667,192,185,11.4,2024-06-27T12:21:15.327Z
440016820,37.46455,126.58958333333334,193,186.5,11.3,2024-06-27T12:21:05.128Z
440016820,37.464983333333336,126.58965,194,186.3,11.1,2024-06-27T12:21:05.042Z
440016820,37.46555,126.58971666666666,194,184.3,11.1,2024-06-27T12:20:54.631Z
440016820,37.4666,126.58985,195,186.1,11.1,2024-06-27T12:20:34.136Z
440016820,37.46765,126.58996666666667,192,183.6,11,2024-06-27T12:20:12.031Z
440016820,37.468066666666665,126.58998333333334,190,182.5,10.9,2024-06-27T12:20:01.707Z
440016820,37.46856666666667,126.59001666666667,192,184.5,10.9,2024-06-27T12:19:50.944Z
440016820,37.46913333333333,126.5901,195,188.7,11,2024-06-27T12:19:40.670Z
440016820,37.4716,126.59065,201,193,10.9,2024-06-27T12:18:49.096Z
440016820,37.47213333333333,126.59078333333333,201,191.7,10.8,2024-06-27T12:18:38.753Z
440016820,37.47315,126.59098333333333,195,184.2,10.9,2024-06-27T12:18:18.134Z
440016820,37.474133333333334,126.59108333333333,192,183.3,11.1,2024-06-27T12:17:57.508Z
440016820,37.47461666666667,126.59111666666666,192,184.2,11.1,2024-06-27T12:17:47.018Z
440016820,37.475183333333334,126.59118333333333,194,186.5,11.2,2024-06-27T12:17:36.689Z
440016820,37.4757,126.59126666666667,195,188.3,11.4,2024-06-27T12:17:26.382Z
440016820,37.47626666666667,126.59136666666667,195,187.7,11.4,2024-06-27T12:17:16.138Z
440016820,37.47676666666667,126.59145,194,186.2,11.5,2024-06-27T12:17:05.852Z
440016820,37.477833333333336,126.59156666666667,193,185.2,11.9,2024-06-27T12:16:55.559Z
440016820,37.478366666666666,126.59163333333333,193,186.5,12.2,2024-06-27T12:16:45.284Z
440016820,37.479,126.59175,193,188.2,12.2,2024-06-27T12:16:35.047Z
440016820,37.479533333333336,126.59186666666666,195,190.7,12.2,2024-06-27T12:16:24.749Z
440016820,37.48008333333333,126.59201666666667,197,193.1,12.4,2024-06-27T12:16:14.501Z
440016820,37.48063333333333,126.59216666666667,195,191.3,12.5,2024-06-27T12:16:03.566Z
440016820,37.480866666666664,126.59223333333334,195,191.7,12.5,2024-06-27T12:15:53.200Z
440016820,37.4811,126.59228333333333,195,193.1,12.4,2024-06-27T12:15:53.163Z
440016820,37.48148333333334,126.5924,196,194,12.5,2024-06-27T12:15:42.279Z
440016820,37.48165,126.59245,197,193.7,12.6,2024-06-27T12:15:42.247Z
440016820,37.4818,126.5925,196,194.2,12.7,2024-06-27T12:15:42.221Z
440016820,37.482033333333334,126.59256666666667,196,193.7,12.7,2024-06-27T12:15:31.967Z
440016820,37.48218333333333,126.59261666666667,197,193.5,12.8,2024-06-27T12:15:31.957Z
440016820,37.4826,126.59275,198,195.1,12.7,2024-06-27T12:15:31.923Z
440016820,37.48275,126.5928,200,196.2,12.7,2024-06-27T12:15:21.613Z
440016820,37.4829,126.59286666666667,200,197.5,12.7,2024-06-27T12:15:21.604Z
