Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440194890,37.34608333333333,126.4584,264,264,10.3,2024-06-26T13:52:26.899Z
440194890,37.346133333333334,126.459,264,264,10.3,2024-06-26T13:52:16.317Z
440194890,37.34616666666667,126.45955,264,264,10.3,2024-06-26T13:52:06.110Z
440194890,37.34623333333333,126.46025,264,264,10.3,2024-06-26T13:51:55.862Z
440194890,37.346266666666665,126.4608,264,263,10.3,2024-06-26T13:51:45.337Z
440194890,37.346383333333335,126.46198333333334,264,264,10.3,2024-06-26T13:51:23.390Z
440194890,37.346466666666664,126.46313333333333,264,264,10.2,2024-06-26T13:51:02.836Z
440194890,37.346516666666666,126.46378333333334,264,264,10.2,2024-06-26T13:50:52.421Z
440194890,37.34656666666667,126.46431666666666,264,264,10.2,2024-06-26T13:50:42.191Z
440194890,37.346666666666664,126.4655,264,264,10.2,2024-06-26T13:50:21.606Z
440194890,37.34676666666667,126.46676666666667,264,264,10.2,2024-06-26T13:50:01.135Z
440194890,37.34681666666667,126.46741666666667,265,264,10.2,2024-06-26T13:49:50.915Z
440194890,37.3469,126.46858333333333,265,264,10.2,2024-06-26T13:49:30.359Z
440194890,37.34695,126.46905,265,264,10.1,2024-06-26T13:49:30.321Z
440194890,37.346983333333334,126.46965,265,264,10.1,2024-06-26T13:49:19.921Z
440194890,37.347033333333336,126.47023333333334,264,264,10.1,2024-06-26T13:49:09.642Z
440194890,37.3471,126.47095,264,264,10.1,2024-06-26T13:48:59.356Z
440194890,37.34713333333333,126.47141666666667,264,264,10.1,2024-06-26T13:48:48.444Z
440194890,37.3472,126.47213333333333,264,263,10.1,2024-06-26T13:48:38.162Z
440194890,37.347233333333335,126.4726,264,263,10.1,2024-06-26T13:48:27.775Z
440194890,37.3473,126.47325,264,264,10.1,2024-06-26T13:48:17.357Z
440194890,37.34733333333333,126.47376666666666,264,264,10.1,2024-06-26T13:48:06.569Z
440194890,37.34745,126.47498333333333,264,264,10.1,2024-06-26T13:47:45.153Z
440194890,37.3475,126.47563333333333,264,264,10.1,2024-06-26T13:47:34.962Z
