Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441355000,37.506283333333336,126.60239833333333,166,206,0,2024-06-26T18:39:37.769Z
441355000,37.50626666666667,126.602415,166,206,0,2024-06-26T18:36:35.977Z
441355000,37.50626666666667,126.60243166666666,166,124,0,2024-06-26T18:30:43.224Z
441355000,37.50626666666667,126.60243166666666,166,124,0,2024-06-26T18:27:35.972Z
441355000,37.506283333333336,126.60239833333333,166,124,0,2024-06-26T18:21:42.597Z
441355000,37.50626666666667,126.602415,166,124,0,2024-06-26T18:15:38.505Z
441355000,37.50626666666667,126.60244833333333,166,124,0,2024-06-26T18:12:41.366Z
441355000,37.50626666666667,126.60244833333333,166,124,0,2024-06-26T18:09:41.061Z
441355000,37.506283333333336,126.602465,166,124,0,2024-06-26T18:03:36.816Z
441355000,37.506283333333336,126.60243166666666,166,124,0,2024-06-26T18:00:43.199Z
441355000,37.5063,126.602415,166,124,0,2024-06-26T17:57:39.419Z
441355000,37.5063,126.602415,166,124,0,2024-06-26T17:54:42.194Z
441355000,37.506283333333336,126.60244833333333,166,46,0,2024-06-26T17:48:42.669Z
441355000,37.5063,126.602465,166,46,0,2024-06-26T17:45:33.221Z
441355000,37.50631666666666,126.60243166666666,166,46,0,2024-06-26T17:42:35.920Z
441355000,37.50631666666666,126.60243166666666,167,46,0,2024-06-26T17:39:35.795Z
441355000,37.50631666666666,126.602415,167,46,0,2024-06-26T17:36:32.963Z
441355000,37.50633333333333,126.60239833333333,167,46,0,2024-06-26T17:33:46.883Z
441355000,37.50631666666666,126.60228333333333,163,227,0.1,2024-06-26T17:30:40.652Z
441355000,37.506283333333336,126.60231666666667,166,347,0.1,2024-06-26T17:28:35.057Z
441355000,37.50633333333333,126.60239833333333,172,200,0.1,2024-06-26T17:27:33.121Z
441355000,37.50645,126.60238166666667,167,131,0.4,2024-06-26T17:26:18.571Z
441355000,37.50646666666667,126.602365,166,132,0.5,2024-06-26T17:26:03.382Z
441355000,37.50655,126.60226666666667,163,125,0.6,2024-06-26T17:25:32.131Z
441355000,37.50655,126.60223333333333,162,110,0.4,2024-06-26T17:25:21.877Z
441355000,37.50658333333333,126.60216666666666,164,131,0.5,2024-06-26T17:24:51.108Z
441355000,37.506616666666666,126.60213333333333,164,131,0.7,2024-06-26T17:24:40.895Z
441355000,37.50666666666667,126.60206666666667,162,124,0.9,2024-06-26T17:24:19.916Z
441355000,37.50673333333334,126.601965,162,135,1.2,2024-06-26T17:24:09.639Z
441355000,37.50678333333333,126.60191666666667,165,135,1.4,2024-06-26T17:23:48.936Z
441355000,37.50685,126.60185,166,139,1.6,2024-06-26T17:23:48.902Z
441355000,37.50703333333333,126.60165,172,133,1.5,2024-06-26T17:23:17.801Z
441355000,37.507083333333334,126.60158166666666,174,133,1.7,2024-06-26T17:23:07.281Z
441355000,37.50715,126.60149833333334,173,130,2,2024-06-26T17:22:57.025Z
