Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.45511666666667,126.59055,60,57,8.4,2024-06-12T22:04:47.146Z
440016820,37.45486666666667,126.5902,42,38.6,8.7,2024-06-12T22:04:36.934Z
440016820,37.45451666666666,126.58995,26,21.1,9.5,2024-06-12T22:04:26.719Z
440016820,37.45406666666667,126.5898,16,14.1,9.5,2024-06-12T22:04:16.431Z
440016820,37.44925,126.58833333333334,16,13.1,9.6,2024-06-12T22:02:22.444Z
440016820,37.44883333333333,126.58821666666667,14,10.8,9.7,2024-06-12T22:02:12.242Z
440016820,37.44841666666667,126.58813333333333,12,8.8,9.7,2024-06-12T22:02:02.035Z
440016820,37.448,126.58803333333333,12,10.8,9.7,2024-06-12T22:01:51.802Z
440016820,37.4475,126.58791666666667,16,13.8,9.7,2024-06-12T22:01:41.476Z
440016820,37.4471,126.58778333333333,15,11.1,9.7,2024-06-12T22:01:31.283Z
440016820,37.446616666666664,126.58766666666666,13,11.5,9.7,2024-06-12T22:01:20.995Z
440016820,37.4462,126.58756666666666,14,12.8,9.6,2024-06-12T22:01:10.559Z
440016820,37.44578333333333,126.58743333333334,16,12.8,9.6,2024-06-12T22:01:00.131Z
440016820,37.4453,126.58731666666667,12,9.5,9.7,2024-06-12T22:01:00.093Z
440016820,37.44488333333334,126.58721666666666,13,11.1,9.7,2024-06-12T22:00:39.546Z
440016820,37.44395,126.58695,16,14.3,9.7,2024-06-12T22:00:29.217Z
440016820,37.443583333333336,126.58681666666666,17,15.1,9.7,2024-06-12T22:00:18.769Z
440016820,37.44316666666667,126.58668333333334,18,16.3,9.7,2024-06-12T22:00:08.474Z
440016820,37.44271666666667,126.5865,19,18.1,9.6,2024-06-12T21:59:58.207Z
440016820,37.44226666666667,126.58631666666666,20,16.3,9.6,2024-06-12T21:59:48.010Z
440016820,37.441833333333335,126.58616666666667,18,13.8,9.7,2024-06-12T21:59:37.719Z
440016820,37.441316666666665,126.58603333333333,15,9.8,9.8,2024-06-12T21:59:27.527Z
440016820,37.440933333333334,126.58596666666666,13,7.1,9.8,2024-06-12T21:59:17.357Z
440016820,37.4405,126.58591666666666,9,3.1,9.9,2024-06-12T21:59:07.015Z
440016820,37.440016666666665,126.5859,5,2.5,10,2024-06-12T21:58:56.755Z
440016820,37.43955,126.58585,8,5.5,10,2024-06-12T21:58:46.458Z
440016820,37.43911666666666,126.58578333333334,9,6.1,10,2024-06-12T21:58:36.180Z
440016820,37.43856666666667,126.58573333333334,9,359.5,9.8,2024-06-12T21:58:25.931Z
440016820,37.43781666666667,126.58603333333333,339,325.2,9.8,2024-06-12T21:58:05.330Z
440016820,37.43728333333333,126.58706666666667,295,284.6,10.3,2024-06-12T21:57:44.839Z
440016820,37.4372,126.58756666666666,284,277.2,10.4,2024-06-12T21:57:34.516Z
440016820,37.43715,126.58828333333334,277,271.2,10.4,2024-06-12T21:57:24.220Z
440016820,37.43716666666667,126.58943333333333,272,267.4,10.4,2024-06-12T21:57:03.695Z
440016820,37.4372,126.59001666666667,273,268.7,10.4,2024-06-12T21:56:53.431Z
440016820,37.43718333333333,126.59065,276,271.7,10.4,2024-06-12T21:56:43.215Z
440016820,37.43716666666667,126.59123333333334,279,273.5,10.4,2024-06-12T21:56:33.040Z
440016820,37.437133333333335,126.59196666666666,277,272.1,10.4,2024-06-12T21:56:22.762Z
440016820,37.437133333333335,126.59253333333334,276,271.4,10.4,2024-06-12T21:56:12.529Z
440016820,37.43711666666667,126.59303333333334,275,270.4,10.2,2024-06-12T21:56:02.211Z
440016820,37.43711666666667,126.59376666666667,272,268.2,10.3,2024-06-12T21:55:51.993Z
440016820,37.437133333333335,126.59433333333334,272,268.7,10.2,2024-06-12T21:55:41.820Z
440016820,37.437133333333335,126.5949,271,268.7,10.3,2024-06-12T21:55:31.500Z
440016820,37.437133333333335,126.59556666666667,271,269.7,10.3,2024-06-12T21:55:21.197Z
440016820,37.43715,126.59616666666666,270,268.6,10.3,2024-06-12T21:55:10.912Z
440016820,37.43718333333333,126.59738333333334,270,267.5,10.4,2024-06-12T21:54:50.162Z
440016820,37.4372,126.5979,269,266.7,10.6,2024-06-12T21:54:39.957Z
440016820,37.43723333333333,126.59848333333333,268,266.5,10.6,2024-06-12T21:54:39.929Z
440016820,37.437266666666666,126.59915,268,266.2,10.7,2024-06-12T21:54:19.503Z
440016820,37.43731666666667,126.59981666666667,267,265.7,10.6,2024-06-12T21:54:09.251Z
440016820,37.43735,126.60033333333334,269,266.1,10.6,2024-06-12T21:54:09.220Z
440016820,37.43738333333334,126.60106666666667,269,265,10.5,2024-06-12T21:53:58.953Z
440016820,37.43743333333333,126.60165,264,261.4,10.5,2024-06-12T21:53:48.739Z
440016820,37.4375,126.60216666666666,264,261.4,10.4,2024-06-12T21:53:38.486Z
440016820,37.437583333333336,126.60286666666667,261,258.5,10.4,2024-06-12T21:53:28.252Z
440016820,37.4377,126.60343333333333,257,255.6,10.4,2024-06-12T21:53:17.968Z
440016820,37.43781666666667,126.60393333333333,257,255.6,10.4,2024-06-12T21:53:07.768Z
440016820,37.43793333333333,126.60463333333334,258,255.7,10.4,2024-06-12T21:52:57.573Z
440016820,37.438066666666664,126.6052,256,254.7,10.5,2024-06-12T21:52:47.305Z
440016820,37.438183333333335,126.60576666666667,256,256.1,10.5,2024-06-12T21:52:37.063Z
440016820,37.4383,126.60641666666666,256,255.7,10.6,2024-06-12T21:52:26.826Z
440016820,37.43853333333333,126.60755,257,257.7,10.6,2024-06-12T21:52:06.373Z
440016820,37.43865,126.60828333333333,259,259,10.5,2024-06-12T21:51:56.166Z
440016820,37.438716666666664,126.60875,259,259.4,10.5,2024-06-12T21:51:45.888Z
440016820,37.4388,126.60931666666667,259,258.5,10.3,2024-06-12T21:51:35.621Z
440016820,37.43885,126.60995,266,270.1,9.6,2024-06-12T21:51:24.128Z
440016820,37.4388,126.61053333333334,278,282.7,8.3,2024-06-12T21:51:13.931Z
440016820,37.438716666666664,126.6109,290,293.5,5.6,2024-06-12T21:51:03.621Z
440016820,37.43866666666667,126.61106666666667,313,219,0.8,2024-06-12T21:50:53.286Z
440016820,37.4387,126.61106666666667,343,189,1.7,2024-06-12T21:50:43.045Z
440016820,37.43878333333333,126.61108333333334,6,199.5,1.4,2024-06-12T21:50:32.672Z
440016820,37.43881666666667,126.61111666666666,20,257.6,0,2024-06-12T21:50:12.067Z
440016820,37.43881666666667,126.61111666666666,20,262.5,0,2024-06-12T21:50:01.762Z
