Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.49328333333333,126.61561666666667,251,251.1,10.4,2024-06-18T07:16:22.143Z
440016820,37.49348333333333,126.61631666666666,252,252.2,10.4,2024-06-18T07:16:11.838Z
440016820,37.49373333333333,126.6174,252,252.7,10.4,2024-06-18T07:15:50.857Z
440016820,37.49386666666667,126.61795,253,253,10.4,2024-06-18T07:15:40.543Z
440016820,37.49415,126.6191,254,253.7,10.4,2024-06-18T07:15:20.004Z
440016820,37.49426666666667,126.61973333333333,257,256.7,10.4,2024-06-18T07:15:09.398Z
440016820,37.4946,126.62145,254,253.6,10.4,2024-06-18T07:14:38.400Z
440016820,37.49508333333333,126.62318333333333,253,253.1,10.3,2024-06-18T07:14:06.898Z
440016820,37.49568333333333,126.62571666666666,251,249.7,10.2,2024-06-18T07:13:25.052Z
440016820,37.49593333333333,126.62646666666667,248,246.1,10.3,2024-06-18T07:13:14.676Z
440016820,37.496116666666666,126.62696666666666,245,243.7,10.2,2024-06-18T07:13:04.281Z
440016820,37.49626666666666,126.6273,243,240.7,10.2,2024-06-18T07:12:54.051Z
440016820,37.49636666666667,126.62751666666666,241,239.1,10.1,2024-06-18T07:12:54.033Z
440016820,37.496633333333335,126.62798333333333,233,231.4,10,2024-06-18T07:12:43.430Z
440016820,37.49726666666667,126.62881666666667,222,218.9,9.8,2024-06-18T07:12:22.686Z
440016820,37.49766666666667,126.62918333333333,220,217,9.5,2024-06-18T07:12:12.175Z
440016820,37.498066666666666,126.62953333333333,219,214,8.2,2024-06-18T07:12:01.937Z
440016820,37.49845,126.6297,331,204.2,0,2024-06-18T07:10:17.533Z
440016820,37.4985,126.6297,329,112.3,0,2024-06-18T07:09:56.705Z
440016820,37.498466666666666,126.62971666666667,329,84.6,0,2024-06-18T07:09:15.022Z
440016820,37.498466666666666,126.62973333333333,330,130.5,0,2024-06-18T07:08:33.437Z
440016820,37.49848333333333,126.62971666666667,331,62.5,0,2024-06-18T07:08:23.117Z
440016820,37.49848333333333,126.62971666666667,331,85.6,0,2024-06-18T07:08:02.496Z
440016820,37.498466666666666,126.62971666666667,332,122.8,0,2024-06-18T07:07:52.162Z
