Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
352898756,37.4653,126.60203333333334,103,3,0,2024-06-16T15:10:56.344Z
352898756,37.4653,126.60203333333334,103,3,0,2024-06-16T15:10:45.803Z
352898756,37.46516666666667,126.60198333333334,103,3,0,2024-06-16T15:05:44.561Z
352898756,37.4653,126.602,103,3,0,2024-06-16T15:03:06.726Z
352898756,37.465266666666665,126.602,103,3,0,2024-06-16T14:58:46.340Z
352898756,37.46525,126.60198333333334,103,3,0,2024-06-16T14:57:34.199Z
352898756,37.46525,126.602,103,3,0,2024-06-16T14:56:41.467Z
352898756,37.46525,126.602,103,3,0,2024-06-16T14:56:20.681Z
352898756,37.46525,126.602,103,3,0,2024-06-16T14:56:10.244Z
352898756,37.46515,126.60198333333334,103,3,0,2024-06-16T14:55:07.855Z
352898756,37.46515,126.60198333333334,103,3,0,2024-06-16T14:54:57.403Z
352898756,37.46515,126.602,103,3,0,2024-06-16T14:54:36.436Z
352898756,37.46515,126.602,103,3,0,2024-06-16T14:54:26.122Z
352898756,37.46515,126.602,103,3,0,2024-06-16T14:54:15.804Z
352898756,37.46515,126.602,103,3,0,2024-06-16T14:53:44.804Z
352898756,37.46515,126.602,103,3,0,2024-06-16T14:52:52.581Z
352898756,37.46515,126.602,103,3,0,2024-06-16T14:52:42.365Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:52:31.969Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:52:21.727Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:52:01.094Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:51:50.788Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:51:40.364Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:51:30.055Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:50:48.032Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:50:37.742Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:50:06.653Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:49:56.399Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:49:46.039Z
352898756,37.46516666666667,126.602,103,3,0,2024-06-16T14:49:35.710Z
352898756,37.465183333333336,126.602,103,3,0,2024-06-16T14:49:04.633Z
352898756,37.4652,126.602,104,3,0,2024-06-16T14:48:54.348Z
352898756,37.4652,126.602,104,3,0,2024-06-16T14:48:44.052Z
352898756,37.4652,126.602,104,3,0,2024-06-16T14:48:33.686Z
352898756,37.465183333333336,126.602,100,0,0.1,2024-06-16T14:48:02.120Z
352898756,37.465183333333336,126.602,99,202,0,2024-06-16T14:47:51.676Z
352898756,37.465183333333336,126.602,98,202,0,2024-06-16T14:47:41.275Z
352898756,37.465183333333336,126.602,98,202,0.1,2024-06-16T14:47:30.463Z
352898756,37.465183333333336,126.602,98,190,0.1,2024-06-16T14:47:09.740Z
352898756,37.4652,126.60201666666667,100,183,0.2,2024-06-16T14:46:59.028Z
352898756,37.46521666666667,126.60201666666667,101,176,0.2,2024-06-16T14:46:48.710Z
352898756,37.46525,126.60201666666667,103,167,0.1,2024-06-16T14:46:38.293Z
352898756,37.46523333333333,126.60201666666667,104,144,0.1,2024-06-16T14:46:27.739Z
352898756,37.46525,126.60186666666667,103,82,0.7,2024-06-16T14:45:22.813Z
352898756,37.46525,126.60183333333333,102,82,0.8,2024-06-16T14:45:12.571Z
352898756,37.46525,126.60178333333333,100,83,0.9,2024-06-16T14:45:02.254Z
352898756,37.46525,126.60173333333333,99,85,1,2024-06-16T14:44:52.009Z
352898756,37.4653,126.60166666666667,98,90,1,2024-06-16T14:44:41.740Z
352898756,37.4653,126.6016,97,93,1.1,2024-06-16T14:44:31.418Z
352898756,37.4653,126.60153333333334,97,95,1.2,2024-06-16T14:44:21.147Z
