Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440014500,37.34063333333334,126.41165,257,259,11,2024-06-24T01:53:33.370Z
440014500,37.34073333333333,126.4124,257,258,11,2024-06-24T01:53:23.126Z
440014500,37.34081666666667,126.4129,257,257,11,2024-06-24T01:53:12.905Z
440014500,37.341233333333335,126.41551666666666,256,259,11.2,2024-06-24T01:52:31.825Z
440014500,37.341316666666664,126.41601666666666,255,261,11.3,2024-06-24T01:52:21.601Z
440014500,37.34141666666667,126.4168,256,262,11.3,2024-06-24T01:52:11.337Z
440014500,37.34161666666667,126.41861666666667,257,263,11.4,2024-06-24T01:51:40.415Z
440014500,37.3418,126.42066666666666,259,264,11.4,2024-06-24T01:51:09.571Z
440014500,37.341833333333334,126.4212,259,265,11.4,2024-06-24T01:51:09.535Z
440014500,37.341966666666664,126.42331666666666,260,266,11.4,2024-06-24T01:50:28.537Z
440014500,37.342016666666666,126.42411666666666,261,265,11.4,2024-06-24T01:50:28.493Z
440014500,37.34213333333334,126.4261,261,264,11.4,2024-06-24T01:49:57.724Z
440014500,37.34223333333333,126.42735,260,263,11.4,2024-06-24T01:49:37.112Z
440014500,37.342283333333334,126.42786666666667,260,263,11.4,2024-06-24T01:49:26.803Z
440014500,37.34235,126.42865,259,262,11.3,2024-06-24T01:49:16.477Z
440014500,37.3424,126.42918333333333,259,261,11.3,2024-06-24T01:49:06.221Z
440014500,37.3425,126.42996666666667,258,261,11.4,2024-06-24T01:48:55.899Z
440014500,37.34255,126.4305,258,261,11.4,2024-06-24T01:48:45.594Z
440014500,37.34265,126.43128333333334,257,260,11.4,2024-06-24T01:48:35.305Z
440014500,37.34271666666667,126.4318,257,259,11.4,2024-06-24T01:48:25.092Z
440014500,37.342933333333335,126.4333,256,259,11.4,2024-06-24T01:48:04.563Z
440014500,37.343016666666664,126.43381666666667,255,259,11.4,2024-06-24T01:47:54.219Z
440014500,37.34315,126.4346,255,259,11.4,2024-06-24T01:47:43.891Z
440014500,37.34323333333333,126.43513333333334,255,260,11.4,2024-06-24T01:47:33.686Z
440014500,37.3436,126.4379,256,261,11.5,2024-06-24T01:46:52.666Z
440014500,37.343666666666664,126.43843333333334,257,261,11.6,2024-06-24T01:46:42.336Z
440014500,37.34375,126.43916666666667,257,261,11.6,2024-06-24T01:46:32.069Z
440014500,37.34408333333333,126.44183333333334,257,261,11.7,2024-06-24T01:45:50.998Z
440014500,37.34415,126.44236666666667,257,261,11.7,2024-06-24T01:45:40.671Z
440014500,37.34425,126.44318333333334,257,261,11.7,2024-06-24T01:45:30.396Z
440014500,37.34455,126.44581666666667,258,263,11.8,2024-06-24T01:44:49.368Z
440014500,37.344633333333334,126.44663333333334,258,262,11.8,2024-06-24T01:44:39.200Z
440014500,37.344683333333336,126.44718333333333,259,262,11.8,2024-06-24T01:44:28.901Z
440014500,37.3449,126.44936666666666,259,263,11.8,2024-06-24T01:44:08.330Z
440014500,37.345016666666666,126.4506,259,263,11.8,2024-06-24T01:43:46.936Z
440014500,37.34531666666667,126.4541,260,264,11.8,2024-06-24T01:42:55.418Z
440014500,37.34536666666666,126.45463333333333,260,264,11.8,2024-06-24T01:42:45.144Z
440014500,37.34565,126.45765,260,262,11.8,2024-06-24T01:42:04.236Z
440014500,37.34596666666667,126.4603,258,260,11.8,2024-06-24T01:41:23.158Z
440014500,37.34648333333333,126.46366666666667,256,259,11.7,2024-06-24T01:40:31.937Z
440014500,37.34656666666667,126.4642,256,259,11.7,2024-06-24T01:40:21.724Z
440014500,37.346666666666664,126.46495,256,260,11.8,2024-06-24T01:40:11.461Z
440014500,37.34686666666666,126.4663,257,260,11.8,2024-06-24T01:39:50.749Z
440014500,37.347033333333336,126.46765,257,261,11.8,2024-06-24T01:39:30.163Z
440014500,37.3472,126.469,258,261,11.8,2024-06-24T01:39:09.676Z
440014500,37.3473,126.46981666666667,258,261,11.8,2024-06-24T01:38:59.434Z
440014500,37.347516666666664,126.47165,258,261,11.8,2024-06-24T01:38:28.595Z
440014500,37.34781666666667,126.47438333333334,259,262,11.8,2024-06-24T01:37:57.684Z
440014500,37.34791666666667,126.4752,259,262,11.8,2024-06-24T01:37:47.111Z
440014500,37.34798333333333,126.47588333333333,259,263,11.8,2024-06-24T01:37:26.647Z
440014500,37.3481,126.47718333333333,260,264,11.8,2024-06-24T01:37:16.300Z
440014500,37.34831666666667,126.47991666666667,262,265,11.8,2024-06-24T01:36:35.166Z
440014500,37.348533333333336,126.4832,264,264,11.7,2024-06-24T01:35:43.881Z
440014500,37.34858333333333,126.48395,263,264,11.7,2024-06-24T01:35:33.652Z
440014500,37.348683333333334,126.4853,263,263,11.7,2024-06-24T01:35:13.107Z
440014500,37.34876666666667,126.48611666666666,262,262,11.7,2024-06-24T01:35:02.780Z
440014500,37.348816666666664,126.48666666666666,262,262,11.7,2024-06-24T01:34:52.481Z
440014500,37.34895,126.48801666666667,261,262,11.7,2024-06-24T01:34:31.830Z
440014500,37.34911666666667,126.48951666666666,261,262,11.8,2024-06-24T01:34:11.297Z
440014500,37.34923333333333,126.49081666666666,261,262,11.8,2024-06-24T01:33:50.722Z
440014500,37.3493,126.49135,261,262,11.8,2024-06-24T01:33:40.523Z
440014500,37.349383333333336,126.49218333333333,261,261,11.8,2024-06-24T01:33:30.247Z
440014500,37.34945,126.49271666666667,261,261,11.9,2024-06-24T01:33:19.997Z
440014500,37.34953333333333,126.49355,260,260,11.9,2024-06-24T01:33:09.724Z
440014500,37.34965,126.49436666666666,260,260,11.9,2024-06-24T01:32:59.550Z
440014500,37.349716666666666,126.49491666666667,259,260,11.9,2024-06-24T01:32:49.197Z
440014500,37.3498,126.49545,259,260,11.9,2024-06-24T01:32:38.963Z
440014500,37.3499,126.49621666666667,259,260,11.9,2024-06-24T01:32:28.739Z
440014500,37.35,126.49703333333333,259,260,11.9,2024-06-24T01:32:18.482Z
440014500,37.35006666666666,126.49756666666667,259,260,11.9,2024-06-24T01:32:18.445Z
440014500,37.350183333333334,126.4984,259,261,11.9,2024-06-24T01:32:08.150Z
440014500,37.35035,126.49976666666667,259,261,11.9,2024-06-24T01:31:47.035Z
440014500,37.35041666666667,126.50031666666666,259,261,11.9,2024-06-24T01:31:36.778Z
440014500,37.35053333333333,126.50128333333333,260,261,11.9,2024-06-24T01:31:26.477Z
440014500,37.3506,126.50183333333334,259,261,11.9,2024-06-24T01:31:16.270Z
440014500,37.350766666666665,126.50313333333334,260,261,11.9,2024-06-24T01:30:55.679Z
440014500,37.35081666666667,126.50368333333333,260,261,11.9,2024-06-24T01:30:45.457Z
440014500,37.35091666666667,126.5045,260,260,11.9,2024-06-24T01:30:35.157Z
440014500,37.3511,126.50586666666666,260,259,11.8,2024-06-24T01:30:14.589Z
440014500,37.351216666666666,126.50668333333333,259,259,11.8,2024-06-24T01:30:04.231Z
440014500,37.3513,126.50721666666666,259,258,11.7,2024-06-24T01:29:54.031Z
440014500,37.35138333333333,126.50776666666667,258,258,11.7,2024-06-24T01:29:43.762Z
440014500,37.35151666666667,126.50856666666667,258,257,11.7,2024-06-24T01:29:33.421Z
440014500,37.35163333333333,126.5093,257,255,11.6,2024-06-24T01:29:23.136Z
440014500,37.351733333333335,126.50983333333333,257,253,11.6,2024-06-24T01:29:12.839Z
440014500,37.35205,126.51111666666667,254,249,11.5,2024-06-24T01:28:52.255Z
