Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440665000,37.50924666666667,126.601885,351,40.6,0,2024-06-17T17:13:10.298Z
440665000,37.50921,126.60186833333333,351,40.6,0,2024-06-17T16:57:13.649Z
440665000,37.509205,126.60184,351,40.6,0,2024-06-17T16:45:12.185Z
440665000,37.509213333333335,126.60184666666666,351,40.6,0,2024-06-17T16:42:07.227Z
440665000,37.509193333333336,126.60185833333334,351,40.6,0,2024-06-17T16:39:12.399Z
440665000,37.509211666666666,126.60186333333333,351,40.6,0,2024-06-17T16:33:12.609Z
440665000,37.50919833333333,126.60184,352,40.6,0,2024-06-17T16:10:35.364Z
440665000,37.509211666666666,126.60179666666667,355,40.6,0,2024-06-17T16:09:23.414Z
440665000,37.509225,126.60179333333333,358,40.6,0.1,2024-06-17T16:09:02.876Z
440665000,37.509235,126.601785,357,40.6,0.2,2024-06-17T16:08:42.367Z
440665000,37.50924,126.60177833333333,356,40.6,0.2,2024-06-17T16:08:32.074Z
440665000,37.50924,126.60176666666666,356,40.6,0.2,2024-06-17T16:08:21.864Z
440665000,37.50922666666666,126.601755,357,40.6,0,2024-06-17T16:08:01.331Z
440665000,37.50922833333333,126.601755,356,40.6,0,2024-06-17T16:07:51.135Z
440665000,37.50922166666667,126.601755,355,40.6,0,2024-06-17T16:07:30.643Z
440665000,37.50922333333333,126.60175,354,40.6,0.1,2024-06-17T16:07:20.386Z
440665000,37.509225,126.60173333333333,357,40.6,0.1,2024-06-17T16:06:29.035Z
440665000,37.50921833333334,126.60172833333333,358,40.6,0.1,2024-06-17T16:06:18.842Z
440665000,37.50920333333333,126.60173666666667,358,40.6,0.1,2024-06-17T16:06:08.543Z
440665000,37.509193333333336,126.601745,357,40.6,0.1,2024-06-17T16:05:58.217Z
440665000,37.509193333333336,126.60175666666666,355,40.6,0.2,2024-06-17T16:05:48.014Z
440665000,37.509166666666665,126.601765,354,40.2,0.2,2024-06-17T16:04:56.460Z
440665000,37.509146666666666,126.60175333333333,353,42.5,0.2,2024-06-17T16:04:35.449Z
