Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440432000,37.5116,126.60119,351,121.4,0,2024-06-18T19:48:06.852Z
440432000,37.511555,126.60118333333334,351,121.4,0,2024-06-18T19:45:11.884Z
440432000,37.511646666666664,126.60122666666666,351,121.4,0,2024-06-18T19:42:07.049Z
440432000,37.51159833333333,126.60117,351,121.4,0,2024-06-18T19:39:11.059Z
440432000,37.511595,126.60118666666666,351,121.4,0,2024-06-18T19:36:06.665Z
440432000,37.511595,126.60118166666666,351,121.4,0,2024-06-18T19:30:16.916Z
440432000,37.51161166666667,126.60118,351,121.4,0,2024-06-18T19:27:11.874Z
440432000,37.511625,126.601175,351,121.4,0,2024-06-18T19:24:17.319Z
440432000,37.51161333333334,126.60117333333334,351,121.4,0,2024-06-18T19:21:11.298Z
440432000,37.51157,126.60116333333333,351,121.4,0,2024-06-18T19:18:06.840Z
440432000,37.51158,126.6012,351,121.4,0,2024-06-18T19:12:06.935Z
440432000,37.51159166666667,126.60118333333334,351,121.4,0,2024-06-18T19:06:08.206Z
440432000,37.51158,126.601205,351,121.4,0,2024-06-18T19:03:14.320Z
440432000,37.511586666666666,126.60114333333334,351,121.4,0,2024-06-18T19:00:09.911Z
440432000,37.511595,126.60117333333334,351,121.4,0,2024-06-18T18:57:15.526Z
440432000,37.51162333333333,126.60122,351,121.4,0,2024-06-18T18:54:10.303Z
440432000,37.51159333333333,126.60116166666667,351,121.4,0,2024-06-18T18:48:10.076Z
440432000,37.51155166666667,126.60121833333334,351,121.4,0,2024-06-18T18:45:15.926Z
440432000,37.511615,126.60120166666667,351,121.4,0,2024-06-18T18:36:11.815Z
440432000,37.51153333333333,126.60120833333333,349,347.7,0.2,2024-06-18T18:33:07.475Z
440432000,37.51153333333333,126.60123666666667,351,79.2,0,2024-06-18T18:30:12.518Z
440432000,37.51151333333333,126.60114166666666,353,77.6,0.3,2024-06-18T18:27:59.129Z
440432000,37.511491666666664,126.6011,356,77.4,0.3,2024-06-18T18:27:38.598Z
440432000,37.511493333333334,126.60108666666666,358,72.8,0.3,2024-06-18T18:27:28.446Z
440432000,37.51148833333333,126.601075,359,11.3,0.1,2024-06-18T18:27:18.127Z
440432000,37.511495,126.60106833333333,358,11.3,0.1,2024-06-18T18:26:57.675Z
440432000,37.51150166666667,126.60106333333333,357,11.3,0.2,2024-06-18T18:26:47.377Z
440432000,37.511493333333334,126.60106333333333,356,22.3,0.3,2024-06-18T18:26:36.986Z
440432000,37.511496666666666,126.60108333333334,356,35.7,0.4,2024-06-18T18:26:26.749Z
440432000,37.511475,126.60107,356,37.8,0.6,2024-06-18T18:26:16.625Z
440432000,37.51141166666667,126.60102,356,32.4,0.7,2024-06-18T18:25:55.944Z
440432000,37.51137666666666,126.60099666666666,356,29.4,0.8,2024-06-18T18:25:45.683Z
440432000,37.51134,126.60097833333333,356,24.6,0.9,2024-06-18T18:25:35.362Z
440432000,37.51131,126.60096666666666,356,20,1,2024-06-18T18:25:25.258Z
440432000,37.51115333333333,126.60090333333333,359,16.4,1.3,2024-06-18T18:25:04.430Z
440432000,37.511028333333336,126.60084666666667,1,32.6,1.3,2024-06-18T18:24:33.449Z
440432000,37.51098833333333,126.60081333333333,2,34.9,1.2,2024-06-18T18:24:33.415Z
440432000,37.51094333333333,126.60077,3,34.8,1.3,2024-06-18T18:24:23.117Z
440432000,37.51089833333333,126.60073166666666,3,36,1.4,2024-06-18T18:24:12.836Z
440432000,37.510848333333335,126.600685,3,33.3,1.5,2024-06-18T18:24:02.649Z
440432000,37.51078166666667,126.60062833333333,2,32.6,1.5,2024-06-18T18:23:42.272Z
440432000,37.51072833333333,126.60058,2,32.6,1.6,2024-06-18T18:23:42.233Z
440432000,37.51067,126.60053166666667,2,34.9,1.7,2024-06-18T18:23:31.949Z
440432000,37.51062666666667,126.60049333333333,3,36.1,1.8,2024-06-18T18:23:21.704Z
440432000,37.51060833333333,126.600475,4,36.5,1.7,2024-06-18T18:23:21.659Z
440432000,37.51058166666667,126.60045166666667,5,37.2,1.7,2024-06-18T18:23:11.364Z
440432000,37.51056166666667,126.60043166666667,5,37.1,1.7,2024-06-18T18:23:11.352Z
440432000,37.510555,126.600425,6,35.7,1.6,2024-06-18T18:23:11.348Z
440432000,37.510485,126.60035833333333,7,33.2,1.5,2024-06-18T18:23:01.111Z
440432000,37.51041333333333,126.600295,7,31.8,1.6,2024-06-18T18:22:50.825Z
440432000,37.51035666666667,126.60025,6,29.6,1.7,2024-06-18T18:22:40.631Z
440432000,37.51029,126.60019833333334,5,27.5,1.9,2024-06-18T18:22:30.405Z
440432000,37.510261666666665,126.60017666666667,4,27.4,1.9,2024-06-18T18:22:20.183Z
440432000,37.510216666666665,126.60014666666666,3,26,2,2024-06-18T18:22:20.155Z
440432000,37.510195,126.60013166666667,3,25.4,2,2024-06-18T18:22:20.143Z
440432000,37.51006666666667,126.60006833333334,0,21.2,2.5,2024-06-18T18:21:59.691Z
440432000,37.50993,126.6,0,19.4,2.9,2024-06-18T18:21:49.434Z
440432000,37.509775,126.59993,1,17.4,3.3,2024-06-18T18:21:39.217Z
440432000,37.50948833333333,126.59984333333334,2,15.6,4.1,2024-06-18T18:21:18.665Z
440432000,37.509101666666666,126.59969,3,16.7,4.4,2024-06-18T18:20:58.236Z
440432000,37.508943333333335,126.59960166666667,4,15.6,4.4,2024-06-18T18:20:48.079Z
440432000,37.50875333333333,126.59953166666666,4,15,4.4,2024-06-18T18:20:37.835Z
440432000,37.50853,126.59947,4,14.4,4.5,2024-06-18T18:20:27.536Z
440432000,37.50832,126.59939333333334,4,13.7,4.6,2024-06-18T18:20:17.270Z
440432000,37.50789666666667,126.599295,4,11.5,4.7,2024-06-18T18:19:56.722Z
440432000,37.50770833333333,126.59923833333333,4,10.7,4.8,2024-06-18T18:19:46.450Z
440432000,37.50748166666666,126.59919166666667,4,9.8,4.8,2024-06-18T18:19:36.161Z
440432000,37.507286666666666,126.599145,3,8.6,4.8,2024-06-18T18:19:25.880Z
440432000,37.50705833333333,126.59911333333334,3,7.5,4.9,2024-06-18T18:19:15.614Z
440432000,37.506598333333336,126.59905333333333,2,4.9,4.9,2024-06-18T18:18:55.038Z
440432000,37.506385,126.59902166666667,1,3.9,4.9,2024-06-18T18:18:44.864Z
