Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440016820,37.49575,126.6226,266,264.4,8.8,2024-06-10T19:42:16.619Z
440016820,37.495916666666666,126.6236,257,256.4,8.8,2024-06-10T19:41:56.113Z
440016820,37.49596666666667,126.6239,259,258.7,8.8,2024-06-10T19:41:56.083Z
440016820,37.495983333333335,126.62406666666666,260,261.2,8.8,2024-06-10T19:41:45.854Z
440016820,37.49603333333334,126.62443333333333,264,263.7,8.9,2024-06-10T19:41:45.827Z
440016820,37.49605,126.62455,265,264.2,8.8,2024-06-10T19:41:35.622Z
440016820,37.496066666666664,126.62481666666666,267,265.1,8.8,2024-06-10T19:41:35.602Z
440016820,37.49608333333333,126.62511666666667,268,266.2,9,2024-06-10T19:41:25.217Z
440016820,37.49608333333333,126.6253,269,266.6,8.9,2024-06-10T19:41:25.203Z
440016820,37.4961,126.62546666666667,268,264.6,9,2024-06-10T19:41:25.187Z
440016820,37.496116666666666,126.62585,266,263.5,9.2,2024-06-10T19:41:14.879Z
440016820,37.496183333333335,126.62638333333334,262,259,9.6,2024-06-10T19:41:04.607Z
440016820,37.496233333333336,126.6267,261,257.7,10,2024-06-10T19:40:54.331Z
440016820,37.49628333333333,126.62698333333333,259,255.7,10.2,2024-06-10T19:40:54.318Z
440016820,37.49636666666667,126.62733333333334,255,252.2,10.2,2024-06-10T19:40:44.029Z
440016820,37.49641666666667,126.62751666666666,253,250.4,10.2,2024-06-10T19:40:44.018Z
440016820,37.4965,126.62778333333333,249,246.5,10.3,2024-06-10T19:40:33.790Z
440016820,37.496716666666664,126.62836666666666,246,243.9,10.2,2024-06-10T19:40:23.510Z
440016820,37.497283333333336,126.6296,240,237.7,10.1,2024-06-10T19:40:02.979Z
440016820,37.4974,126.62981666666667,239,236.5,10.1,2024-06-10T19:40:02.965Z
440016820,37.497566666666664,126.63011666666667,237,235.7,10.2,2024-06-10T19:39:52.736Z
440016820,37.49775,126.63045,236,234.6,10.1,2024-06-10T19:39:52.704Z
440016820,37.49785,126.63065,238,235.2,10.1,2024-06-10T19:39:42.572Z
440016820,37.49791666666667,126.63075,239,237.7,10,2024-06-10T19:39:42.554Z
440016820,37.498083333333334,126.6311,246,243.1,10,2024-06-10T19:39:32.287Z
440016820,37.49815,126.6313,246,242.2,10,2024-06-10T19:39:32.272Z
440016820,37.49856666666667,126.63208333333333,234,229.7,9.3,2024-06-10T19:39:11.631Z
440016820,37.49863333333333,126.63218333333333,231,226.7,9.1,2024-06-10T19:39:11.622Z
440016820,37.50096666666666,126.63323333333334,189,179.3,6.5,2024-06-10T19:37:49.525Z
