Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.45146166666667,126.59392333333334,308,0,0,2024-06-14T08:21:11.324Z
440002290,37.451465,126.59392166666666,308,98.5,0,2024-06-14T08:20:50.636Z
440002290,37.451465,126.59392166666666,307,94.3,0,2024-06-14T08:20:40.485Z
440002290,37.451463333333336,126.59392666666666,307,82,0,2024-06-14T08:19:48.780Z
440002290,37.451456666666665,126.593925,307,78.2,0,2024-06-14T08:19:38.521Z
440002290,37.451455,126.59392666666666,307,68.9,0,2024-06-14T08:19:28.283Z
440002290,37.45145333333333,126.59392666666666,307,75.3,0,2024-06-14T08:19:17.995Z
440002290,37.45147333333333,126.59391833333333,308,83,0,2024-06-14T08:17:14.881Z
440002290,37.45543333333333,126.59025,53,71.5,9.1,2024-06-14T08:06:25.237Z
440002290,37.4553,126.5899,46,58.6,9.5,2024-06-14T08:06:14.915Z
440002290,37.4548,126.58925,32,34.8,10.1,2024-06-14T08:06:04.637Z
440002290,37.447466666666664,126.58638333333333,15,11,10.2,2024-06-14T08:03:18.517Z
440002290,37.4442,126.58543333333333,18,16.5,10.3,2024-06-14T08:02:16.964Z
440002290,37.44323333333333,126.58511666666666,16,12.1,10.5,2024-06-14T08:01:56.275Z
440002290,37.44271666666667,126.585,14,10.8,10.7,2024-06-14T08:01:45.980Z
440002290,37.4423,126.58488333333334,16,14.1,10.6,2024-06-14T08:01:35.672Z
440002290,37.4418,126.5847,17,15.8,10.5,2024-06-14T08:01:25.384Z
440002290,37.441383333333334,126.58455,17,15.6,10.5,2024-06-14T08:01:15.150Z
440002290,37.44085,126.58438333333334,16,12.8,10.6,2024-06-14T08:01:04.836Z
440002290,37.43983333333333,126.5841,16,12.5,10.7,2024-06-14T08:00:43.436Z
440002290,37.439433333333334,126.584,15,11.1,10.8,2024-06-14T08:00:33.203Z
440002290,37.43886666666667,126.58383333333333,16,12.6,10.7,2024-06-14T08:00:22.825Z
440002290,37.43848333333333,126.58373333333333,16,12.6,10.7,2024-06-14T08:00:12.497Z
440002290,37.437983333333335,126.58358333333334,16,13,10.7,2024-06-14T08:00:02.260Z
440002290,37.43751666666667,126.58343333333333,17,15,10.7,2024-06-14T07:59:51.993Z
