Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.45995,126.5901,171,159.7,9.2,2024-06-25T07:17:53.387Z
440002290,37.46025,126.58996666666667,170,160.3,9.3,2024-06-25T07:17:53.353Z
440002290,37.46078333333333,126.58973333333333,175,161.7,9.2,2024-06-25T07:17:32.904Z
440002290,37.46093333333334,126.58966666666667,179,162.2,9.3,2024-06-25T07:17:32.886Z
440002290,37.46136666666666,126.5895,181,162.2,9.2,2024-06-25T07:17:22.245Z
440002290,37.46156666666667,126.58941666666666,177,161.2,9,2024-06-25T07:17:11.940Z
440002290,37.46185,126.5893,175,162.3,9.1,2024-06-25T07:17:11.906Z
440002290,37.46256666666667,126.5891,202,173.5,9.4,2024-06-25T07:16:51.398Z
440002290,37.46351666666666,126.58903333333333,215,178.2,9.3,2024-06-25T07:16:31.029Z
440002290,37.46435,126.58905,226,184.7,9.5,2024-06-25T07:16:10.558Z
440002290,37.465183333333336,126.58916666666667,229,186.5,9.4,2024-06-25T07:15:49.532Z
440002290,37.46595,126.58926666666666,230,187.1,9.3,2024-06-25T07:15:39.252Z
440002290,37.4661,126.58928333333333,230,186.6,9.4,2024-06-25T07:15:28.874Z
440002290,37.46698333333333,126.5894,228,185.1,9.4,2024-06-25T07:15:08.420Z
440002290,37.46775,126.58946666666667,222,181.1,9.3,2024-06-25T07:14:58.146Z
440002290,37.46868333333333,126.58946666666667,223,181.2,9.2,2024-06-25T07:14:37.114Z
440002290,37.469033333333336,126.58948333333333,226,183.2,9.1,2024-06-25T07:14:26.880Z
440002290,37.46955,126.58953333333334,227,183.5,9.1,2024-06-25T07:14:16.608Z
440002290,37.47036666666666,126.58958333333334,228,183.5,9,2024-06-25T07:13:55.923Z
440002290,37.47121666666666,126.58966666666667,228,184,8.8,2024-06-25T07:13:35.361Z
440002290,37.47206666666667,126.58976666666666,233,186.7,9,2024-06-25T07:13:13.597Z
440002290,37.47281666666667,126.58985,231,184.8,9,2024-06-25T07:12:53.134Z
440002290,37.4737,126.58995,231,185,9.1,2024-06-25T07:12:32.624Z
