Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440072080,37.34852166666667,126.49556,263,262.4,11.1,2024-06-15T20:02:10.813Z
440072080,37.34893666666667,126.49939166666667,263,261.4,11,2024-06-15T20:01:09.261Z
440072080,37.34927166666667,126.50199666666667,262,261.2,10.9,2024-06-15T20:00:28.239Z
440072080,37.349423333333334,126.503195,262,261.7,10.8,2024-06-15T20:00:07.725Z
440072080,37.34949666666667,126.50381833333333,263,262,10.8,2024-06-15T19:59:57.419Z
440072080,37.34987,126.507515,265,261.1,10.5,2024-06-15T19:58:56.030Z
440072080,37.34999333333333,126.50848666666667,263,257,10.5,2024-06-15T19:58:45.753Z
440072080,37.35002333333333,126.50866833333333,263,256.3,10.5,2024-06-15T19:58:35.540Z
440072080,37.35008666666667,126.50902666666667,262,253.4,10.5,2024-06-15T19:58:35.474Z
440072080,37.350295,126.50990833333333,258,246.9,10.6,2024-06-15T19:58:14.981Z
440072080,37.35032833333333,126.51002333333334,257,245.8,10.6,2024-06-15T19:58:14.974Z
440072080,37.35042166666667,126.51031166666667,256,243.5,10.7,2024-06-15T19:58:14.956Z
440072080,37.35048166666667,126.51048,254,241.4,10.7,2024-06-15T19:58:04.714Z
440072080,37.350525,126.51059166666667,253,240.4,10.8,2024-06-15T19:58:04.703Z
440072080,37.350593333333336,126.51076,252,238.4,10.9,2024-06-15T19:58:04.693Z
440072080,37.35071833333333,126.51103666666667,249,237.1,10.9,2024-06-15T19:57:54.473Z
440072080,37.350825,126.51125166666667,247,235.9,10.9,2024-06-15T19:57:54.460Z
440072080,37.350825,126.51125166666667,247,235.9,10.9,2024-06-15T19:57:54.459Z
440072080,37.35221333333333,126.513615,235,227.3,11,2024-06-15T19:57:03.100Z
440072080,37.35254833333333,126.51408833333333,232,224.8,11.1,2024-06-15T19:56:52.914Z
440072080,37.35451,126.51622,221,214.9,11.2,2024-06-15T19:56:10.575Z
440072080,37.35493833333334,126.51659666666667,219,214.7,11.2,2024-06-15T19:56:00.194Z
440072080,37.35532333333333,126.516935,218,213.8,11.2,2024-06-15T19:55:49.932Z
440072080,37.35713,126.51836166666666,213,211.9,11.2,2024-06-15T19:55:08.837Z
440072080,37.35758,126.51870166666667,214,212.6,11.2,2024-06-15T19:54:58.544Z
440072080,37.35798,126.519015,214,213.1,11.2,2024-06-15T19:54:48.184Z
440072080,37.35841833333333,126.51936833333333,214,213.3,11.2,2024-06-15T19:54:37.910Z
440072080,37.360213333333334,126.52084166666667,215,212.4,11.2,2024-06-15T19:53:57.020Z
440072080,37.360615,126.52116166666667,214,212.3,11.2,2024-06-15T19:53:46.814Z
440072080,37.36241833333333,126.522625,215,213.6,11.2,2024-06-15T19:53:05.715Z
440072080,37.363675,126.52367333333333,215,213.5,11.2,2024-06-15T19:52:35.047Z
440072080,37.364153333333334,126.52407,215,213.9,11.2,2024-06-15T19:52:24.695Z
440072080,37.365415,126.52512,215,213.2,11.2,2024-06-15T19:51:53.878Z
440072080,37.36629,126.525835,215,213.2,11.2,2024-06-15T19:51:33.328Z
440072080,37.36677,126.52622666666667,215,213.2,11.2,2024-06-15T19:51:23.176Z
440072080,37.36720666666667,126.52658333333333,215,213.1,11.2,2024-06-15T19:51:12.912Z
440072080,37.367686666666664,126.526975,214,212.8,11.2,2024-06-15T19:51:02.694Z
440072080,37.36803666666667,126.52726166666666,214,212.5,11.2,2024-06-15T19:51:02.661Z
440072080,37.368475,126.52760666666667,214,212.2,11.2,2024-06-15T19:50:52.422Z
440072080,37.368916666666664,126.52796166666667,213,212.1,11.2,2024-06-15T19:50:42.134Z
440072080,37.36940166666667,126.52834833333333,213,212.5,11.2,2024-06-15T19:50:30.993Z
440072080,37.37033,126.52909833333334,214,213.4,11.2,2024-06-15T19:50:10.539Z
440072080,37.37068,126.52938666666667,214,214,11.2,2024-06-15T19:50:00.278Z
440072080,37.37155,126.53011833333333,215,214.8,11.2,2024-06-15T19:49:39.743Z
440072080,37.37202666666666,126.53053166666666,216,214.7,11.2,2024-06-15T19:49:29.539Z
440072080,37.372458333333334,126.53090333333333,216,214.3,11.2,2024-06-15T19:49:19.248Z
440072080,37.372935,126.53131,215,213.9,11.2,2024-06-15T19:49:09.004Z
440072080,37.373281666666664,126.53160166666666,215,213.5,11.2,2024-06-15T19:48:58.799Z
440072080,37.37372,126.53195833333334,215,213.1,11.2,2024-06-15T19:48:48.458Z
440072080,37.37416,126.53231,214,212.9,11.2,2024-06-15T19:48:38.168Z
440072080,37.374645,126.53270166666667,214,212.9,11.2,2024-06-15T19:48:27.889Z
440072080,37.37509166666667,126.53306833333333,214,212.9,11.2,2024-06-15T19:48:17.613Z
440072080,37.375575,126.53345666666667,214,213.1,11.2,2024-06-15T19:48:07.294Z
440072080,37.375925,126.53373666666667,214,213.5,11.2,2024-06-15T19:47:57.026Z
440072080,37.376795,126.53446333333333,215,213.8,11.2,2024-06-15T19:47:36.561Z
440072080,37.37727,126.53485666666667,215,213.8,11.2,2024-06-15T19:47:26.232Z
440072080,37.37818,126.535615,215,214,11.2,2024-06-15T19:47:05.732Z
440072080,37.378521666666664,126.53590333333334,215,214.1,11.2,2024-06-15T19:46:55.466Z
