Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.49571666666667,126.61936666666666,252,277.1,0.2,2024-06-22T13:35:27.375Z
440002290,37.4957,126.61938333333333,251,276.2,0.2,2024-06-22T13:35:17.167Z
440002290,37.4957,126.61941666666667,249,276.7,0.3,2024-06-22T13:34:51.646Z
440002290,37.49568333333333,126.61943333333333,248,275.7,0.2,2024-06-22T13:34:51.604Z
440002290,37.49568333333333,126.61945,247,275,0.3,2024-06-22T13:34:41.437Z
440002290,37.49568333333333,126.61951666666667,244,271.4,0.2,2024-06-22T13:34:06.054Z
440002290,37.4957,126.6196,242,270.6,0.3,2024-06-22T13:33:09.597Z
440002290,37.49568333333333,126.61961666666667,241,276.5,0.3,2024-06-22T13:32:59.417Z
440002290,37.49568333333333,126.61965,240,269.2,0.3,2024-06-22T13:32:59.365Z
440002290,37.4957,126.61966666666666,239,269.1,0.3,2024-06-22T13:32:49.067Z
440002290,37.4957,126.6197,239,268.7,0.4,2024-06-22T13:32:33.749Z
440002290,37.4957,126.61971666666666,238,267.2,0.4,2024-06-22T13:32:33.705Z
440002290,37.4957,126.61978333333333,235,265.6,0.4,2024-06-22T13:31:58.394Z
440002290,37.4957,126.61983333333333,234,264.7,0.4,2024-06-22T13:31:27.943Z
440002290,37.4957,126.61986666666667,234,264,0.4,2024-06-22T13:31:27.891Z
440002290,37.4957,126.6199,234,264,0.4,2024-06-22T13:31:17.654Z
440002290,37.4957,126.61991666666667,233,263.1,0.4,2024-06-22T13:31:02.364Z
440002290,37.4957,126.61995,234,262.6,0.3,2024-06-22T13:30:52.036Z
440002290,37.4957,126.61996666666667,234,263.1,0.4,2024-06-22T13:30:51.982Z
440002290,37.4957,126.61998333333334,235,262,0.4,2024-06-22T13:30:41.766Z
440002290,37.495733333333334,126.62006666666667,237,261,0.4,2024-06-22T13:30:06.297Z
440002290,37.495733333333334,126.62008333333333,239,259.7,0.3,2024-06-22T13:29:56.036Z
440002290,37.495733333333334,126.62015,242,255.5,0.4,2024-06-22T13:29:30.632Z
440002290,37.495733333333334,126.62018333333333,244,254.1,0.4,2024-06-22T13:29:30.585Z
440002290,37.495733333333334,126.62021666666666,247,252.7,0.3,2024-06-22T13:28:55.289Z
440002290,37.49575,126.62025,250,248.7,0.3,2024-06-22T13:28:40.024Z
440002290,37.49575,126.62026666666667,252,245.2,0.4,2024-06-22T13:28:39.984Z
440002290,37.495783333333335,126.62033333333333,256,242.2,0.3,2024-06-22T13:28:04.560Z
440002290,37.4958,126.62035,258,241.7,0.3,2024-06-22T13:27:49.311Z
440002290,37.4958,126.62036666666667,259,243.7,0.3,2024-06-22T13:27:34.040Z
440002290,37.49581666666667,126.6204,261,242.9,0.3,2024-06-22T13:27:23.769Z
440002290,37.49581666666667,126.6204,263,242.2,0.3,2024-06-22T13:27:13.486Z
440002290,37.49583333333333,126.62041666666667,264,244.2,0.3,2024-06-22T13:26:58.305Z
440002290,37.49583333333333,126.62045,268,245.1,0.3,2024-06-22T13:26:47.898Z
440002290,37.49583333333333,126.62048333333334,270,244.7,0.3,2024-06-22T13:26:32.577Z
440002290,37.49585,126.6205,274,244.7,0.3,2024-06-22T13:26:17.303Z
440002290,37.49588333333333,126.62056666666666,284,241,0.3,2024-06-22T13:25:35.642Z
440002290,37.4959,126.6206,286,237.9,0.3,2024-06-22T13:25:20.325Z
440002290,37.4959,126.62061666666666,288,238.7,0.3,2024-06-22T13:25:20.277Z
440002290,37.495916666666666,126.62066666666666,293,244.5,0.3,2024-06-22T13:24:48.768Z
440002290,37.495916666666666,126.62066666666666,296,241.7,0.3,2024-06-22T13:24:38.483Z
440002290,37.49595,126.62071666666667,305,245,0.3,2024-06-22T13:24:12.959Z
440002290,37.49595,126.62078333333334,314,249.7,0.3,2024-06-22T13:23:37.541Z
440002290,37.49595,126.62078333333334,315,247.5,0.3,2024-06-22T13:23:37.529Z
440002290,37.49596666666667,126.62081666666667,319,249,0.3,2024-06-22T13:23:22.231Z
