Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.45157833333333,126.594075,48,29,0,2024-06-19T01:26:25.329Z
440002290,37.451541666666664,126.5941,49,103.1,0,2024-06-19T01:26:04.592Z
440002290,37.451521666666665,126.59411166666666,49,0,0,2024-06-19T01:25:54.137Z
440002290,37.451505,126.59412166666667,49,88.1,0,2024-06-19T01:25:43.930Z
440002290,37.45153666666667,126.59409833333333,49,65,0,2024-06-19T01:25:33.542Z
440002290,37.451548333333335,126.59409666666667,49,75.9,0,2024-06-19T01:25:23.235Z
440002290,37.451575,126.59408833333333,49,69.5,0,2024-06-19T01:25:12.768Z
440002290,37.45158166666667,126.59408666666667,49,0,0,2024-06-19T01:24:52.283Z
440002290,37.451573333333336,126.59409166666667,49,84.3,0,2024-06-19T01:24:42.050Z
440002290,37.451575,126.59407166666666,49,79.6,0,2024-06-19T01:24:21.549Z
440002290,37.451568333333334,126.594075,48,78.4,0.1,2024-06-19T01:24:11.277Z
440002290,37.45155833333333,126.59407833333333,49,64.7,0.1,2024-06-19T01:24:00.845Z
440002290,37.451565,126.59407666666667,49,63.4,0,2024-06-19T01:23:50.612Z
440002290,37.45156333333333,126.59408333333333,49,83.2,0,2024-06-19T01:23:40.234Z
440002290,37.451568333333334,126.594085,49,79.3,0.2,2024-06-19T01:23:29.982Z
440002290,37.451571666666666,126.59409,49,66.9,0,2024-06-19T01:23:19.739Z
440002290,37.45157833333333,126.59408833333333,49,70.5,0,2024-06-19T01:23:09.511Z
440002290,37.45158166666667,126.59408666666667,49,79.8,0,2024-06-19T01:22:59.233Z
440002290,37.45159,126.59408,49,81.3,0,2024-06-19T01:22:48.979Z
440002290,37.451591666666666,126.59408166666667,49,88.3,0,2024-06-19T01:22:38.688Z
440002290,37.4516,126.59408666666667,49,97.9,0.2,2024-06-19T01:22:28.446Z
440002290,37.4516,126.59408,49,96.4,0,2024-06-19T01:22:18.191Z
440002290,37.4516,126.594075,49,100.4,0,2024-06-19T01:22:07.875Z
440002290,37.45158333333333,126.59407333333333,49,104.1,0,2024-06-19T01:21:57.615Z
440002290,37.451618333333336,126.59406166666666,48,330.8,0,2024-06-19T01:20:25.159Z
440002290,37.451615,126.59405833333334,48,312.9,0.1,2024-06-19T01:20:14.856Z
440002290,37.451571666666666,126.59405833333334,47,248.1,0,2024-06-19T01:19:22.183Z
440002290,37.45160833333333,126.59408,48,286.9,0,2024-06-19T01:18:20.507Z
440002290,37.451605,126.594095,49,327.8,0.1,2024-06-19T01:17:39.388Z
440002290,37.459783333333334,126.59061666666666,187,163,8.6,2024-06-19T00:44:37.809Z
440002290,37.4601,126.59048333333334,188,161.8,8.5,2024-06-19T00:44:27.509Z
440002290,37.46055,126.59031666666667,187,162.2,8.3,2024-06-19T00:44:17.269Z
440002290,37.46085,126.5902,188,162.2,8.3,2024-06-19T00:44:06.941Z
440002290,37.46126666666667,126.59003333333334,189,163.2,8.3,2024-06-19T00:44:06.904Z
440002290,37.46156666666667,126.58993333333333,194,165.2,8.1,2024-06-19T00:43:56.701Z
440002290,37.462,126.5898,197,168.1,8.2,2024-06-19T00:43:36.248Z
440002290,37.462716666666665,126.58966666666667,214,175.2,8.3,2024-06-19T00:43:26.001Z
440002290,37.46313333333333,126.58963333333334,217,177.7,8.2,2024-06-19T00:43:15.768Z
440002290,37.46345,126.58963333333334,226,183,8.1,2024-06-19T00:43:05.374Z
440002290,37.46386666666667,126.58968333333333,233,186.2,8.1,2024-06-19T00:42:55.066Z
440002290,37.46426666666667,126.58973333333333,232,185.7,8.1,2024-06-19T00:42:44.774Z
440002290,37.465,126.58983333333333,233,187,8.2,2024-06-19T00:42:24.288Z
440002290,37.465383333333335,126.5899,235,187.7,8.1,2024-06-19T00:42:14.028Z
440002290,37.46573333333333,126.58995,235,186.3,8.1,2024-06-19T00:42:03.776Z
440002290,37.46613333333333,126.58998333333334,232,185,8.1,2024-06-19T00:41:53.017Z
440002290,37.4665,126.59001666666667,232,184.7,8.2,2024-06-19T00:41:42.748Z
440002290,37.4669,126.59005,230,183.7,8.1,2024-06-19T00:41:32.467Z
440002290,37.46725,126.59008333333334,230,183.8,8.1,2024-06-19T00:41:22.209Z
440002290,37.467616666666665,126.59013333333333,234,186.6,8.1,2024-06-19T00:41:11.956Z
440002290,37.46796666666667,126.5902,238,189.2,8.1,2024-06-19T00:41:01.659Z
440002290,37.46836666666667,126.59026666666666,238,188.2,8.2,2024-06-19T00:40:51.377Z
440002290,37.468783333333334,126.59035,240,188.7,8.2,2024-06-19T00:40:41.153Z
440002290,37.46913333333333,126.59041666666667,239,187.7,8.2,2024-06-19T00:40:30.953Z
440002290,37.4695,126.59046666666667,237,185.7,8.2,2024-06-19T00:40:20.779Z
440002290,37.46986666666667,126.5905,235,184.5,8.2,2024-06-19T00:40:10.593Z
440002290,37.47023333333333,126.59053333333334,233,183.2,8.1,2024-06-19T00:40:00.249Z
440002290,37.470683333333334,126.59056666666666,232,184.1,8.1,2024-06-19T00:39:49.958Z
440002290,37.47103333333333,126.5906,237,187.8,8.1,2024-06-19T00:39:39.691Z
440002290,37.47143333333333,126.59068333333333,241,190.7,8.2,2024-06-19T00:39:29.357Z
440002290,37.47175,126.59076666666667,243,191.3,8.3,2024-06-19T00:39:19.057Z
440002290,37.472516666666664,126.59095,241,188.7,8.4,2024-06-19T00:38:58.489Z
440002290,37.47293333333333,126.59103333333333,239,187.1,8.3,2024-06-19T00:38:48.229Z
440002290,37.473333333333336,126.5911,239,188.2,8.4,2024-06-19T00:38:37.958Z
440002290,37.473683333333334,126.59116666666667,237,186.2,8.3,2024-06-19T00:38:27.693Z
440002290,37.474066666666666,126.59121666666667,237,187.2,8.3,2024-06-19T00:38:17.356Z
440002290,37.47448333333333,126.59128333333334,240,189,8.3,2024-06-19T00:38:07.077Z
440002290,37.47485,126.59136666666667,241,190.3,8.3,2024-06-19T00:37:56.825Z
440002290,37.4752,126.59145,242,190.7,8.4,2024-06-19T00:37:46.613Z
440002290,37.47561666666667,126.59155,242,190.2,8.4,2024-06-19T00:37:36.399Z
440002290,37.47603333333333,126.59163333333333,241,189,8.5,2024-06-19T00:37:26.115Z
440002290,37.47635,126.5917,240,188.1,8.5,2024-06-19T00:37:26.079Z
440002290,37.47676666666667,126.59178333333334,240,188,8.4,2024-06-19T00:37:15.853Z
440002290,37.47755,126.5919,237,186.2,8.5,2024-06-19T00:36:55.265Z
440002290,37.477916666666665,126.59195,237,185.6,8.4,2024-06-19T00:36:45.072Z
440002290,37.47835,126.592,237,185.7,8.4,2024-06-19T00:36:34.775Z
