Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440187000,37.505716666666665,126.6024,348,288,0,2024-06-20T22:58:19.256Z
440187000,37.50573333333333,126.6024,348,288,0,2024-06-20T22:52:18.801Z
440187000,37.5057,126.60246666666667,348,288,0,2024-06-20T22:43:14.628Z
440187000,37.505716666666665,126.60241666666667,348,288,0,2024-06-20T22:37:15.170Z
440187000,37.505716666666665,126.60245,348,288,0,2024-06-20T22:28:09.421Z
440187000,37.5057,126.60245,348,288,0,2024-06-20T22:22:10.142Z
440187000,37.505716666666665,126.60246666666667,348,288,0,2024-06-20T22:19:15.817Z
440187000,37.5057,126.60245,348,288,0,2024-06-20T22:16:10.781Z
440187000,37.5057,126.60243333333334,348,288,0,2024-06-20T22:04:10.807Z
440187000,37.505716666666665,126.60243333333334,348,288,0,2024-06-20T22:01:16.254Z
440187000,37.505716666666665,126.60243333333334,348,170,0,2024-06-20T21:55:16.772Z
440187000,37.50568333333333,126.6024,348,170,0,2024-06-20T21:52:12.034Z
440187000,37.5057,126.60245,348,170,0,2024-06-20T21:49:17.799Z
440187000,37.5057,126.60245,348,170,0,2024-06-20T21:46:13.355Z
440187000,37.505716666666665,126.60243333333334,348,182,0,2024-06-20T21:43:17.157Z
440187000,37.5057,126.6024,345,173,0.1,2024-06-20T21:40:12.637Z
440187000,37.50575,126.60238333333334,349,159,0.2,2024-06-20T21:35:04.483Z
440187000,37.505766666666666,126.60238333333334,349,156,0.2,2024-06-20T21:35:04.445Z
440187000,37.50578333333333,126.60236666666667,349,145,0.1,2024-06-20T21:34:43.992Z
440187000,37.50578333333333,126.60236666666667,349,143,0.1,2024-06-20T21:34:33.716Z
440187000,37.50578333333333,126.60235,349,154,0.1,2024-06-20T21:34:23.490Z
440187000,37.50578333333333,126.60235,349,254,0,2024-06-20T21:34:13.182Z
440187000,37.50578333333333,126.60233333333333,349,254,0,2024-06-20T21:34:02.962Z
440187000,37.5058,126.60233333333333,348,254,0,2024-06-20T21:33:52.651Z
440187000,37.5058,126.60235,348,11,0,2024-06-20T21:33:42.471Z
440187000,37.5058,126.60235,347,11,0,2024-06-20T21:33:32.282Z
440187000,37.50581666666667,126.60236666666667,347,11,0,2024-06-20T21:33:20.809Z
440187000,37.505833333333335,126.60236666666667,347,12,0.1,2024-06-20T21:33:10.590Z
440187000,37.505833333333335,126.60238333333334,347,10,0.1,2024-06-20T21:33:00.305Z
440187000,37.505833333333335,126.6024,348,12,0.1,2024-06-20T21:32:50.117Z
440187000,37.505833333333335,126.6024,348,13,0.1,2024-06-20T21:32:39.799Z
440187000,37.50581666666667,126.6024,350,11,0.2,2024-06-20T21:32:19.316Z
440187000,37.5058,126.6024,350,24,0.2,2024-06-20T21:32:09.133Z
440187000,37.50578333333333,126.6024,350,32,0.3,2024-06-20T21:31:58.896Z
440187000,37.505766666666666,126.60238333333334,350,34,0.4,2024-06-20T21:31:48.624Z
440187000,37.50575,126.60236666666667,350,34,0.3,2024-06-20T21:31:38.345Z
440187000,37.50573333333333,126.60236666666667,349,53,0.2,2024-06-20T21:31:28.118Z
440187000,37.505716666666665,126.60235,349,83,0.2,2024-06-20T21:31:17.859Z
440187000,37.505716666666665,126.60233333333333,349,101,0.2,2024-06-20T21:31:07.620Z
440187000,37.505716666666665,126.60231666666667,348,97,0.2,2024-06-20T21:30:57.347Z
440187000,37.505716666666665,126.60228333333333,348,90,0.2,2024-06-20T21:30:47.118Z
440187000,37.505716666666665,126.60225,347,84,0.2,2024-06-20T21:30:36.890Z
440187000,37.505716666666665,126.60225,346,75,0.2,2024-06-20T21:30:26.555Z
440187000,37.505716666666665,126.60223333333333,345,69,0.2,2024-06-20T21:30:16.273Z
440187000,37.505716666666665,126.60223333333333,344,65,0.3,2024-06-20T21:30:06.124Z
440187000,37.505716666666665,126.60221666666666,344,62,0.4,2024-06-20T21:29:55.895Z
440187000,37.505716666666665,126.60223333333333,345,60,0.5,2024-06-20T21:29:45.624Z
440187000,37.505716666666665,126.6022,346,57,0.5,2024-06-20T21:29:45.579Z
440187000,37.5057,126.60216666666666,347,54,0.6,2024-06-20T21:29:25.209Z
440187000,37.50568333333333,126.60213333333333,347,52,0.6,2024-06-20T21:29:25.167Z
440187000,37.505633333333336,126.60206666666667,349,46,0.7,2024-06-20T21:29:04.586Z
440187000,37.50561666666667,126.60203333333334,350,43,0.8,2024-06-20T21:28:54.373Z
440187000,37.5056,126.602,350,39,0.8,2024-06-20T21:28:44.078Z
440187000,37.505583333333334,126.60196666666667,350,36,0.9,2024-06-20T21:28:33.808Z
440187000,37.50555,126.60193333333333,349,34,1,2024-06-20T21:28:23.560Z
440187000,37.505516666666665,126.60191666666667,349,32,1,2024-06-20T21:28:13.247Z
440187000,37.50548333333333,126.6019,348,32,1.1,2024-06-20T21:28:03.072Z
440187000,37.505383333333334,126.60183333333333,349,34,1.2,2024-06-20T21:27:42.699Z
440187000,37.50533333333333,126.6018,349,40,1.2,2024-06-20T21:27:32.196Z
440187000,37.50528333333333,126.60175,350,47,1.2,2024-06-20T21:27:21.747Z
440187000,37.50525,126.60171666666666,352,52,1.2,2024-06-20T21:27:11.430Z
440187000,37.50521666666667,126.60166666666667,353,55,1.2,2024-06-20T21:27:01.206Z
440187000,37.50516666666667,126.6016,353,61,1.2,2024-06-20T21:26:50.902Z
440187000,37.5051,126.60148333333333,353,70,1.3,2024-06-20T21:26:30.486Z
440187000,37.50508333333333,126.60141666666667,353,68,1.5,2024-06-20T21:26:20.218Z
440187000,37.505066666666664,126.60135,354,66,1.6,2024-06-20T21:26:09.998Z
440187000,37.50505,126.60126666666666,356,63,1.6,2024-06-20T21:25:59.820Z
440187000,37.50501666666667,126.60115,359,56,1.6,2024-06-20T21:25:49.415Z
440187000,37.504983333333335,126.60105,1,48,1.4,2024-06-20T21:25:39.190Z
440187000,37.5049,126.6009,0,23,1.3,2024-06-20T21:25:18.696Z
440187000,37.50485,126.60086666666666,357,17,1.4,2024-06-20T21:25:08.512Z
440187000,37.50481666666666,126.60085,355,15,1.6,2024-06-20T21:24:58.317Z
440187000,37.50475,126.60081666666666,353,13,1.9,2024-06-20T21:24:48.071Z
440187000,37.5045,126.60073333333334,354,8,2.4,2024-06-20T21:24:17.219Z
440187000,37.5044,126.6007,355,5,2.5,2024-06-20T21:24:07.021Z
440187000,37.5043,126.60068333333334,355,4,2.6,2024-06-20T21:23:56.769Z
440187000,37.50415,126.60066666666667,355,3,2.7,2024-06-20T21:23:46.568Z
440187000,37.503883333333334,126.60063333333333,355,3,2.9,2024-06-20T21:23:26.107Z
440187000,37.50378333333333,126.60063333333333,355,3,2.9,2024-06-20T21:23:15.841Z
440187000,37.50365,126.60061666666667,355,3,3,2024-06-20T21:23:05.424Z
440187000,37.50353333333333,126.60063333333333,355,3,3.1,2024-06-20T21:23:05.382Z
440187000,37.5034,126.60063333333333,355,3,3.2,2024-06-20T21:22:55.169Z
440187000,37.503083333333336,126.60058333333333,355,1,3.2,2024-06-20T21:22:34.672Z
440187000,37.50295,126.60058333333333,355,2,3.2,2024-06-20T21:22:24.440Z
440187000,37.5028,126.60058333333333,355,3,3.2,2024-06-20T21:22:14.155Z
440187000,37.50266666666667,126.60056666666667,355,3,3.2,2024-06-20T21:22:03.942Z
440187000,37.50248333333333,126.60055,355,2,3.2,2024-06-20T21:21:53.730Z
440187000,37.502316666666665,126.60055,355,3,3.1,2024-06-20T21:21:43.422Z
440187000,37.50215,126.60053333333333,355,3,3.1,2024-06-20T21:21:33.127Z
440187000,37.50203333333334,126.60053333333333,356,3,3.1,2024-06-20T21:21:22.858Z
440187000,37.50188333333333,126.60051666666666,355,4,3.1,2024-06-20T21:21:12.552Z
440187000,37.50175,126.60051666666666,355,5,3,2024-06-20T21:21:02.367Z
440187000,37.5016,126.6005,356,6,3,2024-06-20T21:20:52.107Z
440187000,37.50145,126.6005,356,7,3,2024-06-20T21:20:41.742Z
440187000,37.50118333333333,126.60046666666666,357,12,2.9,2024-06-20T21:20:20.603Z
440187000,37.50103333333333,126.60043333333333,358,14,2.9,2024-06-20T21:20:10.409Z
440187000,37.500933333333336,126.6004,359,14,2.8,2024-06-20T21:20:00.220Z
440187000,37.5008,126.60035,0,13,2.7,2024-06-20T21:19:49.984Z
440187000,37.50066666666667,126.60031666666667,0,12,2.7,2024-06-20T21:19:39.763Z
440187000,37.50043333333333,126.60025,0,13,2.8,2024-06-20T21:19:19.296Z
440187000,37.5003,126.60021666666667,0,13,2.9,2024-06-20T21:19:08.940Z
440187000,37.50001666666667,126.60011666666666,1,14,3,2024-06-20T21:18:48.458Z
440187000,37.49973333333333,126.60003333333333,2,16,3.2,2024-06-20T21:18:27.935Z
440187000,37.499633333333335,126.6,2,17,3.2,2024-06-20T21:18:17.702Z
440187000,37.49948333333333,126.59995,3,17,3.3,2024-06-20T21:18:07.473Z
440187000,37.4992,126.59983333333334,4,16,3.4,2024-06-20T21:17:46.999Z
440187000,37.498866666666665,126.59971666666667,5,14,3.8,2024-06-20T21:17:26.429Z
440187000,37.498733333333334,126.59966666666666,5,15,4,2024-06-20T21:17:16.161Z
440187000,37.498583333333336,126.59961666666666,5,15,4.2,2024-06-20T21:17:16.114Z
440187000,37.4982,126.5995,7,16,4.6,2024-06-20T21:16:55.560Z
440187000,37.4978,126.59936666666667,8,18,5,2024-06-20T21:16:35.038Z
440187000,37.4976,126.59926666666667,9,18,5.1,2024-06-20T21:16:24.746Z
440187000,37.497366666666665,126.59918333333333,10,17,5.2,2024-06-20T21:16:14.484Z
440187000,37.49711666666666,126.59908333333334,10,18,5.3,2024-06-20T21:16:04.272Z
440187000,37.4969,126.599,11,18,5.3,2024-06-20T21:15:54.058Z
440187000,37.49641666666667,126.59878333333333,12,20,5.4,2024-06-20T21:15:33.551Z
440187000,37.4962,126.5987,13,21,5.4,2024-06-20T21:15:23.365Z
440187000,37.495983333333335,126.59856666666667,14,21,5.4,2024-06-20T21:15:13.162Z
440187000,37.49571666666667,126.59843333333333,15,19,5.4,2024-06-20T21:15:02.888Z
440187000,37.4955,126.59833333333333,15,18,5.4,2024-06-20T21:14:52.668Z
440187000,37.49503333333333,126.59813333333334,15,18,5.4,2024-06-20T21:14:32.117Z
440187000,37.4948,126.59803333333333,14,18,5.4,2024-06-20T21:14:20.567Z
440187000,37.49453333333334,126.59793333333333,14,19,5.5,2024-06-20T21:14:10.194Z
440187000,37.494283333333335,126.59781666666667,15,19,5.5,2024-06-20T21:13:59.940Z
440187000,37.49406666666667,126.59771666666667,15,19,5.5,2024-06-20T21:13:49.703Z
440187000,37.49378333333333,126.5976,15,21,5.6,2024-06-20T21:13:39.455Z
440187000,37.493566666666666,126.5975,15,22,5.6,2024-06-20T21:13:29.198Z
440187000,37.49335,126.5974,16,24,5.7,2024-06-20T21:13:18.913Z
440187000,37.49305,126.59723333333334,17,26,5.8,2024-06-20T21:13:08.707Z
440187000,37.49261666666666,126.59695,20,24,5.8,2024-06-20T21:12:48.207Z
440187000,37.49211666666667,126.59668333333333,20,24,5.9,2024-06-20T21:12:27.652Z
440187000,37.49186666666667,126.59655,20,25,6,2024-06-20T21:12:17.340Z
440187000,37.491366666666664,126.59625,20,23,6,2024-06-20T21:11:56.783Z
440187000,37.49113333333333,126.59613333333333,20,24,6.1,2024-06-20T21:11:46.383Z
440187000,37.49061666666667,126.59585,20,28,6.2,2024-06-20T21:11:25.886Z
440187000,37.490033333333336,126.59545,24,29,6.4,2024-06-20T21:11:05.372Z
440187000,37.48981666666667,126.59528333333333,25,27,6.4,2024-06-20T21:10:55.149Z
440187000,37.48956666666667,126.59511666666667,25,27,6.5,2024-06-20T21:10:55.113Z
440187000,37.48925,126.5949,25,26,6.5,2024-06-20T21:10:34.660Z
440187000,37.48903333333333,126.59476666666667,25,27,6.6,2024-06-20T21:10:34.625Z
440187000,37.488733333333336,126.59456666666667,25,26,6.7,2024-06-20T21:10:24.339Z
440187000,37.48846666666667,126.59438333333334,25,26,6.7,2024-06-20T21:10:14.087Z
440187000,37.488216666666666,126.59421666666667,26,26,6.8,2024-06-20T21:10:03.874Z
440187000,37.48798333333333,126.59405,26,25,6.9,2024-06-20T21:09:53.586Z
440187000,37.48736666666667,126.59371666666667,25,24,6.9,2024-06-20T21:09:33.084Z
440187000,37.487033333333336,126.59351666666667,25,24,6.9,2024-06-20T21:09:22.789Z
440187000,37.486783333333335,126.59336666666667,25,24,6.9,2024-06-20T21:09:12.587Z
440187000,37.48648333333333,126.5932,25,24,6.8,2024-06-20T21:09:02.304Z
440187000,37.48616666666667,126.59301666666667,25,24,6.8,2024-06-20T21:08:52.022Z
440187000,37.485883333333334,126.59285,25,24,6.7,2024-06-20T21:08:41.782Z
440187000,37.485616666666665,126.59271666666666,25,24,6.7,2024-06-20T21:08:31.598Z
440187000,37.485283333333335,126.59251666666667,25,24,6.6,2024-06-20T21:08:19.909Z
440187000,37.485033333333334,126.59236666666666,25,24,6.6,2024-06-20T21:08:09.690Z
440187000,37.48475,126.59221666666667,25,23,6.5,2024-06-20T21:07:59.408Z
