Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440043440,37.450026666666666,126.59083833333334,181,249.3,0,2024-06-28T22:01:02.104Z
440043440,37.450028333333336,126.59084166666666,181,248,0,2024-06-28T22:00:51.875Z
440043440,37.450028333333336,126.59083833333334,181,247.7,0,2024-06-28T22:00:41.612Z
440043440,37.450028333333336,126.590835,181,246.7,0,2024-06-28T22:00:31.359Z
440043440,37.45003,126.590835,181,245.9,0,2024-06-28T22:00:21.102Z
440043440,37.45003333333333,126.59083333333334,181,247.4,0,2024-06-28T22:00:10.829Z
440043440,37.45004,126.59083666666666,181,244.7,0,2024-06-28T22:00:00.533Z
440043440,37.45004333333333,126.59084166666666,181,243.3,0,2024-06-28T21:59:50.290Z
440043440,37.45003333333333,126.59085,181,241.4,0,2024-06-28T21:59:39.930Z
440043440,37.450026666666666,126.59084666666666,181,240.6,0,2024-06-28T21:59:29.655Z
440043440,37.450026666666666,126.59084666666666,181,239.9,0,2024-06-28T21:59:19.419Z
440043440,37.450025,126.59083833333334,181,239.5,0,2024-06-28T21:59:08.983Z
440043440,37.45003333333333,126.590845,181,240.3,0,2024-06-28T21:58:58.707Z
440043440,37.450045,126.59084333333334,181,241,0,2024-06-28T21:58:48.537Z
440043440,37.450055,126.590845,181,239.4,0,2024-06-28T21:58:37.697Z
440043440,37.450065,126.59085,181,236.1,0,2024-06-28T21:58:27.425Z
440043440,37.450066666666665,126.59084666666666,181,238.4,0,2024-06-28T21:58:17.254Z
440043440,37.450066666666665,126.59084666666666,181,232.6,0,2024-06-28T21:58:07.050Z
440043440,37.45006333333333,126.59084833333333,181,230.7,0,2024-06-28T21:57:56.884Z
440043440,37.450055,126.59084666666666,181,234.8,0,2024-06-28T21:57:46.573Z
440043440,37.45004333333333,126.590845,181,227.4,0,2024-06-28T21:57:46.541Z
440043440,37.45003833333333,126.59084166666666,181,230.8,0,2024-06-28T21:57:36.283Z
440043440,37.45003666666667,126.59084,181,234.4,0,2024-06-28T21:57:25.963Z
440043440,37.45003833333333,126.59083666666666,181,235.8,0,2024-06-28T21:57:15.730Z
440043440,37.450045,126.59083666666666,181,233.2,0,2024-06-28T21:57:05.453Z
440043440,37.450048333333335,126.59083666666666,181,230.2,0,2024-06-28T21:56:55.178Z
440043440,37.45005333333334,126.59083666666666,181,232.8,0,2024-06-28T21:56:34.726Z
440043440,37.45005666666667,126.590835,181,230.7,0,2024-06-28T21:56:24.508Z
440043440,37.450055,126.59082833333333,181,232,0,2024-06-28T21:56:14.200Z
440043440,37.45005,126.59082333333333,181,224.5,0,2024-06-28T21:56:03.863Z
440043440,37.450055,126.59082666666667,181,222.7,0,2024-06-28T21:55:53.589Z
440043440,37.45005666666667,126.590825,181,224.5,0,2024-06-28T21:55:42.935Z
440043440,37.45005833333333,126.59082333333333,181,226.8,0,2024-06-28T21:55:32.659Z
440043440,37.45006,126.59082666666667,181,225.6,0,2024-06-28T21:55:22.398Z
440043440,37.45005333333334,126.59082833333333,181,224.1,0,2024-06-28T21:55:01.898Z
440043440,37.45005,126.590825,181,222.9,0,2024-06-28T21:54:51.651Z
440043440,37.450046666666665,126.59082166666667,181,222.4,0,2024-06-28T21:54:41.429Z
440043440,37.450045,126.59082,181,226.4,0.1,2024-06-28T21:54:31.169Z
440043440,37.450046666666665,126.59082666666667,181,223.9,0,2024-06-28T21:54:20.879Z
440043440,37.45003833333333,126.59081833333333,181,229.7,0.1,2024-06-28T21:54:00.435Z
440043440,37.450046666666665,126.590835,181,228.7,0.1,2024-06-28T21:53:50.183Z
440043440,37.45004,126.59083166666667,181,229.5,0,2024-06-28T21:53:39.881Z
440043440,37.45003333333333,126.59083,181,229.4,0.1,2024-06-28T21:53:29.644Z
440043440,37.45003,126.59082666666667,181,232,0,2024-06-28T21:53:19.332Z
440043440,37.45003,126.59082666666667,181,233.1,0.1,2024-06-28T21:53:09.035Z
440043440,37.45003,126.59082333333333,181,232.9,0.1,2024-06-28T21:52:58.837Z
440043440,37.45003166666667,126.59082166666667,181,234.8,0,2024-06-28T21:52:48.563Z
440043440,37.45003333333333,126.59082333333333,181,236.4,0.1,2024-06-28T21:52:38.147Z
440043440,37.450041666666664,126.59082666666667,181,239.9,0,2024-06-28T21:52:27.895Z
440043440,37.450041666666664,126.59082333333333,181,240.9,0,2024-06-28T21:52:17.691Z
440043440,37.450046666666665,126.59082666666667,181,241.1,0,2024-06-28T21:52:07.449Z
440043440,37.45004333333333,126.59082333333333,181,241.1,0,2024-06-28T21:52:07.407Z
440043440,37.45003,126.59082166666667,181,236.3,0,2024-06-28T21:51:36.669Z
440043440,37.450026666666666,126.59082333333333,181,236,0,2024-06-28T21:51:26.335Z
440043440,37.450025,126.59082666666667,181,238.4,0,2024-06-28T21:51:26.303Z
440043440,37.450028333333336,126.590835,181,240.5,0,2024-06-28T21:51:15.986Z
440043440,37.450026666666666,126.59084,181,239,0,2024-06-28T21:51:05.756Z
440043440,37.45003,126.59084666666666,181,238.3,0,2024-06-28T21:50:45.238Z
440043440,37.45003,126.590845,181,238.5,0,2024-06-28T21:50:34.904Z
440043440,37.45003166666667,126.59084166666666,181,238.7,0,2024-06-28T21:50:24.673Z
440043440,37.450035,126.59084,181,240,0,2024-06-28T21:50:14.466Z
440043440,37.450035,126.59084,181,242.9,0,2024-06-28T21:50:04.178Z
440043440,37.45003166666667,126.590835,181,249.7,0,2024-06-28T21:49:43.710Z
440043440,37.45003333333333,126.59083166666667,181,250.1,0,2024-06-28T21:49:33.436Z
440043440,37.45003833333333,126.590835,181,249.9,0,2024-06-28T21:49:23.141Z
440043440,37.45003,126.590825,181,250,0,2024-06-28T21:49:12.867Z
440043440,37.450023333333334,126.59081666666667,181,247.9,0.1,2024-06-28T21:49:02.662Z
440043440,37.45003666666667,126.590825,181,251.6,0,2024-06-28T21:48:42.109Z
440043440,37.45004,126.59080833333333,181,255.7,0,2024-06-28T21:48:11.340Z
440043440,37.45004,126.59080833333333,181,257.1,0,2024-06-28T21:48:00.989Z
440043440,37.450041666666664,126.59080833333333,181,259.6,0,2024-06-28T21:47:50.724Z
440043440,37.45004333333333,126.59080666666667,181,259.2,0,2024-06-28T21:47:40.417Z
440043440,37.450045,126.5908,181,255.3,0,2024-06-28T21:47:29.882Z
440043440,37.450046666666665,126.59079666666666,181,257,0,2024-06-28T21:47:19.608Z
440043440,37.45005166666667,126.59079666666666,181,255.5,0.1,2024-06-28T21:47:09.213Z
440043440,37.45006333333333,126.59080833333333,181,257.4,0,2024-06-28T21:46:58.987Z
440043440,37.45008166666667,126.59082333333333,181,259.8,0.1,2024-06-28T21:46:48.545Z
440043440,37.45008333333333,126.59082333333333,181,260.5,0,2024-06-28T21:46:37.814Z
440043440,37.450075,126.59081666666667,181,258.7,0,2024-06-28T21:46:27.507Z
440043440,37.450068333333334,126.59081333333333,181,257.5,0,2024-06-28T21:46:16.960Z
440043440,37.45006166666667,126.59081333333333,181,260,0,2024-06-28T21:46:06.500Z
440043440,37.45005666666667,126.59081833333333,181,259.6,0,2024-06-28T21:46:06.465Z
440043440,37.450048333333335,126.59083,181,259.2,0,2024-06-28T21:45:45.895Z
440043440,37.450045,126.59083666666666,181,262.5,0,2024-06-28T21:45:25.442Z
440043440,37.450046666666665,126.590835,181,263.4,0,2024-06-28T21:45:15.227Z
440043440,37.45005,126.590835,181,263.6,0,2024-06-28T21:45:05.022Z
440043440,37.45005333333334,126.59083333333334,181,264,0,2024-06-28T21:44:54.725Z
440043440,37.450055,126.59083,181,264.5,0,2024-06-28T21:44:44.444Z
440043440,37.45005666666667,126.590825,181,265.4,0,2024-06-28T21:44:34.214Z
440043440,37.450055,126.59082,181,265.7,0,2024-06-28T21:44:24.003Z
440043440,37.45005833333333,126.590825,181,267.3,0,2024-06-28T21:44:13.732Z
440043440,37.45005833333333,126.59082666666667,181,267.6,0,2024-06-28T21:44:03.448Z
440043440,37.450055,126.59083166666667,181,269.1,0,2024-06-28T21:43:53.276Z
440043440,37.45005166666667,126.59083333333334,181,270.8,0,2024-06-28T21:43:43.048Z
440043440,37.450046666666665,126.59083333333334,181,269.4,0,2024-06-28T21:43:32.805Z
440043440,37.45004,126.59083666666666,181,268.8,0,2024-06-28T21:43:22.579Z
440043440,37.45003833333333,126.59083666666666,181,268.6,0,2024-06-28T21:43:12.286Z
440043440,37.45004,126.590835,181,268.4,0,2024-06-28T21:43:01.986Z
440043440,37.45004333333333,126.590835,181,266.1,0,2024-06-28T21:42:51.685Z
440043440,37.450045,126.59083333333334,181,265.1,0,2024-06-28T21:42:41.406Z
440043440,37.450046666666665,126.590835,181,263.9,0,2024-06-28T21:42:20.872Z
440043440,37.450048333333335,126.590835,181,263.3,0,2024-06-28T21:42:10.703Z
440043440,37.45005166666667,126.59083666666666,181,262.7,0,2024-06-28T21:42:00.416Z
440043440,37.450065,126.59083833333334,181,262.1,0,2024-06-28T21:41:39.968Z
440043440,37.450071666666666,126.59084,181,263.4,0,2024-06-28T21:41:29.714Z
440043440,37.450075,126.59083666666666,181,265.3,0.1,2024-06-28T21:41:19.420Z
440043440,37.45005833333333,126.59081333333333,181,257.6,0,2024-06-28T21:40:58.792Z
440043440,37.45006,126.59081666666667,181,256.9,0,2024-06-28T21:40:48.528Z
440043440,37.45006166666667,126.59081833333333,181,257.9,0,2024-06-28T21:40:37.969Z
440043440,37.45005833333333,126.59082166666667,181,257.3,0,2024-06-28T21:40:27.674Z
440043440,37.45005,126.59083166666667,181,255.8,0,2024-06-28T21:40:07.090Z
440043440,37.45004333333333,126.59083,181,258.6,0,2024-06-28T21:39:56.781Z
440043440,37.450041666666664,126.59083666666666,181,263.9,0,2024-06-28T21:39:36.164Z
440043440,37.450041666666664,126.590835,181,262.3,0,2024-06-28T21:39:36.129Z
440043440,37.450045,126.590835,181,254.4,0,2024-06-28T21:39:15.566Z
440043440,37.45005166666667,126.59084,181,254.1,0,2024-06-28T21:39:05.346Z
440043440,37.45005333333334,126.59084,181,256.7,0,2024-06-28T21:38:44.721Z
440043440,37.45005166666667,126.59084,181,257.3,0,2024-06-28T21:38:34.420Z
440043440,37.450045,126.590855,181,250.9,0,2024-06-28T21:38:13.850Z
440043440,37.45004,126.59086,181,250,0,2024-06-28T21:37:53.380Z
440043440,37.450035,126.59085166666667,181,252.4,0,2024-06-28T21:37:43.159Z
