Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
667001475,37.35071666666666,126.50818333333333,260,255.3,8.5,2024-06-12T17:15:56.334Z
667001475,37.35081666666667,126.50875,259,255.8,8.3,2024-06-12T17:15:46.083Z
667001475,37.35255,126.51503333333334,256,251.3,5.7,2024-06-12T17:12:50.646Z
667001475,37.353,126.51626666666667,247,231.4,6.3,2024-06-12T17:12:09.199Z
667001475,37.35326666666667,126.51666666666667,240,226.4,6.5,2024-06-12T17:11:58.936Z
667001475,37.35335,126.51676666666667,238,224.2,6.6,2024-06-12T17:11:48.649Z
667001475,37.3534,126.51681666666667,237,223,6.6,2024-06-12T17:11:48.639Z
667001475,37.3535,126.51693333333333,235,221.5,6.6,2024-06-12T17:11:48.626Z
667001475,37.36261666666667,126.52508333333333,219,214.8,9.5,2024-06-12T17:07:09.255Z
667001475,37.36581666666667,126.528,220,215.3,9.4,2024-06-12T17:05:36.650Z
667001475,37.36875,126.53045,217,213.8,9.4,2024-06-12T17:04:14.055Z
667001475,37.37246666666667,126.53341666666667,216,214.1,9.4,2024-06-12T17:02:31.194Z
667001475,37.37396666666667,126.53458333333333,216,211.9,9.4,2024-06-12T17:02:00.372Z
667001475,37.37435,126.53486666666667,216,211,9.5,2024-06-12T17:01:50.135Z
667001475,37.37473333333333,126.53516666666667,216,213.2,9.4,2024-06-12T17:01:39.631Z
667001475,37.37591666666667,126.53611666666667,216,212,9.4,2024-06-12T17:01:08.862Z
667001475,37.37623333333333,126.53635,216,211.9,9.6,2024-06-12T17:00:58.506Z
667001475,37.3766,126.53665,216,211.4,9.6,2024-06-12T17:00:48.285Z
667001475,37.376983333333335,126.53695,216,213,9.5,2024-06-12T17:00:38.023Z
667001475,37.37818333333333,126.5379,217,212.5,9.5,2024-06-12T17:00:07.138Z
667001475,37.37885,126.53845,217,211.9,9.6,2024-06-12T16:59:46.560Z
667001475,37.37996666666667,126.53935,218,212.8,9.6,2024-06-12T16:59:15.788Z
667001475,37.38041666666667,126.53971666666666,217,213.1,9.5,2024-06-12T16:59:05.513Z
667001475,37.382666666666665,126.54148333333333,217,212.1,9.5,2024-06-12T16:58:03.735Z
667001475,37.38305,126.54178333333333,217,211.6,9.4,2024-06-12T16:57:53.474Z
667001475,37.38335,126.54201666666667,217,210.9,9.5,2024-06-12T16:57:43.300Z
667001475,37.383716666666665,126.5423,217,212.2,9.4,2024-06-12T16:57:33.010Z
667001475,37.3849,126.54325,218,213.4,9.4,2024-06-12T16:57:02.196Z
667001475,37.385283333333334,126.54355,218,213.8,9.3,2024-06-12T16:56:51.970Z
667001475,37.38556666666667,126.5438,218,213.6,9.4,2024-06-12T16:56:41.657Z
667001475,37.385933333333334,126.54411666666667,218,213.6,9.4,2024-06-12T16:56:31.432Z
667001475,37.38705,126.545,217,213.2,9.5,2024-06-12T16:56:00.636Z
667001475,37.3875,126.54536666666667,218,213.4,9.6,2024-06-12T16:55:50.444Z
667001475,37.3878,126.54561666666666,218,212.1,9.5,2024-06-12T16:55:50.412Z
667001475,37.38816666666666,126.5459,217,212.7,9.4,2024-06-12T16:55:40.183Z
667001475,37.38928333333333,126.54678333333334,217,212.8,9.6,2024-06-12T16:55:09.265Z
667001475,37.38975,126.54715,217,211.4,9.4,2024-06-12T16:54:59.011Z
667001475,37.39005,126.54738333333333,216,211.4,9.4,2024-06-12T16:54:48.874Z
667001475,37.39078333333333,126.54798333333333,217,211.9,9.4,2024-06-12T16:54:28.114Z
667001475,37.39196666666667,126.54893333333334,217,212.2,9.4,2024-06-12T16:53:57.379Z
667001475,37.392266666666664,126.54916666666666,217,212.3,9.4,2024-06-12T16:53:47.088Z
667001475,37.392633333333336,126.54945,217,212.1,9.4,2024-06-12T16:53:36.864Z
667001475,37.39301666666667,126.54975,217,212,9.4,2024-06-12T16:53:26.538Z
667001475,37.3942,126.5507,217,212.2,9.4,2024-06-12T16:52:55.536Z
667001475,37.394866666666665,126.55121666666666,217,211.8,9.4,2024-06-12T16:52:34.939Z
667001475,37.39525,126.55151666666667,217,211.3,9.4,2024-06-12T16:52:24.634Z
667001475,37.3957,126.55186666666667,217,212.4,9.4,2024-06-12T16:52:14.401Z
667001475,37.395983333333334,126.5521,217,212.6,9.4,2024-06-12T16:52:03.979Z
667001475,37.396433333333334,126.55245,217,211.3,9.4,2024-06-12T16:51:53.631Z
667001475,37.39673333333333,126.55268333333333,217,212.1,9.4,2024-06-12T16:51:43.376Z
667001475,37.3971,126.55296666666666,217,212.7,9.4,2024-06-12T16:51:33.124Z
667001475,37.397483333333334,126.55326666666667,218,211.6,9.4,2024-06-12T16:51:22.854Z
667001475,37.397933333333334,126.55361666666667,217,211.2,9.4,2024-06-12T16:51:12.483Z
667001475,37.39823333333333,126.55383333333333,217,212.3,9.4,2024-06-12T16:51:02.230Z
667001475,37.398983333333334,126.5544,216,210.7,9.4,2024-06-12T16:50:41.794Z
667001475,37.399366666666666,126.55468333333333,216,210.6,9.4,2024-06-12T16:50:31.473Z
667001475,37.4002,126.5553,216,210,9.4,2024-06-12T16:50:10.956Z
667001475,37.40125,126.55608333333333,215,209.7,9.4,2024-06-12T16:49:50.398Z
667001475,37.401633333333336,126.55636666666666,215,211,9.4,2024-06-12T16:49:40.129Z
667001475,37.40201666666667,126.55665,216,210.1,9.4,2024-06-12T16:49:29.957Z
667001475,37.40246666666667,126.55696666666667,215,209.2,9.4,2024-06-12T16:49:19.474Z
667001475,37.403533333333336,126.55773333333333,214,209,9.3,2024-06-12T16:48:48.630Z
667001475,37.40391666666667,126.558,215,210.5,9.2,2024-06-12T16:48:38.415Z
667001475,37.4043,126.55828333333334,216,210.6,9.3,2024-06-12T16:48:28.191Z
667001475,37.404666666666664,126.55856666666666,216,210.1,9.4,2024-06-12T16:48:17.953Z
667001475,37.4058,126.55936666666666,215,209.4,9.4,2024-06-12T16:47:47.002Z
667001475,37.406166666666664,126.55963333333334,215,211.5,9.3,2024-06-12T16:47:36.668Z
667001475,37.406533333333336,126.5599,215,209.4,9.3,2024-06-12T16:47:26.037Z
667001475,37.40691666666667,126.56016666666666,215,209,9.3,2024-06-12T16:47:15.667Z
667001475,37.4073,126.56045,215,209.9,9.3,2024-06-12T16:47:05.491Z
667001475,37.40805,126.56098333333334,215,210.5,9.2,2024-06-12T16:46:44.914Z
667001475,37.40841666666667,126.56125,214,207.5,9.3,2024-06-12T16:46:34.591Z
667001475,37.4088,126.5615,212,207.7,9.3,2024-06-12T16:46:24.243Z
667001475,37.40918333333333,126.56176666666667,213,207.8,9.3,2024-06-12T16:46:13.989Z
667001475,37.40956666666667,126.56201666666666,213,207.9,9.3,2024-06-12T16:46:03.683Z
667001475,37.41035,126.56253333333333,212,207.2,9.3,2024-06-12T16:45:43.199Z
667001475,37.41073333333333,126.56278333333333,212,207.1,9.3,2024-06-12T16:45:32.950Z
667001475,37.411116666666665,126.56303333333334,212,207.3,9.3,2024-06-12T16:45:22.584Z
667001475,37.4119,126.56353333333334,212,207.9,9.3,2024-06-12T16:45:02.086Z
667001475,37.412283333333335,126.5638,213,208.4,9.3,2024-06-12T16:44:51.946Z
667001475,37.41266666666667,126.56405,212,207.6,9.3,2024-06-12T16:44:41.607Z
667001475,37.41305,126.56431666666667,212,208,9.2,2024-06-12T16:44:41.575Z
667001475,37.41341666666667,126.56456666666666,212,207.5,9.3,2024-06-12T16:44:21.127Z
667001475,37.41381666666667,126.5648,212,208.4,9.3,2024-06-12T16:44:21.071Z
667001475,37.41458333333333,126.56531666666666,212,208.6,9.3,2024-06-12T16:44:00.522Z
667001475,37.41535,126.56585,213,209.5,9.3,2024-06-12T16:43:39.942Z
667001475,37.41611666666667,126.56635,210,205.5,9.4,2024-06-12T16:43:19.213Z
667001475,37.416516666666666,126.56658333333333,210,206.3,9.4,2024-06-12T16:43:08.847Z
667001475,37.4173,126.56708333333333,211,206.4,9.4,2024-06-12T16:42:48.190Z
667001475,37.4177,126.56733333333334,211,207.3,9.4,2024-06-12T16:42:37.979Z
667001475,37.4185,126.56781666666667,210,205.3,9.4,2024-06-12T16:42:17.414Z
667001475,37.4189,126.56806666666667,210,203.5,9.5,2024-06-12T16:42:07.187Z
667001475,37.4193,126.56826666666667,207,198.9,9.7,2024-06-12T16:41:56.981Z
667001475,37.41973333333333,126.56845,205,200.7,9.6,2024-06-12T16:41:46.694Z
667001475,37.42015,126.56865,205,200.2,9.6,2024-06-12T16:41:36.427Z
667001475,37.421,126.56903333333334,205,200.1,9.6,2024-06-12T16:41:15.702Z
667001475,37.421416666666666,126.56923333333333,205,200.7,9.6,2024-06-12T16:41:05.439Z
667001475,37.42225,126.56961666666666,205,201,9.6,2024-06-12T16:40:44.824Z
667001475,37.422666666666665,126.56981666666667,205,200.5,9.6,2024-06-12T16:40:34.421Z
667001475,37.42308333333333,126.57001666666666,205,200.7,9.6,2024-06-12T16:40:24.150Z
667001475,37.4235,126.57021666666667,205,200,9.6,2024-06-12T16:40:13.965Z
667001475,37.42391666666666,126.57041666666667,205,200.9,9.6,2024-06-12T16:40:03.652Z
