Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.45698333333333,126.59128333333334,169,156.2,8.2,2024-06-22T14:43:09.313Z
440002290,37.45793333333334,126.59086666666667,192,163.7,8.6,2024-06-22T14:42:38.692Z
440002290,37.4583,126.59075,194,164.6,8.6,2024-06-22T14:42:28.452Z
440002290,37.4584,126.59071666666667,194,164.6,8.6,2024-06-22T14:42:28.442Z
440002290,37.458616666666664,126.59063333333333,195,165.1,8.5,2024-06-22T14:42:28.427Z
440002290,37.45901666666666,126.59046666666667,190,162.3,8.4,2024-06-22T14:42:28.385Z
440002290,37.45936666666667,126.59033333333333,188,161.8,8.3,2024-06-22T14:42:08.179Z
440002290,37.459783333333334,126.59018333333333,191,164.3,8.2,2024-06-22T14:41:52.986Z
440002290,37.46018333333333,126.59005,198,167.2,8.2,2024-06-22T14:41:52.930Z
440002290,37.461016666666666,126.58985,199,167.8,8,2024-06-22T14:41:17.438Z
440002290,37.461166666666664,126.58981666666666,198,166.8,8,2024-06-22T14:41:17.414Z
440002290,37.46125,126.58978333333333,197,166.2,8,2024-06-22T14:41:17.394Z
440002290,37.46138333333333,126.58975,197,166.6,8,2024-06-22T14:41:07.209Z
440002290,37.46163333333333,126.58966666666667,196,166.2,7.9,2024-06-22T14:41:07.131Z
440002290,37.46188333333333,126.58958333333334,193,165.2,7.9,2024-06-22T14:40:56.902Z
440002290,37.46196666666667,126.58955,193,166.2,7.9,2024-06-22T14:40:56.890Z
440002290,37.46235,126.58945,206,172.2,7.9,2024-06-22T14:40:41.666Z
440002290,37.4627,126.58941666666666,218,176.6,7.9,2024-06-22T14:40:41.624Z
440002290,37.463033333333335,126.5894,219,177.7,7.9,2024-06-22T14:40:41.594Z
440002290,37.4638,126.58933333333333,217,174.5,7.8,2024-06-22T14:40:06.115Z
440002290,37.46415,126.58928333333333,214,173.7,7.8,2024-06-22T14:40:06.066Z
440002290,37.46456666666667,126.58923333333334,218,176.2,7.8,2024-06-22T14:39:50.859Z
440002290,37.464933333333335,126.5892,221,178.2,7.8,2024-06-22T14:39:35.591Z
440002290,37.4652,126.5892,222,178.8,7.8,2024-06-22T14:39:35.563Z
440002290,37.465983333333334,126.58921666666667,227,181.7,7.8,2024-06-22T14:39:04.274Z
440002290,37.46638333333333,126.58923333333334,228,182.5,7.8,2024-06-22T14:39:04.231Z
440002290,37.467816666666664,126.58938333333333,234,187,7.8,2024-06-22T14:38:13.612Z
440002290,37.46816666666667,126.58945,236,187.6,7.9,2024-06-22T14:38:13.574Z
440002290,37.468516666666666,126.58951666666667,237,188.7,7.9,2024-06-22T14:37:58.334Z
440002290,37.46886666666666,126.58958333333334,238,188.2,7.8,2024-06-22T14:37:40.006Z
440002290,37.46921666666667,126.58963333333334,237,186.7,7.8,2024-06-22T14:37:29.826Z
440002290,37.46955,126.58968333333333,238,187.7,7.7,2024-06-22T14:37:29.783Z
440002290,37.4707,126.58991666666667,238,188.1,7.8,2024-06-22T14:37:03.391Z
440002290,37.471,126.58996666666667,238,187.8,7.8,2024-06-22T14:36:48.166Z
440002290,37.471383333333335,126.59001666666667,237,187,7.7,2024-06-22T14:36:32.912Z
440002290,37.471516666666666,126.59003333333334,236,186.2,7.7,2024-06-22T14:36:32.886Z
440002290,37.47173333333333,126.59006666666667,236,186.1,7.7,2024-06-22T14:36:32.848Z
440002290,37.47185,126.59008333333334,235,185.8,7.7,2024-06-22T14:36:22.820Z
440002290,37.471983333333334,126.5901,235,185.8,7.7,2024-06-22T14:36:22.773Z
440002290,37.472116666666665,126.59011666666666,236,186.3,7.7,2024-06-22T14:36:22.744Z
440002290,37.47221666666667,126.59013333333333,236,186.7,7.7,2024-06-22T14:36:22.718Z
440002290,37.472366666666666,126.59016666666666,237,187.2,7.7,2024-06-22T14:36:22.666Z
440002290,37.47245,126.59018333333333,237,187.6,7.6,2024-06-22T14:36:22.622Z
440002290,37.4735,126.59045,247,197.2,7.7,2024-06-22T14:35:27.056Z
440002290,37.47421666666666,126.59073333333333,247,195.7,7.9,2024-06-22T14:35:16.803Z
440002290,37.474916666666665,126.59095,241,190.7,7.9,2024-06-22T14:35:06.356Z
440002290,37.47526666666667,126.59103333333333,240,190,7.8,2024-06-22T14:34:50.122Z
440002290,37.47566666666667,126.5911,238,188,7.9,2024-06-22T14:34:34.846Z
440002290,37.47598333333333,126.59116666666667,238,188.8,7.9,2024-06-22T14:34:34.811Z
440002290,37.47743333333333,126.59145,237,187.7,8,2024-06-22T14:33:49.547Z
440002290,37.477866666666664,126.59151666666666,237,187.3,7.9,2024-06-22T14:33:49.445Z
