Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
273341330,37.366033333333334,126.52715666666667,211,212.6,7.3,2024-06-18T18:23:11.354Z
273341330,37.366861666666665,126.52778166666667,210,209.5,7.1,2024-06-18T18:22:40.647Z
273341330,37.367176666666666,126.528015,210,211.7,7.2,2024-06-18T18:22:30.429Z
273341330,37.367405,126.52819166666667,210,210.5,7,2024-06-18T18:22:20.175Z
273341330,37.36774,126.52844333333333,211,212.5,7,2024-06-18T18:22:09.931Z
273341330,37.36798833333334,126.52864,211,212,7,2024-06-18T18:21:59.703Z
273341330,37.36852833333333,126.52905666666666,211,209.5,7,2024-06-18T18:21:39.237Z
273341330,37.36935,126.529665,211,211.5,7,2024-06-18T18:21:08.531Z
273341330,37.369625,126.52987333333333,211,210.6,7,2024-06-18T18:20:58.256Z
273341330,37.37052666666666,126.53054666666667,211,210.8,7.4,2024-06-18T18:20:27.551Z
273341330,37.37142333333333,126.53121666666667,210,210.2,8,2024-06-18T18:20:07.033Z
273341330,37.37211166666667,126.53173,210,211.6,8.3,2024-06-18T18:19:46.422Z
273341330,37.37244833333333,126.53199333333333,211,211,8.6,2024-06-18T18:19:36.131Z
273341330,37.37423833333333,126.53335333333334,212,213.9,9.2,2024-06-18T18:18:44.820Z
273341330,37.37459666666667,126.53365166666667,213,214.9,9.3,2024-06-18T18:18:34.514Z
273341330,37.37488166666667,126.5339,214,215.4,9.3,2024-06-18T18:18:24.241Z
273341330,37.37563166666666,126.53456,215,214.3,9.6,2024-06-18T18:18:03.838Z
273341330,37.37603,126.53489833333333,215,212.3,9.3,2024-06-18T18:17:52.857Z
273341330,37.378233333333334,126.536685,214,212.5,9.4,2024-06-18T18:16:51.443Z
273341330,37.37894,126.53725833333333,214,213.6,9.5,2024-06-18T18:16:30.966Z
273341330,37.38045,126.538505,214,212.9,9.6,2024-06-18T18:15:49.988Z
273341330,37.381155,126.53907166666667,213,211.5,9.4,2024-06-18T18:15:29.413Z
273341330,37.381528333333335,126.539365,213,214,9.6,2024-06-18T18:15:19.199Z
273341330,37.38225666666666,126.54000166666667,215,214.1,9.5,2024-06-18T18:14:58.615Z
273341330,37.38303,126.54064833333334,215,213.8,9.4,2024-06-18T18:14:38.039Z
273341330,37.38336,126.54092333333334,215,213.7,9.8,2024-06-18T18:14:27.758Z
273341330,37.38373166666667,126.54123333333334,214,213.3,9.6,2024-06-18T18:14:17.542Z
273341330,37.38446833333333,126.541855,215,214.8,9.5,2024-06-18T18:14:07.188Z
273341330,37.38487166666667,126.54220833333333,216,213.4,9.5,2024-06-18T18:13:46.622Z
273341330,37.385241666666666,126.54251333333333,215,212.3,9.6,2024-06-18T18:13:46.576Z
273341330,37.385578333333335,126.54277833333333,215,212.3,9.4,2024-06-18T18:13:36.389Z
273341330,37.38595333333333,126.54307666666666,214,211.5,9.6,2024-06-18T18:13:26.213Z
273341330,37.386298333333336,126.54334666666666,214,212.8,9.5,2024-06-18T18:13:15.962Z
273341330,37.38671166666666,126.54368,214,213.4,9.6,2024-06-18T18:13:05.649Z
273341330,37.38742,126.54427,216,214,9.8,2024-06-18T18:12:45.074Z
273341330,37.38782833333333,126.54461666666667,216,212.9,9.6,2024-06-18T18:12:34.830Z
273341330,37.38854166666667,126.54519666666667,215,212.1,9.7,2024-06-18T18:12:14.323Z
273341330,37.388956666666665,126.54552666666666,214,212.7,9.8,2024-06-18T18:12:04.076Z
273341330,37.389336666666665,126.54583166666667,214,213.5,9.6,2024-06-18T18:11:52.442Z
273341330,37.389678333333336,126.54611333333334,215,213.2,9.6,2024-06-18T18:11:42.198Z
273341330,37.39009,126.54645166666667,215,213.7,9.8,2024-06-18T18:11:31.974Z
273341330,37.39046833333333,126.546765,215,213.5,9.6,2024-06-18T18:11:21.737Z
273341330,37.39123166666667,126.54738666666667,215,214.3,9.9,2024-06-18T18:11:01.132Z
273341330,37.39160833333333,126.54770666666667,215,213.6,9.6,2024-06-18T18:10:50.944Z
273341330,37.39195,126.54799166666666,215,213.1,9.9,2024-06-18T18:10:40.790Z
273341330,37.39236833333333,126.548335,215,213.4,9.8,2024-06-18T18:10:30.540Z
273341330,37.39275,126.54865166666667,215,212.4,9.9,2024-06-18T18:10:20.304Z
273341330,37.393525,126.54926166666667,214,212.1,9.7,2024-06-18T18:09:59.838Z
273341330,37.393915,126.54957,214,212.2,9.7,2024-06-18T18:09:49.466Z
273341330,37.39426,126.54984,214,212.2,9.7,2024-06-18T18:09:39.230Z
273341330,37.395073333333336,126.55048333333333,214,213.7,9.8,2024-06-18T18:09:18.802Z
273341330,37.39542,126.55076833333334,215,214.3,9.9,2024-06-18T18:09:08.500Z
273341330,37.39626666666667,126.55147333333333,215,212.7,9.9,2024-06-18T18:08:47.938Z
