Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.496516666666665,126.62601666666667,319,95.6,0,2024-06-21T22:23:34.774Z
440002290,37.4965,126.62601666666667,319,132.1,0,2024-06-21T22:23:04.372Z
440002290,37.49655,126.626,319,130.8,0,2024-06-21T22:22:33.957Z
440002290,37.49655,126.62598333333334,319,80.1,0,2024-06-21T22:22:05.638Z
440002290,37.49655,126.62601666666667,319,87.5,0,2024-06-21T22:21:45.408Z
440002290,37.4965,126.626,319,110.3,0,2024-06-21T22:21:30.117Z
440002290,37.496516666666665,126.626,319,97.1,0,2024-06-21T22:21:14.870Z
440002290,37.49653333333333,126.626,319,69.6,0,2024-06-21T22:20:24.318Z
440002290,37.49655,126.626,319,55.6,0,2024-06-21T22:19:38.656Z
440002290,37.49655,126.626,319,88.8,0,2024-06-21T22:19:10.288Z
440002290,37.496566666666666,126.626,319,35.1,0,2024-06-21T22:14:01.800Z
440002290,37.49655,126.62601666666667,319,22.1,0,2024-06-21T22:13:51.250Z
440002290,37.49653333333333,126.62601666666667,319,268,0,2024-06-21T22:12:59.896Z
440002290,37.49653333333333,126.62601666666667,319,260.7,0,2024-06-21T22:12:49.709Z
440002290,37.496516666666665,126.62601666666667,319,245.7,0,2024-06-21T22:12:23.311Z
440002290,37.496516666666665,126.626,319,188.8,0,2024-06-21T22:11:53.127Z
440002290,37.496516666666665,126.626,319,185.2,0,2024-06-21T22:11:53.067Z
440002290,37.49653333333333,126.626,319,268.7,0,2024-06-21T22:11:17.641Z
440002290,37.496516666666665,126.626,319,248.9,0,2024-06-21T22:11:02.093Z
440002290,37.496516666666665,126.62601666666667,318,241.5,0,2024-06-21T22:11:02.056Z
440002290,37.496516666666665,126.626,316,245.7,0,2024-06-21T22:10:46.701Z
440002290,37.49653333333333,126.626,312,254.7,0,2024-06-21T22:10:20.002Z
440002290,37.49653333333333,126.626,310,261.1,0,2024-06-21T22:10:04.755Z
440002290,37.49653333333333,126.626,309,234.6,0,2024-06-21T22:10:04.693Z
440002290,37.49653333333333,126.62603333333334,306,235,0,2024-06-21T22:09:19.086Z
440002290,37.49653333333333,126.62605,305,233.2,0,2024-06-21T22:08:20.121Z
440002290,37.49655,126.62605,304,246.7,0,2024-06-21T22:08:20.061Z
440002290,37.496566666666666,126.62605,304,164.2,0,2024-06-21T22:07:44.643Z
440002290,37.496566666666666,126.62605,304,111.3,0,2024-06-21T22:07:29.459Z
440002290,37.49653333333333,126.62605,303,71.1,0.1,2024-06-21T22:06:58.955Z
440002290,37.496566666666666,126.62598333333334,309,279,0,2024-06-21T22:06:02.222Z
440002290,37.496583333333334,126.62598333333334,309,293.1,0,2024-06-21T22:06:02.204Z
440002290,37.496566666666666,126.62598333333334,310,297.9,0,2024-06-21T22:06:02.187Z
440002290,37.496566666666666,126.62598333333334,310,303.5,0,2024-06-21T22:06:02.174Z
440002290,37.496566666666666,126.626,311,326.6,0,2024-06-21T22:05:46.987Z
440002290,37.496566666666666,126.626,311,334.2,0.2,2024-06-21T22:05:46.973Z
440002290,37.496566666666666,126.62601666666667,311,336.4,0.2,2024-06-21T22:05:46.964Z
440002290,37.49655,126.62601666666667,310,340.1,0.3,2024-06-21T22:05:31.740Z
440002290,37.49655,126.62603333333334,309,343.1,0.2,2024-06-21T22:05:31.724Z
440002290,37.49653333333333,126.62603333333334,308,11.5,0.4,2024-06-21T22:05:31.701Z
440002290,37.496433333333336,126.62593333333334,339,86.8,0.8,2024-06-21T22:04:43.359Z
440002290,37.49645,126.6259,350,29.3,0.6,2024-06-21T22:04:43.336Z
440002290,37.49641666666667,126.6259,3,6.6,1.8,2024-06-21T22:04:43.326Z
440002290,37.4964,126.6259,12,15.6,3.8,2024-06-21T22:04:28.154Z
440002290,37.495983333333335,126.62508333333334,49,71,8.8,2024-06-21T22:04:12.807Z
440002290,37.49571666666667,126.62405,50,73.3,8.9,2024-06-21T22:03:37.208Z
440002290,37.495133333333335,126.62101666666666,55,81.3,8.5,2024-06-21T22:02:46.726Z
440002290,37.4951,126.62055,57,84.3,8.5,2024-06-21T22:02:46.686Z
440002290,37.495016666666665,126.61853333333333,62,91.1,9.1,2024-06-21T22:01:56.318Z
440002290,37.49505,126.61695,60,89,9.1,2024-06-21T22:01:25.985Z
440002290,37.49503333333333,126.61643333333333,59,87.6,9.1,2024-06-21T22:01:25.947Z
440002290,37.49505,126.61483333333334,61,90.1,9.2,2024-06-21T22:00:50.553Z
440002290,37.49503333333333,126.6142,61,91.3,9.1,2024-06-21T22:00:35.280Z
440002290,37.495066666666666,126.61373333333333,63,93,9.1,2024-06-21T22:00:35.242Z
440002290,37.495066666666666,126.61268333333334,60,89.3,9.1,2024-06-21T22:00:00.061Z
440002290,37.495066666666666,126.61216666666667,60,88.3,9,2024-06-21T22:00:00.015Z
440002290,37.49496666666667,126.60981666666666,61,90.6,9.2,2024-06-21T21:59:09.610Z
440002290,37.49498333333333,126.60946666666666,61,90.6,9.3,2024-06-21T21:59:09.588Z
440002290,37.49498333333333,126.60935,61,90.5,9.3,2024-06-21T21:59:09.560Z
440002290,37.49498333333333,126.60908333333333,62,92,9.2,2024-06-21T21:59:09.542Z
440002290,37.49498333333333,126.60896666666666,63,92,9.2,2024-06-21T21:59:09.531Z
440002290,37.49503333333333,126.6079,64,96.6,8.3,2024-06-21T21:58:33.256Z
440002290,37.49505,126.60773333333333,65,96.3,8,2024-06-21T21:58:33.242Z
440002290,37.495066666666666,126.60756666666667,65,99.1,7.5,2024-06-21T21:58:33.224Z
440002290,37.49508333333333,126.60743333333333,64,97.5,6.7,2024-06-21T21:58:33.207Z
440002290,37.4951,126.60728333333333,63,97.8,5.6,2024-06-21T21:58:33.153Z
440002290,37.4951,126.60721666666667,63,100.3,4.7,2024-06-21T21:58:17.946Z
440002290,37.49511666666667,126.60713333333334,62,102.1,3.2,2024-06-21T21:58:17.939Z
440002290,37.495133333333335,126.6071,57,133.1,1.8,2024-06-21T21:58:17.920Z
440002290,37.49515,126.60706666666667,44,146.3,1.6,2024-06-21T21:58:17.905Z
440002290,37.49516666666667,126.60705,27,147,1.8,2024-06-21T21:58:02.779Z
440002290,37.4952,126.60701666666667,13,117.5,1.8,2024-06-21T21:58:02.729Z
440002290,37.4952,126.60698333333333,356,119.8,2.1,2024-06-21T21:58:02.702Z
440002290,37.495216666666664,126.60695,348,121.1,2.4,2024-06-21T21:57:47.436Z
440002290,37.495266666666666,126.60681666666666,334,112.5,3.9,2024-06-21T21:57:47.395Z
440002290,37.49528333333333,126.60673333333334,324,103.5,3.4,2024-06-21T21:57:47.382Z
440002290,37.4953,126.60668333333334,319,104.1,2.3,2024-06-21T21:57:47.366Z
440002290,37.4953,126.60665,314,126.8,1.6,2024-06-21T21:57:47.357Z
440002290,37.495416666666664,126.6068,7,211.2,1.4,2024-06-21T21:56:56.962Z
440002290,37.495466666666665,126.60683333333333,9,209,1.4,2024-06-21T21:56:41.769Z
440002290,37.49551666666667,126.60685,7,221.2,1.4,2024-06-21T21:56:41.740Z
440002290,37.495583333333336,126.60691666666666,9,213.4,0.8,2024-06-21T21:56:26.521Z
440002290,37.49571666666667,126.60705,10,167.2,0.5,2024-06-21T21:55:38.115Z
440002290,37.4957,126.60705,10,149.7,0,2024-06-21T21:55:22.947Z
440002290,37.49568333333333,126.60706666666667,9,159,0,2024-06-21T21:55:22.905Z
440002290,37.49571666666667,126.60706666666667,7,83.1,0.1,2024-06-21T21:54:47.368Z
440002290,37.49571666666667,126.60705,7,96.1,0.1,2024-06-21T21:54:32.043Z
440002290,37.4957,126.60703333333333,7,88.6,0,2024-06-21T21:54:31.998Z
440002290,37.495666666666665,126.60703333333333,4,33.8,0,2024-06-21T21:53:41.369Z
440002290,37.495666666666665,126.60701666666667,4,105.7,0,2024-06-21T21:53:41.321Z
440002290,37.495666666666665,126.60701666666667,4,89.8,0,2024-06-21T21:53:26.192Z
440002290,37.49568333333333,126.60703333333333,4,72.8,0,2024-06-21T21:53:26.133Z
440002290,37.4957,126.60703333333333,3,170.6,0.1,2024-06-21T21:52:50.729Z
440002290,37.49571666666667,126.60701666666667,3,247.4,0.1,2024-06-21T21:52:50.693Z
440002290,37.49568333333333,126.60701666666667,3,355.7,1.9,2024-06-21T21:52:40.483Z
440002290,37.49563333333333,126.60701666666667,3,354.1,3,2024-06-21T21:52:40.454Z
440002290,37.49556666666667,126.60703333333333,3,353.2,4,2024-06-21T21:52:22.183Z
440002290,37.49551666666667,126.60703333333333,2,351.7,4.7,2024-06-21T21:52:22.164Z
440002290,37.49543333333333,126.60705,2,350.5,5.9,2024-06-21T21:52:22.158Z
440002290,37.495333333333335,126.60706666666667,2,351,6.1,2024-06-21T21:52:22.146Z
440002290,37.49523333333333,126.6071,3,350.1,6.4,2024-06-21T21:52:22.139Z
440002290,37.49505,126.60713333333334,3,351.1,6.5,2024-06-21T21:52:06.822Z
440002290,37.49483333333333,126.60716666666667,3,352.4,6.5,2024-06-21T21:51:51.361Z
440002290,37.494733333333336,126.60718333333334,5,355.4,6.4,2024-06-21T21:51:51.344Z
440002290,37.49465,126.6072,6,357.7,6.3,2024-06-21T21:51:51.335Z
440002290,37.49443333333333,126.60721666666667,10,3.6,5.9,2024-06-21T21:51:51.304Z
440002290,37.4939,126.60706666666667,23,228.5,0.1,2024-06-21T21:51:02.905Z
440002290,37.4939,126.6071,24,232.2,0.1,2024-06-21T21:50:47.600Z
440002290,37.4939,126.60708333333334,24,230.5,0.1,2024-06-21T21:50:47.563Z
440002290,37.493916666666664,126.60713333333334,25,232.7,0.1,2024-06-21T21:50:12.200Z
440002290,37.493916666666664,126.60713333333334,25,233.7,0.1,2024-06-21T21:50:12.132Z
440002290,37.493916666666664,126.60713333333334,26,232.2,0.1,2024-06-21T21:49:56.972Z
440002290,37.493916666666664,126.60713333333334,26,228.4,0.2,2024-06-21T21:49:56.929Z
440002290,37.493966666666665,126.60713333333334,26,228.9,0.1,2024-06-21T21:49:06.610Z
440002290,37.493966666666665,126.60715,26,229.7,0.1,2024-06-21T21:49:06.566Z
440002290,37.49398333333333,126.60715,26,230.2,0.1,2024-06-21T21:48:31.216Z
440002290,37.49398333333333,126.60716666666667,26,228.2,0.1,2024-06-21T21:48:31.179Z
440002290,37.49398333333333,126.60718333333334,25,222.7,0.1,2024-06-21T21:48:15.911Z
440002290,37.494,126.6072,25,218.1,0.1,2024-06-21T21:48:05.347Z
440002290,37.49401666666667,126.60721666666667,25,227.5,0.1,2024-06-21T21:47:38.951Z
440002290,37.49398333333333,126.60723333333334,24,221.2,0.2,2024-06-21T21:47:38.917Z
440002290,37.494,126.60723333333334,23,216.2,0.1,2024-06-21T21:46:47.960Z
440002290,37.49401666666667,126.60723333333334,23,218.9,0,2024-06-21T21:46:32.722Z
440002290,37.49401666666667,126.60723333333334,23,216.5,0.1,2024-06-21T21:46:32.678Z
440002290,37.49405,126.60726666666666,23,217.2,0.1,2024-06-21T21:45:42.057Z
