Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
311365000,37.43821666666667,126.59984833333333,269,20.1,0,2024-06-15T16:08:10.563Z
311365000,37.43828,126.59991,269,20.1,0,2024-06-15T16:05:05.894Z
311365000,37.438246666666664,126.59994666666667,269,20.1,0,2024-06-15T16:02:10.735Z
311365000,37.438235,126.59991333333333,269,20.1,0,2024-06-15T15:59:06.139Z
311365000,37.438266666666664,126.59994333333333,269,20.1,0,2024-06-15T15:56:10.719Z
311365000,37.438215,126.599945,269,20.1,0,2024-06-15T15:53:06.110Z
311365000,37.438275,126.59993166666666,269,20.1,0,2024-06-15T15:50:11.391Z
311365000,37.43827,126.59988666666666,269,20.1,0,2024-06-15T15:47:26.988Z
311365000,37.438246666666664,126.599925,269,20.1,0,2024-06-15T15:44:13.009Z
311365000,37.43823,126.59987166666667,269,20.1,0,2024-06-15T15:41:07.774Z
311365000,37.43826,126.59994666666667,269,20.1,0,2024-06-15T15:38:13.056Z
311365000,37.43825833333333,126.59999833333333,270,20.1,0,2024-06-15T15:35:07.831Z
311365000,37.438275,126.59992166666666,270,20.1,0,2024-06-15T15:32:12.622Z
311365000,37.438291666666665,126.59992833333334,270,20.1,0,2024-06-15T15:29:07.821Z
311365000,37.43830166666667,126.59994333333333,270,20.1,0,2024-06-15T15:26:12.581Z
311365000,37.438343333333336,126.599985,270,20.1,0,2024-06-15T15:23:16.363Z
311365000,37.43830166666667,126.59995166666667,270,20.1,0,2024-06-15T15:20:09.973Z
311365000,37.43832166666667,126.599955,270,20.1,0,2024-06-15T15:17:14.947Z
311365000,37.438311666666664,126.59995166666667,270,20.1,0,2024-06-15T15:14:07.163Z
311365000,37.438221666666664,126.59995,270,20.1,0,2024-06-15T15:11:07.976Z
311365000,37.438265,126.59992,270,20.1,0,2024-06-15T15:08:12.751Z
311365000,37.43832333333334,126.59992833333334,270,20.1,0,2024-06-15T15:05:08.122Z
311365000,37.43826166666667,126.59995,270,20.1,0,2024-06-15T15:02:13.179Z
311365000,37.43817833333333,126.59992833333334,270,20.1,0,2024-06-15T14:59:07.619Z
311365000,37.43822333333333,126.59992833333334,270,20.1,0,2024-06-15T14:57:04.568Z
311365000,37.43821666666667,126.59993166666666,270,20.1,0,2024-06-15T14:56:54.340Z
311365000,37.438215,126.59994,270,20.1,0,2024-06-15T14:56:44.019Z
311365000,37.43821333333333,126.599935,270,20.1,0,2024-06-15T14:56:33.791Z
311365000,37.43823166666667,126.59993833333333,270,20.1,0,2024-06-15T14:56:23.466Z
311365000,37.438251666666666,126.59993166666666,270,20.1,0,2024-06-15T14:56:13.277Z
311365000,37.438266666666664,126.59991333333333,270,20.1,0,2024-06-15T14:56:03.045Z
311365000,37.43828166666667,126.59990833333333,270,20.1,0,2024-06-15T14:55:52.739Z
311365000,37.43827666666667,126.59990333333333,270,20.1,0,2024-06-15T14:55:42.494Z
311365000,37.43826833333333,126.599905,270,20.1,0,2024-06-15T14:55:30.804Z
311365000,37.43826166666667,126.59990833333333,270,20.1,0,2024-06-15T14:55:20.559Z
311365000,37.43826,126.5999,270,20.1,0,2024-06-15T14:55:10.340Z
311365000,37.438251666666666,126.59991166666667,270,20.1,0,2024-06-15T14:55:10.297Z
311365000,37.438251666666666,126.59990833333333,269,20.1,0.1,2024-06-15T14:55:00.084Z
311365000,37.438235,126.59990166666667,269,11.8,0.3,2024-06-15T14:54:49.895Z
311365000,37.43821166666667,126.59991,269,13.9,0.2,2024-06-15T14:54:29.377Z
311365000,37.43821166666667,126.59990166666667,270,74,0.1,2024-06-15T14:54:19.136Z
311365000,37.4382,126.59988833333334,270,74,0,2024-06-15T14:54:08.832Z
