Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441556000,37.34988666666667,126.50814,260,263.3,6.7,2024-06-15T06:41:16.513Z
441556000,37.350096666666666,126.51035,260,262.9,6.5,2024-06-15T06:40:14.846Z
441556000,37.35065,126.51541666666667,260,259.2,6.9,2024-06-15T06:38:00.603Z
441556000,37.35114166666666,126.51719,249,232.5,7.9,2024-06-15T06:37:19.514Z
441556000,37.35122833333333,126.51733833333333,247,229.7,8,2024-06-15T06:37:09.274Z
441556000,37.35147166666667,126.51769,239,222.7,8.3,2024-06-15T06:36:59.071Z
441556000,37.351635,126.51788666666667,236,217.9,8.6,2024-06-15T06:36:59.044Z
441556000,37.352005,126.51825666666667,227,213.7,8.8,2024-06-15T06:36:38.463Z
441556000,37.35274833333333,126.51883166666667,217,208.7,9.2,2024-06-15T06:36:28.183Z
441556000,37.35312666666667,126.519085,213,209,9.3,2024-06-15T06:36:17.919Z
441556000,37.35350666666667,126.519345,211,210.5,9.5,2024-06-15T06:36:07.722Z
441556000,37.353885,126.51962833333333,211,209.8,9.6,2024-06-15T06:35:57.493Z
441556000,37.354275,126.51990666666667,211,210.1,9.8,2024-06-15T06:35:47.205Z
441556000,37.355111666666666,126.52052333333333,211,209.9,10,2024-06-15T06:35:26.752Z
441556000,37.355515,126.52080833333333,211,210.8,10.1,2024-06-15T06:35:16.450Z
441556000,37.35583666666667,126.52104833333334,212,210.3,10.1,2024-06-15T06:35:05.930Z
441556000,37.35632666666667,126.5214,211,210.5,10.1,2024-06-15T06:34:55.730Z
441556000,37.35669333333333,126.52167,211,210,10.2,2024-06-15T06:34:45.494Z
441556000,37.35710666666667,126.521965,211,210.6,10.2,2024-06-15T06:34:35.285Z
441556000,37.357475,126.52223833333333,212,210.5,10.3,2024-06-15T06:34:25.157Z
441556000,37.357975,126.52259833333333,211,210.4,10.3,2024-06-15T06:34:14.830Z
441556000,37.35831,126.522845,211,211,10.4,2024-06-15T06:34:04.584Z
441556000,37.35924,126.52353666666667,211,210.6,10.4,2024-06-15T06:33:43.278Z
441556000,37.359703333333336,126.52387333333333,211,210.1,10.4,2024-06-15T06:33:33.045Z
441556000,37.36004166666667,126.52411833333333,211,210.4,10.4,2024-06-15T06:33:22.800Z
441556000,37.360545,126.524485,211,210.1,10.4,2024-06-15T06:33:12.436Z
441556000,37.360881666666664,126.52472833333333,211,210.5,10.4,2024-06-15T06:33:02.229Z
441556000,37.36213166666667,126.52566166666666,211,210.5,10.4,2024-06-15T06:32:31.456Z
441556000,37.36250666666667,126.52593666666667,211,210.8,10.4,2024-06-15T06:32:21.257Z
441556000,37.363006666666664,126.52630666666667,211,210.6,10.4,2024-06-15T06:32:10.936Z
441556000,37.36334,126.52655,211,210.8,10.4,2024-06-15T06:32:00.635Z
441556000,37.363755,126.52686166666666,211,211.5,10.4,2024-06-15T06:31:50.345Z
441556000,37.36425,126.527235,212,210.5,10.4,2024-06-15T06:31:40.107Z
441556000,37.364581666666666,126.52748,211,211,10.4,2024-06-15T06:31:29.909Z
441556000,37.365033333333336,126.527825,211,210.9,10.4,2024-06-15T06:31:19.649Z
441556000,37.36553333333333,126.528195,211,211,10.4,2024-06-15T06:31:09.425Z
441556000,37.36586333333333,126.52844666666667,211,211.5,10.4,2024-06-15T06:30:59.116Z
