Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.458133333333336,126.59076666666667,194,164.5,8.7,2024-06-15T06:17:57.307Z
440002290,37.45935,126.59033333333333,194,165.3,8.5,2024-06-15T06:17:26.618Z
440002290,37.45986666666667,126.59016666666666,192,165.7,8.5,2024-06-15T06:17:16.383Z
440002290,37.4604,126.58998333333334,193,166,8.3,2024-06-15T06:17:05.854Z
440002290,37.46078333333333,126.5899,198,168.7,8.1,2024-06-15T06:16:55.651Z
440002290,37.461133333333336,126.5898,202,169.3,8.2,2024-06-15T06:16:45.418Z
440002290,37.46126666666667,126.58976666666666,202,169.2,8.2,2024-06-15T06:16:35.246Z
440002290,37.46136666666666,126.58975,202,169.8,8.2,2024-06-15T06:16:35.233Z
440002290,37.4615,126.58971666666666,203,169.2,8,2024-06-15T06:16:35.217Z
440002290,37.46165,126.58968333333333,205,170.3,8,2024-06-15T06:16:25.062Z
440002290,37.46185,126.58963333333334,202,169.2,8.2,2024-06-15T06:16:25.036Z
440002290,37.462,126.5896,203,169.3,8.1,2024-06-15T06:16:14.917Z
440002290,37.462133333333334,126.58956666666667,205,169.7,8,2024-06-15T06:16:14.893Z
440002290,37.46248333333333,126.5895,202,169.2,8.2,2024-06-15T06:16:04.403Z
440002290,37.462716666666665,126.58945,208,170.3,8,2024-06-15T06:15:53.609Z
440002290,37.462833333333336,126.58941666666666,208,171.6,8,2024-06-15T06:15:53.599Z
440002290,37.46296666666667,126.5894,208,172.2,8.1,2024-06-15T06:15:53.588Z
440002290,37.46325,126.58935,210,172.7,8,2024-06-15T06:15:43.351Z
440002290,37.46338333333333,126.58933333333333,211,173.3,8,2024-06-15T06:15:43.315Z
440002290,37.46351666666666,126.5893,214,173.7,7.9,2024-06-15T06:15:43.295Z
440002290,37.46373333333333,126.58928333333333,215,176.7,8,2024-06-15T06:15:33.095Z
440002290,37.46458333333333,126.58935,232,183.8,8.8,2024-06-15T06:15:12.650Z
440002290,37.46528333333333,126.5894,232,183.8,9.1,2024-06-15T06:14:52.174Z
440002290,37.4659,126.58946666666667,234,185.3,9,2024-06-15T06:14:41.879Z
440002290,37.46615,126.5895,235,185.3,9.2,2024-06-15T06:14:31.595Z
440002290,37.46635,126.58951666666667,236,186.2,9.1,2024-06-15T06:14:31.577Z
440002290,37.46646666666667,126.58953333333334,236,185.2,9.1,2024-06-15T06:14:21.330Z
440002290,37.46671666666666,126.58956666666667,234,184.5,9.1,2024-06-15T06:14:21.306Z
440002290,37.46691666666667,126.58958333333334,233,184.2,9.2,2024-06-15T06:14:11.130Z
440002290,37.467083333333335,126.58958333333334,232,183.1,9.1,2024-06-15T06:14:11.112Z
440002290,37.46731666666667,126.5896,229,182,9.1,2024-06-15T06:14:00.910Z
440002290,37.467483333333334,126.58961666666667,229,182,9.1,2024-06-15T06:14:00.893Z
440002290,37.46758333333333,126.58961666666667,230,182.5,9,2024-06-15T06:14:00.882Z
440002290,37.46775,126.58963333333334,231,184,9,2024-06-15T06:13:50.664Z
440002290,37.46785,126.58963333333334,233,184.8,8.9,2024-06-15T06:13:50.655Z
440002290,37.468,126.58965,234,187.1,8.8,2024-06-15T06:13:50.640Z
440002290,37.46823333333333,126.5897,240,191.1,8.9,2024-06-15T06:13:40.366Z
440002290,37.468383333333335,126.58975,243,193.7,8.9,2024-06-15T06:13:40.351Z
440002290,37.46853333333333,126.5898,246,196.2,8.9,2024-06-15T06:13:40.339Z
440002290,37.46863333333334,126.58983333333333,248,197.2,8.9,2024-06-15T06:13:30.054Z
440002290,37.46881666666667,126.5899,249,199.1,9.1,2024-06-15T06:13:30.039Z
440002290,37.468916666666665,126.58995,250,198.7,9,2024-06-15T06:13:19.800Z
440002290,37.46905,126.59001666666667,250,200.2,8.9,2024-06-15T06:13:19.784Z
440002290,37.4692,126.59008333333334,253,203.7,8.9,2024-06-15T06:13:19.761Z
440002290,37.4693,126.59013333333333,256,205.2,9.1,2024-06-15T06:13:19.738Z
440002290,37.469483333333336,126.59025,258,207.2,9.3,2024-06-15T06:13:09.440Z
440002290,37.4697,126.5904,259,206.5,9.2,2024-06-15T06:13:09.426Z
440002290,37.470083333333335,126.59061666666666,256,202.7,9.2,2024-06-15T06:12:59.225Z
440002290,37.47023333333333,126.5907,255,200.3,9.2,2024-06-15T06:12:49.019Z
440002290,37.47063333333333,126.59085,248,193.5,9.3,2024-06-15T06:12:38.829Z
440002290,37.471466666666664,126.591,237,187.8,9.3,2024-06-15T06:12:18.290Z
440002290,37.47235,126.59116666666667,241,191,9.4,2024-06-15T06:11:57.724Z
440002290,37.472516666666664,126.59121666666667,242,192.2,9.5,2024-06-15T06:11:57.715Z
440002290,37.47261666666667,126.59123333333334,242,191.6,9.4,2024-06-15T06:11:57.700Z
440002290,37.472766666666665,126.59128333333334,242,191.8,9.4,2024-06-15T06:11:57.689Z
440002290,37.47293333333333,126.59131666666667,242,191.1,9.4,2024-06-15T06:11:47.432Z
440002290,37.47318333333333,126.59138333333334,241,191,9.4,2024-06-15T06:11:47.409Z
440002290,37.47355,126.59148333333333,241,190.7,9.3,2024-06-15T06:11:37.132Z
440002290,37.47365,126.5915,241,189.7,9.3,2024-06-15T06:11:37.121Z
440002290,37.4738,126.59153333333333,239,188.7,9.4,2024-06-15T06:11:26.919Z
440002290,37.474133333333334,126.59158333333333,236,186.6,9.3,2024-06-15T06:11:26.884Z
440002290,37.475,126.59166666666667,229,182.2,9.3,2024-06-15T06:11:06.398Z
440002290,37.475366666666666,126.59166666666667,226,181.1,9.1,2024-06-15T06:10:55.847Z
440002290,37.47575,126.59168333333334,227,182.2,9.2,2024-06-15T06:10:45.648Z
440002290,37.47743333333333,126.59181666666667,229,183.1,9.1,2024-06-15T06:10:04.628Z
440002290,37.477916666666665,126.59185,230,183.5,9.4,2024-06-15T06:09:53.922Z
