Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.4601,126.59035,198,166.3,9,2024-06-16T10:34:36.041Z
440002290,37.461333333333336,126.58995,199,167.3,8.8,2024-06-16T10:34:14.879Z
440002290,37.46171666666667,126.58985,214,172.7,8.9,2024-06-16T10:34:04.579Z
440002290,37.462133333333334,126.58978333333333,211,171,9,2024-06-16T10:33:54.247Z
440002290,37.46253333333333,126.5897,210,170.7,9,2024-06-16T10:33:44.017Z
440002290,37.46335,126.58958333333334,223,176.7,8.9,2024-06-16T10:33:23.460Z
440002290,37.4638,126.58955,219,173.6,8.7,2024-06-16T10:33:13.190Z
440002290,37.4646,126.58948333333333,226,181,8.5,2024-06-16T10:32:52.677Z
440002290,37.46505,126.5895,234,186.1,8.7,2024-06-16T10:32:42.436Z
440002290,37.46545,126.58956666666667,239,187.8,8.7,2024-06-16T10:32:31.711Z
440002290,37.465783333333334,126.58963333333334,241,188.8,8.7,2024-06-16T10:32:21.378Z
440002290,37.46621666666667,126.58971666666666,238,186.6,8.6,2024-06-16T10:32:11.092Z
440002290,37.46666666666667,126.58976666666666,234,185,8.8,2024-06-16T10:32:00.794Z
440002290,37.467016666666666,126.5898,234,186.2,8.8,2024-06-16T10:31:50.520Z
440002290,37.46745,126.58988333333333,241,189.2,8.8,2024-06-16T10:31:40.302Z
440002290,37.46785,126.58996666666667,239,187.7,8.9,2024-06-16T10:31:30.006Z
440002290,37.468666666666664,126.59011666666666,240,188.1,8.8,2024-06-16T10:31:09.610Z
440002290,37.469116666666665,126.59018333333333,240,187.3,8.8,2024-06-16T10:30:59.322Z
440002290,37.469516666666664,126.59025,240,187.2,8.8,2024-06-16T10:30:49.104Z
440002290,37.46995,126.59033333333333,241,188.7,8.7,2024-06-16T10:30:38.840Z
440002290,37.470283333333334,126.59038333333334,242,189.6,8.7,2024-06-16T10:30:28.576Z
440002290,37.470683333333334,126.59048333333334,244,191,8.8,2024-06-16T10:30:18.236Z
