Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440280000,37.33667166666667,126.39948,253,254.2,11.4,2024-06-26T17:15:37.682Z
440280000,37.336955,126.40076833333333,253,255.2,11.5,2024-06-26T17:15:16.759Z
440280000,37.337226666666666,126.402065,252,255.7,11.5,2024-06-26T17:14:56.294Z
440280000,37.33737333333333,126.402785,252,257.2,11.5,2024-06-26T17:14:46.082Z
440280000,37.3375,126.40343833333333,253,257.4,11.6,2024-06-26T17:14:35.660Z
440280000,37.337606666666666,126.40402833333333,253,257.4,11.6,2024-06-26T17:14:24.020Z
440280000,37.33770166666667,126.40469833333333,253,257.6,11.5,2024-06-26T17:14:13.709Z
440280000,37.33781666666667,126.40534666666667,253,257.9,11.5,2024-06-26T17:14:03.486Z
440280000,37.33793333333333,126.40599666666667,253,257.8,11.5,2024-06-26T17:13:53.224Z
440280000,37.33803666666667,126.40666333333333,253,257.7,11.5,2024-06-26T17:13:42.927Z
440280000,37.338163333333334,126.40738166666667,253,257.7,11.5,2024-06-26T17:13:32.630Z
440280000,37.33827,126.40796666666667,253,257.5,11.5,2024-06-26T17:13:22.411Z
440280000,37.33837833333333,126.40863166666666,253,257.3,11.5,2024-06-26T17:13:11.918Z
440280000,37.338631666666664,126.409915,253,257.6,11.5,2024-06-26T17:12:51.503Z
440280000,37.33875,126.410575,253,257.4,11.5,2024-06-26T17:12:41.266Z
440280000,37.338881666666666,126.411295,253,257.3,11.5,2024-06-26T17:12:31.103Z
440280000,37.33898833333333,126.41188166666667,253,257.4,11.5,2024-06-26T17:12:20.688Z
440280000,37.33923166666667,126.413195,253,257.8,11.6,2024-06-26T17:12:10.378Z
440280000,37.339346666666664,126.41385166666667,253,257.8,11.6,2024-06-26T17:12:00.160Z
440280000,37.339461666666665,126.414505,253,257.8,11.6,2024-06-26T17:11:49.871Z
440280000,37.339575,126.415225,253,257.6,11.6,2024-06-26T17:11:39.633Z
440280000,37.33968,126.415825,253,257.5,11.6,2024-06-26T17:11:28.644Z
440280000,37.339803333333336,126.41648166666667,253,257.8,11.6,2024-06-26T17:11:18.255Z
440280000,37.33992333333333,126.41713833333333,253,258.1,11.6,2024-06-26T17:11:07.166Z
440280000,37.34014666666667,126.41847,253,258.1,11.6,2024-06-26T17:10:46.542Z
440280000,37.34058666666667,126.42112833333333,253,259.4,11.7,2024-06-26T17:10:04.730Z
440280000,37.34091166666666,126.42383833333334,257,265,11.8,2024-06-26T17:09:21.910Z
440280000,37.341013333333336,126.42527333333334,259,263.4,11.8,2024-06-26T17:09:01.301Z
440280000,37.34114666666667,126.426575,258,263.4,11.8,2024-06-26T17:08:39.686Z
440280000,37.34126666666667,126.42794833333333,259,263.2,11.8,2024-06-26T17:08:19.101Z
440280000,37.34141,126.42937833333333,258,264.1,11.8,2024-06-26T17:07:58.519Z
440280000,37.341521666666665,126.43065666666666,259,266.7,11.8,2024-06-26T17:07:48.142Z
440280000,37.34162833333333,126.43199,262,265.7,11.8,2024-06-26T17:07:26.865Z
440280000,37.341715,126.43343,262,266,11.7,2024-06-26T17:07:05.865Z
440280000,37.34178333333333,126.43465833333333,262,267,11.7,2024-06-26T17:06:44.883Z
440280000,37.34186166666667,126.437525,265,268,11.6,2024-06-26T17:06:02.250Z
440280000,37.34189333333333,126.43874833333334,265,267.6,11.6,2024-06-26T17:05:48.012Z
440280000,37.34200333333333,126.44157333333334,264,267.8,11.6,2024-06-26T17:05:05.913Z
440280000,37.34202,126.442185,264,267.9,11.6,2024-06-26T17:04:55.639Z
440280000,37.34209166666667,126.44484,265,267.8,11.7,2024-06-26T17:04:11.855Z
440280000,37.342135,126.44626666666667,264,267.5,11.7,2024-06-26T17:03:50.789Z
440280000,37.34215833333333,126.44688166666667,264,268,11.7,2024-06-26T17:03:50.746Z
440280000,37.342211666666664,126.44892833333333,264,268.7,11.7,2024-06-26T17:03:19.156Z
440280000,37.34223,126.44975,265,268.1,11.7,2024-06-26T17:03:08.864Z
440280000,37.342241666666666,126.45036666666667,265,267.4,11.7,2024-06-26T17:02:58.621Z
440280000,37.342263333333335,126.45098166666666,264,266.5,11.7,2024-06-26T17:02:48.359Z
440280000,37.3423,126.451725,264,265.2,11.7,2024-06-26T17:02:38.125Z
440280000,37.34235,126.45247166666667,263,264.1,11.6,2024-06-26T17:02:27.858Z
440280000,37.34240666666667,126.45314666666667,262,264.9,11.6,2024-06-26T17:02:17.064Z
440280000,37.34245833333333,126.45382333333333,262,265,11.6,2024-06-26T17:02:06.756Z
440280000,37.342506666666665,126.45443833333333,262,264.8,11.6,2024-06-26T17:01:56.508Z
440280000,37.34261166666667,126.45579,262,264,11.6,2024-06-26T17:01:35.858Z
440280000,37.342675,126.45652833333334,261,263,11.6,2024-06-26T17:01:24.856Z
440280000,37.34272333333333,126.45720166666666,261,260.5,11.6,2024-06-26T17:01:14.129Z
440280000,37.342805,126.45787,260,258.6,11.6,2024-06-26T17:01:03.948Z
440280000,37.34290333333333,126.458465,258,258.4,11.6,2024-06-26T17:00:52.807Z
440280000,37.34301166666667,126.45912166666666,257,259.4,11.6,2024-06-26T17:00:42.587Z
440280000,37.34311,126.45978833333334,257,259.7,11.6,2024-06-26T17:00:32.422Z
440280000,37.34321166666667,126.460525,257,259.6,11.6,2024-06-26T17:00:22.138Z
440280000,37.34331,126.46119666666667,257,258.9,11.6,2024-06-26T17:00:11.861Z
440280000,37.34341166666667,126.46186166666666,257,258.8,11.6,2024-06-26T17:00:00.155Z
440280000,37.343725,126.46384666666667,256,258.9,11.6,2024-06-26T16:59:38.718Z
440280000,37.34394,126.465175,256,258.6,11.6,2024-06-26T16:59:18.040Z
440280000,37.34403666666667,126.465775,256,258.7,11.6,2024-06-26T16:59:07.388Z
440280000,37.344145,126.46644166666667,256,258.5,11.6,2024-06-26T16:58:57.129Z
440280000,37.34437333333333,126.46783,256,258.9,11.6,2024-06-26T16:58:35.871Z
440280000,37.34446666666667,126.468425,256,258.9,11.6,2024-06-26T16:58:24.018Z
440280000,37.34458166666667,126.46915333333334,256,259.2,11.6,2024-06-26T16:58:13.415Z
440280000,37.344675,126.46975333333333,257,259.1,11.6,2024-06-26T16:58:02.253Z
440280000,37.344878333333334,126.47108666666666,257,258.6,11.6,2024-06-26T16:57:41.691Z
440280000,37.344995,126.47181166666667,256,258.7,11.6,2024-06-26T16:57:31.473Z
440280000,37.34509166666667,126.47240833333333,256,258.9,11.6,2024-06-26T16:57:21.272Z
440280000,37.34521,126.47314,256,258.7,11.6,2024-06-26T16:57:10.971Z
440280000,37.345306666666666,126.47373833333333,256,258.6,11.6,2024-06-26T16:57:00.736Z
440280000,37.345525,126.47506333333334,256,258.6,11.7,2024-06-26T16:56:50.457Z
440280000,37.345641666666666,126.47579666666667,256,258.5,11.7,2024-06-26T16:56:29.723Z
