Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.455416666666665,126.5909,53,72.3,8.6,2024-06-26T08:43:58.993Z
440002290,37.4546,126.58991666666667,25,24.1,9.1,2024-06-26T08:43:37.903Z
440002290,37.454166666666666,126.5897,21,18.3,9,2024-06-26T08:43:27.599Z
440002290,37.445283333333336,126.58723333333333,13,5.6,9.5,2024-06-26T08:39:57.284Z
440002290,37.4448,126.58718333333333,13,5.1,9.4,2024-06-26T08:39:46.866Z
440002290,37.444383333333334,126.58713333333333,14,7.1,9.3,2024-06-26T08:39:35.660Z
440002290,37.44356666666667,126.58693333333333,17,15.3,9.6,2024-06-26T08:39:12.591Z
440002290,37.44311666666667,126.58675,20,18.8,9.6,2024-06-26T08:39:02.322Z
440002290,37.44265,126.58655,20,18.8,9.5,2024-06-26T08:38:51.971Z
440002290,37.4423,126.5864,20,18.5,9.5,2024-06-26T08:38:41.380Z
440002290,37.44096666666667,126.5859,19,15,9.5,2024-06-26T08:38:09.258Z
440002290,37.44085,126.58586666666666,18,14.8,9.6,2024-06-26T08:38:09.243Z
440002290,37.4406,126.58578333333334,18,14.1,9.5,2024-06-26T08:38:09.218Z
440002290,37.44028333333333,126.58568333333334,17,12.8,9.6,2024-06-26T08:37:57.810Z
440002290,37.43996666666666,126.5856,17,12.8,9.5,2024-06-26T08:37:47.027Z
440002290,37.43925,126.5854,15,8.5,9.3,2024-06-26T08:37:36.743Z
440002290,37.438433333333336,126.5854,5,349.9,9,2024-06-26T08:37:16.121Z
440002290,37.4377,126.58593333333333,341,307.5,9.6,2024-06-26T08:36:55.349Z
440002290,37.43728333333333,126.587,324,285.4,9.8,2024-06-26T08:36:34.582Z
440002290,37.437266666666666,126.58711666666666,322,284,9.9,2024-06-26T08:36:34.569Z
440002290,37.437133333333335,126.58811666666666,315,273.7,9.8,2024-06-26T08:36:12.953Z
440002290,37.43711666666667,126.5892,311,270.5,9.7,2024-06-26T08:35:52.483Z
440002290,37.4371,126.59151666666666,310,268.7,9.6,2024-06-26T08:35:10.291Z
440002290,37.43718333333333,126.59315,307,263.7,9.6,2024-06-26T08:34:48.407Z
440002290,37.43723333333333,126.59375,306,264.2,9.4,2024-06-26T08:34:37.489Z
440002290,37.43731666666667,126.59531666666666,309,267.7,9.4,2024-06-26T08:34:06.401Z
440002290,37.4374,126.59761666666667,308,266.4,9.3,2024-06-26T08:33:22.671Z
440002290,37.43745,126.5986,308,268.7,9.2,2024-06-26T08:33:00.522Z
440002290,37.43745,126.59911666666666,310,270.6,9.3,2024-06-26T08:32:50.245Z
440002290,37.437466666666666,126.60021666666667,308,266.7,9.8,2024-06-26T08:32:28.245Z
440002290,37.4375,126.60091666666666,307,264.9,9.9,2024-06-26T08:32:17.961Z
440002290,37.437533333333334,126.60146666666667,307,262.9,9.8,2024-06-26T08:32:17.918Z
440002290,37.437583333333336,126.60195,306,263.2,9.8,2024-06-26T08:32:07.644Z
440002290,37.43775,126.60311666666666,303,257.1,9.8,2024-06-26T08:31:46.602Z
440002290,37.4378,126.60346666666666,301,255,9.7,2024-06-26T08:31:35.639Z
440002290,37.437866666666665,126.60371666666667,300,254,9.7,2024-06-26T08:31:35.622Z
440002290,37.4385,126.60568333333333,291,242.2,9.4,2024-06-26T08:30:53.671Z
440002290,37.438583333333334,126.60591666666667,291,243.4,9.3,2024-06-26T08:30:53.652Z
440002290,37.43881666666667,126.60656666666667,293,247.7,9.2,2024-06-26T08:30:32.768Z
440002290,37.438916666666664,126.60686666666666,294,249.2,9.3,2024-06-26T08:30:32.739Z
440002290,37.43911666666666,126.60758333333334,295,252.2,9,2024-06-26T08:30:22.463Z
440002290,37.439166666666665,126.60778333333333,296,253.2,8.8,2024-06-26T08:30:12.214Z
440002290,37.4392,126.6079,297,254.2,8.8,2024-06-26T08:30:12.204Z
440002290,37.43925,126.60821666666666,299,259.1,8.5,2024-06-26T08:30:00.123Z
440002290,37.439283333333336,126.60863333333333,308,268.5,8.1,2024-06-26T08:29:49.400Z
440002290,37.439283333333336,126.60913333333333,312,275.7,7.4,2024-06-26T08:29:38.646Z
440002290,37.43925,126.60948333333333,313,279.4,6.7,2024-06-26T08:29:38.624Z
440002290,37.439233333333334,126.60956666666667,313,280.1,6.4,2024-06-26T08:29:28.310Z
440002290,37.4392,126.60985,320,291.2,4,2024-06-26T08:29:28.263Z
440002290,37.43913333333333,126.61,351,273.1,0.7,2024-06-26T08:29:18.029Z
440002290,37.43913333333333,126.61,357,263.4,0.8,2024-06-26T08:29:18.021Z
440002290,37.43913333333333,126.61003333333333,9,207,1.4,2024-06-26T08:29:17.990Z
440002290,37.43926666666667,126.61016666666667,26,254.5,0.3,2024-06-26T08:28:35.436Z
440002290,37.439233333333334,126.61015,22,186.1,0,2024-06-26T08:28:12.890Z
440002290,37.43925,126.61016666666667,22,107.7,0,2024-06-26T08:28:02.633Z
440002290,37.43925,126.6102,22,191.2,0.1,2024-06-26T08:27:52.343Z
440002290,37.439233333333334,126.61025,22,231.5,0.2,2024-06-26T08:27:41.807Z
440002290,37.439283333333336,126.61025,22,172.2,0,2024-06-26T08:27:15.790Z
440002290,37.4393,126.61026666666666,22,179.1,0.1,2024-06-26T08:27:05.033Z
440002290,37.4393,126.61023333333333,22,158.7,0.1,2024-06-26T08:27:04.987Z
440002290,37.4393,126.61023333333333,23,99.6,0,2024-06-26T08:26:23.032Z
440002290,37.439283333333336,126.61025,23,73,0.1,2024-06-26T08:25:38.801Z
440002290,37.439283333333336,126.6102,25,96.1,0.1,2024-06-26T08:24:56.496Z
440002290,37.4393,126.61016666666667,25,205.4,0.9,2024-06-26T08:24:56.424Z
440002290,37.43931666666667,126.61021666666667,26,126.6,0.1,2024-06-26T08:24:13.100Z
440002290,37.439283333333336,126.61023333333333,27,158.7,0,2024-06-26T08:23:49.429Z
440002290,37.43933333333333,126.61023333333333,27,181.7,0.2,2024-06-26T08:23:39.199Z
440002290,37.439283333333336,126.61021666666667,24,12.8,0.5,2024-06-26T08:23:09.035Z
440002290,37.43925,126.6102,23,14.1,0.4,2024-06-26T08:22:54.595Z
440002290,37.4392,126.61016666666667,22,6.5,0.2,2024-06-26T08:22:44.261Z
440002290,37.43921666666667,126.61018333333334,20,9.8,0.3,2024-06-26T08:22:34.063Z
440002290,37.4392,126.61018333333334,22,31.1,0.2,2024-06-26T08:22:02.603Z
440002290,37.43918333333333,126.61016666666667,23,9.8,0.5,2024-06-26T08:21:52.338Z
440002290,37.4391,126.61015,23,5.8,0.4,2024-06-26T08:21:41.843Z
440002290,37.43898333333333,126.61013333333334,21,351,0.5,2024-06-26T08:20:57.234Z
440002290,37.438966666666666,126.61013333333334,21,8.3,1.2,2024-06-26T08:20:46.617Z
440002290,37.438916666666664,126.61011666666667,22,352,0.7,2024-06-26T08:20:36.184Z
440002290,37.43886666666667,126.61013333333334,23,352.1,0.6,2024-06-26T08:20:15.604Z
440002290,37.43881666666667,126.61013333333334,23,2.5,1.1,2024-06-26T08:20:05.267Z
440002290,37.43878333333333,126.61011666666667,23,351.2,0.7,2024-06-26T08:19:55.030Z
440002290,37.43875,126.61011666666667,22,1.6,1,2024-06-26T08:19:43.350Z
440002290,37.43868333333333,126.61013333333334,21,5.1,1.2,2024-06-26T08:19:33.097Z
440002290,37.43865,126.61013333333334,22,0.3,1.1,2024-06-26T08:19:22.863Z
440002290,37.438633333333335,126.61015,23,352.2,1,2024-06-26T08:19:12.102Z
440002290,37.43861666666667,126.61016666666667,23,354,1,2024-06-26T08:19:12.088Z
440002290,37.4386,126.61016666666667,24,348.2,1,2024-06-26T08:19:12.073Z
440002290,37.4385,126.61016666666667,25,340,1.2,2024-06-26T08:19:01.721Z
440002290,37.43848333333333,126.61016666666667,24,350.7,1.8,2024-06-26T08:19:01.705Z
440002290,37.43845,126.61016666666667,22,331.6,1.7,2024-06-26T08:18:50.751Z
440002290,37.43841666666667,126.61021666666667,23,333.1,1.3,2024-06-26T08:18:50.722Z
440002290,37.438383333333334,126.61023333333333,16,340.7,1.3,2024-06-26T08:18:35.456Z
440002290,37.438383333333334,126.61025,15,344.2,1.4,2024-06-26T08:18:35.446Z
440002290,37.438316666666665,126.61026666666666,14,349.7,1.5,2024-06-26T08:18:25.189Z
440002290,37.43825,126.6103,18,2.8,1.2,2024-06-26T08:18:14.855Z
440002290,37.4382,126.61028333333333,23,15.3,1.1,2024-06-26T08:18:04.380Z
440002290,37.43816666666667,126.61026666666666,27,23.5,1.3,2024-06-26T08:17:54.032Z
