Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.49686666666667,126.62646666666667,13,1.7,0,2024-06-20T15:02:33.718Z
440002290,37.49685,126.62645,13,4.8,0,2024-06-20T15:02:23.456Z
440002290,37.49686666666667,126.62646666666667,13,357,0,2024-06-20T15:02:13.252Z
440002290,37.49686666666667,126.62646666666667,13,340.9,0,2024-06-20T15:02:02.961Z
440002290,37.49686666666667,126.62645,13,351.6,0,2024-06-20T15:01:32.165Z
440002290,37.49686666666667,126.62648333333334,13,340.7,0,2024-06-20T15:01:11.568Z
440002290,37.49686666666667,126.62648333333334,13,357.5,0,2024-06-20T15:01:01.327Z
440002290,37.49686666666667,126.6265,13,21.5,0,2024-06-20T15:00:40.847Z
440002290,37.49686666666667,126.62648333333334,13,355.7,0,2024-06-20T15:00:30.639Z
440002290,37.49685,126.62646666666667,13,346.2,0,2024-06-20T15:00:20.251Z
440002290,37.49685,126.62648333333334,13,359.2,0,2024-06-20T15:00:09.982Z
440002290,37.49686666666667,126.62646666666667,13,11,0,2024-06-20T14:59:59.701Z
440002290,37.49686666666667,126.62646666666667,14,42.5,0,2024-06-20T14:59:59.655Z
440002290,37.49686666666667,126.62646666666667,14,73.8,0,2024-06-20T14:59:59.623Z
440002290,37.49688333333334,126.62645,13,99.1,0,2024-06-20T14:59:12.655Z
440002290,37.49688333333334,126.62646666666667,13,123,0,2024-06-20T14:58:52.003Z
440002290,37.49686666666667,126.62646666666667,13,145.8,0,2024-06-20T14:58:41.670Z
440002290,37.496833333333335,126.62648333333334,13,268.2,0,2024-06-20T14:57:18.383Z
440002290,37.49686666666667,126.62646666666667,13,298.5,0,2024-06-20T14:57:07.988Z
440002290,37.49685,126.62646666666667,13,304.6,0,2024-06-20T14:56:47.361Z
440002290,37.49685,126.62646666666667,13,318.6,0,2024-06-20T14:56:37.037Z
440002290,37.49686666666667,126.62646666666667,13,339.2,0,2024-06-20T14:56:26.803Z
440002290,37.49685,126.62645,13,339.1,0,2024-06-20T14:56:06.345Z
440002290,37.49685,126.62643333333334,13,332.9,0,2024-06-20T14:55:14.591Z
440002290,37.49685,126.62643333333334,13,335.2,0,2024-06-20T14:54:53.991Z
440002290,37.49688333333334,126.62646666666667,13,21.8,0,2024-06-20T14:54:01.133Z
440002290,37.49688333333334,126.62646666666667,13,38.5,0,2024-06-20T14:53:50.966Z
440002290,37.49685,126.62646666666667,13,341.1,0,2024-06-20T14:53:09.979Z
440002290,37.49688333333334,126.62646666666667,12,342.6,0,2024-06-20T14:52:39.329Z
440002290,37.49686666666667,126.62645,12,329.5,0,2024-06-20T14:52:08.605Z
440002290,37.49686666666667,126.62645,12,0.6,0,2024-06-20T14:51:48.094Z
440002290,37.49685,126.62645,13,124.7,0,2024-06-20T14:51:07.050Z
440002290,37.49686666666667,126.62646666666667,12,165.2,0,2024-06-20T14:49:12.938Z
440002290,37.49686666666667,126.62645,12,264.1,0,2024-06-20T14:48:10.709Z
440002290,37.49688333333334,126.62646666666667,12,234.6,0,2024-06-20T14:39:19.902Z
440002290,37.49321666666667,126.60815,63,115.8,2.2,2024-06-20T13:42:38.672Z
440002290,37.49115,126.60071666666667,51,67.6,5.1,2024-06-20T13:35:45.575Z
440002290,37.49105,126.60046666666666,51,68.1,5.1,2024-06-20T13:35:35.287Z
440002290,37.49066666666667,126.5993,50,68,5.6,2024-06-20T13:34:54.123Z
440002290,37.49045,126.59856666666667,52,67.8,5.7,2024-06-20T13:34:32.975Z
440002290,37.490033333333336,126.59745,55,61.6,6.1,2024-06-20T13:33:51.927Z
440002290,37.4899,126.59716666666667,48,57.6,6.1,2024-06-20T13:33:41.559Z
