Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.451476666666665,126.59393166666666,306,297.7,0,2024-06-12T06:25:51.197Z
440002290,37.451475,126.593935,306,304,0,2024-06-12T06:25:40.875Z
440002290,37.45147333333333,126.59395166666667,306,306.3,0,2024-06-12T06:25:10.002Z
440002290,37.451465,126.59394833333333,306,305.5,0,2024-06-12T06:24:49.255Z
440002290,37.45146833333333,126.59393666666666,306,313.8,0,2024-06-12T06:24:38.957Z
440002290,37.451475,126.593935,306,307.8,0,2024-06-12T06:24:28.485Z
440002290,37.451476666666665,126.59393833333333,306,291.1,0,2024-06-12T06:24:07.862Z
440002290,37.451475,126.593955,305,284.6,0,2024-06-12T06:23:57.581Z
440002290,37.45147,126.59396333333333,305,0,0,2024-06-12T06:23:47.412Z
440002290,37.45147333333333,126.59395666666667,305,286.5,0.1,2024-06-12T06:23:16.082Z
440002290,37.45147166666667,126.59395666666667,305,0,0,2024-06-12T06:23:05.723Z
440002290,37.45146833333333,126.59395666666667,305,0,0,2024-06-12T06:22:55.502Z
440002290,37.45147333333333,126.593945,305,264.2,0,2024-06-12T06:22:34.926Z
440002290,37.45147,126.59393833333333,305,265.8,0,2024-06-12T06:22:24.509Z
440002290,37.45146833333333,126.593935,305,264.9,0.2,2024-06-12T06:22:24.471Z
440002290,37.45146666666667,126.593925,305,253.2,0.1,2024-06-12T06:22:03.966Z
440002290,37.45147333333333,126.59391666666667,305,257.7,0,2024-06-12T06:21:53.699Z
440002290,37.45146833333333,126.59391,305,260,0,2024-06-12T06:21:43.379Z
440002290,37.451451666666664,126.59392,306,270.9,0,2024-06-12T06:21:22.867Z
440002290,37.451456666666665,126.59393333333334,306,279.4,0,2024-06-12T06:21:12.500Z
440002290,37.45146833333333,126.59394333333333,306,300.8,0,2024-06-12T06:21:02.255Z
440002290,37.45147,126.59393833333333,306,302.9,0,2024-06-12T06:20:51.963Z
440002290,37.45145333333333,126.59393166666666,306,294,0,2024-06-12T06:20:41.733Z
440002290,37.451458333333335,126.59394833333333,306,306.8,0,2024-06-12T06:20:21.232Z
440002290,37.45146,126.59395833333333,306,307.9,0,2024-06-12T06:20:10.893Z
440002290,37.45146833333333,126.59395166666667,306,332.4,0,2024-06-12T06:20:00.634Z
440002290,37.45147166666667,126.59394333333333,306,318.4,0,2024-06-12T06:19:50.313Z
440002290,37.45147166666667,126.59393166666666,306,318.8,0.1,2024-06-12T06:19:40.009Z
440002290,37.451465,126.59393166666666,306,326.1,0,2024-06-12T06:19:29.722Z
440002290,37.451456666666665,126.59393333333334,306,310.6,0.2,2024-06-12T06:19:19.514Z
440002290,37.451455,126.593935,306,293.6,0.1,2024-06-12T06:19:09.329Z
440002290,37.45146166666667,126.59393666666666,306,291.7,0,2024-06-12T06:18:59.033Z
440002290,37.451455,126.59394833333333,306,290.7,0,2024-06-12T06:18:48.866Z
440002290,37.451435,126.59395833333333,306,287.4,0,2024-06-12T06:18:17.827Z
440002290,37.451431666666664,126.59396666666666,306,298.5,0,2024-06-12T06:18:07.530Z
440002290,37.451433333333334,126.59396666666666,306,298.3,0.1,2024-06-12T06:17:57.266Z
440002290,37.45144166666667,126.59395833333333,306,317.2,0,2024-06-12T06:17:46.871Z
440002290,37.451415,126.59395833333333,307,334.4,0.2,2024-06-12T06:17:15.474Z
440002290,37.45142333333333,126.59394833333333,307,0,0,2024-06-12T06:17:05.162Z
440002290,37.451435,126.59392833333334,307,296.6,0,2024-06-12T06:16:34.430Z
440002290,37.451433333333334,126.59393166666666,307,256.7,0.1,2024-06-12T06:16:24.199Z
440002290,37.45143,126.59395333333333,307,260.2,0,2024-06-12T06:15:53.332Z
440002290,37.451435,126.59395333333333,307,253.7,0,2024-06-12T06:15:43.071Z
440002290,37.45143,126.59396,307,252.5,0.1,2024-06-12T06:15:32.783Z
440002290,37.451431666666664,126.593965,307,0,0,2024-06-12T06:15:22.382Z
440002290,37.45143,126.593975,307,242.1,0,2024-06-12T06:15:12.098Z
440002290,37.45142666666667,126.59397833333334,307,0,0,2024-06-12T06:15:01.884Z
440002290,37.45142833333333,126.59398333333333,307,233.4,0,2024-06-12T06:14:51.609Z
440002290,37.451435,126.59398333333333,307,230.6,0,2024-06-12T06:14:41.356Z
440002290,37.45144666666667,126.59398666666667,307,220.1,0,2024-06-12T06:14:31.116Z
440002290,37.45146666666667,126.59399833333333,307,0,0,2024-06-12T06:14:10.436Z
440002290,37.45147333333333,126.59399833333333,307,178.5,0,2024-06-12T06:14:00.238Z
440002290,37.451478333333334,126.594,307,171.9,0,2024-06-12T06:13:49.996Z
440002290,37.45148,126.59400833333333,308,158.5,0,2024-06-12T06:13:29.517Z
440002290,37.451478333333334,126.59399333333333,308,137,0,2024-06-12T06:13:19.262Z
440002290,37.45146166666667,126.593995,308,140.5,0,2024-06-12T06:12:58.496Z
440002290,37.45145,126.593995,308,117,0,2024-06-12T06:12:37.981Z
440002290,37.45145333333333,126.59399333333333,308,100.6,0,2024-06-12T06:12:27.711Z
440002290,37.451456666666665,126.59399333333333,308,87.4,0,2024-06-12T06:12:17.418Z
440002290,37.45146666666667,126.59398166666666,309,78.7,0,2024-06-12T06:11:56.935Z
440002290,37.45146166666667,126.59397,308,85.1,0,2024-06-12T06:11:46.783Z
440002290,37.45146166666667,126.59396833333334,308,74.9,0,2024-06-12T06:11:24.673Z
440002290,37.451476666666665,126.59397,307,61.2,0,2024-06-12T06:11:04.194Z
440002290,37.45144666666667,126.593925,306,15.2,0,2024-06-12T06:10:23.158Z
440002290,37.451451666666664,126.59393333333334,306,316.9,0,2024-06-12T06:10:02.532Z
440002290,37.451445,126.59392666666666,305,288.4,0.1,2024-06-12T06:10:02.492Z
440002290,37.4514,126.5939,307,258.1,0,2024-06-12T06:09:31.630Z
440002290,37.4514,126.5939,307,245,0.1,2024-06-12T06:09:11.094Z
440002290,37.4514,126.59395,306,205,0.1,2024-06-12T06:08:50.666Z
440002290,37.45141666666667,126.59395,304,171,0.2,2024-06-12T06:08:50.641Z
440002290,37.45141666666667,126.59393333333334,304,186.5,0.5,2024-06-12T06:08:40.398Z
440002290,37.451433333333334,126.59391666666667,302,220.5,0.6,2024-06-12T06:08:40.371Z
440002290,37.45145,126.59393333333334,305,187.3,0.4,2024-06-12T06:08:30.079Z
440002290,37.45145,126.59393333333334,306,176.3,0.4,2024-06-12T06:08:30.068Z
440002290,37.45145,126.59393333333334,307,188.3,0.4,2024-06-12T06:08:19.830Z
440002290,37.451483333333336,126.59395,304,242.2,0.4,2024-06-12T06:08:09.519Z
440002290,37.451483333333336,126.59395,299,245.9,0.6,2024-06-12T06:08:09.504Z
440002290,37.4515,126.59396666666666,294,246.2,0.8,2024-06-12T06:07:59.325Z
440002290,37.4515,126.594,284,234.4,1.2,2024-06-12T06:07:59.285Z
440002290,37.45151666666667,126.59403333333333,278,223.2,1.4,2024-06-12T06:07:49.048Z
440002290,37.45153333333333,126.59403333333333,271,209.9,1.5,2024-06-12T06:07:49.037Z
440002290,37.45155,126.59405,266,192.5,1.3,2024-06-12T06:07:49.023Z
440002290,37.4516,126.59406666666666,221,154.5,1.5,2024-06-12T06:07:38.578Z
440002290,37.45165,126.59403333333333,91,114.3,1.7,2024-06-12T06:07:28.374Z
440002290,37.451633333333334,126.59393333333334,47,349.4,0.7,2024-06-12T06:06:57.336Z
440002290,37.45158333333333,126.59398333333333,47,353.6,0.5,2024-06-12T06:06:36.669Z
440002290,37.45153333333333,126.594,46,4,0.2,2024-06-12T06:06:26.312Z
440002290,37.45153333333333,126.59398333333333,44,337.5,0.3,2024-06-12T06:06:16.009Z
440002290,37.45153333333333,126.594,45,269.2,0.4,2024-06-12T06:06:05.586Z
440002290,37.45153333333333,126.59401666666666,50,46.8,0.2,2024-06-12T06:05:55.295Z
440002290,37.45151666666667,126.59401666666666,47,15.3,0.2,2024-06-12T06:05:24.406Z
440002290,37.45151666666667,126.59401666666666,45,65.8,0,2024-06-12T06:05:24.359Z
440002290,37.4515,126.59401666666666,45,324.9,0,2024-06-12T06:05:03.738Z
440002290,37.45151666666667,126.594,45,294.9,0,2024-06-12T06:04:43.237Z
440002290,37.4515,126.594,45,261.2,0,2024-06-12T06:04:32.951Z
440002290,37.4515,126.594,46,249.9,0,2024-06-12T06:04:22.656Z
440002290,37.45151666666667,126.59401666666666,46,241.9,0,2024-06-12T06:04:02.137Z
440002290,37.45153333333333,126.59403333333333,47,293,0.2,2024-06-12T06:03:31.142Z
440002290,37.45153333333333,126.59403333333333,47,287.1,0.1,2024-06-12T06:03:20.916Z
