Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441279000,37.460816666666666,126.62497333333333,116,165,0,2024-06-25T19:30:52.260Z
441279000,37.460805,126.62497333333333,116,165,0,2024-06-25T19:27:47.108Z
441279000,37.46083333333333,126.62491833333333,116,165,0,2024-06-25T19:24:52.099Z
441279000,37.46086666666667,126.624945,116,165,0,2024-06-25T19:21:47.078Z
441279000,37.46087333333333,126.62496166666666,116,165,0,2024-06-25T19:18:51.527Z
441279000,37.46087166666667,126.624915,116,165,0,2024-06-25T19:15:45.965Z
441279000,37.46083333333333,126.62492833333333,116,165,0,2024-06-25T19:12:49.499Z
441279000,37.46082666666667,126.62497166666667,116,165,0,2024-06-25T19:09:52.697Z
441279000,37.46084166666667,126.62500666666666,116,165,0,2024-06-25T19:06:46.061Z
441279000,37.46085166666667,126.62497,116,170.3,0,2024-06-25T18:57:49.557Z
441279000,37.46084333333334,126.62493833333333,116,170.3,0,2024-06-25T18:51:47.815Z
441279000,37.460863333333336,126.62495666666666,116,204.9,0,2024-06-25T18:48:52.480Z
441279000,37.46084833333333,126.62493166666667,116,177.8,0.2,2024-06-25T18:43:40.293Z
441279000,37.46086,126.62493166666667,117,188.8,0.3,2024-06-25T18:43:29.366Z
441279000,37.460863333333336,126.62493,117,198.7,0.3,2024-06-25T18:43:19.110Z
441279000,37.460875,126.62493333333333,118,209.3,0.3,2024-06-25T18:43:19.065Z
441279000,37.46088833333334,126.62494166666667,119,217.4,0.3,2024-06-25T18:42:58.610Z
441279000,37.460903333333334,126.62495,119,223.3,0.2,2024-06-25T18:42:58.569Z
441279000,37.460915,126.62496,120,228.2,0.2,2024-06-25T18:42:48.382Z
441279000,37.460921666666664,126.62496833333333,120,231.4,0.2,2024-06-25T18:42:38.234Z
441279000,37.460908333333336,126.62498666666667,121,218.5,0.2,2024-06-25T18:42:17.338Z
441279000,37.46092,126.624995,121,180.8,0.1,2024-06-25T18:42:06.984Z
441279000,37.46093166666667,126.625,120,143.3,0.1,2024-06-25T18:41:56.737Z
441279000,37.46093166666667,126.625,118,141.4,0.2,2024-06-25T18:41:46.553Z
441279000,37.460945,126.62499833333334,119,113.6,0.4,2024-06-25T18:41:35.166Z
441279000,37.46096,126.62498666666667,121,100.6,0.5,2024-06-25T18:41:23.558Z
441279000,37.460966666666664,126.624965,121,97.2,0.5,2024-06-25T18:41:13.006Z
441279000,37.460966666666664,126.62492666666667,120,98.7,0.5,2024-06-25T18:41:02.524Z
441279000,37.460971666666666,126.62486166666666,118,102.1,0.5,2024-06-25T18:40:41.982Z
441279000,37.460985,126.624795,117,103,0.5,2024-06-25T18:40:21.463Z
441279000,37.460995,126.624735,116,104.2,0.6,2024-06-25T18:40:00.961Z
441279000,37.461,126.62470833333333,116,105.4,0.6,2024-06-25T18:39:50.648Z
441279000,37.461005,126.62467666666667,115,109.6,0.7,2024-06-25T18:39:40.389Z
441279000,37.461013333333334,126.62464333333334,114,115.9,0.8,2024-06-25T18:39:30.121Z
441279000,37.46103333333333,126.624595,114,117.8,1,2024-06-25T18:39:19.886Z
441279000,37.46107666666666,126.62448333333333,114,118.2,1.2,2024-06-25T18:38:58.783Z
441279000,37.461106666666666,126.62442666666666,114,117,1.3,2024-06-25T18:38:58.739Z
441279000,37.461133333333336,126.62436666666666,114,117.9,1.3,2024-06-25T18:38:48.506Z
441279000,37.46115833333333,126.62429333333333,114,119.4,1.3,2024-06-25T18:38:38.235Z
441279000,37.46118833333333,126.62422666666667,115,119.9,1.3,2024-06-25T18:38:28.012Z
441279000,37.461215,126.62416833333333,116,120.1,1.4,2024-06-25T18:38:17.746Z
441279000,37.461236666666665,126.62409333333333,117,120.2,1.4,2024-06-25T18:38:07.329Z
441279000,37.46125833333333,126.62402833333333,118,119.7,1.4,2024-06-25T18:37:57.015Z
441279000,37.46129,126.62395,118,119.4,1.5,2024-06-25T18:37:46.818Z
441279000,37.461353333333335,126.62379333333334,119,118.3,1.6,2024-06-25T18:37:26.179Z
441279000,37.46138,126.62372333333333,119,117,1.6,2024-06-25T18:37:15.894Z
441279000,37.461405,126.62362833333333,118,119,1.6,2024-06-25T18:37:05.555Z
441279000,37.46143166666667,126.62355,116,124.2,1.6,2024-06-25T18:36:55.348Z
441279000,37.46147166666667,126.62347,116,127.5,1.5,2024-06-25T18:36:45.160Z
441279000,37.46151,126.62340166666667,116,126.6,1.6,2024-06-25T18:36:34.872Z
441279000,37.46161,126.62325833333334,115,124.8,1.7,2024-06-25T18:36:14.396Z
441279000,37.461751666666665,126.622995,114,124,1.9,2024-06-25T18:35:43.302Z
441279000,37.4618,126.62290666666667,115,123.2,2,2024-06-25T18:35:33.087Z
441279000,37.46185,126.62282333333333,115,122.7,2,2024-06-25T18:35:22.783Z
441279000,37.461953333333334,126.62263166666666,115,125.2,1.8,2024-06-25T18:35:02.306Z
441279000,37.462,126.62254166666666,116,127.6,1.7,2024-06-25T18:34:52.036Z
441279000,37.46203333333333,126.62245666666666,117,129.8,1.6,2024-06-25T18:34:41.075Z
441279000,37.462065,126.62238,118,132.6,1.5,2024-06-25T18:34:30.777Z
441279000,37.462106666666664,126.62231333333334,119,135.7,1.4,2024-06-25T18:34:20.032Z
441279000,37.462156666666665,126.62225666666667,121,136.6,1.4,2024-06-25T18:34:09.683Z
441279000,37.46222,126.6222,122,137.3,1.4,2024-06-25T18:33:59.362Z
441279000,37.46227,126.62215166666667,123,136.2,1.4,2024-06-25T18:33:49.112Z
441279000,37.462365,126.62202833333333,121,133.8,1.6,2024-06-25T18:33:28.513Z
441279000,37.46239666666666,126.62197666666667,120,134.8,1.6,2024-06-25T18:33:28.473Z
441279000,37.46245833333333,126.62190166666667,120,134.9,1.7,2024-06-25T18:33:17.861Z
441279000,37.462498333333336,126.62186166666666,121,134,1.8,2024-06-25T18:33:07.614Z
441279000,37.46252333333333,126.621835,122,132.6,1.8,2024-06-25T18:33:07.597Z
441279000,37.46254,126.621815,122,131.8,1.8,2024-06-25T18:32:57.393Z
441279000,37.462581666666665,126.621765,122,128.9,1.9,2024-06-25T18:32:57.358Z
441279000,37.462645,126.62167833333334,120,123.8,1.9,2024-06-25T18:32:47.160Z
441279000,37.462696666666666,126.62159,116,121,2,2024-06-25T18:32:36.934Z
441279000,37.462736666666665,126.62150333333334,113,119.3,2.1,2024-06-25T18:32:26.734Z
441279000,37.46277,126.62139833333333,110,118.3,2.2,2024-06-25T18:32:16.404Z
441279000,37.46281666666667,126.62127666666666,108,117.5,2.4,2024-06-25T18:32:06.176Z
441279000,37.46286333333333,126.62116833333333,108,116.6,2.5,2024-06-25T18:31:55.970Z
441279000,37.46298,126.62088833333334,108,116,2.8,2024-06-25T18:31:35.420Z
441279000,37.46301833333333,126.62077333333333,109,116.4,2.9,2024-06-25T18:31:24.442Z
441279000,37.46308333333333,126.62061,110,116.5,3.1,2024-06-25T18:31:13.982Z
441279000,37.463165,126.62043666666666,113,115.6,3.4,2024-06-25T18:31:03.766Z
441279000,37.46323,126.620285,114,115,3.6,2024-06-25T18:30:53.376Z
441279000,37.463305,126.62008666666667,114,114.6,3.8,2024-06-25T18:30:42.808Z
441279000,37.463365,126.61991333333333,114,113.9,3.9,2024-06-25T18:30:32.524Z
441279000,37.463435,126.61970666666667,114,113.5,4,2024-06-25T18:30:22.287Z
441279000,37.463503333333335,126.61949166666666,114,113.8,4.1,2024-06-25T18:30:12.079Z
441279000,37.46358,126.619275,113,114.1,4.1,2024-06-25T18:30:01.264Z
441279000,37.46364666666667,126.61908,113,114.3,4.2,2024-06-25T18:29:51.014Z
441279000,37.46373,126.61883666666667,114,114.4,4.3,2024-06-25T18:29:40.859Z
441279000,37.463811666666665,126.61861333333333,114,113.9,4.4,2024-06-25T18:29:30.137Z
441279000,37.463915,126.61833833333333,114,113.2,4.5,2024-06-25T18:29:19.871Z
441279000,37.46398,126.61815166666666,114,112.7,4.6,2024-06-25T18:29:09.611Z
441279000,37.464061666666666,126.617885,114,112.2,4.7,2024-06-25T18:28:59.521Z
441279000,37.46412,126.617685,113,112.2,4.7,2024-06-25T18:28:49.097Z
441279000,37.464193333333334,126.61743333333334,113,112.2,4.8,2024-06-25T18:28:49.054Z
441279000,37.464285,126.61714666666667,113,111.6,4.9,2024-06-25T18:28:38.801Z
441279000,37.464376666666666,126.61685666666666,113,110,4.9,2024-06-25T18:28:18.351Z
441279000,37.464445,126.61664666666667,113,108.2,4.9,2024-06-25T18:28:18.320Z
441279000,37.46452,126.61637666666667,112,106.2,4.9,2024-06-25T18:28:07.690Z
441279000,37.464591666666664,126.61610333333333,111,104.1,4.9,2024-06-25T18:27:57.454Z
441279000,37.464663333333334,126.6158,109,101.8,5,2024-06-25T18:27:47.258Z
441279000,37.46472,126.61549,107,98.6,5,2024-06-25T18:27:36.988Z
441279000,37.464796666666665,126.61494333333333,103,92.3,5.1,2024-06-25T18:27:16.523Z
441279000,37.46481,126.614645,100,89.6,5.2,2024-06-25T18:27:06.231Z
441279000,37.46481,126.61437666666667,96,87.9,5.2,2024-06-25T18:26:55.534Z
441279000,37.4648,126.61407333333334,93,86.6,5.2,2024-06-25T18:26:45.342Z
441279000,37.46478166666667,126.61374333333333,90,86.1,5.2,2024-06-25T18:26:35.111Z
441279000,37.46476,126.61341,89,86.7,5.1,2024-06-25T18:26:23.957Z
441279000,37.464745,126.61316833333333,88,87.6,5.1,2024-06-25T18:26:13.623Z
441279000,37.464731666666665,126.61284,88,87.9,5.1,2024-06-25T18:26:02.765Z
441279000,37.46472,126.61254333333333,88,87.9,5.1,2024-06-25T18:25:52.040Z
441279000,37.464711666666666,126.61228,88,87.9,5,2024-06-25T18:25:41.714Z
441279000,37.4647,126.61195833333333,88,87.7,5,2024-06-25T18:25:31.469Z
441279000,37.46469,126.61164166666667,88,87.3,5,2024-06-25T18:25:21.228Z
441279000,37.464685,126.61138333333334,88,87.4,4.9,2024-06-25T18:25:11.050Z
441279000,37.46468333333333,126.61112833333334,88,87.5,4.9,2024-06-25T18:25:00.787Z
441279000,37.46467333333333,126.61082,88,87.6,4.8,2024-06-25T18:24:50.542Z
441279000,37.464665,126.61057166666667,88,87.6,4.8,2024-06-25T18:24:40.382Z
441279000,37.46465333333333,126.61026666666666,88,87.9,4.7,2024-06-25T18:24:30.133Z
441279000,37.46464666666667,126.60993333333333,88,88.1,4.7,2024-06-25T18:24:19.847Z
441279000,37.46464666666667,126.60971333333333,88,88.3,4.7,2024-06-25T18:24:09.548Z
441279000,37.464643333333335,126.60944,88,88.7,4.6,2024-06-25T18:23:59.270Z
441279000,37.46462833333333,126.60892833333334,88,88.7,4.6,2024-06-25T18:23:48.935Z
441279000,37.46462,126.60863333333333,88,88.7,4.5,2024-06-25T18:23:38.678Z
441279000,37.464615,126.608345,88,88.6,4.4,2024-06-25T18:23:18.160Z
441279000,37.46461333333333,126.60813666666667,88,89,4.4,2024-06-25T18:23:18.119Z
441279000,37.46461333333333,126.60788166666667,88,89.5,4.3,2024-06-25T18:23:07.817Z
441279000,37.46460666666667,126.60763,88,90,4.2,2024-06-25T18:22:57.539Z
441279000,37.464598333333335,126.60733166666667,88,92.2,4.2,2024-06-25T18:22:47.315Z
441279000,37.464596666666665,126.60711,88,95.4,4.1,2024-06-25T18:22:37.059Z
441279000,37.46460666666667,126.60684666666667,90,98.6,4.1,2024-06-25T18:22:26.801Z
441279000,37.464623333333336,126.60663333333333,92,100.2,4.1,2024-06-25T18:22:16.603Z
441279000,37.464648333333336,126.60639666666667,94,101.6,4,2024-06-25T18:22:06.339Z
441279000,37.464681666666664,126.60616166666667,96,102.7,4,2024-06-25T18:21:55.947Z
441279000,37.46472,126.60593333333334,98,103.4,3.9,2024-06-25T18:21:45.658Z
441279000,37.46476,126.60573333333333,100,103.7,3.8,2024-06-25T18:21:35.513Z
441279000,37.464818333333334,126.60549666666667,101,103.3,3.8,2024-06-25T18:21:24.600Z
441279000,37.46487833333333,126.60532166666667,102,102.8,3.7,2024-06-25T18:21:14.364Z
441279000,37.46492666666666,126.60512333333334,102,102.6,3.6,2024-06-25T18:21:04.139Z
441279000,37.46496666666667,126.60487666666667,102,102.3,3.5,2024-06-25T18:20:53.892Z
441279000,37.464996666666664,126.60467833333334,102,102,3.4,2024-06-25T18:20:43.611Z
441279000,37.465025,126.604505,102,101.6,3.3,2024-06-25T18:20:33.358Z
441279000,37.465061666666664,126.6043,102,101.6,3.2,2024-06-25T18:20:23.127Z
441279000,37.465086666666664,126.60415333333333,102,101.9,3.1,2024-06-25T18:20:12.836Z
441279000,37.46513,126.60393833333333,102,101.9,2.9,2024-06-25T18:20:02.613Z
441279000,37.465158333333335,126.603785,102,101.7,2.8,2024-06-25T18:19:52.366Z
441279000,37.465185,126.60362166666667,102,101.5,2.7,2024-06-25T18:19:42.094Z
441279000,37.465196666666664,126.60347833333333,102,102.4,2.6,2024-06-25T18:19:31.881Z
441279000,37.465221666666665,126.60331,102,102.4,2.4,2024-06-25T18:19:21.461Z
441279000,37.465245,126.60316833333333,102,101.9,2.3,2024-06-25T18:19:11.302Z
441279000,37.465266666666665,126.60301833333334,102,102.4,2.1,2024-06-25T18:19:01.062Z
441279000,37.46528333333333,126.60289333333333,102,103.1,2,2024-06-25T18:18:50.893Z
441279000,37.4653,126.60278833333334,102,103.5,1.8,2024-06-25T18:18:40.453Z
441279000,37.46532,126.60269333333333,102,104.2,1.7,2024-06-25T18:18:30.178Z
441279000,37.46537,126.60250833333333,103,107,1.4,2024-06-25T18:18:09.633Z
441279000,37.465403333333335,126.60241666666667,104,108.6,1.2,2024-06-25T18:17:59.335Z
441279000,37.46542,126.60234166666666,105,109.6,1,2024-06-25T18:17:49.086Z
441279000,37.46543666666667,126.60228166666667,106,108.3,0.8,2024-06-25T18:17:38.714Z
441279000,37.46545,126.60223333333333,107,105.5,0.6,2024-06-25T18:17:38.628Z
441279000,37.465465,126.60217,107,78.6,0.2,2024-06-25T18:17:17.985Z
441279000,37.46546166666667,126.60215333333333,107,52.2,0.1,2024-06-25T18:17:07.743Z
441279000,37.46545166666667,126.60214666666667,106,52.2,0.1,2024-06-25T18:16:57.378Z
441279000,37.46544166666666,126.60214,105,55.3,0.1,2024-06-25T18:16:47.081Z
441279000,37.46544166666666,126.602135,105,59.4,0.1,2024-06-25T18:16:36.922Z
441279000,37.46544166666666,126.60212333333334,105,67.2,0.1,2024-06-25T18:16:26.551Z
441279000,37.46543,126.60211333333334,104,71.7,0.1,2024-06-25T18:16:16.308Z
441279000,37.46541833333333,126.60210833333333,104,171.6,0,2024-06-25T18:15:55.589Z
441279000,37.46541833333333,126.60211,104,171.6,0,2024-06-25T18:15:35.089Z
441279000,37.46542,126.602115,104,171.6,0,2024-06-25T18:15:24.854Z
441279000,37.46541833333333,126.60211,104,171.6,0,2024-06-25T18:15:14.586Z
441279000,37.46541833333333,126.602105,104,171.6,0,2024-06-25T18:15:04.346Z
441279000,37.46541833333333,126.60210333333333,104,171.6,0,2024-06-25T18:14:54.119Z
441279000,37.465425,126.60211,104,171.6,0,2024-06-25T18:14:43.855Z
441279000,37.46543,126.60212333333334,104,171.6,0,2024-06-25T18:14:33.636Z
441279000,37.465428333333335,126.602125,104,171.6,0,2024-06-25T18:14:23.303Z
441279000,37.46543,126.60212666666666,104,171.6,0,2024-06-25T18:14:13.149Z
441279000,37.465426666666666,126.60212666666666,104,171.6,0,2024-06-25T18:14:02.930Z
441279000,37.465423333333334,126.60212666666666,104,171.6,0,2024-06-25T18:13:52.421Z
441279000,37.46541833333333,126.60212166666666,104,171.6,0,2024-06-25T18:13:42.116Z
441279000,37.46541833333333,126.60212166666666,104,171.6,0,2024-06-25T18:13:31.838Z
441279000,37.465426666666666,126.60211666666666,104,171.6,0,2024-06-25T18:13:21.466Z
441279000,37.46544333333333,126.60211,104,171.6,0,2024-06-25T18:13:11.190Z
441279000,37.46543833333333,126.60211666666666,104,171.6,0,2024-06-25T18:13:00.959Z
441279000,37.46543833333333,126.602125,104,171.6,0,2024-06-25T18:12:50.761Z
441279000,37.46543833333333,126.60212666666666,104,171.6,0,2024-06-25T18:12:40.383Z
441279000,37.465428333333335,126.60212666666666,104,171.6,0,2024-06-25T18:12:29.754Z
441279000,37.465421666666664,126.60212666666666,104,171.6,0,2024-06-25T18:12:18.820Z
441279000,37.465423333333334,126.60212833333334,104,171.6,0,2024-06-25T18:12:18.775Z
441279000,37.465428333333335,126.60213166666666,104,171.6,0,2024-06-25T18:12:08.569Z
441279000,37.46543833333333,126.60211666666666,104,171.6,0,2024-06-25T18:11:48.003Z
441279000,37.46544333333333,126.60210666666667,104,171.6,0,2024-06-25T18:11:37.504Z
441279000,37.46544333333333,126.602105,104,171.6,0,2024-06-25T18:11:27.196Z
441279000,37.465435,126.60211333333334,104,171.6,0,2024-06-25T18:11:16.939Z
441279000,37.46543,126.60212333333334,104,171.6,0,2024-06-25T18:11:06.460Z
441279000,37.465425,126.60212833333334,104,171.6,0,2024-06-25T18:10:56.202Z
441279000,37.46541666666667,126.60213,104,171.6,0,2024-06-25T18:10:35.396Z
441279000,37.46541833333333,126.60212666666666,104,171.6,0,2024-06-25T18:10:25.121Z
441279000,37.465428333333335,126.60213,104,171.6,0,2024-06-25T18:09:54.299Z
441279000,37.46543,126.60212833333334,104,171.6,0,2024-06-25T18:09:44.037Z
441279000,37.465425,126.602135,104,171.6,0,2024-06-25T18:09:33.738Z
441279000,37.46542,126.60213666666667,104,171.6,0,2024-06-25T18:09:23.504Z
441279000,37.46541,126.60213833333333,104,171.6,0,2024-06-25T18:09:13.265Z
441279000,37.465403333333335,126.602145,104,171.6,0,2024-06-25T18:09:03.019Z
441279000,37.46539833333333,126.60215166666667,104,171.6,0,2024-06-25T18:08:52.745Z
441279000,37.465381666666666,126.60214833333333,104,171.6,0,2024-06-25T18:08:42.455Z
441279000,37.465378333333334,126.60214,104,33.5,0,2024-06-25T18:08:32.265Z
441279000,37.465403333333335,126.60211166666667,104,33.5,0,2024-06-25T18:08:22.039Z
441279000,37.465423333333334,126.60209166666667,104,33.7,0.1,2024-06-25T18:08:11.628Z
441279000,37.46542,126.60208833333333,104,27.9,0,2024-06-25T18:08:01.356Z
441279000,37.465426666666666,126.602095,104,27.9,0,2024-06-25T18:07:51.103Z
441279000,37.46543333333333,126.60210166666667,104,27.9,0,2024-06-25T18:07:40.734Z
441279000,37.465425,126.60209666666667,104,27.9,0,2024-06-25T18:07:30.273Z
441279000,37.46541666666667,126.602095,104,27.9,0,2024-06-25T18:07:19.978Z
441279000,37.46541833333333,126.60210666666667,104,27.9,0,2024-06-25T18:07:09.634Z
441279000,37.46541666666667,126.60211333333334,104,27.9,0,2024-06-25T18:06:59.349Z
441279000,37.46541333333333,126.60211666666666,104,27.9,0,2024-06-25T18:06:49.093Z
441279000,37.465426666666666,126.60212833333334,104,27.9,0,2024-06-25T18:06:38.741Z
441279000,37.46543833333333,126.60212333333334,104,27.9,0,2024-06-25T18:06:38.710Z
441279000,37.46543333333333,126.60210833333333,104,174.3,0,2024-06-25T18:06:28.138Z
441279000,37.46542,126.60210833333333,104,174.3,0,2024-06-25T18:06:17.898Z
441279000,37.46540666666667,126.60210166666667,104,174.3,0,2024-06-25T18:06:07.489Z
441279000,37.465405,126.602105,104,174.3,0,2024-06-25T18:05:57.238Z
441279000,37.46539166666667,126.60210166666667,104,174.3,0,2024-06-25T18:05:36.841Z
441279000,37.46538833333334,126.60210333333333,104,174.3,0,2024-06-25T18:05:36.798Z
441279000,37.46539333333333,126.60211166666667,104,174.3,0,2024-06-25T18:05:26.243Z
441279000,37.46541,126.60212,104,174.3,0,2024-06-25T18:05:15.816Z
441279000,37.46543166666667,126.60212833333334,104,174.3,0,2024-06-25T18:05:05.514Z
441279000,37.46543833333333,126.60211333333334,104,174.3,0,2024-06-25T18:04:55.304Z
