Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.464983333333336,126.60406666666667,318,319.2,0.1,2024-06-25T19:31:23.089Z
440002290,37.46496666666667,126.60408333333334,318,100.5,0,2024-06-25T19:31:12.890Z
440002290,37.46496666666667,126.60408333333334,320,75.3,0,2024-06-25T19:31:02.617Z
440002290,37.46496666666667,126.60406666666667,322,43.3,0.1,2024-06-25T19:30:52.279Z
440002290,37.46495,126.60406666666667,321,35,0.1,2024-06-25T19:30:31.419Z
440002290,37.46495,126.60406666666667,320,31.8,0.1,2024-06-25T19:30:21.150Z
440002290,37.46495,126.60403333333333,319,36.1,0.1,2024-06-25T19:30:00.736Z
440002290,37.464933333333335,126.60403333333333,318,38.8,0.1,2024-06-25T19:29:50.463Z
440002290,37.464933333333335,126.60405,318,43.3,0,2024-06-25T19:29:40.162Z
440002290,37.46491666666667,126.60405,317,45.3,0.1,2024-06-25T19:29:29.928Z
440002290,37.46491666666667,126.60403333333333,317,47.6,0.1,2024-06-25T19:29:19.678Z
440002290,37.464933333333335,126.60403333333333,317,52.8,0.1,2024-06-25T19:29:09.449Z
440002290,37.46491666666667,126.60401666666667,317,157.2,0.1,2024-06-25T19:28:59.210Z
440002290,37.464933333333335,126.60401666666667,317,166.5,0.4,2024-06-25T19:28:59.119Z
440002290,37.46495,126.60401666666667,318,170.7,0.5,2024-06-25T19:28:38.592Z
440002290,37.464983333333336,126.60401666666667,317,178.6,0.6,2024-06-25T19:28:28.372Z
440002290,37.465,126.604,317,148.1,0.7,2024-06-25T19:28:28.266Z
440002290,37.46505,126.60393333333333,317,128.6,0.3,2024-06-25T19:28:07.684Z
440002290,37.465066666666665,126.60393333333333,318,73.1,0,2024-06-25T19:27:57.382Z
440002290,37.46505,126.60393333333333,317,2.1,0.1,2024-06-25T19:27:47.080Z
440002290,37.46505,126.60393333333333,316,349.5,0,2024-06-25T19:27:36.781Z
440002290,37.46505,126.60393333333333,315,9.3,0,2024-06-25T19:27:26.420Z
440002290,37.46503333333333,126.60391666666666,314,9,0,2024-06-25T19:27:16.124Z
440002290,37.46501666666666,126.60391666666666,313,351.1,0,2024-06-25T19:26:55.566Z
440002290,37.46501666666666,126.60391666666666,312,317.5,0.1,2024-06-25T19:26:35.099Z
440002290,37.46503333333333,126.60391666666666,312,318.2,0,2024-06-25T19:26:24.546Z
440002290,37.46501666666666,126.60393333333333,313,310.7,0,2024-06-25T19:26:14.342Z
440002290,37.46501666666666,126.60395,313,319.4,0,2024-06-25T19:26:04.078Z
440002290,37.46501666666666,126.60396666666666,314,291.4,0.1,2024-06-25T19:25:53.775Z
440002290,37.46501666666666,126.60396666666666,317,286,0.1,2024-06-25T19:25:43.425Z
440002290,37.46501666666666,126.60395,319,293.2,0,2024-06-25T19:25:33.145Z
440002290,37.46501666666666,126.60396666666666,320,292.2,0,2024-06-25T19:25:22.831Z
440002290,37.46501666666666,126.60398333333333,318,281.5,0,2024-06-25T19:25:12.613Z
440002290,37.46501666666666,126.604,316,270.2,0,2024-06-25T19:25:02.362Z
440002290,37.46503333333333,126.60398333333333,315,245.2,0.1,2024-06-25T19:24:52.128Z
440002290,37.46503333333333,126.60396666666666,312,245.9,0.1,2024-06-25T19:24:21.387Z
440002290,37.46503333333333,126.60398333333333,311,260.2,0,2024-06-25T19:24:11.180Z
440002290,37.46501666666666,126.60398333333333,311,335.9,0.1,2024-06-25T19:24:00.873Z
440002290,37.46503333333333,126.60396666666666,309,317.2,0,2024-06-25T19:23:50.660Z
440002290,37.46503333333333,126.60396666666666,308,318.1,0.1,2024-06-25T19:23:40.423Z
440002290,37.46503333333333,126.60398333333333,308,326.7,0.1,2024-06-25T19:23:19.856Z
440002290,37.46503333333333,126.60398333333333,309,330.7,0.1,2024-06-25T19:23:09.482Z
440002290,37.46501666666666,126.60398333333333,310,326.2,0.2,2024-06-25T19:22:59.256Z
440002290,37.465,126.60401666666667,310,337.6,0,2024-06-25T19:22:48.896Z
440002290,37.465,126.60403333333333,312,338.2,0.1,2024-06-25T19:22:38.553Z
440002290,37.464983333333336,126.60405,313,348,0.1,2024-06-25T19:22:28.265Z
440002290,37.464983333333336,126.60406666666667,315,346.7,0.2,2024-06-25T19:22:28.219Z
440002290,37.46496666666667,126.60405,316,348.6,0.1,2024-06-25T19:22:17.946Z
440002290,37.46495,126.60405,320,38.1,0.2,2024-06-25T19:22:07.549Z
440002290,37.46495,126.60405,321,250.6,0.1,2024-06-25T19:21:47.048Z
440002290,37.46495,126.60406666666667,320,259.9,0.4,2024-06-25T19:21:36.822Z
440002290,37.46496666666667,126.60408333333334,317,257.9,0.4,2024-06-25T19:21:26.633Z
440002290,37.46496666666667,126.60411666666667,315,255.2,0.4,2024-06-25T19:21:16.315Z
