Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.455,126.58998333333334,45,56.6,8.7,2024-06-25T01:48:29.522Z
440002290,37.454766666666664,126.5896,39,47.5,8.8,2024-06-25T01:48:19.152Z
440002290,37.45446666666667,126.58926666666666,32,36.6,8.9,2024-06-25T01:48:08.806Z
440002290,37.44705,126.58776666666667,16,11.8,10,2024-06-25T01:45:22.246Z
440002290,37.44571666666667,126.5874,16,12.1,9.9,2024-06-25T01:44:51.388Z
440002290,37.44473333333333,126.58715,15,11.8,10,2024-06-25T01:44:30.822Z
440002290,37.443866666666665,126.58691666666667,16,12.6,10,2024-06-25T01:44:10.198Z
440002290,37.44338333333334,126.58676666666666,16,12.5,10,2024-06-25T01:43:59.874Z
440002290,37.44298333333333,126.58665,17,13.6,10,2024-06-25T01:43:49.682Z
440002290,37.44245,126.58648333333333,16,14.1,10.3,2024-06-25T01:43:39.469Z
440002290,37.442,126.58633333333333,16,13.1,10.4,2024-06-25T01:43:29.237Z
440002290,37.44155,126.58621666666667,15,11.8,10.4,2024-06-25T01:43:19.042Z
440002290,37.44115,126.58611666666667,15,11,10.4,2024-06-25T01:43:08.885Z
440002290,37.440983333333335,126.58606666666667,15,9,10.4,2024-06-25T01:43:08.870Z
440002290,37.4408,126.58603333333333,15,10.1,10.4,2024-06-25T01:42:58.491Z
440002290,37.44051666666667,126.58596666666666,14,8,10.4,2024-06-25T01:42:58.463Z
440002290,37.44028333333333,126.58591666666666,13,7,10.3,2024-06-25T01:42:48.200Z
440002290,37.44,126.58588333333333,13,6.8,10.4,2024-06-25T01:42:48.167Z
440002290,37.43983333333333,126.58586666666666,13,6.6,10.2,2024-06-25T01:42:37.981Z
440002290,37.4395,126.5858,13,6.1,10.1,2024-06-25T01:42:37.908Z
440002290,37.43938333333333,126.5858,12,4.8,9.8,2024-06-25T01:42:27.670Z
440002290,37.43918333333333,126.58578333333334,10,2.3,9.8,2024-06-25T01:42:27.650Z
440002290,37.43906666666667,126.58578333333334,10,1.3,9.7,2024-06-25T01:42:27.637Z
440002290,37.438916666666664,126.58578333333334,9,359.7,9.6,2024-06-25T01:42:17.440Z
440002290,37.43875,126.58578333333334,7,355.7,9.4,2024-06-25T01:42:17.424Z
440002290,37.4386,126.5858,5,352,9.5,2024-06-25T01:42:17.407Z
440002290,37.43833333333333,126.58588333333333,358,340.7,9.4,2024-06-25T01:42:07.228Z
440002290,37.43821666666667,126.58593333333333,355,334,9.3,2024-06-25T01:42:07.213Z
440002290,37.438066666666664,126.58603333333333,351,328.7,9.3,2024-06-25T01:41:57.093Z
440002290,37.43793333333333,126.58613333333334,346,324.5,9.2,2024-06-25T01:41:57.074Z
440002290,37.43785,126.5862,343,317.7,9.5,2024-06-25T01:41:57.060Z
440002290,37.4377,126.5864,339,312.2,9.4,2024-06-25T01:41:46.950Z
440002290,37.43765,126.5865,334,304.7,9.5,2024-06-25T01:41:46.919Z
440002290,37.43756666666667,126.58666666666667,329,298.2,9.4,2024-06-25T01:41:46.879Z
440002290,37.4373,126.58751666666667,319,285.7,9.6,2024-06-25T01:41:26.281Z
440002290,37.43711666666667,126.58863333333333,314,278.5,9.5,2024-06-25T01:41:05.803Z
440002290,37.43705,126.58921666666667,314,275.9,9.5,2024-06-25T01:40:55.610Z
440002290,37.437016666666665,126.58966666666667,311,272.7,9.4,2024-06-25T01:40:45.353Z
440002290,37.43705,126.59131666666667,307,268.4,9.5,2024-06-25T01:40:23.721Z
440002290,37.43706666666667,126.59195,307,267.2,9.4,2024-06-25T01:40:13.515Z
440002290,37.43711666666667,126.593,306,266.4,9.5,2024-06-25T01:39:53.012Z
440002290,37.43716666666667,126.59415,307,268.9,9.3,2024-06-25T01:39:32.630Z
440002290,37.43716666666667,126.5946,309,270.2,9.3,2024-06-25T01:39:22.296Z
440002290,37.43716666666667,126.59518333333334,309,268.4,9.2,2024-06-25T01:39:12.029Z
440002290,37.43718333333333,126.59576666666666,309,269.2,9.3,2024-06-25T01:39:01.773Z
440002290,37.43718333333333,126.59628333333333,309,269.7,9.2,2024-06-25T01:38:51.536Z
440002290,37.43711666666667,126.59788333333333,311,272.5,9.2,2024-06-25T01:38:20.885Z
440002290,37.4371,126.59838333333333,310,271.1,9.3,2024-06-25T01:38:10.629Z
440002290,37.4371,126.59898333333334,309,269.5,9.2,2024-06-25T01:38:00.382Z
440002290,37.4371,126.59955,308,267.7,9.2,2024-06-25T01:37:50.120Z
440002290,37.437133333333335,126.60018333333333,306,265.9,9.2,2024-06-25T01:37:39.816Z
440002290,37.43715,126.60038333333334,306,266.9,9.2,2024-06-25T01:37:29.617Z
440002290,37.43716666666667,126.6006,307,267.2,9.2,2024-06-25T01:37:29.596Z
440002290,37.43716666666667,126.60078333333334,307,266.5,9.2,2024-06-25T01:37:29.580Z
440002290,37.43716666666667,126.6009,307,266.1,9.3,2024-06-25T01:37:19.423Z
440002290,37.43718333333333,126.6011,307,265.7,9.3,2024-06-25T01:37:19.410Z
440002290,37.4372,126.60123333333334,306,265.1,9.3,2024-06-25T01:37:19.394Z
440002290,37.4372,126.60143333333333,306,264.2,9.3,2024-06-25T01:37:09.158Z
440002290,37.43723333333333,126.6017,305,263.6,9.3,2024-06-25T01:37:09.146Z
440002290,37.43728333333333,126.60213333333333,304,260.9,9.2,2024-06-25T01:36:58.829Z
440002290,37.43736666666667,126.60271666666667,298,253.2,9.3,2024-06-25T01:36:48.549Z
440002290,37.43765,126.60375,295,249.7,9.2,2024-06-25T01:36:27.903Z
440002290,37.437783333333336,126.60425,295,252.1,9.2,2024-06-25T01:36:17.714Z
