Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441730000,37.47820333333333,126.594325,30,61.2,0.3,2024-06-29T13:58:43.009Z
441730000,37.42099,126.571625,24,24.2,8.6,2024-06-29T13:21:34.340Z
441730000,37.41988666666666,126.57099333333333,25,25.9,8.8,2024-06-29T13:20:58.441Z
441730000,37.413205,126.56744333333333,25,23.1,8.6,2024-06-29T13:18:02.266Z
441730000,37.41133166666667,126.56643333333334,25,23.3,8.6,2024-06-29T13:17:05.043Z
441730000,37.41058833333334,126.56604166666666,24,23.3,8.6,2024-06-29T13:16:34.030Z
441730000,37.40074666666667,126.56011666666667,27,25.3,8.4,2024-06-29T13:12:11.532Z
441730000,37.39530333333333,126.55679,26,20,7.6,2024-06-29T13:09:31.130Z
441730000,37.39499,126.55666166666667,25,16.4,7.6,2024-06-29T13:09:15.885Z
441730000,37.39463333333333,126.55653666666667,23,16.2,7.6,2024-06-29T13:09:05.539Z
441730000,37.394286666666666,126.55640333333334,21,15.8,7.6,2024-06-29T13:08:55.053Z
441730000,37.393985,126.55631333333334,20,17,7.5,2024-06-29T13:08:55.036Z
441730000,37.3926,126.55576833333333,19,16.8,7.3,2024-06-29T13:08:03.360Z
441730000,37.39167166666667,126.555425,20,16.9,7.2,2024-06-29T13:07:42.391Z
441730000,37.38880666666667,126.55437166666667,19,15.9,6.3,2024-06-29T13:06:10.406Z
441730000,37.38768666666667,126.55398833333334,19,15.8,5.8,2024-06-29T13:05:27.985Z
441730000,37.387168333333335,126.553785,20,15.1,5.6,2024-06-29T13:05:07.027Z
441730000,37.386916666666664,126.55370666666667,19,15.3,5.4,2024-06-29T13:05:06.979Z
441730000,37.38648166666667,126.55356666666667,20,16.3,5.1,2024-06-29T13:04:41.017Z
441730000,37.386248333333334,126.55347666666667,20,15.6,4.9,2024-06-29T13:04:40.998Z
441730000,37.386025,126.55340833333334,20,14.6,4.7,2024-06-29T13:04:25.669Z
441730000,37.385778333333334,126.55332,20,14.2,4.5,2024-06-29T13:04:10.373Z
441730000,37.38556,126.55324666666667,19,15.3,4.3,2024-06-29T13:04:00.050Z
441730000,37.385173333333334,126.55309166666666,20,15.6,3.9,2024-06-29T13:03:34.049Z
441730000,37.384478333333334,126.55287333333334,20,9.5,3.1,2024-06-29T13:02:58.222Z
441730000,37.384345,126.55285166666667,19,6.2,2.9,2024-06-29T13:02:58.207Z
441730000,37.384206666666664,126.55280333333333,18,2.6,2.8,2024-06-29T13:02:43.022Z
441730000,37.38409166666667,126.55276833333333,17,359.3,2.5,2024-06-29T13:02:42.985Z
441730000,37.38395333333333,126.55277333333333,15,0,2.3,2024-06-29T13:02:27.490Z
441730000,37.383651666666665,126.55281166666667,10,351.9,1.7,2024-06-29T13:01:51.577Z
441730000,37.38358,126.55282166666667,10,350.9,1.5,2024-06-29T13:01:51.549Z
441730000,37.383381666666665,126.55287833333334,10,333,1.1,2024-06-29T13:01:15.362Z
441730000,37.38323666666667,126.55296,7,301.6,1,2024-06-29T13:00:34.251Z
441730000,37.38309666666667,126.55350333333334,353,284.9,0.7,2024-06-29T12:58:57.833Z
441730000,37.38308833333333,126.553535,353,285.1,0.7,2024-06-29T12:58:57.811Z
441730000,37.38307833333333,126.55356833333333,353,286,0.6,2024-06-29T12:58:57.790Z
441730000,37.383045,126.55366666666667,354,291.1,0.5,2024-06-29T12:58:05.523Z
441730000,37.383041666666664,126.55373666666667,356,296.9,0.4,2024-06-29T12:57:55.171Z
441730000,37.38294833333333,126.55379666666667,38,99,0.2,2024-06-29T12:54:54.728Z
