Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
273381240,37.34555833333334,126.45060666666667,262,265,12.4,2024-06-10T17:54:09.001Z
273381240,37.345661666666665,126.45212166666667,262,264.7,12.5,2024-06-10T17:53:48.603Z
273381240,37.34571666666667,126.45284,262,264.3,12.4,2024-06-10T17:53:38.373Z
273381240,37.34587333333333,126.45491666666666,262,264.5,12.3,2024-06-10T17:53:07.506Z
273381240,37.34607333333334,126.45785666666667,262,265.1,12.3,2024-06-10T17:52:25.543Z
273381240,37.34616333333334,126.45922,262,265.2,12.3,2024-06-10T17:52:04.856Z
273381240,37.346471666666666,126.46350333333334,262,264.8,12.2,2024-06-10T17:51:03.292Z
273381240,37.34656833333333,126.46501,262,265.5,12.2,2024-06-10T17:50:42.719Z
273381240,37.346763333333335,126.467785,262,264.4,12.2,2024-06-10T17:50:11.990Z
273381240,37.34681666666667,126.46849166666667,262,264.4,12.1,2024-06-10T17:50:01.691Z
273381240,37.346875,126.46926833333333,262,264.9,12.2,2024-06-10T17:49:51.502Z
273381240,37.346923333333336,126.46997333333333,262,265.2,12,2024-06-10T17:49:41.238Z
273381240,37.34696666666667,126.47067666666666,262,265.2,12.1,2024-06-10T17:49:30.999Z
273381240,37.34701,126.47137833333333,262,265.1,12.1,2024-06-10T17:49:20.741Z
273381240,37.34726666666667,126.47485,262,264.9,11.9,2024-06-10T17:48:29.436Z
273381240,37.347833333333334,126.482835,261,264.5,10.8,2024-06-10T17:46:25.815Z
273381240,37.34788,126.483405,261,264.3,11,2024-06-10T17:46:15.554Z
273381240,37.34797666666667,126.48466,261,264.9,10.7,2024-06-10T17:45:55.026Z
273381240,37.34802333333333,126.48534,261,265.4,10.5,2024-06-10T17:45:44.830Z
273381240,37.348061666666666,126.48595666666667,262,265.4,10.6,2024-06-10T17:45:34.506Z
273381240,37.348103333333334,126.4865,262,264.7,10.4,2024-06-10T17:45:24.253Z
273381240,37.348148333333334,126.48710333333334,261,264.2,10.3,2024-06-10T17:45:14.025Z
273381240,37.34824833333333,126.488305,261,263.9,10.3,2024-06-10T17:44:53.546Z
273381240,37.348348333333334,126.48955333333333,261,264.9,10.3,2024-06-10T17:44:33.051Z
273381240,37.348635,126.49301,261,263.9,9.5,2024-06-10T17:43:31.186Z
273381240,37.34887666666667,126.49563,260,262.5,8.3,2024-06-10T17:42:50.090Z
273381240,37.3491,126.49799333333333,260,263.2,8,2024-06-10T17:41:58.564Z
273381240,37.34923,126.49976333333333,261,265.2,7.2,2024-06-10T17:41:17.433Z
273381240,37.349311666666665,126.50054333333334,259,262.8,6.5,2024-06-10T17:40:56.918Z
273381240,37.34939,126.50308666666666,262,263.5,5.2,2024-06-10T17:39:43.640Z
273381240,37.349595,126.50448833333333,256,254.1,4.5,2024-06-10T17:38:52.268Z
273381240,37.34999166666667,126.50575333333333,247,247.9,3.6,2024-06-10T17:38:00.614Z
273381240,37.350188333333335,126.50633833333333,246,248.1,3.7,2024-06-10T17:37:29.903Z
273381240,37.35026166666667,126.506525,246,242.8,3.9,2024-06-10T17:37:19.663Z
273381240,37.35043666666667,126.50690666666667,244,236.9,3.8,2024-06-10T17:36:58.962Z
273381240,37.35073,126.50748,241,237.5,3.8,2024-06-10T17:36:28.078Z
273381240,37.351058333333334,126.50806666666666,238,235.9,4.1,2024-06-10T17:35:57.275Z
273381240,37.35131333333333,126.50848166666667,236,234.7,4.5,2024-06-10T17:35:36.571Z
273381240,37.351528333333334,126.50889833333333,236,237.5,4.7,2024-06-10T17:35:15.558Z
273381240,37.351816666666664,126.50946166666667,235,239.3,5,2024-06-10T17:34:55.026Z
273381240,37.35294833333333,126.51236666666667,240,241.1,7.9,2024-06-10T17:33:22.452Z
273381240,37.354146666666665,126.514955,239,236,9.4,2024-06-10T17:32:30.817Z
273381240,37.35523833333333,126.51678,234,227.6,10.6,2024-06-10T17:31:49.748Z
273381240,37.35598666666667,126.51774,228,224.9,11.2,2024-06-10T17:31:29.200Z
273381240,37.35639666666667,126.518255,227,223.1,11.2,2024-06-10T17:31:18.913Z
273381240,37.356788333333334,126.518705,226,220.4,11.5,2024-06-10T17:31:08.675Z
273381240,37.35715,126.51909833333333,224,219.8,11.4,2024-06-10T17:30:58.530Z
273381240,37.35756333333333,126.51952,222,218.2,11.4,2024-06-10T17:30:48.349Z
273381240,37.35839,126.52036,220,219.6,11.4,2024-06-10T17:30:27.876Z
273381240,37.358845,126.52082166666666,220,218.5,11.3,2024-06-10T17:30:17.525Z
273381240,37.35925833333334,126.52124333333333,219,220.1,11.4,2024-06-10T17:30:07.286Z
273381240,37.35962166666667,126.52163833333333,220,220.7,11.5,2024-06-10T17:29:56.950Z
273381240,37.360031666666664,126.52206833333334,220,219.6,11.4,2024-06-10T17:29:46.708Z
273381240,37.360843333333335,126.52293666666667,221,220.2,11.6,2024-06-10T17:29:24.970Z
273381240,37.361293333333336,126.52341,221,218.9,11.6,2024-06-10T17:29:14.616Z
273381240,37.36212333333334,126.52424833333333,220,219.5,11.5,2024-06-10T17:28:54.131Z
273381240,37.362495,126.52463,220,217.7,11.5,2024-06-10T17:28:43.824Z
273381240,37.36335,126.52542666666666,218,215.3,11.4,2024-06-10T17:28:23.289Z
273381240,37.363835,126.52584,217,212.6,11.4,2024-06-10T17:28:13.094Z
273381240,37.36472666666667,126.52658333333333,215,215.5,11.5,2024-06-10T17:27:52.521Z
273381240,37.36512333333334,126.52693833333333,215,215.3,11.5,2024-06-10T17:27:42.410Z
273381240,37.366505,126.528115,215,215.4,11.7,2024-06-10T17:27:11.679Z
273381240,37.366946666666664,126.52850833333333,215,214.4,11.7,2024-06-10T17:27:11.634Z
273381240,37.36739333333333,126.52888333333334,215,213.9,11.7,2024-06-10T17:27:01.295Z
273381240,37.36779666666666,126.52922,215,215,11.5,2024-06-10T17:26:50.967Z
273381240,37.368671666666664,126.53000666666667,215,214.4,11.5,2024-06-10T17:26:30.398Z
273381240,37.36916,126.53042,215,213.4,11.6,2024-06-10T17:26:20.121Z
273381240,37.37007,126.53111833333334,213,208.9,11.4,2024-06-10T17:25:59.600Z
273381240,37.370488333333334,126.53140833333333,211,209.8,11.5,2024-06-10T17:25:49.355Z
273381240,37.371896666666665,126.53249,212,212.5,11.6,2024-06-10T17:25:18.541Z
273381240,37.372348333333335,126.53285166666667,212,211.2,11.5,2024-06-10T17:25:08.327Z
273381240,37.37276,126.53316,212,210.9,11.3,2024-06-10T17:24:58.176Z
273381240,37.373216666666664,126.53350333333333,211,211.9,11.6,2024-06-10T17:24:47.904Z
273381240,37.37506833333333,126.53496166666666,212,210.6,11.5,2024-06-10T17:24:06.527Z
273381240,37.375973333333334,126.53566833333333,212,212.6,11.5,2024-06-10T17:23:46.072Z
273381240,37.37688166666667,126.53636166666666,212,210.8,11.4,2024-06-10T17:23:24.712Z
273381240,37.377335,126.53670333333334,212,212.5,11.4,2024-06-10T17:23:14.564Z
273381240,37.377741666666665,126.53702666666666,212,212.5,11.5,2024-06-10T17:23:04.208Z
273381240,37.378695,126.53776,212,210.8,11.4,2024-06-10T17:22:43.589Z
273381240,37.380053333333336,126.53881166666666,212,212.4,11.4,2024-06-10T17:22:12.611Z
273381240,37.38045833333333,126.539135,213,211.9,11.5,2024-06-10T17:22:02.361Z
273381240,37.38142166666667,126.53984333333334,211,209.7,11.5,2024-06-10T17:21:41.845Z
273381240,37.38233,126.54053333333333,211,212.2,11.4,2024-06-10T17:21:31.521Z
273381240,37.382781666666666,126.54088666666667,212,210.5,11.3,2024-06-10T17:21:10.864Z
273381240,37.38319666666667,126.54118833333334,212,210.6,11.4,2024-06-10T17:21:10.825Z
273381240,37.384145,126.54192,211,212.4,11.3,2024-06-10T17:20:50.303Z
273381240,37.384595,126.54228,212,211.9,11.5,2024-06-10T17:20:40.002Z
273381240,37.385506666666664,126.54296666666667,212,211.1,11.4,2024-06-10T17:20:19.451Z
273381240,37.38686333333333,126.54402333333333,212,210.2,11.4,2024-06-10T17:19:48.693Z
273381240,37.387321666666665,126.54435833333334,212,209.9,11.3,2024-06-10T17:19:38.455Z
273381240,37.38777833333333,126.54469333333333,211,211.6,11.3,2024-06-10T17:19:28.180Z
273381240,37.38822666666667,126.54505,212,212.4,11.4,2024-06-10T17:19:17.937Z
273381240,37.38863,126.54537333333333,212,211.6,11.3,2024-06-10T17:19:07.565Z
273381240,37.38958,126.54609,212,212,11.3,2024-06-10T17:18:46.700Z
273381240,37.39047166666667,126.54679,212,211.2,11.4,2024-06-10T17:18:25.040Z
273381240,37.390921666666664,126.54713,212,210.4,11.3,2024-06-10T17:18:14.705Z
273381240,37.392275,126.54815833333333,212,212.9,11.3,2024-06-10T17:17:43.981Z
273381240,37.392675,126.54848166666666,213,212.1,11.3,2024-06-10T17:17:33.568Z
273381240,37.39317166666667,126.54885833333333,213,210.8,11.3,2024-06-10T17:17:23.334Z
273381240,37.39362166666667,126.549195,212,211.3,11.3,2024-06-10T17:17:12.927Z
273381240,37.39402666666667,126.549505,212,211.6,11.3,2024-06-10T17:17:12.837Z
273381240,37.39496333333334,126.55023666666666,213,210.9,11.2,2024-06-10T17:16:41.903Z
273381240,37.39537,126.55053666666667,212,210.2,11.2,2024-06-10T17:16:41.862Z
273381240,37.39586666666667,126.55090166666666,211,210.3,11.1,2024-06-10T17:16:21.369Z
273381240,37.396315,126.551235,211,211.7,11.2,2024-06-10T17:16:21.287Z
273381240,37.396715,126.55154666666667,212,212,11.2,2024-06-10T17:16:11.042Z
273381240,37.397205,126.55192666666666,212,211,11.2,2024-06-10T17:16:00.735Z
273381240,37.39805833333333,126.552565,212,211.6,11.3,2024-06-10T17:15:40.155Z
273381240,37.39899166666667,126.553295,212,212.3,11.3,2024-06-10T17:15:19.553Z
