Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002290,37.4589,126.59065,186,158.8,8.2,2024-06-10T16:57:39.480Z
440002290,37.45916666666667,126.59051666666667,184,159.2,7.9,2024-06-10T16:57:29.285Z
440002290,37.4601,126.59006666666667,189,161.1,8,2024-06-10T16:56:58.426Z
440002290,37.460316666666664,126.58996666666667,192,160.6,7.8,2024-06-10T16:56:58.398Z
440002290,37.460883333333335,126.58975,201,166.7,7.7,2024-06-10T16:56:37.950Z
440002290,37.46125,126.58965,210,170.2,7.7,2024-06-10T16:56:27.722Z
440002290,37.4616,126.58958333333334,215,170.8,7.7,2024-06-10T16:56:17.540Z
440002290,37.4619,126.58953333333334,212,170.6,7.6,2024-06-10T16:56:07.337Z
440002290,37.46228333333333,126.58945,212,168.7,8,2024-06-10T16:55:57.027Z
440002290,37.46241666666667,126.58941666666666,211,168.8,7.6,2024-06-10T16:55:57.010Z
440002290,37.462583333333335,126.58936666666666,211,167.7,7.7,2024-06-10T16:55:56.996Z
440002290,37.462633333333336,126.58935,210,169.2,7.8,2024-06-10T16:55:46.869Z
440002290,37.4628,126.58931666666666,210,168.8,7.8,2024-06-10T16:55:46.854Z
440002290,37.46296666666667,126.58926666666666,213,170.6,7.8,2024-06-10T16:55:36.654Z
440002290,37.4631,126.58925,216,170.7,7.7,2024-06-10T16:55:36.611Z
440002290,37.46335,126.5892,217,171.5,7.6,2024-06-10T16:55:25.785Z
440002290,37.4637,126.58913333333334,216,171.2,7.6,2024-06-10T16:55:15.533Z
440002290,37.46406666666667,126.5891,226,177.5,7.7,2024-06-10T16:55:05.222Z
440002290,37.4644,126.58908333333333,228,178.7,7.6,2024-06-10T16:54:54.903Z
440002290,37.4648,126.58906666666667,227,176.7,7.6,2024-06-10T16:54:44.624Z
440002290,37.46508333333333,126.58905,226,177.6,7.5,2024-06-10T16:54:44.595Z
440002290,37.46621666666667,126.58901666666667,231,181.2,7.6,2024-06-10T16:54:13.812Z
440002290,37.466516666666664,126.58901666666667,233,181,7.6,2024-06-10T16:54:03.494Z
440002290,37.4669,126.58901666666667,233,180.5,7.7,2024-06-10T16:53:53.186Z
440002290,37.46725,126.58903333333333,236,183,7.6,2024-06-10T16:53:42.875Z
440002290,37.46795,126.58911666666667,240,188.3,7.7,2024-06-10T16:53:22.307Z
440002290,37.46831666666667,126.58918333333334,241,187.5,7.6,2024-06-10T16:53:12.060Z
440002290,37.468783333333334,126.58928333333333,244,191.2,7.6,2024-06-10T16:52:51.609Z
